"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-1-1","1","1","10m Nature Notebook: Grade 3 - Lesson 1","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-2-1","2","1","10m Nature Notebook: Grade 3 - Lesson 2","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-3-1","3","1","10m Nature Notebook: Grade 3 - Lesson 3","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-4-1","4","1","10m Nature Notebook: Grade 3 - Lesson 4","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-5-1","5","1","10m Nature Notebook: Grade 3 - Lesson 5","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-6-1","6","1","10m Nature Notebook: Grade 3 - Lesson 6","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-7-1","7","1","10m Nature Notebook: Grade 3 - Lesson 7","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-8-1","8","1","10m Nature Notebook: Grade 3 - Lesson 8","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-9-1","9","1","10m Nature Notebook: Grade 3 - Lesson 9","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-10-1","10","1","10m Nature Notebook: Grade 3 - Lesson 10","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-11-1","11","1","10m Nature Notebook: Grade 3 - Lesson 11","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-12-1","12","1","10m Nature Notebook: Grade 3 - Lesson 12","<p>➜ LESSON<br>Complete the next lesson.</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-13-1","13","1","10m Nature Notebook: Grade 3 - Lesson 13","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-14-1","14","1","10m Nature Notebook: Grade 3 - Lesson 14","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-15-1","15","1","10m Nature Notebook: Grade 3 - Lesson 15","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-16-1","16","1","10m Nature Notebook: Grade 3 - Lesson 16","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-17-1","17","1","10m Nature Notebook: Grade 3 - Lesson 17","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-18-1","18","1","10m Nature Notebook: Grade 3 - Lesson 18","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-19-1","19","1","10m Nature Notebook: Grade 3 - Lesson 19","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-20-1","20","1","10m Nature Notebook: Grade 3 - Lesson 20","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-21-1","21","1","10m Nature Notebook: Grade 3 - Lesson 21","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-22-1","22","1","10m Nature Notebook: Grade 3 - Lesson 22","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-23-1","23","1","10m Nature Notebook: Grade 3 - Lesson 23","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-24-1","24","1","10m Nature Notebook: Grade 3 - Lesson 24","<p>➜ LESSON<br>Complete the next lesson.</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-25-1","25","1","10m Nature Notebook: Grade 3 - Lesson 25","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-26-1","26","1","10m Nature Notebook: Grade 3 - Lesson 26","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-27-1","27","1","10m Nature Notebook: Grade 3 - Lesson 27","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recNXSsUCLErAvVze","alveary-tracker-recNXSsUCLErAvVze-28-1","28","1","10m Nature Notebook: Grade 3 - Lesson 28","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
