"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recOw8kwV7HWQGVw5","alveary-recRvdGrdw3RFZH9u","1","1","30m Natural History: Grade 8 - Lesson 1","<p>Cell Activity<br>⍞ Materials: toothpick, glass slide and cover slip, candle, methylene blue stain, water, paper towel, microscope, egg, cup/glass, white vinegar</p><p>➜ INTRO<br>Most of your experience in natural history has been with Things that you can see around you. The invention of the microscope led to the discovery of a whole new world. This world of microscopic life is our focus this year. We begin by better understanding the microscopic cells from which you are made. First, you will make a slide of your cheek cells. Then you will set up an egg as a simple model of the cell.</p><p>➜ ACTIVITY<br>• Using a toothpick, gently rub the inside of your cheek.</p><p>• Now rub the toothpick on the surface of a glass slide, keeping the smear near the middle of the slide. Let this dry for a moment on a paper towel while you light your candle.</p><p>• Heat fix your slide by passing the slide through the flame 3-4 times. The underside of the slide should pass through the flame, but never stop. This will help your sample stick to the slide better. When you are finished, you can blow out the candle.</p><p>• Using protection, squeeze a drop of methylene blue stain onto your cheek smear. This stain will stain everything, so you MUST protect your clothing and anything else you do not want to be stained!  Let the slide with the drop of stain sit for about 2 minutes.</p><p>• Gently rinse from the back of the slide with a little clean water and carefully blot dry. Do not rub your smear.</p><p>➜ OBSERVE &amp; NARRATE<br>• Set a cover slip on your slide and examine it under the microscope, slowly increasing the power as you want to see more. Draw or diagram what you see in your science notebook.</p><p>➜ ACTIVITY<br>• Now, place an egg inside a cup or glass and cover with vinegar. Replace the vinegar every day for three days. Once the shell has been dissolved, the egg can be left on a paper towel until your next lesson.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recOw8kwV7HWQGVw5","alveary-recM1RFGLMFbE35OQ","2","1","30m Natural History: Grade 8 - Lesson 2","<p>Cell Activity<br>⍞ Materials: egg from last week, Prepared Microscope Slide Set, microscope, image link</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Today, you will compare your egg model to the cheek cells that you observed under the microscope, compare these to a variety of animal cells, and then to some bacterial cells.</p><p>➜ OBSERVE, NARRATE, &amp; DISCUSS<br>• Notice that your egg model has an outer membrane and a well-formed internal structure (the yolk) that is suspended in a matrix (the egg white). Compare to your cheek cells from last week. How are they similar? How are they different?</p><p>• This same basic structure is used to accomplish a great number of tasks. View slides 14-20 from your Prepared Microscope Slide Set. Try to identify these basic parts in each slide. Look carefully at slide 15. Red blood cells lose their nucleus so that they can carry oxygen more efficiently. You may also be able to find some white blood cells on this slide. How do they look different?</p><p>• View the Cellular Diversity Slides at the link to see a variety of bacterial cells. What do you notice about the bacterial cells in comparison? Can you still identify the same basic parts? How do the cells compare in size? Draw or diagram your observations in your science notebook <br>∞ Link: Cellular Diversity Slides</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>If needed, be sure to pour your agar plates for next week according to the package instructions.<br>∞ Video Link: Pouring Agar Plates (2:51)</p>","https://planning.alveary.org/links.html?id=recOw8kwV7HWQGVw5&term=1&week=2","Lesson","0","FALSE"
"alveary-recOw8kwV7HWQGVw5","alveary-recYBawxJfD0Qr5Dc","3","1","30m Natural History: Grade 8 - Lesson 3","<p>Microbe Activity<br>⍞ Materials: agar plates</p><p>➜ INTRO<br>Because bacteria are so small, humans were unaware of their existence or their place in our world for a very long time. One way to see them more easily is to grow a colony of them. You will use petri dishes with a kind of food, called agar, to do this. The dishes will be left open at various locations for several hours to see what kinds of microorganisms are in the environment at each location.</p><p>➜ ACTIVITY<br>• Choose three locations that you would like to test for the presence of bacteria. These might be your classroom, the bathroom, the kitchen, the playground, etc.</p><p>• Take four of your agar plates and, keeping them closed, turn them upside down on your work surface. Label the bottom of each plate using a permanent marker. One plate will be labeled &quot;control,&quot; while the remaining three will be labeled with your three locations.</p><p>• Leave the control plate closed and where it is while taking the three experimental plates to their locations. For each experimental plate, open the lid and leave the plate right-side-up in that location. You will leave it there for about three hours.</p><p>• After several hours exposed, collect each plate, replacing the lid. You may want to secure all of the plates with tape. Then leave them in a warm (but not hot) place for the next week.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recOw8kwV7HWQGVw5","alveary-recuhkeS3MPG6RHgc","4","1","30m Natural History: Grade 8 - Lesson 4","<p>Microbe Activity<br>⍞ Materials: agar plates from last week</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Today, you will examine your plates! Which location do you think will have the most microbial growth?</p><p>➜ OBSERVE, NARRATE, &amp; DISCUSS<br>• Retrieve your four plates and examine them. Draw or diagram them in your science notebook. Hopefully, your control plate is still clean. Which of your experimental plates has the most growth? Describe the appearance of the growth. Are there dots of separate colonies? Is the entire plate covered? Does the growth all look the same, or are there different types of microbes, indicated by different colors and textures?</p><p>• It is important to understand that even though we are surrounded by microorganisms all the time, we usually don't get sick. Many microorganisms are harmless or even beneficial. Look around your home or school, or talk to adults to find three ways that microorganisms are beneficial. Examples are cheese, yogurt, any fermented foods, and certain health supplements.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Next week's activity requires a brief prep that requires any type of milk.</p>","","Lesson","0","FALSE"
"alveary-recOw8kwV7HWQGVw5","alveary-recv77WRn4jtS8IhQ","5","1","30m Natural History: Grade 8 - Lesson 5","<p>Infectious Disease Activity<br>⍞ Materials: video link, cups prepared with milk and cornstarch (see Teacher Tip), iodine drops</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Recall what you have learned so far. Some microorganisms can make us sick. Understanding these microbes helps us protect ourselves and care for others. Watch the linked video to see one experiment. Viruses are specifically mentioned in the video, but the same idea applies to many disease-causing germs. Then you will do a similar experiment and compare your results.<br>∞ Video Link: How Viruses (and other germs) Spread (8:46)</p><p>➜ ACTIVITY<br>• There are 8-12 cups. Each cup represents the 'body fluid' of a person. We will simulate a typical daily interaction between two people by swirling two cups, pouring the fluid first into one and then the other cup, and finally dividing it again between the two cups. Each person should 'interact' with 3-4 others.</p><p>• Complete the interactions for the group.</p><p>• Only one was originally infected. How many do you think contracted our pretend illness? Can you see any difference by looking at the cups? Add 1-2 drops of iodine to each cup and swirl one last time.</p><p>➜ OBSERVE, NARRATE, &amp; DISCUSS<br>• Each person whose 'body fluid' changed color was infected. What percentage of the total number were infected? How does this compare to what you thought would happen? Can you determine who infected the rest of the party?</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Prep for this week's activity: a cup with about 2 Tbsp of milk should be prepared for each group member. If a student is working alone, then 8-12 cups could be prepared to simulate a group. Write names on the cups to differentiate. &quot;Infect&quot; one of the cups with 2 tsp of cornstarch and mix well.</p><p>★ TEACHER TIP <br>Are your learners demonstrating more familiarity/interest in the microscopic world?  More interest/ease in discussing how scientists have developed that knowledge? If not, consider observing and discussing together more often, exploring extra helpings, or taking a field trip to a science museum with a microbiology exhibit.</p>","https://planning.alveary.org/links.html?id=recOw8kwV7HWQGVw5&term=1&week=5","Lesson","0","FALSE"
"alveary-recOw8kwV7HWQGVw5","alveary-recTr3KlaJX5N0a5l","6","1","30m Natural History: Grade 8 - Lesson 6","<p>Meet TB<br>⍞ Materials: Invincible Microbe</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Look at the title and cover. Have you ever heard of tuberculosis (TB)? TB is one of those disease-causing germs. This story is about its part in natural history.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.1 p.1-7 &quot;This is&quot; - &quot;they encountered.&quot;</p><p>• On p.4, the author says, &quot;The germs began to evolve. What emerged was a different and even more dangerous microorganism…&quot; Discuss how this happened in terms of &quot;natural selection&quot;?<br>∞ Video Link: Natural Selection (5:02)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>There is an INTRO for this week's lesson, but plan to wean students from these prompts and train them to RECAP on their own. This will smooth their transition into high school coursework.</p><p>★ TEACHER NOTE<br>The age of the Earth and evolution are mentioned multiple times over p.1-6 and in the supplemental video. Teachers should preread the lesson if they have concerns and consider how they would like to discuss or what other theories they might like to share.</p>","https://planning.alveary.org/links.html?id=recOw8kwV7HWQGVw5&term=1&week=6","Lesson","0","FALSE"
"alveary-recOw8kwV7HWQGVw5","alveary-recwDJ4HIQfdU0dR4","7","1","30m Natural History: Grade 8 - Lesson 7","<p>TB in the Ancient World<br>⍞ Materials: Invincible Microbe</p><p>➜ RECAP<br>Briefly recall what you read last time.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.1 p.8-13 &quot;The existence&quot; - &quot;throughout Europe.&quot;</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER NOTE<br>The age of the civilization is mentioned on p.8: &quot;hundreds of thousands of years.&quot; Teachers might choose to allow it to pass by the way or to consider how they would like to discuss or offer alternative theories they would like to share.</p>","","Lesson","0","FALSE"
"alveary-recOw8kwV7HWQGVw5","alveary-recPNRIlccnkFqcf4","8","1","30m Natural History: Grade 8 - Lesson 8","<p>Medieval Medicine<br>⍞ Materials: Invincible Microbe</p><p>➜ RECAP<br>Briefly recall what you read last time.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.2 p.14-17 &quot;For days&quot; - &quot;human urine.&quot;</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recOw8kwV7HWQGVw5","alveary-recRlyGJKZ5MHzpAr","9","1","30m Natural History: Grade 8 - Lesson 9","<p>Renaissance Medicine<br>⍞ Materials: Invincible Microbe</p><p>➜ RECAP<br>Briefly recall what you read last time.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.2 p.17-22 &quot;While superstition&quot; - &quot;to get worse.&quot;</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p><p>• IMPORTANT DATES<br>Thermometer invented (1715)<br>Stethoscope invented (1818)</p>","","","Lesson","0","FALSE"
"alveary-recOw8kwV7HWQGVw5","alveary-recHIZExgQKqCtG4f","10","1","30m Natural History: Grade 8 - Lesson 10","<p>Industrial Surge <br>⍞ Materials: Invincible Microbe</p><p>➜ RECAP<br>Briefly recall what you read last time.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.3 p.23-30 &quot;It was a&quot; - &quot;mumbo jumbo.&quot;</p><p>• The author states that the Industrial Revolution caused tuberculosis to spread. Explain.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
