"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recOy5TZnUA7x2ynP","alveary-recdcDBrSBEopmOY2","1","1","15m General Science: Grade 1 - Lesson 1","<p>Listening to the Chorus Activity<br>⍞ Materials: Nature Journal</p><p>PREP: Read Teacher Tip.</p><p>➜ INTRO<br>When we observe, we can use all our senses, but we often rely on sight more than our other senses. Use your time today to sit and just listen to the sounds of nature.</p><p>➜ LISTEN<br>Find a place to sit where you can hear the sounds of nature. Sit in a comfortable position, maybe with your eyes closed.  Listen for about 7-10 mintues.</p><p>➜ NARRATE &amp; DISCUSS<br>Use a Nature Journal to record what the student heard. <br>• What sounds were the loudest?  What sounds did you hear most often?  Were there any that you had to listen very closely to hear?  Do you know who you heard?  Do you know where they live?</p>","<p>★ TEACHER TIP<br>If students seem anxious or unsure about their Nature Journals, teachers can encourage them by modeling, showing them many different examples, journaling in tandem, or serving as a scribe.</p>","","Lesson","0","FALSE"
"alveary-recOy5TZnUA7x2ynP","alveary-recqfpYl7Me4Ob6SQ","2","1","15m General Science: Grade 1 - Lesson 2","<p>Pond Habitat<br>⍞ Materials: Over and Under the Pond</p><p>PREP: Read Teacher Tip.</p><p>➜ INTRO<br>Look at the picture on the cover. The creatures that we see and hear outside all have homes just like us! These homes are called habitats. Let's read a book today about one habitat, called a pond. If you have been to a pond, tell about or draw one thing that stood out to you. Did you ever think about a pond as someone's home?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Over and Under the Pond  (whole book)<br>• If you have visited a pond before, who do you remember seeing there?  If not, what or who do you hope to see when we visit?</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","<p>★ TEACHER TIP<br>Let students enjoy the artwork in this picture book. If you need to take a break and finish it another time, that is fine.</p>","","Lesson","0","FALSE"
"alveary-recOy5TZnUA7x2ynP","alveary-recsayTHQfmwPdTAZ","3","1","15m General Science: Grade 1 - Lesson 3","<p>Same Creatures, Different Homes Activity<br>⍞ Materials: Nature Journal</p><p>➜ INTRO<br>Some creatures live in only one particular habitat, while others live in many different habitats. Today let's notice creatures that live in many different habitats.</p><p>➜ OBSERVE<br>Spend about 10 minutes noticing creatures around home/school that also live at the pond. These could be insects, squirrels, and even trees or grasses.</p><p>➜ NARRATE &amp; DISCUSS<br>Use a Nature Journal to record what the student noticed. <br>• Did you notice any creatures that live both at home/school AND at the pond?  If so, how do you think their lives are different in these different habitats?  If not, why do you suppose not?</p>","","","Lesson","0","FALSE"
"alveary-recOy5TZnUA7x2ynP","alveary-recWcrLpWLKb4dIl9","4","1","15m General Science: Grade 1 - Lesson 4","<p>Looking for Ants Activity<br>⍞ Materials: Nature Journal</p><p>PREP: Read Teacher Tip.</p><p>➜ INTRO<br>Today, you will look for ants. Some good places to look are under small rocks, under loose bark, and in cracks.</p><p>➜ OBSERVE<br>Use a stick to safely lift rocks and bark. If you find ants, take some time to observe them. If you find someone else that you want to observe, you may take the time to do so. Spend about 10 minutes looking for ants.</p><p>➜ NARRATE &amp; DISCUSS<br>Use a Nature Journal to record what the student noticed. <br>• Did you find ants?  Some other interesting creature?  Tell about their habitat: where is it?  What is around?  What was the creature doing?  Do they have a nest?  If so, how do you know?  Did you notice eggs, larvae, or pupae?  Did they carry food?  Do you notice how they entered or left their home?</p>","<p>★ TEACHER TIP<br>This week or next is a great opportunity to do an object lesson during the science activity. Questions are embedded in the lesson to help, as needed. If preferred, teachers can instead refer to the Handbook of Nature Study or allow questions to flow naturally between student and teacher.</p>","","Lesson","0","FALSE"
"alveary-recOy5TZnUA7x2ynP","alveary-recfbsW4rCjzfV6ES","5","1","15m General Science: Grade 1 - Lesson 5","<p>Looking for Ants Activity<br>⍞ Materials: Nature Journal</p><p>➜ INTRO<br>Look for ants again this week or return to visit your ants again, if you found some last week.</p><p>➜ OBSERVE<br>Is anything different this week? If you find an ant, carefully take a closer look at its body, being careful not to disturb a nest; you might place an ant in a container temporarily and look at it with a magnifier. How many parts of the body can you count? How many legs? From which parts do the legs come? How many antennae does it have? How does it use its antennae? Spend about 10 minutes looking for/watching ants.</p><p>➜ NARRATE &amp; DISCUSS<br>Use a Nature Journal to record what the student noticed. <br>• Tell about what you found or what you recorded.</p>","","","Lesson","0","FALSE"
"alveary-recOy5TZnUA7x2ynP","alveary-recRAV6YqLpBLAVAJ","6","1","15m General Science: Grade 1 - Lesson 6","<p>Noticing Bees Activity<br>⍞ Materials: Nature Journal</p><p>PREP: Read Teacher Tip.</p><p>➜ INTRO<br>Look for other insects this week, especially bees.</p><p>➜ OBSERVE<br>Spend about 10 minutes noticing insects. What are they doing? What parts of the body can you see? How would you describe the habitat?</p><p>➜ NARRATE &amp; DISCUSS<br>Use a Nature Journal to record what the student noticed. <br>• How is this bee (or other insect) similar to and different from the ant?</p>","<p>★ TEACHER TIP<br>The bees will begin slowing down toward the end of fall. Notice if this is happening, as you might get to see one up close and do an object lesson!</p>","","Lesson","0","FALSE"
"alveary-recOy5TZnUA7x2ynP","alveary-recg3g6DIBLIhIvbj","7","1","15m General Science: Grade 1 - Lesson 7","<p>Noticing Bees Activity<br>⍞ Materials: Nature Journal</p><p>➜ INTRO<br>Look for bees again this week.</p><p>➜ OBSERVE<br>Is anything different this week? Do you find the same type of bee, a different type, or none at all? Some other type of insect? Spend about 10 minutes noticing.</p><p>➜ NARRATE &amp; DISCUSS<br>Use a Nature Journal to record what the student noticed. <br>• Tell about what you found or what you recorded.</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","","","Lesson","0","FALSE"
"alveary-recOy5TZnUA7x2ynP","alveary-recKeoXzcBTYeQqyA","8","1","15m General Science: Grade 1 - Lesson 8","<p>Meeting an Evening Creature<br>⍞ Materials: Bat Loves the Night</p><p>PREP: Read Teacher Tip.</p><p>➜ INTRO<br>One creature that you may have noticed in the evening is the bat. Have you ever seen a bat? If so, what did you notice about them? Briefly describe in words or a picture. Bats need very particular types of habitats. They are also very important helpers to many other creatures. Let's read and find out more.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Bat Loves the Night  (whole book)<br>• What kinds of things do you think the bat needs in its habitat?</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","<p>★ TEACHER TIP<br>Let students enjoy the artwork in this picture book. If you need to take a break and finish it another time, that is fine.</p>","","Lesson","0","FALSE"
"alveary-recOy5TZnUA7x2ynP","alveary-rectWQEdMA9EI2cpM","9","1","15m General Science: Grade 1 - Lesson 9","<p>Noticing Sound Activity<br>⍞ Materials: Nature Journal</p><p>➜ INTRO<br>It can be hard to understand exactly how a bat uses echolocation because we don't share that experience, but we can think about how different sounds sound different.</p><p>➜ ACTIVITY<br>Choose three different objects, such as a penny, a bead, and a small ball of paper. Drop these three objects onto three different surfaces to hear the sound that bounces back to your ear, such as a metal pan, the floor, and a countertop or desk. Do you think you could learn to tell these apart if you couldn't see them?  Spend about 10 minutes listening and describing what you hear.</p><p>➜ NARRATE &amp; DISCUSS<br>Use a Nature Journal to record what the student noticed. <br>• Tell about what you found or what you recorded.</p>","","","Lesson","0","FALSE"
"alveary-recOy5TZnUA7x2ynP","alveary-recPh2zo2nQzEWSLn","10","1","15m General Science: Grade 1 - Lesson 10","<p>Modeling a Pond Habitat Activity<br>⍞ Materials: Clay, 12-18&quot; piece of substrate, e.g., cardboard, wood scrap, foam core, found nature objects, optional: craft paint</p><p>PREP: Read Teacher Tip.</p><p>➜ INTRO<br>What are some things you have learned about ponds this term?  Let's use the last 2 weeks of the term to create a model of a pond habitat. You will use clay to form your pond, paint if desired, and then you can use found nature objects to add the plants and animals that live there.</p><p>➜ ACTIVITY<br>∞ Website Link: Salt Dough Recipe (as an alternative to clay)</p>","<p>★ TEACHER TIP<br>Students may need to work on their models in the afternoon if they need extra time.</p>","https://planning.alveary.org/links.html?id=recOy5TZnUA7x2ynP&term=1&week=10","Lesson","0","FALSE"
