"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recQ67XNIH37fU4za","alveary-recjMjHOjSlMJeDCe","1","1","20m Math Lessons: Grade 3 - Lesson 1","<p>Review Subitizing Quantities 1-7 <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 1</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec5xzuRdmgB2w26Z","1","2","20m Math Lessons: Grade 3 - Lesson 2","<p>Review Subitizing Quantities 8-10   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 2</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recuKAdnxkcJDHxqd","1","3","20m Math Lessons: Grade 3 - Lesson 3","<p>Review Tens and Ones on Abacus<br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 3</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec7JlzJel0JoqkfL","1","4","20m Math Lessons: Grade 3 - Lesson 4","<p>Review Hundreds on Abacus   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 4</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recrLIFdUsnIE9Pgy","1","5","20m Math Lessons: Grade 3 - Lesson 5","<p>Review Math Balance   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 5</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recIrO5hhtRILB4d7","2","1","20m Math Lessons: Grade 3 - Lesson 6","<p>Review Part-Whole Circle Sets   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 6</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recWGszEg5UzEr1BQ","2","2","20m Math Lessons: Grade 3 - Lesson 7","<p>Ones Strategy on Addition Table   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 7</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recUGk6hUGoJhk6aE","2","3","20m Math Lessons: Grade 3 - Lesson 8","<p>Twos Strategy on Addition Table   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 8</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec3I8jpXyqEy81Co","2","4","20m Math Lessons: Grade 3 - Lesson 9","<p>Tens and Near Tens on Addition Table   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 9</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recCAL9tDuBBQ7PBf","2","5","20m Math Lessons: Grade 3 - Lesson 10","<p>Catch-Up Day   <br>⍞ Materials: RightStart Math Level C</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recUeVD006ELusrem","3","1","20m Math Lessons: Grade 3 - Lesson 11","<p>Two-Fives Strategy on Addition Table   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 10</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec7F1wbDIWvybYSp","3","2","20m Math Lessons: Grade 3 - Lesson 12","<p>Doubles Strategies on Addition Table   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 11</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recCXwoU7frg8TfOh","3","3","20m Math Lessons: Grade 3 - Lesson 13","<p>Making Ten Strategy on Addition Table   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 12</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec87SKL6iOrTEQSc","3","4","20m Math Lessons: Grade 3 - Lesson 14","<p>Completed Addition Table   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 13</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recSHR8M2a4jMaH8w","3","5","20m Math Lessons: Grade 3 - Lesson 15","<p>Evens and Odds   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 14</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recZiXRwdHy3266RO","4","1","20m Math Lessons: Grade 3 - Lesson 16","<p>Early Roman Numerals from 1-49   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 15</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recN4fepdEFC6usGG","4","2","20m Math Lessons: Grade 3 - Lesson 17","<p>Early Roman Numerals from 1 to 499   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 16</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec4g41djmqhBzHlK","4","3","20m Math Lessons: Grade 3 - Lesson 18","<p>Roman Numerals from 1 to 4999   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 17</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recq2KZ95ZxeNyzz1","4","4","20m Math Lessons: Grade 3 - Lesson 19","<p>Trading on Side 2 of AL Abacus   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 18</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rechh7CdtdN14qD9v","4","5","20m Math Lessons: Grade 3 - Lesson 20","<p>Catch-Up Day   <br>⍞ Materials: RightStart Math Level C</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recnjhDlqjtSOPRpI","5","1","20m Math Lessons: Grade 3 - Lesson 21","<p>Adding on Side 2 of AL Abacus   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 19</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recA9bIGGjGRuj1oA","5","2","20m Math Lessons: Grade 3 - Lesson 22","<p>Adding 2-Digit Numbers   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 20</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recSH2ot85t86f3m3","5","3","20m Math Lessons: Grade 3 - Lesson 23","<p>Mental Addition   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 21</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recUQc0tlj3qlB7o1","5","4","20m Math Lessons: Grade 3 - Lesson 24","<p>Adding Several 2-Digit Numbers   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 22</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recETVClA0rwXOfji","5","5","20m Math Lessons: Grade 3 - Lesson 25","<p>Review and Games 1   <br>⍞ Materials: RightStart Math Level C</p><p>➜ EVALUATE<br>Work through Sheet 7-A with students. Note any places of difficulty and take time to revisit those concepts.</p><p>➜ PRACTICE<br>Lesson 23</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recACd19i0uYbdaaV","6","1","20m Math Lessons: Grade 3 - Lesson 26","<p>Review and Games 1 (cont.)   <br>⍞ Materials: RightStart Math Level C</p><p>➜ EVALUATE<br>Have students work through Sheet 7-B independently. Note any places of difficulty. Revisit concepts and plan games to address.</p><p>➜ PRACTICE<br>Lesson 23</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recNnfrSVtRzdW2tY","6","2","20m Math Lessons: Grade 3 - Lesson 27","<p>Composing Numbers in Thousands   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 24</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recA5qJ1ZsXmOB9b8","6","3","20m Math Lessons: Grade 3 - Lesson 28","<p>Adding 1, 10, and 100 to Numbers   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 25</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recxCuhUQc3GGNoFs","6","4","20m Math Lessons: Grade 3 - Lesson 29","<p>Comparing Numbers   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 26</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec3C2WDqh4QZQUhc","6","5","20m Math Lessons: Grade 3 - Lesson 30","<p>Catch-Up Day   <br>⍞ Materials: RightStart Math Level C</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec5NL0Ir8PwZgOx6","7","1","20m Math Lessons: Grade 3 - Lesson 31","<p>Adding with Base-10 Picture Cards   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 27</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec8uv573PkHdQj2m","7","2","20m Math Lessons: Grade 3 - Lesson 32","<p>More Adding w/ Base-10 Pic. Cards   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 28</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recFq9lj14oTvl3uM","7","3","20m Math Lessons: Grade 3 - Lesson 33","<p>Adding 4-Digit Numbers on Abacus   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 29</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recY9PI2ovoQCzi9v","7","4","20m Math Lessons: Grade 3 - Lesson 34","<p>Adding 4-Digit Numbers on Paper   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 30</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec0PkjMeWxeHoIc0","7","5","20m Math Lessons: Grade 3 - Lesson 35","<p>Review and Games 2   <br>⍞ Materials: RightStart Math Level C</p><p>➜ EVALUATE<br>Work through Sheet 12-A with students. Note any places of difficulty and take time to revisit those concepts.</p><p>➜ PRACTICE<br>Lesson 31</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec3mk0LnLG5mndUR","8","1","20m Math Lessons: Grade 3 - Lesson 36","<p>Review and Games 2 (cont.)   <br>⍞ Materials: RightStart Math Level C</p><p>➜ EVALUATE<br>Have students work through Sheet 12-B independently. Note any places of difficulty. Revisit concepts and plan games to address.</p><p>➜ PRACTICE<br>Lesson 31</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recy9WbWBkdoHoIaM","8","2","20m Math Lessons: Grade 3 - Lesson 37","<p>Introducing Arrays   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 32</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-reckiomBYgp0pcsTG","8","3","20m Math Lessons: Grade 3 - Lesson 38","<p>Multiplication Through Arrays   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 33</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec7eL7mxQnTUmZvj","8","4","20m Math Lessons: Grade 3 - Lesson 39","<p>Comparing Addition &amp; Multiplication   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 34</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rechexGLETi5FdryP","8","5","20m Math Lessons: Grade 3 - Lesson 40","<p>Catch-Up Day   <br>⍞ Materials: RightStart Math Level C</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec7SvMDdbEmHzf9J","9","1","20m Math Lessons: Grade 3 - Lesson 41","<p>Multiplication Equations   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 35</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-reczjry9Enz734Jog","9","2","20m Math Lessons: Grade 3 - Lesson 42","<p>Multiples of 2 to 5   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 36</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recVBuPlcLo2yp7kd","9","3","20m Math Lessons: Grade 3 - Lesson 43","<p>Area   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 37</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recus5aahYyVWPPUD","9","4","20m Math Lessons: Grade 3 - Lesson 44","<p>Area and Perimeter   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 38</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recuuQlN71LLbQBpc","9","5","20m Math Lessons: Grade 3 - Lesson 45","<p>Assessment Review 1   <br>⍞ Materials: RightStart Math Level C</p><p>➜ EVALUATE<br>Work through Sheet 18 with students. Note any places of difficulty and take time to revisit those concepts.</p><p>➜ PRACTICE<br>Lesson 39</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-recpgkMCFtwVCVTV0","10","1","20m Math Lessons: Grade 3 - Lesson 46","<p>Review Games   <br>⍞ Materials: RightStart Math Level C</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 40</p>","","","Lesson","0","FALSE"
"alveary-recQ67XNIH37fU4za","alveary-rec5BhktJbhPGDZbI","10","2","20m Math Lessons: Grade 3 - Lesson 47","<p>Assessment 1   <br>⍞ Materials: RightStart Math Level C</p><p>➜ EVALUATE<br>Have students complete assessment independently. Note any places of difficulty. Revisit concepts and plan games to address.</p><p>➜ PRACTICE<br>Lesson 41</p>","","","Lesson","0","FALSE"
