"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-1-1","1","1","30m Upper French: Level 1 - Lesson 1","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-1-2","1","2","30m Upper French: Level 1 - Lesson 2","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-1-3","1","3","30m Upper French: Level 1 - Lesson 3","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-1-4","1","4","30m Upper French: Level 1 - Lesson 4","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-1-5","1","5","30m Upper French: Level 1 - Lesson 5","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-2-1","2","1","30m Upper French: Level 1 - Lesson 6","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-2-2","2","2","30m Upper French: Level 1 - Lesson 7","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-2-3","2","3","30m Upper French: Level 1 - Lesson 8","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-2-4","2","4","30m Upper French: Level 1 - Lesson 9","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-2-5","2","5","30m Upper French: Level 1 - Lesson 10","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-3-1","3","1","30m Upper French: Level 1 - Lesson 11","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-3-2","3","2","30m Upper French: Level 1 - Lesson 12","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-3-3","3","3","30m Upper French: Level 1 - Lesson 13","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-3-4","3","4","30m Upper French: Level 1 - Lesson 14","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
"alveary-recQEVYVhmQly4Gys","alveary-tracker-recQEVYVhmQly4Gys-3-5","3","5","30m Upper French: Level 1 - Lesson 15","<p>rec7BR0tK75ig6V9b</p>","","","Lesson","0","FALSE"
