"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recQJZSM8R2lmVTiZ","alveary-recWJuthSOwTS2cux","1","1","30m Labs: Grade 5 - Lesson 1","<p>Lab: What is Honey?<br>⍞ Materials: Grade 5 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of What is Honey?, as directed in the Lab Book.</p><p>Suggested day 1: Students read the Introduction and then compose the prelab narration in their lab notebook. These need not be more than 1-3 sentences at first, and teachers should feel free to scribe for students, as necessary. Remaining time can be spent gathering materials and beginning steps 1-2 of the Procedure.</p>","<p>★ TEACHER TIP<br>Pacing is only a suggestion. Students should engage with the lab at a pace that is appropriate for their abilities and interests.</p>","","Lab","0","FALSE"
"alveary-recQJZSM8R2lmVTiZ","alveary-reczG3v2gw7VHxW0M","2","1","30m Labs: Grade 5 - Lesson 2","<p>Lab: What is Honey?<br>⍞ Materials: Grade 5 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of What is Honey?, as directed in the Lab Book.</p><p>Suggested day 2: Students continue the Procedure today. They may draw, diagram, or dictate in their lab notebook what they observe, just as they would in their nature journals. Finish whatever is comfortable and enjoyable today. Do not allow the testing to become tedious. Help them use the grid lines in their notebook to make tables. If not ready to do so, they may cut and paste, as needed.</p>","<p>★ TEACHER NOTE<br>Be sure to determine local guidelines for chemical waste disposal.</p>","","Lab","0","FALSE"
"alveary-recQJZSM8R2lmVTiZ","alveary-recG8PggL9s29hw6s","3","1","30m Labs: Grade 5 - Lesson 3","<p>Lab: What is Honey?<br>⍞ Materials: Grade 5 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 3 of What is Honey?, as directed in the Lab Book.</p><p>Suggested day 3: Students continue the Procedure today.</p>","<p>★ TEACHER TIP<br>It is fine if students do not have time or interest for all of the tests. They can simply move on next week. There is time to spend another week on the chemical testing, either now or to come back to it at the end of the term, but this should be done based on student interest.</p>","","Lab","0","FALSE"
"alveary-recQJZSM8R2lmVTiZ","alveary-rec0NXsmlny3Z7YRT","4","1","30m Labs: Grade 5 - Lesson 4","<p>Lab: What is Honey?<br>⍞ Materials: Grade 5 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 4 of What is Honey?, as directed in the Lab Book.</p><p>Suggested day 4: Students complete the Analysis and Conclusion today.</p>","","","Lab","0","FALSE"
"alveary-recQJZSM8R2lmVTiZ","alveary-recB6MqAemqeBRC4o","5","1","30m Labs: Grade 5 - Lesson 5","<p>Lab: Plant Food<br>⍞ Materials: Grade 5 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of Plant Food, as directed in the Lab Book.</p><p>Suggested day 1: Students read the Introduction, compose the prelab narration, and complete steps 1-6 of the Procedure, as directed in the Lab Book. This is a set-up and wait lab, so students will move on to the next lab while waiting for their plants to grow.</p>","<p>★ TEACHER TIP<br>Be sure to have flowers for next week's lab!</p>","","Lab","0","FALSE"
"alveary-recQJZSM8R2lmVTiZ","alveary-recGvrQLsRrSeF03J","6","1","30m Labs: Grade 5 - Lesson 6","<p>Lab: Flowers are for Pollinators<br>⍞ Materials: Grade 5 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete Flowers are for Pollinators, as directed in the Lab Book.</p>","","","Lab","0","FALSE"
"alveary-recQJZSM8R2lmVTiZ","alveary-recJ73c4w5O9qkrlw","7","1","30m Labs: Grade 5 - Lesson 7","<p>Lab: Separation Challenge<br>⍞ Materials: Grade 5 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 1 of Separation Challenge, as directed in the Lab Book.</p><p>Suggested day 1: Students read the Introduction, compose the prelab narration, and begin the Procedure today. They may break for the day wherever they are in the Procedure.</p>","","","Lab","0","FALSE"
"alveary-recQJZSM8R2lmVTiZ","alveary-reclKmxosYCFqhMfK","8","1","30m Labs: Grade 5 - Lesson 8","<p>Lab: Separation Challenge<br>⍞ Materials: Grade 5 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Separation Challenge, as directed in the Lab Book.</p><p>Suggested day 2: Students complete the Procedure, as well as Analysis and Conclusions today.</p>","","","Lab","0","FALSE"
"alveary-recQJZSM8R2lmVTiZ","alveary-recvrtWuviciOGEOS","9","1","30m Labs: Grade 5 - Lesson 9","<p>Lab: Plant Food<br>⍞ Materials: Grade 5 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Plant Food, as directed in the Lab Book.</p><p>Suggested day 2: Students complete the Procedure, as well as Analysis and Conclusions.</p>","","","Lab","0","FALSE"
"alveary-recQJZSM8R2lmVTiZ","alveary-reczm8I2pUmT80vk1","10","1","30m Labs: Grade 5 - Lesson 10","<p>Lab: Catch Up or...<br>⍞ Materials: Grade 5 Lab Book and materials listed within, image link</p><p>➜ LAB DAY<br>Catch up on labs, plan a garden, or copy the linked bee diagram into your notebook:<br>∞ Image Link: Honey Bee Anatomy Diagram</p>","","https://planning.alveary.org/links.html?id=recQJZSM8R2lmVTiZ&term=1&week=10","Lab","0","FALSE"
