"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recQM1QGPznq3pssM","alveary-recuF4nUZqIpiR1fi","1","1","20m Sewing: Level 1 - Lesson 1","<p>⍞ Materials: Sewing School</p><p>PREP: Preview lesson. Lay out all materials.</p><p>➜ INTRO<br>Read instructions with students one step at a time. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-recQM1QGPznq3pssM","alveary-recYx9XQQdE9H58hr","2","1","20m Sewing: Level 1 - Lesson 2","<p>⍞ Materials: Sewing School</p><p>PREP: Preview lesson. Lay out all materials.</p><p>➜ INTRO<br>Read instructions with students one step at a time. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-recQM1QGPznq3pssM","alveary-recQWnYymaqgcsSUB","3","1","20m Sewing: Level 1 - Lesson 3","<p>⍞ Materials: Sewing School</p><p>PREP: Preview lesson. Lay out all materials.</p><p>➜ INTRO<br>Read instructions with students one step at a time. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-recQM1QGPznq3pssM","alveary-reca0zbZM664p4sju","4","1","20m Sewing: Level 1 - Lesson 4","<p>⍞ Materials: Sewing School</p><p>PREP: Preview lesson. Lay out all materials.</p><p>➜ INTRO<br>Read instructions with students one step at a time. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-recQM1QGPznq3pssM","alveary-recIO5ErOiOsxUlBR","5","1","20m Sewing: Level 1 - Lesson 5","<p>⍞ Materials: Sewing School</p><p>PREP: Preview lesson. Lay out all materials.</p><p>➜ INTRO<br>Read instructions with students one step at a time. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-recQM1QGPznq3pssM","alveary-recc7EGBLFDCStyee","6","1","20m Sewing: Level 1 - Lesson 6","<p>⍞ Materials: Sewing School</p><p>PREP: Preview lesson. Lay out all materials.</p><p>➜ INTRO<br>Read instructions with students one step at a time. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-recQM1QGPznq3pssM","alveary-recE4Up4VrRgTofaK","7","1","20m Sewing: Level 1 - Lesson 7","<p>⍞ Materials: Sewing School</p><p>PREP: Preview lesson. Lay out all materials.</p><p>➜ INTRO<br>Read instructions with students one step at a time. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-recQM1QGPznq3pssM","alveary-recermBHhSclmRSDh","8","1","20m Sewing: Level 1 - Lesson 8","<p>⍞ Materials: Sewing School</p><p>PREP: Preview lesson. Lay out all materials.</p><p>➜ INTRO<br>Read instructions with students one step at a time. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-recQM1QGPznq3pssM","alveary-recaXtHfqj0VvangG","9","1","20m Sewing: Level 1 - Lesson 9","<p>⍞ Materials: Sewing School</p><p>PREP: Preview lesson. Lay out all materials.</p><p>➜ INTRO<br>Read instructions with students one step at a time. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-recQM1QGPznq3pssM","alveary-recHkNP5E2H068nX0","10","1","20m Sewing: Level 1 - Lesson 10","<p>⍞ Materials: Sewing School</p><p>PREP: Preview lesson. Lay out all materials.</p><p>➜ INTRO<br>Read instructions with students one step at a time. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
