"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recQRSN8y9do0fwWL","alveary-rec61KR2h2DhEI0Oc","1","1","30m Natural History: Grade 7 - Lesson 1","<p>Shoots Activity<br>⍞ Materials: 9 bean seeds, 3 recycled pots or cups, soil of any kind, aluminum foil (for later), sunny window, recycled box to hold 3 pots or cups, water</p><p>➜ INTRO<br>This term, you are going to read the biography of a woman who began as a young artist and grew to be a skilled naturalist and biologist. We will begin as she did, studying the anatomy and physiology of flowering plants. Today, you will plant some bean seeds and observe how they &quot;see&quot; the light.</p><p>➜ ACTIVITY<br>• Prepare 3 pots or cups with soil and plant 3 seeds in each cup.  <br>• Set the cups near a sunny window, but inside a recycled box on its side, such that they only receive light from the direction of the window. Keep them watered so that the soil is damp, but not wet. They may only need 1-2 tablespoons of water at a time, depending on the size of your cups. It will take them 1-2 weeks to germinate, and you will need to keep the soil damp.</p><p>➜ NARRATE<br>Draw or diagram your planted seed cups in their window in your science notebook.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recQRSN8y9do0fwWL","alveary-recDrHrcAtSs57qAZ","2","1","30m Natural History: Grade 7 - Lesson 2","<p>The Girl in the Garden<br>⍞ Materials: The Girl Who Drew Butterflies</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Let's begin reading about Maria Merian today. As we continue to learn about her and her work, we will see the interactions between plants, insects, and the environment. These shared relationships exist for all living things around the world and are called the study of ecology.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Prologue&quot; p.viii-ix &quot;A girl kneels&quot; - &quot;her story.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>The next 2 weeks are activity weeks!</p>","","Lesson","0","FALSE"
"alveary-recQRSN8y9do0fwWL","alveary-rechMFKGJDO9iCZLL","3","1","30m Natural History: Grade 7 - Lesson 3","<p>Shoots Activity<br>⍞ Materials: aluminum foil, water</p><p>➜ INTRO<br>You should have shoots by now, and they are probably growing rapidly! Today, you will change their conditions to see if they respond.</p><p>➜ ACTIVITY<br>• Cut 3 small squares of aluminum foil (about 2&quot; x 2&quot;) and 3 small rectangles (about 1/2&quot; x 3&quot;).  <br>• Form the squares over your fingertip or a pencil to form 3 small caps.<br>• Wrap the rectangles around your finger or pencil to form 1/2&quot; tall tubes.  <br>• Place the caps on the tips of the seedlings in one cup; place the tubes around the bases of the seedlings in another cup. Leave the third cup alone - this is your control. Continue watering your cups this week.</p><p>➜ NARRATE<br>Draw or diagram your seedlings in your science notebook.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recQRSN8y9do0fwWL","alveary-recmlJpofFVB5IV0e","4","1","30m Natural History: Grade 7 - Lesson 4","<p>Shoots Activity<br>⍞ Materials: plantings from earlier in the term</p><p>➜ INTRO<br>See how your shoots responded to their foil covers.</p><p>➜ OBSERVE<br>Carefully observe how each of your seedlings grew this week. Are there differences? Does this reveal anything about how plants &quot;see&quot; light?</p><p>➜ NARRATE<br>Draw or diagram your seedlings in your science notebook.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recQRSN8y9do0fwWL","alveary-recKE6Afj2RXDyLyx","5","1","30m Natural History: Grade 7 - Lesson 5","<p>Egg<br>⍞ Materials: The Girl Who Drew Butterflies</p><p>➜ RECAP<br>What did you read or observe last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.1 p.1-6 &quot;Maria Sibylla&quot; - &quot;imagination instead?&quot;<br>• Why do you think the author titled the first chapter &quot;Egg&quot;? Notice the chapter titles throughout the book.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recQRSN8y9do0fwWL","alveary-recToOMnPpQQEURbz","6","1","30m Natural History: Grade 7 - Lesson 6","<p>Hatching<br>⍞ Materials: The Girl Who Drew Butterflies</p><p>PREP: Read Teacher Tip</p><p>➜ RECAP<br>What did you read or observe last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.2 p.7-12 &quot;Before Maria&quot; - &quot;about them.&quot;</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP <br>Are your learners demonstrating more familiarity/interest in plants?  More interest/ease in discussing the relationships that plants have with animals and the rest of the environment?  If not, consider observing together more often, exploring extra helpings, or taking a field trip to a nature preserve or natural history museum.</p>","","Lesson","0","FALSE"
"alveary-recQRSN8y9do0fwWL","alveary-recAfBhopfxRgVT67","7","1","30m Natural History: Grade 7 - Lesson 7","<p>First Instar<br>⍞ Materials: The Girl Who Drew Butterflies</p><p>PREP: Read Teacher Tip</p><p>➜ RECAP<br>What did you read or observe last week?</p><p>➜ READ &amp; NARRATE<br>Ch.3 p.13-17 &quot;Art was a joy&quot; - &quot;for profit.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.18-19 &quot;Art was big&quot; - &quot;busy workshop.&quot;</p><p>➜ STUDY<br>Maria had to study every detail of the plants she learned to paint. Study the diagram at the link and try to learn the parts of the leaf. Copy the diagram, if helpful. <br>∞ Image Link: Leaf Diagram</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Some students will benefit from reading and narrating the selection in parts because the two passages have different purposes. Can they identify the purpose of each one?</p>","https://planning.alveary.org/links.html?id=recQRSN8y9do0fwWL&term=1&week=7","Lesson","0","FALSE"
"alveary-recQRSN8y9do0fwWL","alveary-recMLJkxK3yWK4f6D","8","1","30m Natural History: Grade 7 - Lesson 8","<p>Second Instar<br>⍞ Materials: The Girl Who Drew Butterflies</p><p>PREP: Read Teacher Tip</p><p>➜ RECAP<br>What did you read or observe last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.4 p.20-22, 24-27 &quot;Maria loved&quot; - &quot;her work.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.23 &quot;Today&quot; - &quot;to record it.&quot;</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Note that students will need a flower with large, visible parts next week. A variety of lilies works well.</p>","","Lesson","0","FALSE"
"alveary-recQRSN8y9do0fwWL","alveary-recwhZ2dJdw469cxD","9","1","30m Natural History: Grade 7 - Lesson 9","<p>Flower Dissection Activity<br>⍞ Materials: image, video, and article links, a flower with large, visible parts, optional: tweezers or toothpick</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Today, you will dissect a flower to examine all the parts carefully.</p><p>➜ OBSERVE<br>Begin from the outside of the flower and work your way inward, carefully observing and removing each part. You can refer to the &quot;Flower Anatomy&quot; diagram at the link if desired.<br>∞ Image Link: Flower Anatomy</p><p>➜ NARRATE<br>Draw or diagram your flower in your science notebook. <br>•Try to explain pollination using your diagram. On which part is the pollen? Where do the seeds or fruit develop?</p><p>➜ SUPPLEMENTAL<br>You can learn how the seeds are fertilized and develop into fruit at the following links:<br>∞ Video Link: Germination<br>∞ Article Link: Seed and Fruit Development</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, to enliven the lesson itself, or to add to discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p>","https://planning.alveary.org/links.html?id=recQRSN8y9do0fwWL&term=1&week=9","Lesson","0","FALSE"
"alveary-recQRSN8y9do0fwWL","alveary-recSf0nBWTGO9MlNc","10","1","30m Natural History: Grade 7 - Lesson 10","<p>Third Instar<br>⍞ Materials: The Girl Who Drew Butterflies</p><p>➜ RECAP<br>What did you read or observe last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.5 p.28-33 &quot;Maria continued&quot; - &quot;was to marry.&quot;</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
