"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recR08hYlEFiOfYmj","Import is Current","alveary-recDW4MiNLh89T5N0","1","1","40m Econ/Civics: Grade 11 (Canada) - Lesson 1","<p>⍞ Materials: The Art of Asking Better Questions, Journal or Notebook, Bible</p><p>➜ READ<br>Intro-Ch.1, p.3-25</p><p>➜ REFLECT<br>Think about the individuals that you interact with daily. Identify someone who asks good questions and ask that person what motivates him or her to ask good questions.</p>","","","Lesson","0","FALSE"
"alveary-recR08hYlEFiOfYmj","Import is Current","alveary-rec074wvFVu2EnhTE","2","1","40m Econ/Civics: Grade 11 (Canada) - Lesson 2","<p>⍞ Materials: The Art of Asking Better Questions, Journal or Notebook, Bible</p><p>➜ READ<br>Ch.2, p.26-39</p><p>➜ REVIEW &amp; LIST<br>Review the italicized questions throughout this chapter and list three questions in your journal or notebook that were intriguing to you. Explain why.</p>","","","Lesson","0","FALSE"
"alveary-recR08hYlEFiOfYmj","Import is Current","alveary-recTrV2VHI4T7oorE","3","1","40m Econ/Civics: Grade 11 (Canada) - Lesson 3","<p>⍞ Materials: The Art of Asking Better Questions, Journal or Notebook, Bible</p><p>➜ READ<br>Ch.3, p.40-57</p><p>➜ LISTEN &amp; Track<br>Divide a piece of paper into four squares. Write one of the four levels of questions in each square. One day this week, listen for the four levels of questions being asked by those around you and track how many times you hear the four levels of questions throughout the day.</p>","","","Lesson","0","FALSE"
"alveary-recR08hYlEFiOfYmj","Import is Current","alveary-recW6yJMurTLtHKo3","4","1","40m Econ/Civics: Grade 11 (Canada) - Lesson 4","<p>⍞ Materials: The Art of Asking Better Questions, Journal or Notebook, Bible</p><p>➜ READ<br>Ch.4, p.61-71</p><p>➜ INTERVIEW<br>Identify one adult and one person your age to interview using David Brooks' questions listed on p.69. Give yourself plenty of time to interview each person. The goal is to get to know the person better, not simply to get through the questions.</p>","","","Lesson","0","FALSE"
"alveary-recR08hYlEFiOfYmj","Import is Current","alveary-recXcBa6stP2nJuhL","5","1","40m Econ/Civics: Grade 11 (Canada) - Lesson 5","<p>⍞ Materials: The Art of Asking Better Questions, Journal or Notebook, Bible</p><p>➜ READ<br>Ch.5-6, p.72-92</p><p>➜ WRITE<br>In your own words, list and explain the six reasons Jesus asked questions.</p>","<p>★ TEACHER NOTE<br>After you read ch.5-6, Review Resource 4: Fascinating Facts About The Questions Jesus Asked on p.181-185.</p>","","Lesson","0","FALSE"
"alveary-recR08hYlEFiOfYmj","Import is Current","alveary-recRynWRbUveZ5mLf","6","1","40m Econ/Civics: Grade 11 (Canada) - Lesson 6","<p>⍞ Materials: The Art of Asking Better Questions, Journal or Notebook, Bible</p><p>➜ READ<br>Ch.7, p.93-101</p><p>➜ REFLECT &amp; ASK<br>Reflect on the questions you have regarding God, the Bible, and faith. Ask the members of your family what questions they have regarding God, the Bible, and faith. Identify the questions that you have in common and, as a family, take steps towards answering those questions.</p>","","","Lesson","0","FALSE"
"alveary-recR08hYlEFiOfYmj","Import is Current","alveary-recy0SpyXyDqvtw2C","7","1","40m Econ/Civics: Grade 11 (Canada) - Lesson 7","<p>⍞ Materials: The Art of Asking Better Questions, Journal or Notebook, Bible</p><p>➜ READ<br>Ch.8-9, p.105-123</p><p>➜ INTERVIEW<br>Identify a person who is responsible for leading people and schedule a time to interview that person. Identify questions from Ch.8-9 (especially from p.111 &amp; 116) to ask during the interview. Reflect on your own leadership influence and ask yourself the questions on p.111 &amp; 116. If time permits, interview several leaders and compare their responses.</p>","","","Lesson","0","FALSE"
"alveary-recR08hYlEFiOfYmj","Import is Current","alveary-recB3V6fkHRmV3Wl6","8","1","40m Econ/Civics: Grade 11 (Canada) - Lesson 8","<p>⍞ Materials: The Art of Asking Better Questions, Journal or Notebook, Bible</p><p>➜ READ<br>Ch.10, p.126-137</p><p>➜ PLAN &amp; IMPLEMENT<br>Designate a journal to be your Questions Journal. Reflect on the nine practices from Ch.9 and organize the journal accordingly. Do not be tempted to rush this assignment. The more time you spend creating a Questions Journal, the greater the likelihood you will see a transformation in how you ask questions.</p>","","","Lesson","0","FALSE"
"alveary-recR08hYlEFiOfYmj","Import is Current","alveary-recRHmdF2LDfRWYo8","9","1","40m Econ/Civics: Grade 11 (Canada) - Lesson 9","<p>⍞ Materials: The Art of Asking Better Questions, Journal or Notebook, Bible</p><p>➜ READ<br>Ch.11, p.138-150</p><p>➜ PRACTICE<br>Identify a family member or friend to participate in a question-asking exercise with you. On p.147, read #6 &quot;Hold a questions-only conversation with others.&quot; Once you both understand the exercise, initiate the conversation and see how long the discussion lasts. Keep practicing until the exercise becomes more natural.</p>","","","Lesson","0","FALSE"
"alveary-recR08hYlEFiOfYmj","Import is Current","alveary-recosDKQ7GfiCnmn3","10","1","40m Econ/Civics: Grade 11 (Canada) - Lesson 10","<p>⍞ Materials: The Art of Asking Better Questions, Journal or Notebook, Bible</p><p>➜ READ<br>Ch.12-Conclusion, p.151-160</p><p>➜ RECEIVE FEEDBACK<br>Identify two people that you interact with consistently and ask them to provide feedback on how you ask questions. Use the questions on p.152-153 to guide the conversation. The purpose of this exercise is to develop the skill of asking better questions. Do not be offended by the feedback you receive. Embrace the feedback and develop action steps that will help you further develop the ability to ask great questions.</p>","","","Lesson","0","FALSE"
