"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recRqsq1kc32LSK58","alveary-recxIAUOrU0EBvTOS","1","1","20m Poetry Study: Grade 8 - Lesson 1","<p>⍞ Materials: A World of Poetry, notebook</p><p>➜ INTRO<br>This book will help you understand poetic strategies used by poets and other talented and powerful writers to get their point across. Did you know that Abraham Lincoln wrote poetry as a young man and used poetic techniques in his Gettysburg Address? Poetry may not be ignored; it is a primary form of expression in every society we can recall, and from the beginning of culture. It is a universal and irresistible form of human expression.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.5-14</p><p>• Read the line on p.7. Notice the metaphor comparing gravity to a field. We are so used to saying &quot;the field of gravity&quot; that we have forgotten how metaphorical that is. Gravity is only similar to a field in limited ways.  <br>• On p.8, the author says, &quot;Poetry is not just expression in words. It is also expressed in sounds. &quot;In an article written by David Crystal for The Guardian, called &quot;The Ugliest Words&quot;, he says, &quot;Here's an experiment. You're in a spaceship approaching a planet. You've been told there are two races on it, one beautiful and friendly to humans, the other unfriendly, ugly, and mean-spirited. You also know that one of these groups is called the Lamonians; the other is called the Grataks. Which is which? Most people assume that the Lamonians are the nice guys. It's all a matter of sound symbolism. Words with soft sounds such as 'l,' 'm,' and 'n,' and long vowels or diphthongs, reinforced by a gentle polysyllabic rhythm, are interpreted as 'nicer' than words with hard sounds such as 'g' and 'k,' short vowels, and an abrupt rhythm.&quot;  <br>• Have you thought about how sounds affect the ideas communicated in a poem? Can you think of other examples of how certain sounds make you feel a certain way?</p><p>➜ DIAGRAM<br>In your notebook, make a Venn diagram comparing science and poetry.</p>","","","Lesson","0","FALSE"
"alveary-recRqsq1kc32LSK58","alveary-rec6huMkVIDalO6CU","2","1","20m Poetry Study: Grade 8 - Lesson 2","<p>⍞ Materials: A World of Poetry, notebook</p><p>➜ INTRO<br>We tend to think that poets get inspiration from something and start writing the first thing that comes to mind, and voila, a poem is made. It is important to remember that poems are planned. Just like an architect plans a building or a composer writes a symphony, a poet uses their mind to assemble components that permit something to be called a poem, including meter, rhyme, vowel sounds, consonant sounds, figures of speech, etc. It is not the undisciplined, spontaneous, and primarily emotional expression it is imagined to be.  We will be looking at the sound patterns that make up poetry. What is the pattern? How do we appreciate it visually? Why might we appreciate it aurally (with our ears)?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.18-20</p><p>• Find the different patterns in the poem on p.20 and talk about the rhyme scheme.</p><p>➜ WRITE<br>In your notebook, write down the names and definitions of the patterns in bold on p.18-19.</p>","<p>★ TEACHER TIP<br>Use the QR codes on the pages in A World of Poetry if you want to hear the poems read aloud.</p>","","Lesson","0","FALSE"
"alveary-recRqsq1kc32LSK58","alveary-recvrw4ce5F5mUkM1","3","1","20m Poetry Study: Grade 8 - Lesson 3","<p>⍞ Materials: A World of Poetry, notebook</p><p>➜ INTRO<br>Do you like saying tongue twisters? A famous tongue twister is, &quot;She sells seashells by the seashore&quot;. Tongue twisters are fun because most words start with the same sound. We will be learning about that poetic device today.</p><p>➜ READ &amp; NARRATE<br>p.22-23</p><p>• Go back to the poems on p.22-23 and label the patterns you learned in the previous lesson.</p><p>➜ WRITE<br>In your notebook, add alliteration and its meaning to your list of poetic devices.</p>","","","Lesson","0","FALSE"
"alveary-recRqsq1kc32LSK58","alveary-recUywWB8gnHFnzJ0","4","1","20m Poetry Study: Grade 8 - Lesson 4","<p>⍞ Materials: A World of Poetry, notebook</p><p>➜ READ &amp; NARRATE        <br>p.24-28</p><p>➜ WRITE<br>1\. In your notebook, add assonance and consonance and their meaning to your list of poetic devices.<br>2\. Write a short poetic passage using alliteration with consonants and consonance as the poetic technique—no rhyme.</p>","","","Lesson","0","FALSE"
"alveary-recRqsq1kc32LSK58","alveary-rec4jh3SUJLZ23aKJ","5","1","20m Poetry Study: Grade 8 - Lesson 5","<p>⍞ Materials: A World of Poetry, notebook, and &quot;To an Athlete Dying Young&quot; printout</p><p>PREP: Print out a copy of this poem.<br>⍞ Article Resource: &quot;To an Athlete Dying Young&quot;</p><p>➜ READ &amp; NARRATE        <br>p.30-32</p><p>➜ WRITE<br>1\. In your notebook, add reversal and its meaning to your list of poetic devices.<br>2\. Read aloud the poem &quot;To an Athlete Dying Young.&quot; Label the rhyme scheme and any of the following patterns you notice: end rhyme, internal rhyme, end-stopped, enjambed, alliteration, assonance, consonance, and reversal.</p>","","https://planning.alveary.org/links.html?id=recRqsq1kc32LSK58&term=1&week=5","Lesson","0","FALSE"
"alveary-recRqsq1kc32LSK58","alveary-recrRRbJsZi0j8vIf","6","1","20m Poetry Study: Grade 8 - Lesson 6","<p>⍞ Materials: A World of Poetry, notebook</p><p>➜ INTRO<br>What do you notice about the words vroom, buzz, boing, or pitter-patter? These words are examples of onomatopoeia. When these words are used in context, you can almost hear what they describe.</p><p>➜ READ &amp; NARRATE        <br>p.33</p><p>• The word onomatopoeia is unusual, but there is a reason behind it. The word onomatopoeia comes from the combination of two Greek words: onoma, meaning &quot;name,&quot; and poiein, meaning &quot;to make,&quot; so onomatopoeia means &quot;to make a name (or sound).&quot;</p><p>➜ LISTEN &amp; DISCUSS<br>Listen to the poem &quot;The Bells&quot; by Edgar Allan Poe being read aloud and find all the examples of onomatopoeia. What are the 4 different kinds of bells mentioned throughout the poem? What do you think those bells symbolize?<br>∞ Link: The Bells (The audio link is beneath the poem, and the reading begins at 5:30)</p><p>➜ WRITE<br>In your notebook, add onomatopoeia and its meaning to your list of poetic devices. Look at the following list and write down at least one from each category. Can you think of any others? Most words that demonstrate onomatopoeia can be categorized into five groups of sounds:<br>1\. Animal noises (bow-wow, oink, cock-a-doodle-doo)<br>2\. Collision or explosive sounds (boom, crash, clang)<br>3\. Musical sounds (toot, clang, pluck)<br>4\. Movement of water, air, or objects (puff, vroom, rustle)<br>5\. Human sounds (sneeze, achoo, belch, cough)<br>• Mark the rhyme scheme in the stanza of the poem on p.33.</p>","","https://planning.alveary.org/links.html?id=recRqsq1kc32LSK58&term=1&week=6","Lesson","0","FALSE"
"alveary-recRqsq1kc32LSK58","alveary-rec48S0uO4FD7lBNo","7","1","20m Poetry Study: Grade 8 - Lesson 7","<p>⍞ Materials: A World of Poetry, notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.34-35</p><p>• Listen to the poem read aloud using the QR code on p.35. Every time he comes to a word with an &quot;l,&quot; he says that word, too. This will reveal the powerful use of the &quot;l&quot; to make the lake in the mind. Did you find it easy to make the lake in your mind? Why?</p><p>➜ WRITE<br>Do the activity on p.36. Write a short poem about science and the natural world using different techniques.</p>","","","Lesson","0","FALSE"
"alveary-recRqsq1kc32LSK58","alveary-rec3HBdO0jugST6mX","8","1","20m Poetry Study: Grade 8 - Lesson 8","<p>⍞ Materials: A World of Poetry, notebook</p><p>➜ INTRO<br>What are the repeated forms you see in the sand in the desert on p.38-39? Both nature and poetry are filled with repeated forms. We will be learning about meters, which involve repeated forms.</p><p>➜ READ, NARRATE, &amp; DISCUSS     <br>p.38-45</p><p>• Look at the poem on p.42. Label and discuss the rhyme scheme and any patterns you notice: end rhyme, internal rhyme, end-stopped, enjambed, alliteration, assonance, consonance, reversal.</p>","","","Lesson","0","FALSE"
"alveary-recRqsq1kc32LSK58","alveary-recEg0AVsLl4HAODK","9","1","20m Poetry Study: Grade 8 - Lesson 9","<p>⍞ Materials: A World of Poetry, notebook</p><p>➜ READ &amp; NARRATE        <br>p.46-48</p><p>➜ WRITE<br>1\. In your notebook, add the definitions for iambic, trochee, dactyl, and anapest.<br>2\. Return to p.44 and put slashes between the feet to separate them. Look at p.45 to see how the first line should be marked. Remember to separate by syllables and not by words.</p>","","","Lesson","0","FALSE"
"alveary-recRqsq1kc32LSK58","alveary-recO0P6BoK3sZC528","10","1","20m Poetry Study: Grade 8 - Lesson 10","<p>⍞ Materials: A World of Poetry, notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.50-53<br>As you read the poems on p.50 and 51, put the slashes between the feet to separate them.</p><p>• Why is the iambic foot so common in English poetry?</p><p>➜ WRITE<br>In your notebook, write down the term spondee and its definition.</p>","","","Lesson","0","FALSE"
