"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recSmUCl42Ci92IOe","alveary-recyWI2lgQ97uwjiJ","1","1","40m Canadian History: Grades 9-10 - Lesson 1","<p>⍞ Materials: Underground Railroad</p><p>➜ INTRO<br>How do historians make discoveries about the past? The first book we will read this year - The Underground Railroad: Next Stop, Toronto! - explores what Toronto was like for African Americans seeking freedom in a new life in Canada. One aspect that makes this book so fascinating is that the authors show how they are able to learn about this period of history: there are lots of old photographs and newspaper articles from historical archives, but there was also an archaeological dig in downtown Toronto in 2015 that revealed a lot about who lived in Toronto during this period and how they lived. When we think of archaeology, we often think of discovering ruins from thousands of years ago, but archaeology also has a lot to teach us about our more recent past!</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.1-13 &quot;The colored people&quot; - &quot;to live with them in Canada.&quot;</p><p>• How was Toronto involved in the larger story of the abolitionist movement?<br>• What did you learn about the life of Deborah Brown?</p>","","","Lesson","0","FALSE"
"alveary-recSmUCl42Ci92IOe","alveary-recnLBHIvmusoGQnf","1","2","30m Canadian History: Grades 9-10 - Lesson 2","<p>Sophie's Rebellion<br>⍞ Materials: Sophie's Rebellion</p><p>➜ RECAP<br>What do you remember from the last reading about the discontent and rebellions in Lower Canada (now Quebec)?</p><p>➜ INTRO<br>Sophie's Rebellion is a fictional account of one American girl's experience of the 1837-1838 Rebellions, as she is caught up in the Battle of Beauharnois. Through Sophie's eyes, the reader is able to see multiple perspectives of this conflict and is introduced to a number of notable historical figures. The novel also provides an authentically detailed account of Upper and Lower Canada in the mid-nineteenth century.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.7-23 &quot;The Rebellion of 1838&quot; - &quot;to have them.&quot;</p><p>• The book opens with a mysterious character named Luc. What do you know about him, and what questions do you still have?<br>• Who are the characters you meet as the novel opens? How are they related to each other? What are they like? What historical events have they been involved in, and where do their loyalties lie? You may choose to keep a character list with some notes.</p><p>➜ VIEW<br>Look at the map below to see just how close Burlington, VT and Lake Champlain are to the Canadian border and Montreal.<br>∞ Map Link: Vermont &amp; Quebec Map</p><p>• EXTRA HELPING<br>Students who would like extra background on the Patriote Rebellion against Lower Canada Loyalists are encouraged to watch this video. While the narration is in French, the auto-translated English subtitles are very accurate.<br>∞ Video Link: Patriot Rebellions in Quebec (1837-1838)</p>","","https://planning.alveary.org/links.html?id=recSmUCl42Ci92IOe&term=1&week=1","Lesson","0","FALSE"
"alveary-recSmUCl42Ci92IOe","alveary-reco6o0mTwzZxBoh5","2","1","40m Canadian History: Grades 9-10 - Lesson 3","<p>⍞ Materials: Underground Railroad</p><p>➜ RECAP<br>What do you recall from your reading last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.15-29 &quot;Black men, women, and children&quot; - &quot;brothers and sisters in the United States.&quot;</p><p>• Who were the African Canadians who lived in Toronto from the time of the American Revolutionary War? Where had they come from?<br>• What did you learn that was new to you about the Underground Railroad in today's reading?</p>","","","Lesson","0","FALSE"
"alveary-recSmUCl42Ci92IOe","alveary-recX9gMzeK4JPiC76","2","2","30m Canadian History: Grades 9-10 - Lesson 4","<p>Sophie's Rebellion<br>⍞ Materials: Sophie's Rebellion</p><p>➜ RECAP<br>What do you remember from the beginning of the novel you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.24-39 &quot;Despite Sophie's apprehensions&quot; - &quot;before the day's over.&quot;</p><p>• What is Sophie's relationship like with the rest of her family? Why do you think her cousins treat her so poorly?</p>","<p>★ TEACHER NOTE<br>Sensitive content, p.31 (repeated on p.33 and 36): please preview this argument between the children that refers to women using a derogatory term.</p>","","Lesson","0","FALSE"
"alveary-recSmUCl42Ci92IOe","alveary-recN3CHD7BeIEciHi","3","1","40m Canadian History: Grades 9-10 - Lesson 5","<p>⍞ Materials: Underground Railroad</p><p>➜ RECAP<br>What do you recall from your reading last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.30-45 &quot;Two couples who made a trip&quot; - &quot;people's homes for a living.&quot;</p><p>• What were some of the ways newly arrived refugees in Toronto received help?<br>• How are the photographs and images in this book helping you learn more about this time period? Have any of them especially stood out to you so far?</p>","","","Lesson","0","FALSE"
"alveary-recSmUCl42Ci92IOe","alveary-recC9rF0dTgFSGtFt","3","2","30m Canadian History: Grades 9-10 - Lesson 6","<p>Sophie's Rebellion<br>⍞ Materials: Sophie's Rebellion</p><p>➜ RECAP<br>What do you remember from what you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.40-56 &quot;That night the house&quot; - &quot;In your dreams.&quot;</p><p>➜ VIEW<br>Spend some time looking at the following ten watercolour paintings the real Jane Ellice made during her trip to Beauharnois. If you click on each image, there is a description of what it depicts, and a number of these scenes are included in the novel.<br>∞ Image Link: Katherine Jane Ellice</p>","","https://planning.alveary.org/links.html?id=recSmUCl42Ci92IOe&term=1&week=3","Lesson","0","FALSE"
"alveary-recSmUCl42Ci92IOe","alveary-recHVHBHBmoDUDz0p","4","1","40m Canadian History: Grades 9-10 - Lesson 7","<p>⍞ Materials: Underground Railroad</p><p>➜ RECAP<br>What do you recall from your reading last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.47-57 &quot;Some African American immigrants&quot; - &quot;seventy-four-year-old David Eger.&quot;</p><p>• If possible, look up some of the streets and intersections mentioned in today's reading on Google Maps street view, and notice how much has changed!<br>• Whose story stood out most to you today?</p>","","","Lesson","0","FALSE"
"alveary-recSmUCl42Ci92IOe","alveary-recTU3nTuPeH4F0VK","4","2","30m Canadian History: Grades 9-10 - Lesson 8","<p>Sophie's Rebellion<br>⍞ Materials: Sophie's Rebellion</p><p>➜ RECAP<br>What do you remember from what you read last time about Sophie's journey to Beauharnois?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.57-70 &quot;When Sophie woke&quot; - &quot;shattered into worrying bits.&quot;</p><p>• What clues can you find in this reading about what life was like in Lower Canada in the 1830s? What are you learning about the different characters and their attitudes? Continue to add descriptions and information to your list of characters.</p>","","","Lesson","0","FALSE"
"alveary-recSmUCl42Ci92IOe","alveary-recIhLMgsO3MXXo0F","5","1","40m Canadian History: Grades 9-10 - Lesson 9","<p>⍞ Materials: Underground Railroad</p><p>➜ RECAP<br>What do you recall from your reading last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.59-73 &quot;Whenever possible&quot; - &quot;between 1904-1907.&quot;</p><p>• What were some of the challenges and dangers facing children during this period? What view of education did the African Canadian community have?<br>• How does the story of John Anderson show that the American legal system could still be a danger to freedom-seekers in Canada?</p>","","","Lesson","0","FALSE"
"alveary-recSmUCl42Ci92IOe","alveary-recq7DOPerWHGtoTw","5","2","30m Canadian History: Grades 9-10 - Lesson 10","<p>Sophie's Rebellion<br>⍞ Materials: Sophie's Rebellion</p><p>➜ RECAP<br>What impression did you get of Jane Ellice from last week's reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.71-85 &quot;After tossing and turning&quot; - &quot;walking towards the manor house.&quot;</p><p>• What are the different characters' reactions when Beauharnois is attacked? How do they respond to this fear - what are their actions or thoughts?</p>","","","Lesson","0","FALSE"
