"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recT3teTf2qjZsjGH","alveary-recdnZat2RU7m6Ex0","1","1","40m Composition: Grade 12 - Lesson 1","<p>⍞ Materials: Caring for Words</p><p>➜ NOTE<br>You will be reading this book over all three terms. Do an inspectional reading before you begin reading today. Look at the front and back, cover material, chapter titles, etc.</p><p>➜ READ &amp; NARRATE<br>&quot;An Introductory Word to Readers&quot; &amp; p.1-top of p.7</p><p>• Narrate in a variety of ways throughout the term.</p><p>★ STUDENT/TEACHER NOTE<br>In addition to these more formal composition lessons, be sure to keep up the habit of written and oral narrations throughout the week. Aim for 8-10 written narrations per week, and use different ways of narrating to keep it interesting!</p>","","","Lesson","0","FALSE"
"alveary-recT3teTf2qjZsjGH","alveary-recYBIvA95xbOZtRd","1","2","40m Composition: Grade 12 - Lesson 2","<p>⍞ Materials: Advanced Academic Writing II</p><p>➜ INTRO<br>What is the value of writing? Of poetry, stories, essays, biographies? Jot down your thoughts.</p><p>➜ REVIEW<br>You've learned about structure before, but it's worth reviewing as you begin another year.<br>Advanced Academic Writing II<br>p.1,4-5</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>As you practice and read many different forms of writing over the year, continue to consider the questions at the beginning of this lesson. Consider this short story by J.R.R. Tolkien in light of these questions.<br>∞ Story Link: Leaf by Niggle</p><p>• Why did Niggle have such a hard time finishing his painting? <br>• What were some of Niggle’s biggest regrets in the hospital-prison? <br>• Tolkien wrote this story before publishing his masterpiece, The Lord of the Rings. Do you think he might have a different ending for the story if he had written it afterwards? Why or why not?</p><p>★ STUDENT/TEACHER NOTE<br>You may write or type your narrations and compositions initially. But for these composition lessons, be sure to type the final draft you turn into your teacher.</p>","","https://planning.alveary.org/links.html?id=recT3teTf2qjZsjGH&term=1&week=1","Lesson","0","FALSE"
"alveary-recT3teTf2qjZsjGH","alveary-recxlWWVJyO6yuoSZ","1","3","40m Composition: Grade 12 - Lesson 3","<p>Questions</p><p>➜ INTRO<br>Charlotte Mason said that we only know what we ask ourselves questions about and then can communicate to ourselves and others. She called all the different ways that we can narrate &quot;forms of vitality.&quot; Here are her actual words:</p><p>One thing at any rate we know with certainty, that no teaching, no information becomes knowledge to any of us until the individual mind has acted upon it, translated it, transformed, absorbed it, to reappear, like our bodily food, in forms of vitality. Therefore, teaching, talk and tale, however lucid or fascinating, affect nothing until self-activity be set up; that is, self-education is the only possible education; the rest is mere veneer laid on the surface of a child's nature (Vol.6, p.240).</p><p>This is how we know and why we narrate. We help ourselves along in this process by developing the habit of asking good questions. A famous scientist named Louis Agassiz was a master at helping students see and observe more by learning to ask themselves questions about whatever they were studying. Read the account of one of his students when first being examined for the opportunity.</p><p>➜ READ<br>p.96-100 &quot;The examination&quot;- &quot;knowledge of fossils.&quot;<br>∞ Article Link: Autobiography of Nathaniel Shaler<br> <br>➜ WRITE<br>Write as many observations and questions about one of your readings as you have time for.</p>","<p>★ TEACHER/STUDENT NOTE<br>If you have read this article before, skip to the WRITE assignment or complete the whole lesson to refresh your memory. It's a good reminder!</p>","https://planning.alveary.org/links.html?id=recT3teTf2qjZsjGH&term=1&week=1","Lesson","0","FALSE"
"alveary-recT3teTf2qjZsjGH","alveary-recdXS142vkAPXL3N","1","4","40m Composition: Grade 12 - Lesson 4","<p>Tech/Visual</p><p>➜ CREATE<br>Sometimes a &quot;picture is worth a thousand words.&quot; Use this lesson to create an infographic by hand or in Canva, Powerpoint, or another design software. Look at some of the coffee infographics in the attached article to get a sense for the possibilities. Whether created digitally or by hand, visual illustrations are a powerful narration tool as well to help you understand what you read, so feel free to incorporate visuals into your daily narrations!</p><p>First brainstorm what you want to illustrate. Here are some ideas: <br>• Show the process to conduct a science lab<br>• Key events in your life or the life of a historical character you're reading about. <br>• Outline a sermon you've heard or key points from a chapter in one of your books.<br>• Your daily or weekly schedule<br>• Your family tree.<br>• Something else entirely!<br>• How to make your favorite recipe</p><p>∞ Article Link: Coffee Infographic</p>","","https://planning.alveary.org/links.html?id=recT3teTf2qjZsjGH&term=1&week=1","Lesson","0","FALSE"
"alveary-recT3teTf2qjZsjGH","alveary-recYZfX8ZtuzXyZls","2","1","40m Composition: Grade 12 - Lesson 5","<p>⍞ Materials: Caring for Words</p><p>➜ READ &amp; NARRATE<br>p.7-middle of p.13<br>Narrate in a variety of ways.</p>","","","Lesson","0","FALSE"
"alveary-recT3teTf2qjZsjGH","alveary-recTTMEdkjYg3GZds","2","2","40m Composition: Grade 12 - Lesson 6","<p>➜ INTRO<br>Have you ever thought about the way that narration could equip you to work in business, marketing, web design, or another profession?</p><p>➜ READ/VIEW, NARRATE, &amp; DISCUSS<br>Story is fundamental to the nature of reality. So is it surprising that stories are part of our lives from childhood through adulthood? Explore 1-2 of these resources which explain the ways stories move us and show how stories are an effective piece of many professions.</p><p>∞ Article Link: Storytelling that moves people<br>∞ Video Link: The magic of storytelling<br>∞ Article Link: Storytelling and marketing</p><p>➜ ACTIVITY<br>• Analyze several websites. Do they tell a story on their intro pages? What is it?<br>• Count how many times you tell a story today (a story as simple as who you saw at the grocery store still counts!).</p>","","https://planning.alveary.org/links.html?id=recT3teTf2qjZsjGH&term=1&week=2","Lesson","0","FALSE"
"alveary-recT3teTf2qjZsjGH","alveary-recoUwKVRzh2HdaPx","2","3","40m Composition: Grade 12 - Lesson 7","<p>Poetry</p><p>➜ WRITE<br>Compose a poem which tells a story (either one you made up or a retelling of something you've read). Use the epic convention of starting &quot;in media res&quot; or in the middle of the action. For instance, if you are telling the story of your day, start with the moment you looked out the window and saw a hawk eat a worm, not the moment you woke up.</p><p>Give your poem an intentional structure and label what it is (refer back to Making of a Poem from Grade 9 Poetry study for a list of forms if desired).</p>","","","Lesson","0","FALSE"
"alveary-recT3teTf2qjZsjGH","alveary-recdnL0QXiBMVSreg","2","4","40m Composition: Grade 12 - Lesson 8","<p>Inspection</p><p>➜ WRITE<br>Gather 3 of your favorite books from the term so far, and reread the first few pages of each. Where does each author begin? How do they draw you into the story? What details do you notice in just the first few pages that give you a clue to what time period you're reading about, who the main character(s) is/are, what the purpose of the book is, what the genre is, and the author's style. Write down your findings.</p><p>Think about a few of your other favorite books in general. What about them grabs your attention? Add to your findings.</p>","","","Lesson","0","FALSE"
"alveary-recT3teTf2qjZsjGH","alveary-recj0ho2aKkTAWhS6","3","1","40m Composition: Grade 12 - Lesson 9","<p>⍞ Materials: Caring for Words</p><p>➜ READ &amp; NARRATE<br>p.13-21<br>Narrate in a variety of ways.</p>","","","Lesson","0","FALSE"
"alveary-recT3teTf2qjZsjGH","alveary-rec2YxrTYI931kYoM","3","2","40m Composition: Grade 12 - Lesson 10","<p>➜ INTRO<br>Writing and speaking are closely tied together. Often something that starts in writing becomes part of conversation or an oral presentation. Conversely, an idea shared over a meal or in a lecture could grow into a book. Just as we can grow as writers, we can grow as speakers. Today, listen to an oral storyteller and observe the ways she uses her voice, gestures, tone, and words to effectively tell a story.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: The Camel Driver<br>Time Marker 5:45-end</p><p>• Were you sucked into the story? How did Jan Blake draw you in?<br>• What are the ingredients of an effective story? What new options does an oral format provide? What unique options does a written format provide an author?</p>","","https://planning.alveary.org/links.html?id=recT3teTf2qjZsjGH&term=1&week=3","Lesson","0","FALSE"
"alveary-recT3teTf2qjZsjGH","alveary-recOlU945yPW5SrFx","3","3","40m Composition: Grade 12 - Lesson 11","<p>Revision</p><p>➜ INTRO<br>Good writers revise. Sometimes we imagine a writer sitting at a desk, scribbling away furiously - complete sentences, and vivid lines of poetry or prose magically appearing on their paper, instantly ready for publication. Unfortunately, as author Anne Lamott describes, &quot;almost all good writing begins with terrible first efforts. You need to start somewhere. Start by getting something - anything - down on paper. A friend of mine says that the first draft is the down draft -- you just get it down. The second draft is the up draft - you fix it up. You try to say what you have to say more accurately. And the third draft is the dental draft, where you check every tooth, to see if it's loose or cramped or decayed, or even, ... healthy&quot; (Bird by Bird 24).</p><p>➜ DISCUSS<br>Read this short blog on revision. What ideas are new to you? You might not agree with everything the author says, but take note of his main points.<br>∞ Article Link: On Revision</p><p>➜ REVISE<br>Pick a previous narration that is at least two paragraphs long to revise and rewrite. Your goal is not just to make your writing free of punctuation or spelling errors but to create a more polished version of your narration that you could share with someone to tell them about the particular topic you wrote about or chapter you read.</p><p>Big-Picture Revision<br>1\. If you have not already typed your narration, do that now so you have a digital version to edit.<br>2\. Are there other ideas you've had more recently that you'd like to add to your narration? Do that now.<br>3\. Look at your paragraphs. Are they indented and focused around one idea each? Describe that main idea in one sentence and consider making that the first sentence of your paragraph.<br>4\. Try moving your paragraphs around in a different order. What order do you think might make the most sense to someone reading your words?</p><p>Sentence Level Revision<br>1\. Read your narration aloud and fix any grammar or spelling errors you hear or see.<br>2\. Make main characters the subjects of sentences and important action verbs where possible.<br>3\. How well do your sentences flow? Put old information before new information in your sentences. <br>4.. Delete unnecessary words and change negatives to affirmatives.<br>4.. Make sure your sentences are complete, not fragments.<br>6\. Use Grammarly or another spell checker to find any other punctuation or spelling issues and fix those.</p><p>★ STUDENT TIP<br>Especially if revision is new to you, consider purchasing Style: The Basics of Clarity and Grace (used in Grade 10) to keep as a reference.</p>","","https://planning.alveary.org/links.html?id=recT3teTf2qjZsjGH&term=1&week=3","Lesson","0","FALSE"
