"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recTS4F4Y0VKqwuVg","alveary-recdUY4JOfvL6Qmo1","1","1","45m Astronomy Lessons - Lesson 1","<p>Identification<br>⍞ Materials: Astronomy Text, star finder</p><p>➜ INTRO<br>This is your day each week to prepare for your field studies. You will begin with a short reading, but most of the lesson will be used for planning. To find a local club, explore your locale at the links below: <br>∞ Link: Night Sky Network<br>∞ Link: New Planetarium<br>∞ Link: Royal Astronomical Society</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Unit I Lesson 1 through the section &quot;Shifting Skies&quot; (to &quot;in the sky.&quot;)</p><p>➜ PREP<br>• Learn to orient yourself with the star finder.<br>• Use the Stellarium and Night Sky Quick Links that tell you what is visible to aid your viewing.<br>• Note what time the sky becomes dark enough to see the stars. <br>• Check the weather and note which nights will have cloud cover so that you can plan a night each week to do some sky gazing. <br>• As you are able, seek out local observatories or clubs to increase your knowledge and experience locating objects in the sky.</p><p>• PLAN WEEKLY<br>⬚ nature walk - record observations<br>⬚ science free read</p>","","https://planning.alveary.org/links.html?id=recTS4F4Y0VKqwuVg&term=1&week=1","Lesson","0","FALSE"
"alveary-recTS4F4Y0VKqwuVg","alveary-recK2OBjazROAwVB6","1","2","45m Astronomy Lessons - Lesson 2","<p>How Astronomy Works, Highlights from History<br>⍞ Materials: Astronomy Text</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Unit I Lsn 2. Narrate silently to yourself or write. Copy any diagrams and make sketches if helpful to understand the text. Consider any questions from the text as time permits.</p>","","","Lesson","0","FALSE"
"alveary-recTS4F4Y0VKqwuVg","alveary-recRLI8AsnsVYSgLI","1","3","45m Astronomy Lessons - Lesson 3","<p>Astronomy Literature<br>⍞ Materials: The Last Stargazers</p><p>➜ INTRO<br>Two days each week will be spent reading important works of astronomical literature. The lesson plans give you an idea of how many pages to read each week to finish the book on schedule, but this is flexible. If a book takes longer than suggested, you might read outside the lesson time or even leave off without finishing it. If you read faster than suggested, use the extra time for other activities in the course.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read about 19 pages per week (over 2 lesson days).</p><p>➜ WRITE <br>Write a narration in your Astronomy Notebook.</p>","","","Lesson","0","FALSE"
"alveary-recTS4F4Y0VKqwuVg","alveary-recNOja5zIpvr2nFP","1","4","45m Astronomy Lessons - Lesson 4","<p>Astronomy Literature<br>⍞ Materials: The Last Stargazers</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read about 19 pages per week (over 2 lesson days).</p><p>➜ WRITE <br>Write a narration in your Astronomy Notebook.</p>","","","Lesson","0","FALSE"
"alveary-recTS4F4Y0VKqwuVg","alveary-recT303FpZnrduJhf","1","5","45m Astronomy Lessons - Lesson 5","<p>Astronomy Current Events and Research<br>⍞ Materials: computer, optional: Crossroads of Science and Faith text</p><p>➜ INTRO <br>About half of these days will be spent reading current events; the other half will be spent participating in citizen science. Keep a log or journal entry of your findings and thoughts in your Astronomy Notebook.</p><p>➜ READ CURRENT EVENTS        <br>EarthSky, Picture of Day, and Veritas Forum (in your Quick Links) are good options to explore.  If you and your teacher prefer, the Crossroads of Science and Faith text could be substituted here.</p><p>OR</p><p>➜ PRACTICE CITIZEN SCIENCE<br>Choose from Galaxy Zoo, Globe at Night, Exoplanet Watch, or Space Math (in your Quick Links).</p>","","","Lesson","0","FALSE"
"alveary-recTS4F4Y0VKqwuVg","alveary-recyw31zQx4HiTBJy","2","1","45m Astronomy Lessons - Lesson 6","<p>Identification<br>⍞ Materials: 100 Things to See in the Night Sky</p><p>➜ READ, NARRATE, &amp; DISCUSS        <br>How to Use This Book</p><p>➜ PREP <br>• Learn to orient yourself by locating or reminding yourself where the four cardinal directions point in your place.<br>• Practice measuring objects at a distance using your hands.<br>• Review your viewing experience last week.  Was it a good spot?  Are there other possibilities that would be better?  Can you do anything to improve your experience?<br>• Use the Stellarium and Night Sky Quick Links that tell you what is visible to aid your viewing. <br>• Check the weather and note which nights will have cloud cover so that you can plan a night each week to do some sky gazing.</p><p>• PLAN WEEKLY<br>⬚ nature walk - record observations<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-recTS4F4Y0VKqwuVg","alveary-recB8RajTP8Jf46Gk","2","2","45m Astronomy Lessons - Lesson 7","<p>⬚ 45m Astronomy - Lesson 7 <br>How Astronomy Works, Gravity<br>⍞ Materials: Astronomy Text</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Unit I Lsn 3. Narrate silently to yourself or write. Copy any diagrams and make sketches if helpful to understand the text. Consider any questions from the text as time permits.</p>","","","Lesson","0","FALSE"
"alveary-recTS4F4Y0VKqwuVg","alveary-recNotlLzz5p4RXzY","2","3","45m Astronomy Lessons - Lesson 8","<p>Astronomy Literature<br>⍞ Materials: The Last Stargazers</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read about 19 pages per week (over 2 lesson days).</p><p>➜ WRITE <br>Write a narration in your Astronomy Notebook.</p>","","","Lesson","0","FALSE"
"alveary-recTS4F4Y0VKqwuVg","alveary-recTMQYSTDCgZj9xe","2","4","45m Astronomy Lessons - Lesson 9","<p>Astronomy Literature<br>⍞ Materials: The Last Stargazers</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read about 19 pages per week (over 2 lesson days).</p><p>➜ WRITE <br>Write a narration in your Astronomy Notebook.</p>","","","Lesson","0","FALSE"
"alveary-recTS4F4Y0VKqwuVg","alveary-rec6WeDJAOIaPgI1p","2","5","45m Astronomy Lessons - Lesson 10","<p>⬚ 45m Astronomy - Lesson 10 <br>Astronomy Current Events and Research<br>⍞ Materials: computer, optional: Crossroads of Science and Faith text</p><p>➜ READ CURRENT EVENTS        <br>EarthSky, Picture of Day, and Veritas Forum (in your Quick Links) are good options to explore. If you and your teacher prefer, the Crossroads of Science and Faith text could be substituted here. Make an entry in your notebook about what you discover.</p><p>OR</p><p>➜ PRACTICE CITIZEN SCIENCE<br>Choose from Galaxy Zoo, Globe at Night, Exoplanet Watch, or Space Math (in your Quick Links). Log an entry in your notebook about what you do.</p>","","","Lesson","0","FALSE"
