"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recTYpFpYIaDutvIa","alveary-rec6NIfAd6g98gh9V","1","1","25m Ancient History: Grades 5-6 - Lesson 1","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recN4QjCfoZ2WHukg","2","1","25m Ancient History: Grades 5-6 - Lesson 2","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recRquJFvDNy86hoL","3","1","25m Ancient History: Grades 5-6 - Lesson 3","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recNLtIBEXYOLyfcn","4","1","25m Ancient History: Grades 5-6 - Lesson 4","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recaggmjWRSN9ji4l","5","1","25m Ancient History: Grades 5-6 - Lesson 5","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recG9WvSidVeuxfXD","6","1","25m Ancient History: Grades 5-6 - Lesson 6","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recaiIqKupDZxH8VA","7","1","25m Ancient History: Grades 5-6 - Lesson 7","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recYxIG6lh05NkgEk","8","1","25m Ancient History: Grades 5-6 - Lesson 8","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-rec4vJ7adg81OvFOX","9","1","25m Ancient History: Grades 5-6 - Lesson 9","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-rec1kTfyiTeV8XzOt","10","1","25m Ancient History: Grades 5-6 - Lesson 10","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recefheGGzjSArMXP","11","1","25m Ancient History: Grades 5-6 - Lesson 11","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-reclgGxIH7Ykh9wbU","12","1","25m Ancient History: Grades 5-6 - Lesson 12","<p>➜ EXAMS Answer question(s) related to course.  Questions will come from: Bronze Bow</p>","","","Exam","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recRr2IHQy3dxfGLd","13","1","25m Ancient History: Grades 5-6 - Lesson 13","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recpEP73mT6uq2MjR","14","1","25m Ancient History: Grades 5-6 - Lesson 14","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recSu1MvUJeCYJd5j","15","1","25m Ancient History: Grades 5-6 - Lesson 15","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-rec4NopU1jU28keU1","16","1","25m Ancient History: Grades 5-6 - Lesson 16","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recs6ef0euZ2hNbuo","17","1","25m Ancient History: Grades 5-6 - Lesson 17","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-rectu1Ko3oSkMYrMl","18","1","25m Ancient History: Grades 5-6 - Lesson 18","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-rec34HuVPCc9pRyOh","19","1","25m Ancient History: Grades 5-6 - Lesson 19","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recMkTDPUb2FN1WiH","20","1","25m Ancient History: Grades 5-6 - Lesson 20","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recNeLCwu5nrJ9xg9","21","1","25m Ancient History: Grades 5-6 - Lesson 21","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-rec1K6jAo9VsslnL4","22","1","25m Ancient History: Grades 5-6 - Lesson 22","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recUCT5mHuIEVugfw","23","1","25m Ancient History: Grades 5-6 - Lesson 23","<p>Main Idea/Subtitle<br>⍞ Materials: Bronze Bow</p><p>➜RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-recTYpFpYIaDutvIa","alveary-recGiI5mqz2qZFtPo","24","1","25m Ancient History: Grades 5-6 - Lesson 24","<p>➜ EXAMS Answer question(s) related to course.  Questions will come from: Bronze Bow</p>","","","Exam","0","FALSE"
