"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recTiG9g7CNZZoBxt","alveary-rectGL7fTGTefTDW2","1","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 1","<p>⍞ Materials: In the Days of Giants, Student World Atlas</p><p>➜ INTRO<br>We will be reading Norse mythology. It is a series of beliefs and legends belonging to Scandinavian people who lived in modern-day Norway, Sweden, and Denmark. The Nordic people would enjoy telling tales of heroes, gods, and monsters during the long, dark winter nights.</p><p>➜ LOCATE<br>Find Scandinavian countries of today: Denmark, Norway, Sweden<br>⍞ Map Resource: Student World Atlas</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>The Beginning of Things and How Odin Lost His Eye p.9-16</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recPWdJI7rTDTRHMt","2","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 2","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Kvasir's Blood p.17-22</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recbtUlsOWi5hk4YF","3","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 3","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>The Giant Builder p.23-28</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recka5WuXjlRwk1lS","4","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 4","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>The Magic Apples p.29-38</p>","<p>★ TEACHER TIP<br>This chapter is longer. Students may finish in the afternoon or next lesson (which is shorter) if desired.</p>","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-rec5DmyiHSbSiQtCO","5","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 5","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Skadi's Choice p.39-42</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recphaHa5koVMBFqx","6","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 6","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>The Dwarf's Gifts p.43-51</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-reciGRwds7iKH5iRq","7","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 7","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Loki's Children p.52-56</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-rectDA4jubfGq5tex","8","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 8","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>The Quest of the Hammer p.57-66</p>","<p>★ TEACHER TIP<br>This chapter is longer. Students may finish in the afternoon or pick up next lesson.</p>","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-rec3pKC8qOVT6ED5Z","9","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 9","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>The Giantess Who Would Not p.67-72</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recRTbSdm5J8vGFse","10","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 10","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Thor's Visit to the Giants p.73-82</p>","<p>★ TEACHER TIP<br>This chapter is longer. Students may finish in the afternoon or over exam week if desired.</p>","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recqiZPpNYzEgbKtT","11","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 11","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What do you remember from this book earlier this year?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Thor's Fishing p.83-90</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-rec4VzHkj7hkpxfjb","12","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>In the Days of Giants</p>","<p>★ Mythology/Hist. Fiction: Grade 4 — TERM 1 EXAM QUESTIONS<br>· In the Days of Giants: Give a short account of one of Odin's or Loki's adventures using words or pictures.</p>","","Exam","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recSbqQhUhqYHiZZS","13","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 13","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Thor's Duel p.91-97</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recSoYTmA40faXsU2","14","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 14","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>In the Giant's House p.98-105</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recEhCM3lY4Ihx54b","15","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 15","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Balder and the Mistletoe p.106-113</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recVgwC1i7rzZdrvj","16","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 16","<p>⍞ Materials: In the Days of Giants</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>The Punishment of Loki p.114-121</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recYgzukdGjOtQxxg","17","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 17","<p>⍞ Materials: The Arrow Over the Door OR Seesaw Girl, US Atlas</p><p>➜ INTRO &amp; MAPWORK (Option 1: The Arrow Over the Door)<br>Our story this term takes place during the revolutionary war in what is now the state of New York and is based on a real event that happened. Use your atlas (or look online) and locate the Hudson River and city of Saratoga. Find where you live as well.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.1 p.1-10</p><p>• Make a chart of or describe the different groups that are part of the Revolutionary War. <br>---------------<br>➜ INTRO &amp; MAPWORK (Option 2: Seesaw Girl)<br>Locate Korea on your atlas/globe. Our new story this term takes place during the year 1654 or so in Korea!</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.1-2 p.1-10</p><p>• EXTRA HELPINGS (Option 2)<br>View a Korean ceremonial robe from the Joseon period. <br>∞ Image Link: Ceremonial Robe</p>","","https://planning.alveary.org/links.html?id=recTiG9g7CNZZoBxt&term=2&week=17","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recWfFS4eNFOfJEpg","18","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 18","<p>⍞ Materials: The Arrow Over the Door OR Seesaw Girl</p><p>➜ MAPWORK (Option 1: The Arrow Over the Door)<br>Locate Montreal, Rivière-Saint-François, and Odanak in Google Maps and/or your atlas. We'll meet some new characters who live here in our story today.</p><p>➜ RECAP, READ, NARRATE, &amp; DISCUSS<br>Ch.2 p.11-20<br>---------------<br>➜ RECAP, READ, NARRATE, &amp; DISCUSS (Option 2: Seesaw Girl)<br>Ch.3-4 p.11-22</p><p>➜ VIEW<br>∞ Image Link: Puzzle ball (possibly like the one Jade had!)</p><p>• TERMINOLOGY (Option 1)<br>In order to give a flavor for the different languages the different people in the book are speaking, the author uses the name &quot;Bostoniak&quot; in this chapter. In English they would be called Bostonians – people from Boston.</p><p>• ILLUSTRATE<br>Draw or paint a scene from the story this week.</p>","","https://planning.alveary.org/links.html?id=recTiG9g7CNZZoBxt&term=2&week=18","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recALjtmHS1hvoTAt","19","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 19","<p>⍞ Materials: The Arrow Over the Door OR Seesaw Girl</p><p>➜ RECAP (Option 1: The Arrow Over the Door)<br>What are the two main places where our story starts?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.3-4 p.21-33 end at &quot;were Bostoniak.&quot;<br>---------------<br>➜ RECAP, READ, NARRATE, &amp; DISCUSS (Option 2: Seesaw Girl)<br>Ch.5-6 p.23-32</p><p>➜ VIEW <br>∞ Image Link: Joseon dynasty embroidery</p>","","https://planning.alveary.org/links.html?id=recTiG9g7CNZZoBxt&term=2&week=19","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recekzORafkK7yNEt","20","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 20","<p>⍞ Materials: The Arrow Over the Door OR Seesaw Girl</p><p>➜ RECAP, READ, NARRATE, &amp; DISCUSS (Option 1: The Arrow Over the Door)<br>Ch.4 p.33-44 &quot;Stands Straight&quot; - &quot;find out.&quot;<br>---------------<br>➜ RECAP (Option 2: Seesaw Girl)<br>What do you think will happen next?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.7-8 p.33-41</p><p>• Where do you think the strangers are from?</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recG6HCURTMdZMazX","21","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 21","<p>⍞ Materials: The Arrow Over the Door OR Seesaw Girl</p><p>➜ RECAP, READ, NARRATE, &amp; DISCUSS (Option 1: The Arrow Over the Door)<br>Ch.5-6 p.45-59<br>---------------<br>➜ INTRO (Option 2: Seesaw Girl)<br>What do you think it means to be content?</p><p>➜ RECAP, READ, NARRATE, &amp; DISCUSS<br>Ch.9-10 p.42-51</p><p>• ILLUSTRATE (Option 2)<br>Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recMtB5hHZDeO331Z","22","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 22","<p>⍞ Materials: The Arrow Over the Door OR Seesaw Girl</p><p>➜ RECAP, READ, NARRATE, &amp; DISCUSS (Option 1: The Arrow Over the Door)<br>Ch.7-8 p.60-69 end at &quot;back at him.&quot;</p><p>• What do you think will happen next?<br>---------------<br>➜ RECAP, READ, NARRATE, &amp; DISCUSS (Option 2: Seesaw Girl)<br>Ch.11-12 p.52-62</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recEsdkxFVM7vj0CN","23","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 23","<p>⍞ Materials: The Arrow Over the Door OR Seesaw Girl</p><p>➜ RECAP, READ, NARRATE, &amp; DISCUSS (Option 1: The Arrow Over the Door)<br>Ch.8-9 p.69-80 &quot;The Indian&quot; - end.</p><p>• What did you think of the end of the book?<br>---------------<br>➜ RECAP, READ, NARRATE, &amp; DISCUSS (Option 2: Seesaw Girl)<br>Ch.13-14 p.63-71</p><p>• What did you think of the debates about the strangers? Have you ever seen &quot;harm that grows from ignorance&quot; (p.66)? What do you think that means?</p>","<p>★ TEACHER NOTE<br>If reading Seesaw Girl, finish over exam week or on your own time if interested.</p>","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recf7PnxzqpA9qlDq","24","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 24","<p>⍞ Materials: Seesaw Girl (Option 2)</p><p>➜ READ &amp; DISCUSS (Option 2: Seesaw Girl)<br>There are only a few chapters left, so finish them this week or on your own time!<br>Ch.15-17 p.72-87</p><p>➜ VIEW<br>∞ Video Link: Korean Seesaws</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>In the Days of Giants and/or The Arrow Over the Door/Seesaw Girl</p>","<p>★ Mythology/Hist. Fiction: Grade 4 — TERM 2 EXAM QUESTIONS<br>· The Arrow over the Door: Describe your favorite character in the book. <br>OR <br>Seesaw Girl: Tell about Jade's adventure outside the house.</p>","https://planning.alveary.org/links.html?id=recTiG9g7CNZZoBxt&term=2&week=24","Exam","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-reckQPBmHoCOSyq5e","25","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 25","<p>⍞ Materials: Tales of Uncle Remus</p><p>PREP: For history and context on this collection of Brer Rabbit tales and their broader relevance, read Julius Lester's Foreword on p.xiii-xxi</p><p>➜ INTRO<br>Many different stories were published and told in the 1700s. Some stories which became increasingly popular were about a rabbit. A rabbit is the main character in many folktales from Africa and as more and more people in Africa were enslaved and brought to the American colonies, &quot;they took stories from home about a hare – Wakaima – and adapted them to their new surroundings&quot; (viii). Overtime, a new set of stories developed about a rabbit, now named Brer Rabbit, through this interaction of cultures from Africa, America, and the West Indies. The stories were told aloud and changed depending on the storyteller and the listener, so while they are old stories they are also new every time they are told.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.4-10 &quot;How Brer Fox and Brer Dog Became Enemies,&quot; “Hold’im Down, Brer Fox,&quot; &quot;Brer Rabbit Comes to Dinner&quot;</p>","<p>★ TEACHER NOTE<br>There is an audiobook version of these tales read by the author which is a great option to give students a bit more independence and allow them to experiece the stories orally. Note that only selections of the book are included in the lesson plans. Some of the ommitted stories have content you might want to preview before allowing students to listen the whole book.</p>","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-reccwQ3CqRwCfFP5Y","26","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 26","<p>⍞ Materials: Tales of Uncle Remus</p><p>➜ INTRO<br>Who would you expect to win a contest or a fight between a rabbit and a fox?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.16-23 &quot;Brer Rabbit Gets Even&quot;</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recbgPp7VSCmHZU2j","27","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 27","<p>⍞ Materials: Tales of Uncle Remus</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.26-31 &quot;Brer Turtle, Brer Rabbit, and Brer Fox&quot; and &quot;Brer Wolf Tries to Catch Brer Rabbit&quot;</p><p>• Were you worried Brer Rabbit might not get away this time?</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recIOxaZIAkpO2fMZ","28","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 28","<p>⍞ Materials: Tales of Uncle Remus and painting/drawing supplies</p><p>➜ INTRO<br>If you have heard it before, tell what you remember about the story of the turtle racing the hare. Today's story is a different version of it!</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.31-34 &quot;Brer Rabbit Finally Gets Beaten&quot;</p><p>• What did you think of the story?<br>• How was Brer Turtle the perfect match for Brer Rabbit?</p><p>➜ ILLUSTRATE<br>Draw or paint an illustration to go with today's story!</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-rec4RJNWctC22AS5P","29","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 29","<p>⍞ Materials: Tales of Uncle Remus</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.42-43 &quot;Brer Fox and Brer Rabbit Go Hunting&quot;<br>p.46-50 &quot;Brer Rabbit Eats the Butter&quot;</p><p>• What do you think Brer Fox meant when he said he &quot;caught a handful of<br>  common sense&quot;?<br>• What do you think about the ending of the story with Brer Rabbit and <br>  the butter? Did it surprise you? If you made up a different ending for<br>  the story, what would it be?</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-rec3H3QGRIRT5oC52","30","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 30","<p>⍞ Materials: Tales of Uncle Remus</p><p>➜ INTRO<br>What do you think it means if I say someone is &quot;resourceful&quot;?</p><p>➜ READ<br>p.54-56 &quot;Brer Rabbit's Children&quot;<br>p.60-62 &quot;Brer Rabbit and Brer Lion&quot;</p><p>➜ NARRATE &amp; DISCUSS<br>Since these readings are shorter, practice giving as much detail as possible in your written or oral narrations. Tell/write the stories as if you were telling them to a friend who had never heard them before!</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recohcq4wob8r1bOZ","31","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 31","<p>⍞ Materials: Tales of Uncle Remus</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.68-71 &quot;The Talking House&quot; and &quot;Brer Rabbit Gets Eaten Again&quot;<br>p.96-99 &quot;The Moon in the Pond&quot;</p><p>• Have you ever seen the moon in a pond or a puddle?</p><p>➜ ILLUSTRATE<br>With remaining time, illustrate a scene from one of today's stories.</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recxxjZJRJ6qzEkjY","32","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 32","<p>⍞ Materials: Tales of Uncle Remus</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.99-101 &quot;Why Brer Bear Has No Tail&quot;<br>p.104-106 &quot;Brer Rabbit Gets the Money&quot;</p><p>• If you made up a Brer Rabbit story, what would it be about? Maybe try making one up this week!</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recBIGW0V3HtJQWGq","33","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 33","<p>⍞ Materials: Tales of Uncle Remus</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.113-115 &quot;The Noise in the Woods&quot;<br>p.122-124 &quot;Brer Rabbit Tells on Brer Wolf&quot;</p><p>• What things do you admire or like about Brer Rabbit? What things do you think he does that are wrong?</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recSXijTAiqv9QvRK","34","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 34","<p>⍞ Materials: Tales of Uncle Remus</p><p>➜ INTRO<br>One of our stories today is called &quot;How Brer Rabbit Became a Scary Monster.&quot; What do you think is going to happen?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.127-131 &quot;How Brer Rabbit Became a Scary Monster&quot;<br>p.137-141 &quot;Brer Rabbit Outwits Mr. Man&quot;</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recDbANI0OPWrLB3k","35","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 35","<p>⍞ Materials: Tales of Uncle Remus</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-recTiG9g7CNZZoBxt","alveary-recm6vjTvpVPxoGQ3","36","1","20m Mythology/Hist. Fiction: Grade 4 - Lesson 36","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>The Tales of Uncle Remus</p>","<p>★ Mythology/Hist. Fiction: Grade 4 — TERM 3 EXAM QUESTIONS<br>· Tales of Uncle Remus: Tell the story of Brer Rabbit and Brer Turtle OR A story about Brer Rabbit and Brer Fox.</p>","","Exam","0","FALSE"
