"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recTzpeAId8hcpqi3","Needs Updated Import","alveary-recRUkPFRKUApIyB4","1","1","40m Economics: Grade 12 - Lesson 1","<p>⍞ Materials: Economics in One Lesson, notebook</p><p>➜ INTRO<br>Economics in One Lesson was first written in 1946 and has stayed in print since, with only a few revised or updated editions. The subtitle states that it is the &quot;shortest and surest way to understand basic economics.&quot; That is our goal in this course. We want to walk into the room labeled Economics and begin to look around and see what is inside. This book will give us a good starting place to ponder some of the basic ideas. Other resources will be recommended for further study as we go along. Enjoy!</p><p>Decide how you want to narrate. The book lends itself well to discussion, especially after you get a few chapters in and start noticing statements and policy decisions in current news and events that relate to what you are reading. You may want to outline the chapter or write out the flow of his arguments. Narrate the chapter in sections as you read if narrating at the end is a challenge.</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.1</p><p>• What is &quot;the lesson&quot;? Write it out in your notebook.</p>","","","Lesson","0","FALSE"
"alveary-recTzpeAId8hcpqi3","Needs Updated Import","alveary-rechCplKItJG9ZNzH","2","1","40m Economics: Grade 12 - Lesson 2","<p>⍞ Materials: Economics in One Lesson, notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.2</p><p>• Can you come up with some examples of the broken window fallacy?</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• EXTRA HELPING<br>If economics is a topic that you have a high interest in, consider using any extra time in your lessons to read Robert Murphy's book. Here is a link to a free PDF.<br>∞ PDF Link: Lessons for the Young Economist</p>","","https://planning.alveary.org/links.html?id=recTzpeAId8hcpqi3&term=1&week=2","Lesson","0","FALSE"
"alveary-recTzpeAId8hcpqi3","Needs Updated Import","alveary-recs4AMo1Y2wmdfJe","3","1","40m Economics: Grade 12 - Lesson 3","<p>⍞ Materials: Economics in One Lesson, notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.3</p><p>• Who benefits from the broken window? Who suffers loss from it? Is the community better off as a result? Why is economics especially beset by fallacies?</p>","","","Lesson","0","FALSE"
"alveary-recTzpeAId8hcpqi3","Needs Updated Import","alveary-recuDJWLMiyTb14n2","4","1","40m Economics: Grade 12 - Lesson 4","<p>⍞ Materials: Economics in One Lesson, notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.4 p.31-33 &quot;There is no&quot; - &quot;that much poorer.&quot;</p><p>• Generate some questions of your own for discussion.</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• EXTRA HELPING<br>Here are short videos that look at multiple sides of various economic issues. Use extra time in lessons to explore some of these topics.<br>∞ Video Link: Both Sides of the Issue</p>","","https://planning.alveary.org/links.html?id=recTzpeAId8hcpqi3&term=1&week=4","Lesson","0","FALSE"
"alveary-recTzpeAId8hcpqi3","Needs Updated Import","alveary-recup7Gc6XOhITvmr","5","1","40m Economics: Grade 12 - Lesson 5","<p>⍞ Materials: Economics in One Lesson, notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.4 p.33-36 &quot;Here again the&quot; - &quot;to the state.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>Watch the following video to explore the potential consequences of the government involving itself in too many matters. <br>∞ Video Link: Government: Too Big to Fix?</p><p>• What ideas from the reading or video captured your attention?</p>","","https://planning.alveary.org/links.html?id=recTzpeAId8hcpqi3&term=1&week=5","Lesson","0","FALSE"
"alveary-recTzpeAId8hcpqi3","Needs Updated Import","alveary-recKM3ZA6dCyvvFBc","6","1","40m Economics: Grade 12 - Lesson 6","<p>⍞ Materials: Economics in One Lesson, notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.5</p><p>➜ VIEW &amp; DISCUSS<br>Watch the following short videos:<br>∞ Video Link: McCulloch v. Maryland: The Birth of Big Government<br>∞ Video Link: Lower Taxes, Higher Revenue</p><p>• Identify three things that stood out to you from the reading or videos and discuss them with a family member or friend.</p>","","https://planning.alveary.org/links.html?id=recTzpeAId8hcpqi3&term=1&week=6","Lesson","0","FALSE"
"alveary-recTzpeAId8hcpqi3","Needs Updated Import","alveary-reclUX3xczojFIbvf","7","1","40m Economics: Grade 12 - Lesson 7","<p>⍞ Materials: Economics in One Lesson, notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.6 p.40-43 &quot;Government 'encouragement' to&quot; - &quot;less liquid form.&quot;</p><p>➜ READ &amp; DISCUSS<br>Read the following article to learn how the U.S. government is attempting to assist farmers. <br>∞ Article Link: Trump Administration Announces $12 Billion Farmer Bridge Payments for American Farmers Impacted by Unfair Market Disruptions</p><p>• What ideas captured your attention from the reading?</p>","","https://planning.alveary.org/links.html?id=recTzpeAId8hcpqi3&term=1&week=7","Lesson","0","FALSE"
"alveary-recTzpeAId8hcpqi3","Needs Updated Import","alveary-recxHQmpCmzAfXXes","8","1","40m Economics: Grade 12 - Lesson 8","<p>⍞ Materials: Economics in One Lesson, notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.6 p.43-48 &quot;Sometimes he&quot; - &quot;that it isn't.&quot;</p><p>➜ READ &amp; DISCUSS<br>The following article shares an interesting perspective from several economists regarding the role of government bailouts. <br>∞ Article Link: Economists to Congress: Don't Bail Out Big Business</p><p>• Generate some questions of your own for discussion.</p>","","https://planning.alveary.org/links.html?id=recTzpeAId8hcpqi3&term=1&week=8","Lesson","0","FALSE"
"alveary-recTzpeAId8hcpqi3","Needs Updated Import","alveary-recaUaHyvcIrHgOKg","9","1","40m Economics: Grade 12 - Lesson 9","<p>⍞ Materials: Economics in One Lesson, notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.7 p.49-54 &quot;Among the most&quot; - &quot;all on their backs?&quot;</p><p>• Generate some questions of your own for discussion.</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• EXTRA HELPING<br>If interested, listen to Dr. Thomas Sowell, author of Basic Economics, discuss some of the economic issues of the day from 2010.<br>∞ Video Link: Dr. Thomas Sowell</p>","","https://planning.alveary.org/links.html?id=recTzpeAId8hcpqi3&term=1&week=9","Lesson","0","FALSE"
"alveary-recTzpeAId8hcpqi3","Needs Updated Import","alveary-recGAIt541Hnmn4NI","10","1","40m Economics: Grade 12 - Lesson 10","<p>⍞ Materials: Economics in One Lesson, notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.7 p.54-60 &quot;Theories as false&quot; - &quot;to be right.&quot;</p><p>• Generate some questions of your own for discussion.</p>","","","Lesson","0","FALSE"
