"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recUAcZWeTfIq4KT4","alveary-rechbqvvp8NkQRqJD","1","1","30m General Science: Grade 6 - Lesson 1","<p>God Created<br>⍞ Materials: The Holy Bible</p><p>➜ INTRO<br>You have been learning about scientific activities in our modern world. Like all knowledge, our culture affects these activities, and in return, what we learn affects our culture. This has been going on throughout human history. Early scientists primarily studied the Things they could see and assumed that they were always this way, but eventually, they began to make some curious observations that suggested that maybe Things hadn't always been this way. These observations were shocking and confusing to these men and women. This was a major discovery that led many naturalists to question all they thought they knew and understood. It led some to reject science; others to reject their faith in God; and still others to be awestruck at the elegance and majesty of the Creator. What were these discoveries all about, and how did they change the direction of science? These are some very big ideas that require a lot of time to think about. Before getting started with the science, let's spend some time with our Bibles.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Genesis 1-2</p><p>• What is the same in Genesis 1 and 2, and what is different? How do these two chapters work together to tell us about God?</p>","<p>★ TEACHER NOTE<br>This lesson consists of reflection on the Christian story of creation. Teachers might choose to allow students to do/review this independently, to engage in the reading/discussion, or to skip this one.</p>","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recnArsArwGGkNfDg","1","2","30m General Science: Grade 6 - Lesson 2","<p>Making Sense of What We See<br>⍞ Materials: Plate Tectonics</p><p>➜ INTRO<br>Some of the discoveries that made scientists think that maybe Things changed over time came from studying rocks. Look at the title and cover. Do you have ideas about plate tectonics? We'll begin the story today with some of those early scientists.</p><p>Notice the sidebars in the text, like the one on p.14-15. As you become more independent with your reading, it can be helpful to think about how to deal with these kinds of &quot;rabbit trails,&quot; which can enhance the reading. Because it interrupts the main line of thought, it is usually best to finish the section and then come back to the sidebar.</p><p>➜ READ &amp; NARRATE<br>Ch.1 p.11-13, 16-17 &quot;From some&quot; - &quot;to be connected.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.14-15 &quot;Around the&quot; - &quot;region's geology.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recxhgTQgsQYEhu1W","2","1","30m General Science: Grade 6 - Lesson 3","<p>Seismic Disasters<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall what we read in the last passage. Today we'll read about seismic activity in Italy and Japan.</p><p>➜ READ &amp; NARRATE<br>∞ Article Link: The Destruction of Pompeii</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.17-20 “Pompeii” - “with the natural world.”</p>","","https://planning.alveary.org/links.html?id=recUAcZWeTfIq4KT4&term=1&week=2","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-reckaTwQW3KBiHPjr","2","2","30m General Science: Grade 6 - Lesson 4","<p>Renaissance Ideas<br>⍞ Materials: Plate Tectonics</p><p>PREP:  Read Teacher Tip</p><p>➜ RECAP<br>Tell me about the occurrences in Italy and Japan. Naturalists continued to observe for a long time, but then our story leaps forward during the Renaissance.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.20-27 &quot;After the decline&quot; - &quot;centuries earlier.&quot;</p><p>• Nicolaus Steno's work presented, for the first time, the idea that the Earth and even life itself were dynamic. Have you ever learned something so new and surprising that it seemed to change everything? What did you do with this new information?<br>• While Steno did abandon his scientific pursuits when he entered religious life, many others then and now pursue scientific endeavors and religious vocations hand-in-hand. Daniello Bartoli, Paolo Casati, and Maria Gaetana Agnesi are just a few from Steno's time period. How many can you find?</p><p>➜ SUPPLEMENTAL<br>The author notes that ideas often inspire people who come later. One scientist you should know who is not mentioned in our book is Mary Anning:<br>∞ Video Link: Mary Anning (3:40)</p>","<p>★ TEACHER NOTE<br>Conflict between religion and Steno's work is alluded to on p.25: &quot;Like many of&quot; - &quot;remainder of his life.&quot; Teachers might choose to allow it to pass by the way for now (this idea is a major theme in Grade 7-8), to engage in discussion, or to check out the book about Steno in Extra Helpings. The same conflict is mentioned in the supplemental video (1:16-1:31).</p><p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, to enliven the lesson itself, or to add to the discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p>","https://planning.alveary.org/links.html?id=recUAcZWeTfIq4KT4&term=1&week=2","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recSWFPPRbGO8Ps31","3","1","30m General Science: Grade 6 - Lesson 5","<p>Rocks and Hutton's Theory<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Tell me about what Renaissance thinkers brought to the story. Before we read about the theory of plate tectonics, look at the figure on p.28. You may continue to look back at it during the passage.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.29-35 &quot;We now know&quot; - &quot;parts of the puzzle?&quot;</p><p>• Discuss the main points of James Hutton's theory. Use words, pictures, or diagrams.</p><p>• NATURE NOTEBOOK <br>Prompt for General Science in Outdoor Work Quick Link.</p>","<p>★ TEACHER NOTE<br>The age of the Earth is mentioned along with Hutton's Theory of the Earth on p.33-34: &quot;He also claimed&quot; - &quot;wind or rain.&quot; Teachers might engage in discussion, present alternative theories, or check one of the books in Extra Helpings for additional discussion.</p>","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recZ9Xvhy6TlyDM1t","3","2","30m General Science: Grade 6 - Lesson 6","<p>Oceanography and Seismology<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall the last reading. We've read about paleontology and geology. Today we have two more types of study that will reveal more puzzle pieces: oceanography and seismology.</p><p>➜ READ &amp; NARRATE<br>p.35-36 &quot;Exploring the Oceans&quot; - &quot;sea level.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.36-41 &quot;Finding ways&quot; - &quot;accurate measurement.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recmRlxNk7nquduCZ","4","1","30m General Science: Grade 6 - Lesson 7","<p>Continental Drift<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall the last passage. Today we begin to put the puzzle together.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.41, 43-46 &quot;Continental Drift&quot; - &quot;and accepted.&quot;</p><p>• Discuss the main points of Alfred Wegener's theory. Use words, pictures, or diagrams.<br>• Do you think the idea of continental drift impacted the way that scientists organize and classify living things? How might it influence their understanding of which plants and animals are more closely related?</p><p>➜ SUPPLEMENTAL<br>∞ Resource Link: NatGeo Continental Drift</p><p>➜ NOTE <br>Read Abraham Ortelius p.42 for interest, if desired.</p>","<p>★ TEACHER NOTE<br>The age of the Earth is mentioned along with Wegener's theory of continental drift on p.43-45 and in the supplemental link: &quot;Wegener believed&quot; - &quot;and Canada.&quot; Teachers might engage in discussion or consider alternative theories they would like to share.</p>","https://planning.alveary.org/links.html?id=recUAcZWeTfIq4KT4&term=1&week=4","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-rec3mBqLiC8aF2hKg","4","2","30m General Science: Grade 6 - Lesson 8","<p>The Theory is Born<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall the last reading. Today we'll learn a bit about Alfred Wegener.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.49-52 &quot;The theory&quot; - &quot;moon and Mars.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recWg1uJ4hr8syRAi","5","1","30m General Science: Grade 6 - Lesson 9","<p>Convection and Plate Tectonics<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall the last reading. Today we'll learn a bit about two more scientists.</p><p>➜ READ &amp; NARRATE<br>p.52-55, 58 &quot;Dan McKenzie&quot; - &quot;discussed below.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.56-57 &quot;Jason Morgan&quot; - &quot;plate tectonics.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recy5Y5RaTCwGZL3T","5","2","30m General Science: Grade 6 - Lesson 10","<p>Measuring Earthquakes<br>⍞ Materials: Plate Tectonics</p><p>PREP: Read Teacher Tip</p><p>➜ RECAP<br>Recall the last reading. Our focus today is on the two scientists who developed the Richter scale, which is used to measure earthquake strength.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.58-63 “Charles Richter” - “Uppsala in 1955.”</p>","<p>★ TEACHER TIP <br>Are your learner(s) demonstrating more familiarity/interest in volcanoes, earthquakes, or other aspects of plate tectonics? More interest/ease in discussing how scientists developed the theory over time? If not, consider discussing together more often, exploring extra helpings, or taking a field trip to a natural history museum. Reach out through Contact Us, if you need help.</p>","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-rec7MB8o8iCbZw7Vt","6","1","30m General Science: Grade 6 - Lesson 11","<p>Seafloor Spreading<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall the last passage. Today we read about a scientist who studied the ocean floor.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.63-64 &quot;Harry Hess&quot; - &quot;sister planets.&quot;</p><p>• NATURE NOTEBOOK <br>Prompt for General Science in Quick Link.</p>","<p>★ TEACHER NOTE<br>Evolution is mentioned at the end of the reading on p.64. Teachers might allow it to pass by the way or consider how they would like to discuss.</p>","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-rec6BNePofRA4sUK9","6","2","30m General Science: Grade 6 - Lesson 12","<p>The Earthquake Zone<br>⍞ Materials: Plate Tectonics</p><p>PREP: Read Teacher Tip</p><p>➜ RECAP<br>Recall the last passage. Today we read about two scientists who studied the Ring of Fire.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.64-68 &quot;Kiyoo Wadati&quot; - &quot;in 1968.&quot;</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Ring of Natural Disasters (6:34)</p>","<p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, to enliven the lesson itself, or to add to the discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p>","https://planning.alveary.org/links.html?id=recUAcZWeTfIq4KT4&term=1&week=6","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recdzYlmMEYUa2r60","7","1","30m General Science: Grade 6 - Lesson 13","<p>Geological Dating<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall the last passage. Today we read about our last scientist who developed a method of geological dating.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.68-69 &quot;Arthur Holmes&quot; - &quot;the earth.&quot;</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: How does radiocarbon dating work? (2:11)<br>∞ Video Link: Earth's Entire History (4:38)</p>","<p>★ TEACHER NOTE<br>The age of the Earth is mentioned at the top of p.69 and in the second supplemental video. Isotope dating is introduced in the first supplemental video. Teachers might allow it to pass by the way, engage in discussion, consider alternative theories they would like to share, or skip the videos.</p>","https://planning.alveary.org/links.html?id=recUAcZWeTfIq4KT4&term=1&week=7","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recU66zh0goqQQqzs","7","2","30m General Science: Grade 6 - Lesson 14","<p>Discovering Puzzle Pieces<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall the last passage. Let's look at how all of this comes together in the theory of plate tectonics.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.71-76 &quot;In 1912&quot; - &quot;continental drift.&quot;</p><p>• Scientists are currently debating whether spreading, like Harry Hess and Marie Tharp described, is a requirement for life on a planet and whether Earth is unique in this feature. Why would they theorize that seafloor spreading would be important for life? What kind of evidence do you suppose they might look for to support or refute such a theory?</p>","<p>★ TEACHER NOTE<br>The timeline of Earth's magnetic reversal is mentioned on p.73: &quot;every three hundred thousand to seven hundred thousand years.&quot; Teachers might choose to allow it to pass by the way, to engage in discussion, or to consider alternative theories they would like to share.</p>","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recKnq9Hw2cVfKObA","8","1","30m General Science: Grade 6 - Lesson 15","<p>How it Works<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Tell me what we read last time: how is this theory coming together so far? Let's read about the different movements that can occur according to the theory.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.76-83 &quot;The Breakthrough&quot; - &quot;opposite directions.&quot;</p>","<p>★ TEACHER NOTE<br>The age of the Earth is mentioned on p.78 (&quot;Some three hundred&quot; - &quot;change is continuous.&quot;), 79 (&quot;but over thousands&quot; - &quot;amounts of movement.&quot;), and 81 (&quot;Millions of years&quot; - &quot;ten million years.&quot;). Teachers might choose to allow it to pass by the way, to engage in discussion, or to consider alternative theories they would like to share.</p>","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-rechQD9yOfoz9l2x1","8","2","30m General Science: Grade 6 - Lesson 16","<p>Natural Disasters<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Tell me about the different types of plate movement according to plate tectonic theory. Today we read about the results of that movement: earthquakes, tsunamis, and volcanoes.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.83-89 &quot;Earthquakes&quot; - &quot;plate tectonics.&quot;</p><p>• Describe earthquakes and volcanoes in terms of plate tectonic theory. You may use words, pictures, or diagrams.</p>","<p>★ TEACHER NOTE<br>The age of the Earth is mentioned on p.88: &quot;Recent studies suggest&quot; - &quot;the earth's existence.&quot; Teachers might choose to allow it to pass by the way, to engage in discussion, or to consider alternative theories they would like to share.</p>","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-rechgDheMeJr70UC4","9","1","30m General Science: Grade 6 - Lesson 17","<p>Technology<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall what you have learned about plate tectonic theory. Have you read about computer modeling being used to study weather and ocean movement? Do you think that computers could help predict tectonic movement, as well?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.90-91 &quot;Advances&quot; - &quot;geodynamic models.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recZeKFFbd3T3GGnE","9","2","30m General Science: Grade 6 - Lesson 18","<p>Planning for Plate Tectonics<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall the last passage. Can you think of ways that people's lives are affected by this understanding of plate tectonics?</p><p>➜ READ &amp; NARRATE<br>p.93-95, 98-100 &quot;In previous&quot; - &quot;structural damage.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.96-97 &quot;To predict&quot; - &quot;to evacuate.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-rec72YveB1ZhKqBzS","10","1","30m General Science: Grade 6 - Lesson 19","<p>Planetary Change<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall what you read in the last passage. Today's reading tells how plate tectonic theory affects how we study the planets.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.100-105 &quot;Plate Tectonics&quot; - &quot;might form.&quot;</p>","<p>★ TEACHER NOTE<br>The timescale of Earth's existence is mentioned on p.105: &quot;Such a process&quot; - &quot;ten million years.&quot; Teachers might choose to allow it to pass by the way, to engage in discussion, or to consider alternative theories they would like to share.</p>","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-rec5AvbrAFQVjlymD","10","2","30m General Science: Grade 6 - Lesson 20","<p>What Lies Ahead<br>⍞ Materials: Plate Tectonics</p><p>➜ RECAP<br>Recall what you read in the last passage.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.106-109 &quot;What Lies&quot; - &quot;years to come.&quot;</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Alfred Wegener (7:51)</p>","<p>★ TEACHER NOTE<br>The timescale of Earth's existence, past and present, is mentioned several times on p.106. Teachers might choose to allow it to pass by the way, to engage in discussion, or to consider alternative theories they would like to share.</p>","https://planning.alveary.org/links.html?id=recUAcZWeTfIq4KT4&term=1&week=10","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recy8RLjncaxFLmR5","11","1","30m General Science: Grade 6 - Lesson 21","<p>Catch Up<br>⍞ Materials: Plate Tectonics</p><p>PREP: Read Teacher Tip</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","<p>★ TEACHER TIP <br>When student(s) take exams next week, evaluate what they recall, but more importantly, whether plate tectonics, its effects, or how scientists arrived at the theory are more familiar or have possibly even become a particular friend! If no relational growth is observed, consider why: do they need more hands-on time, more reading support, less busyness, etc? Reach out through Contact Us, if you need help.</p>","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recemzgAyqSRwpFyv","11","2","30m General Science: Grade 6 - Lesson 22","<p>Catch Up<br>⍞ Materials: Plate Tectonics</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-rec3LPrDp3rmxkuYK","12","1","30m General Science: Grade 6 - Lesson 23","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Plate Tectonics</p>","<p>★ General Science: Grade 6 — TERM 1 EXAM QUESTIONS<br>· Plate Tectonics: Draw or diagram 3 types of plate movement and what they cause. OR Explain what is meant by the terms continental drift and seafloor spreading.</p><p>· Explain how you did one investigation in science lab this term and what you learned from it.</p>","","Exam","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recITbiNHiCIPA5zD","12","2","30m General Science: Grade 6 - Lesson 24","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Plate Tectonics</p>","<p>★ General Science: Grade 6 — TERM 1 EXAM QUESTIONS<br>· Plate Tectonics: Draw or diagram 3 types of plate movement and what they cause. OR Explain what is meant by the terms continental drift and seafloor spreading.</p><p>· Explain how you did one investigation in science lab this term and what you learned from it.</p>","","Exam","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recKM47RDe9mCxags","13","1","30m General Science: Grade 6 - Lesson 25","<p>Horrible Accident in Vermont<br>⍞ Materials: Phineas Gage</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>This is the story of a man who suffered a terrible head injury. Can you spot it in the picture on the cover?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.1-8 &quot;The most unlucky&quot; - “happened to him.”</p><p>•Throughout this course, we'll be learning about anatomy, the study of the body's structures, and physiology, the study of how they work. We organize all of the different parts into systems, even though they really all function together. Why do you think scientists would study it in smaller portions like that? Do you know of any of these systems yet?</p>","<p>★ TEACHER TIP<br>Note that the next lesson is an activity day!</p>","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recQcnzT920L7zM3o","13","2","30m General Science: Grade 6 - Lesson 26","<p>Body Systems<br>⍞ Materials: video links, paper, scissors, pencils/markers</p><p>PREP: Read Teacher Tip</p><p>➜ RECAP<br>Recall what happened to Phineas Gage. The skin is part of one system, while the brain is part of another. Do you know what systems they are each part of? Watch the video for an introduction to body systems. Listen for where the skin and brain belong. Were any other systems involved in Phineas's injury?</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Body Systems (3:33)</p><p>• Consider how incredible is the formation of our bodies. Consider how many intricate details must go right during the formation of each person. Every living being is truly a miracle!<br>• An idea that is beautifully displayed in our body systems is that &quot;form follows function.&quot; How are the forms in our bodies related to the functions we need?</p><p>➜ ACTIVITY<br>Let's represent the body systems by making a paper chain, something like in the video link. How many sides do you need to represent the systems? How will you represent each system?<br>∞ Video Link: Paper Chain People (3:16)</p>","<p>★ TEACHER NOTE<br>The reproductive system is mentioned in the lesson video (2:17-2:22). Teachers might allow it to pass by the way or decide how they would like to discuss further with students.</p><p>★ TEACHER TIP<br>Note that there is an optional activity next week using the microscope and prepared slides.</p>","https://planning.alveary.org/links.html?id=recUAcZWeTfIq4KT4&term=2&week=13","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recNNMvVReA8YuYXJ","14","1","30m General Science: Grade 6 - Lesson 27","<p>Tending to Phineas<br>⍞ Materials: Phineas Gage, optional: microscope, prepared slides</p><p>PREP: Read Teacher Tip</p><p>➜ RECAP<br>Recall the last passage. What happened to Phineas? What do you think will happen next?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.8-15 &quot;That's how Dr.&quot; - &quot;postsurgical infections.&quot;</p><p>• Is this what you expected to happen to Phineas? What most surprised you? What would it have been like if you were one of Phineas's friends on the scene?</p><p>➜ SUPPLEMENTAL<br>If you have a microscope and prepared slides, this is a great time to compare some of the many different types of cells at work in the body. Compare the dog tissue slides and the blood smear. Describe the different forms/shapes that you see. Consider how the shapes might contribute to different functions.</p>","<p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, to enliven the lesson itself, or to add to the discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p><p>★ TEACHER TIP<br>Note that the next lesson is an additional day to work on Lab 1!</p>","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recX5vR8CHUYBeGnN","14","2","30m General Science: Grade 6 - Lesson 28","<p>Lab: Classification <br>⍞ Materials: Grade 6 Lab Book and materials listed within</p><p>➜ ACTIVITY<br>Use this time to continue work on Lab 1.</p>","","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-recgYsDN8wmWf8WPs","15","1","30m General Science: Grade 6 - Lesson 29","<p>Wounds<br>⍞ Materials: video links</p><p>➜ RECAP<br>Where did we leave Phineas? He's got this terrible wound right now. Let's find out more about what doctors knew and didn't know in 1848, and what needs to happen for his wounds to heal. Students don't need to remember the scientific terms in the video. Focus on the meaning of the ideas.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Germ Theory (4:39)</p><p>• Did you notice how Koch learned about and tested his ideas about cholera? He used what scientists call an animal model, a mouse. The model stands in for a human so that scientists can learn more about how the human body works without harming a human. What do you think are the pros and cons of this? (e.g., good that humans aren't harmed, but not fair to animals; good if the model fits, but bad if we don't realize its limitations; etc.)<br>• If doctors didn't yet know about germs in 1848, how was Phineas going to heal?</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: How Wounds Heal (4:01)</p><p>• Which body systems did you notice working together to heal the wound in the video?</p>","","https://planning.alveary.org/links.html?id=recUAcZWeTfIq4KT4&term=2&week=15","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-rec0J9CAoQqDi4sIg","15","2","30m General Science: Grade 6 - Lesson 30","<p>Phineas Lives<br>⍞ Materials: Phineas Gage</p><p>➜ RECAP<br>Remind me where we left Phineas. Let's find out what happens next.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.15-22 &quot;None of this&quot; - &quot;make arrangements.&quot;</p><p>• Dr. Harlow said, &quot;I dressed him. God healed him.&quot; Why did he say this? What does this tell us about Dr. Harlow?<br>• Is Phineas healed? What does it mean to be healed? Is healing the same as being cured and exactly as you were before? What happened when Jesus healed? Is this the same or different from what is meant by Phineas's doctors?</p>","","","Lesson","0","FALSE"
"alveary-recUAcZWeTfIq4KT4","alveary-rec353l4bGs7uXjE6","16","1","30m General Science: Grade 6 - Lesson 31","<p>How We Know What We Know<br>⍞ Materials: video links</p><p>➜ RECAP<br>Phineas Gage lives, but he still has a problem. Tell me about that. Part of his problem is that doctors know so little about how the brain works. Even for basic, everyday tasks, our bodies are performing an amazing dance. Let's watch the video for just one example.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Oxygen's Surprisingly Complex Journey (5:10)</p><p>• How many systems were working together in the video? How do you think we figured all of that out? Let's find out how William Harvey figured out that blood circulates.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Ceaseless Motion (to 4:54)</p><p>• Did you notice how William Harvey finally figured it out? (He used models and performed experiments.)<br>• Phineas is what we call a case study, a unique opportunity to learn through an example. Scientists will learn a lot about the brain by observing him, but they are limited. Discuss why they are limited. (e.g., they cannot experiment, they cannot understand the complexity of what has happened to him) How do you suppose models help to bring understanding?</p>","","https://planning.alveary.org/links.html?id=recUAcZWeTfIq4KT4&term=2&week=16","Lesson","0","FALSE"
