"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recUMjD1jrqKAQh0D","alveary-rec9g0RnxVnbUlNOw","1","1","40m Civics/Ethics: Grade 12 - Lesson 1","<p>⍞ Materials: Citizenship Without Illusions, journal or notebook, Bible</p><p>➜ INTRO<br>_Citizenship Without Illusions_ provides the reader with insightful ways to participate in the cultural and political landscape without setting aside one’s spiritual convictions to do so. The author addresses numerous topics, including voting, community engagement, working with individuals with different political ideologies, introduces why global concerns have a place in local and national politics, and explains how the local church has an important role in equipping individuals to be good citizens. The author grounds his approach in the reality that Christians are to love God with their heart, soul, mind, and strength, which results in loving their neighbor as themselves.</p><p>➜ READ<br>Ch.1 p.1-12, and review the biblical passages referenced.</p><p>➜ WRITTEN NARRATION<br>Write a narration that describes a few of the communities that you belong to. (Examples of these communities would be church, homeschool co-op, sports team, etc.) Which of these communities provides you with the greatest sense of belonging? Which of these communities emphasizes the importance of citizenship?</p><p>➜ VIEW<br>∞ Video Link: American Democracy</p>","","https://planning.alveary.org/links.html?id=recUMjD1jrqKAQh0D&term=1&week=1","Lesson","0","FALSE"
"alveary-recUMjD1jrqKAQh0D","alveary-recRzJoe62qGAI8DD","2","1","40m Civics/Ethics: Grade 12 - Lesson 2","<p>⍞ Materials: Citizenship Without Illusions, journal or notebook, Bible</p><p>➜ READ<br>Ch.2 p.13-29, and review the biblical passages referenced.</p><p>➜ REFLECT<br>Reflecting on the communities you identified last week, determine which communities align with a sacred/secular understanding of cultural engagement and which ones align with a Christian worldview understanding of cultural engagement.</p>","","","Lesson","0","FALSE"
"alveary-recUMjD1jrqKAQh0D","alveary-rec2gy110AuAGK066","3","1","40m Civics/Ethics: Grade 12 - Lesson 3","<p>⍞ Materials: Citizenship Without Illusions, journal or notebook, Bible</p><p>➜ READ<br>Ch.3 p.30-40 &quot;in chapter six,&quot; and review the biblical passages referenced.</p><p>➜ WRITTEN NARRATION<br>In light of the reading, narrate what it means to be a citizen. Identify someone to discuss the importance of **_thinking local _**as a citizen.</p>","","","Lesson","0","FALSE"
"alveary-recUMjD1jrqKAQh0D","alveary-recNJQoCRS30bNRur","4","1","40m Civics/Ethics: Grade 12 - Lesson 4","<p>⍞ Materials: Citizenship Without Illusions, journal or notebook, Bible</p><p>➜ READ<br>Ch.3 p.40 (Responding When Called) - p.49, and review the biblical passages referenced.</p><p>➜ WRITE &amp; REFLECT<br>Write a letter to a friend living in a country that discourages healthy citizenry. Reflecting on the reading for this lesson, how would you encourage the person?</p>","","","Lesson","0","FALSE"
"alveary-recUMjD1jrqKAQh0D","alveary-recVlfqLFe1i7DYog","5","1","40m Civics/Ethics: Grade 12 - Lesson 5","<p>⍞ Materials: Citizenship Without Illusions, journal or notebook, Bible</p><p>➜ READ<br>Ch.4 p.50-62, and review the biblical passages referenced.</p><p>➜ WRITE<br>Provide a written narration of the four proposed principles suggested by the author to navigate injustice and civil disobedience. What additional principles would you add?</p><p>➜ VIEW<br>∞ Video Link: What Does Separation of Church and State Mean?</p>","","https://planning.alveary.org/links.html?id=recUMjD1jrqKAQh0D&term=1&week=5","Lesson","0","FALSE"
"alveary-recUMjD1jrqKAQh0D","alveary-recgGbvtkPmUxrbQO","6","1","40m Civics/Ethics: Grade 12 - Lesson 6","<p>⍞ Materials: Citizenship Without Illusions, journal or notebook, Bible</p><p>➜ READ<br>Ch.5 p.63-72 &quot;aggregation of local interests,&quot; and review the biblical passages referenced.</p><p>➜ EXPLAIN<br>Explain why voting is important for a healthy citizenry. Identify something that stood out to you from the reading.</p><p>➜ VIEW<br>∞ Video Link: Rights and Responsibilities</p>","","https://planning.alveary.org/links.html?id=recUMjD1jrqKAQh0D&term=1&week=6","Lesson","0","FALSE"
"alveary-recUMjD1jrqKAQh0D","alveary-recNfO6YlRFyp2dbp","7","1","40m Civics/Ethics: Grade 12 - Lesson 7","<p>⍞ Materials: Citizenship Without Illusions, journal or notebook, Bible</p><p>➜ READ<br>Ch.5 p.72 (Making Every Vote Count) - p.86, and review the biblical passages referenced.</p><p>➜ EXPLAIN<br>How would you explain the election process in the United States? How should a person's religious views inform their understanding of citizenship?</p>","","","Lesson","0","FALSE"
"alveary-recUMjD1jrqKAQh0D","alveary-recqFQbBmKuYqlwgF","8","1","40m Civics/Ethics: Grade 12 - Lesson 8","<p>⍞ Materials: Citizenship Without Illusions, journal or notebook, Bible</p><p>➜ READ<br>Ch.6 p.87-105, and review the biblical passages referenced.</p><p>➜ REFLECT &amp; LIST<br>Reflect on how familiar you are with your neighbors and with your local government officials. Make a list of action steps that would enable you to become more involved relationally and politically.</p>","","","Lesson","0","FALSE"
"alveary-recUMjD1jrqKAQh0D","alveary-recK7U9TIoNdYCwnr","9","1","40m Civics/Ethics: Grade 12 - Lesson 9","<p>⍞ Materials: Citizenship Without Illusions, journal or notebook, Bible</p><p>➜ READ<br>Ch.7 p.106-125, and review the biblical passages referenced.</p><p>➜ DESCRIBE<br>Describe the differences between progressives and conservatives. Why is it important for both groups to find common ground?</p>","","","Lesson","0","FALSE"
"alveary-recUMjD1jrqKAQh0D","alveary-rec66jELYpm9tNMNW","10","1","40m Civics/Ethics: Grade 12 - Lesson 10","<p>⍞ Materials: Citizenship Without Illusions, journal or notebook, Bible</p><p>➜ READ<br>Ch.8 p.126-134, and review the biblical passages referenced.</p><p>➜ EXPLAIN<br>Explain how the gospel informs both a local and global commitment to being a good citizen. Discuss how the gospel can prevent attachments to political ideologies that can hinder local and global citizenship.</p>","","","Lesson","0","FALSE"
