"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recUTvWjiMV4SxFLw","alveary-recNfIskzfVL7380T","1","1","30m Plutarch: Beginner Track - Lesson 1","<p>⍞ Materials: The Plutarch Primer: Publicola</p><p>PREP: You may want to read a retelling so you can be familiar with the story. This is not to be read to the students. <br>∞ Link: Retelling of Publicola from Our Young Folks' Plutarch<br>• Read about Publicola and the intro material, p.11-14 <br>• Pre-read the lesson so you are comfortable reading aloud.</p><p>➜ INTRO<br>1\. Plutarch was born in Greece a few years after the death of Christ in the year 45 AD and died around 120 AD. He said that his purpose was to write lives, not histories. A life was a portrait of a man's inner self, whereas a history was an account of men's actions and fortunes without focusing on what the people were like who produced them. Plutarch's Lives is a book of patterns, models on which men may mold themselves, and be inspired to do so. Greatness is Plutarch's theme, not great fortune—he loves to depict a hero in adversity. (From Introduction to Plutarch by Edith Hamilton, p.xv-xvii.)<br>2\. We are reading about a Roman man named Publicola who lived around 550 BC. His actual name was Publius Valerius, but his nickname became Publicola, which means a man of the people or loved by the people. Listen for the actions that caused him to be given that nickname. In the book, he will be referred to as Valerius.<br>3\. When this account begins, Rome is ruled by King Tarquin. But when his son's outrageous behavior caused a public scandal, the king was removed from the throne. <br>4\. Let's look at the characters. (See right-hand column. You may want to write their names on a whiteboard.)<br>5\. We will read about how the Romans went from a monarchy (king) to a republic with consuls as the main officials of the government.</p><p>➜ LOCATE<br>∞ Map Link: Map of the Regions of Italy<br>At this time, there was no unified country called Italy. It was made up of many city-states or regions. Find the region of Rome and the Sabini. What do you think the people from those areas are called? (Romans and Sabines) These two areas had been at war with each other.</p><p>➜ READ &amp; NARRATE<br>Lesson 1, p.17-18 &quot;Such was Solon&quot; - &quot;consul with Brutus.&quot;</p><p>➜ DISCUSS<br>Why do you think Valerius thought he would become the consul with Brutus?</p><p>CHARACTERS<br>Valerius aka Publicola</p><p>Tarquin-last king of Rome</p><p>Brutus-joined with Valerius to head up revolt against the king, considered founder of Roman Republic</p><p>DEFINITIONS<br>republic- A form of government in which the people elect, or choose, their leaders</p><p>consul-the chief civil and military official of the Roman Republic. Two were elected yearly and they presided over meetings of the senate and assemblies of the whole people and put into effect the decrees they enacted. In war they took command of the army.</p>","<p>★ TEACHER TIP<br>You may want to write the definitions of the vocabulary words in pencil next to the words or in the margin so you can say the definition right after you read the word in the text. You may also want to write a few of the words on a whiteboard with a definition or synonym.</p>","https://planning.alveary.org/links.html?id=recUTvWjiMV4SxFLw&term=1&week=1","Lesson","0","FALSE"
"alveary-recUTvWjiMV4SxFLw","alveary-recFPSnW2HHHJqSHQ","2","1","30m Plutarch: Beginner Track - Lesson 2","<p>⍞ Materials: The Plutarch Primer: Publicola</p><p>PREP: Review vocabulary and pre-read the lesson.</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ INTRO<br>What might be hard for people to change from a monarchy to a republic, from a king to a government where people elect their leaders? We read last time that Valerius thought that he might become one of the consuls. Let's find out what happens. (Set up the scene by reviewing characters and going over vocabulary words. See Teacher's Notes.) <br>You may want to write the names on a whiteboard.</p><p>➜ READ &amp; NARRATE<br>Lesson 1 p.18-19 &quot;Howbeit this&quot; - &quot;sincerity of his oath.&quot;</p><p>➜ DISCUSS<br>• How does Valerius show his loyalty to the republic and not the former king, even though he wasn't chosen as consul?<br>• What does that say about his character?</p><p>CHARACTERS<br>Tarquinius Collatinus-Lucretia's husband</p><p>DEFINITIONS<br>solicitations-to urge something, such as one's cause strongly (p.18)</p><p>∞ Article: From Cicero to Trump, they're all in Plutarch's Lives</p><p>∞ Article: Teaching Plutarch in the Age of Hollywood</p>","<p>★ TEACHER TIP<br>Why is Plutarch relevant today and why is it included as part of Citizenship? These links can help answer those questions. You may wish to share pieces of what you learn with your students.</p>","https://planning.alveary.org/links.html?id=recUTvWjiMV4SxFLw&term=1&week=2","Lesson","0","FALSE"
"alveary-recUTvWjiMV4SxFLw","alveary-recwdTYm9E8QI9vHh","3","1","30m Plutarch: Beginner Track - Lesson 3","<p>⍞ Materials: The Plutarch Primer: Publicola</p><p>PREP: Read the introduction, review vocabulary, and pre-read the lesson. You may want to write names and select vocab words on a whiteboard.</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ INTRO<br>Read aloud the intro in the book.  Why might people be persuaded to help their king or let him come back? (Set up scene by reviewing any characters and explaining a couple of vocabulary words.)</p><p>➜ READ &amp; NARRATE<br>Lesson 2, p.21-22 &quot;For there came&quot; - &quot;out after them.&quot;</p><p>➜ DISCUSS<br>Why do you think Valerius did not want the ambassadors to talk to the people of Rome?</p><p>CHARACTERS <br>Collatinus- In this section, he is only referred to by this name. He is Tarquinius Collatinus, the co-consul and husband of Lucretia.</p><p>DEFINITIONS<br>ambassador- representative or messenger (p.21)</p><p>subsidies-gift of money (p.22)</p><p>suffer- to allow (p.22)</p><p>tyranny/tyrants-government in which absolute power is found in a single ruler<br> (p.22)</p>","","","Lesson","0","FALSE"
"alveary-recUTvWjiMV4SxFLw","alveary-recbYA2vifzfZ1ghd","4","1","30m Plutarch: Beginner Track - Lesson 4","<p>⍞ Materials: The Plutarch Primer: Publicola</p><p>PREP: Review vocabulary and pre-read the lesson. You may want to write names and select vocab words on a whiteboard.</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ INTRO<br>We will be introduced to two families that were influential in Rome—the Aquillians and Vitellians. (Write these names on a whiteboard.) The ambassadors of King Tarquin were trying to win them over. The Vitellians were related to Brutus and tried to win over Brutus' sons. We will read what will happen.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Lesson 2 p.22-23 &quot;The questions, however&quot; - &quot;at the consultation.&quot;</p><p>• Why were Brutus' sons persuaded to kill the consuls?</p><p>CHARACTERS <br>Collatinus- Tarquinius Collatinus, the co-consul and husband of Lucretia.</p><p>Vindicius- a slave who overhears an important conversation</p><p>DEFINITIONS<br>entrails-internal parts (p.23)</p>","<p>★ TEACHER TIP<br> Plutarch's writing can be confusing at times because of his overuse of pronouns. Sometimes it gets confusing to determine what antecedent the pronoun refers to. It might be helpful in those places to replace the pronouns with the actual nouns.</p>","","Lesson","0","FALSE"
"alveary-recUTvWjiMV4SxFLw","alveary-recUZdV8ebqpYwLz9","5","1","30m Plutarch: Beginner Track - Lesson 5","<p>⍞ Materials: The Plutarch Primer: Publicola</p><p>PREP: Read the introduction, review vocabulary, and pre-read the lesson. You may want to write names and select vocab words on a whiteboard.</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ INTRO<br>Do you remember who overheard the plot to kill the consuls? (The slave Vindicius). What will he do with that information? We will read about what he decides to do and what happens to the conspirators.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Lesson 3 p.26 &quot;Upon their departure&quot; - &quot;into the Forum.&quot;</p><p>• Why did Vindicius decide to tell Valerius first?</p><p>CHARACTERS <br>Vindicius-slave<br>Marcus Valerius- Valerius's brother</p><p>DEFINITIONS<br>inducement- a motive or consideration that leads one to action (p.26)</p>","","","Lesson","0","FALSE"
"alveary-recUTvWjiMV4SxFLw","alveary-recd2GioVPOrvZbCT","6","1","30m Plutarch: Beginner Track - Lesson 6","<p>⍞ Materials: The Plutarch Primer: Publicola</p><p>PREP: Review vocabulary and pre-read the lesson. You may want to write names and select vocab words on a whiteboard.</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ INTRO<br>1\. At the end of this section, Plutarch mentions Romulus, who was considered the founder of Rome. Let's watch this video that tells about the legend of the twin boys, Romulus and Remus. <br>∞ Video Link: The Legend of the Founding of Rome<br>2\. Set up the scene by explaining any new characters or a couple of vocabulary words. You may want to write the names on a whiteboard. <br>3\. Review any vocabulary in the right-hand column.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Lesson 3 p.26-27 &quot;There the consuls&quot; - &quot;foundation of the city.&quot;</p><p>• Why do you think Plutarch said that &quot;Brutus did a greater work in the establishment of the government than Romulus did in the foundation of the city&quot;?</p><p>CHARACTERS <br>Titus &amp; Tiberius-Brutus's sons</p><p>DEFINITIONS<br>lictors-the bodyguards of the consuls, made up of twelve men. Each lictor carried a bundle of sticks (rods) that also contained an axe (p.27)</p><p>countenance- expression (p.27)</p>","","https://planning.alveary.org/links.html?id=recUTvWjiMV4SxFLw&term=1&week=6","Lesson","0","FALSE"
"alveary-recUTvWjiMV4SxFLw","alveary-recfbeWlppCSqwRwg","7","1","30m Plutarch: Beginner Track - Lesson 7","<p>⍞ Materials: The Plutarch Primer: Publicola</p><p>PREP: Read the introduction, review vocabulary, and pre-read the lesson. You may want to write names and select vocab words on a whiteboard.</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ INTRO<br>Read aloud the first paragraph of the introduction from the book. (Set up scene by reviewing the characters or a couple of vocabulary words. You may want to write the names on a whiteboard.)</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Lesson 4 p.29-30 &quot;Upon Brutus's departure&quot; - &quot;stricken off.&quot;</p><p>• Why did Valerius care about the slave over the Aquillians? What does that say about his character?</p><p>CHARACTERS <br>Vindicius-slave</p><p>Brutus-co-consul</p><p>Collantinus-co-consul</p><p>DEFINITIONS<br>harboured-to take shelter or hide (p.30)</p>","","","Lesson","0","FALSE"
"alveary-recUTvWjiMV4SxFLw","alveary-recJiqObri7mBIGTw","8","1","30m Plutarch: Beginner Track - Lesson 8","<p>⍞ Materials: The Plutarch Primer: Publicola</p><p>PREP: Review vocabulary and pre-read the lesson. You may want to write names and select vocab words on a whiteboard.</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ INTRO<br>Set up the scene by reviewing characters or vocabulary words. You may want to write the names on a whiteboard.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Lesson 4 p.30-31 &quot;Now the consul&quot; - &quot;Holy Island in Rome.&quot;</p><p>• How did Valerius's zeal for Rome's republic finally pay off?</p><p>CHARACTERS <br>Collantinus-co-consul</p><p>Vindicius-slave became a freedman</p><p>Valerius-becomes co-consul</p><p>DEFINITIONS<br>zeal- eagerness and passionate interest in pursuit of something (p.30)</p>","","","Lesson","0","FALSE"
"alveary-recUTvWjiMV4SxFLw","alveary-rec3POHs8C9PYBaKv","9","1","30m Plutarch: Beginner Track - Lesson 9","<p>⍞ Materials: The Plutarch Primer: Publicola</p><p>PREP: Read the introduction, review vocabulary, and pre-read the lesson. You may want to write names and select vocab words on a whiteboard.</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ INTRO<br>Read the intro in the book aloud. (Set up scene by explaining a couple of vocabulary words. You may want to write the names on a whiteboard.)</p><p>➜ LOCATE<br>∞ Map Link: Map of Regions of Italy<br>As mentioned before, there were many different people groups that made up Italy at this time. We will read about the Tuscans. They lived in a part of the region that is labeled &quot;Etrurians.&quot; Find that on the map.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Lesson 5 p.33-34 &quot;Tarquinius then being&quot; - &quot;it did afterwards.&quot;</p><p>• What do you think that &quot;divine announcement&quot; could have been? (See note in book on p.34)</p><p>➜ VIEW<br>Look at this picture that depicts a Roman triumph. A Roman Triumph was a spectacular celebration parade held in the ancient city of Rome for a military commander who had won an important victory on the battlefield. Plutarch says that this victory over the Tuscans marked the first Roman Triumph. <br>∞ Image Link: Image of a Roman Triumph</p><p>DEFINITIONS<br>enmity- mutual hatred or ill will (p.33)</p><p>adversaries-enemies or opponents (p.33)</p><p>ILLUSTRATE- Draw a picture of the Roman Triumph using watercolors or pastels.</p>","","https://planning.alveary.org/links.html?id=recUTvWjiMV4SxFLw&term=1&week=9","Lesson","0","FALSE"
"alveary-recUTvWjiMV4SxFLw","alveary-recpZe8MPbWGW6vfG","10","1","30m Plutarch: Beginner Track - Lesson 10","<p>⍞ Materials: The Plutarch Primer: Publicola</p><p>PREP: Read the introduction, review vocabulary, and pre-read the lesson. You may want to write names and select vocab words on a whiteboard.</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ INTRO<br>Now that Brutus has died, Valerius is the only consul until a new one is elected. The people thought that Valerius was acting too much like a king in various ways. Let's read to find out how Valerius responds to these criticisms.</p><p>➜ READ, NARRATE, <br>Lesson 6 p.36-37 &quot;The people applauded&quot; - &quot;of Vica Pota.&quot;</p><p>➜ NARRATE<br>This is a good section to act out the narration</p><p>➜ DISCUSS<br>It says that the people &quot;expressed their wonder and their respect for Valerius's magnanimity.&quot; Magnanimity means generosity of spirit. To be magnanimous is to be noble and to have a greatness of mind and heart. This is how good leaders should be characterized. Charlotte Mason would say that good citizens should be magnanimous people. How did Valerius show magnanimity in this reading?</p>","","","Lesson","0","FALSE"
