"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recVKX5urW9nTXPjR","Needs Updated Import","alveary-recw6t0ltvU4dFLSD","1","1","40m Canadian History: Grades 11-12 - Lesson 1","<p>Introduction, David Thompson<br>⍞ Materials: A History of Canada in Ten Maps</p><p>✂ GATHER SUPPLIES: You will need a notebook for Canadian history where you will be writing and drawing. We recommend dot grid and blank notebooks, but any kind will do.</p><p>PREP: Print a copy of the blank map of Canada without borders. You can use this together with your notebook to mark places and chart routes throughout this course.<br>∞ Map Link: Printable Map of Canada without Borders</p><p>➜ INTRO<br>In this course, we will learn about the history of Canada between 1800-1900. The five books are intended to work together to give a chronological overview of this historical period. Two of the books - The History of Canada in Ten Maps and The Making of Canada - we are starting partway through, since the first halves were read during Rotation 2. If you did not read them during Rotation 2, you may wish to read the first halves on your own time; however, you can also start partway through without missing content for this course.<br>At the beginning of this century, Canada was a collection of separate British colonies and was vulnerable to invasion by the newly independent nation of the United States to the south. Yet by the end of the century, Canada was a self-governing country of seven provinces and two territories, with a transcontinental railway that stretched from coast to coast. This class will explore many of the changes that took place during this time.</p><p>➜ DISCUSS<br>What do you remember about Canadian History before 1800? What do you already know about the period between 1800-1900? Jot down a few notes for yourself of any people, places, or events that you think might be relevant. Also, write down any questions you might have about this period of Canadian history.</p><p>➜ READ<br>1\. The Canadian Encyclopedia<br>As you work through the course, you should find time to fill out a History Chart for the years 1800-1900, or continue to update your Book of Centuries if you have one. The Canadian Encyclopedia is an excellent source for research and information to add to your notebooking.<br>∞ Article Link: David Thompson Biography</p><p>2\. The History of Canada in Ten Maps<br>p.227-236 &quot;In the dead of winter&quot; - &quot;until the twentieth century.&quot;</p><p>➜ NARRATE<br>Narrate in a way that helps you interact with the ideas in the reading. For some, that might be narrating orally or silently to yourself, in writing, by drawing a map, a diagram or a picture, writing a diary/letter from the point of view of one of the characters, describing what happened, or writing a bulleted list of points and questions. For others, it might be helpful to make marks in the book as you read and then narrate as you look at what you marked in the chapter. Experiment and see what works well for you, and you can vary your approach week to week. Also, strive to make connections to ideas, events, and people you have come across in previous readings you have done.</p><p>➜ DISCUSS<br>These questions are for further discussion, written response, or reflection.<br>• What made David Thompson such a successful cartographer and explorer? How much was his own skill, and how much was it his willingness to heed and learn from indigenous assistance, knowledge, and practices?<br>• Why was David Thompson's work so important for fur trading companies and the government?</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• EXTRA HELPING<br>If you would like to watch a linear, narrative recounting of the historical events of 1800-1900 to supplement your studies this term, look for episodes of CBC's Canada: A People's History (2000-2001) at your local library or online. The following episodes cover the period of our history rotation this year:<br>Episode 5: A Question of Loyalties (1775-1815)<br>Episode 6: The Pathfinders (1670-1850)<br>Episode 7: Rebellion and Reform (1815-1850)<br>Episode 8: The Great Enterprise (1850-1867)<br>Episode 9: From Sea to Sea (1867-1873)<br>Episode 10: Taking the West (1873-1896)<br>∞ Video Link: Canada: A People's History</p>","","https://planning.alveary.org/links.html?id=recVKX5urW9nTXPjR&term=1&week=1","Lesson","0","FALSE"
"alveary-recVKX5urW9nTXPjR","Needs Updated Import","alveary-recaxCgfqSNDV9IX4","1","2","30m Canadian History: Grades 11-12 - Lesson 2","<p>David Thompson, cont.<br>⍞ Materials: A History of Canada in Ten Maps</p><p>➜ RECAP<br>Where did you leave David Thompson from your reading last time?</p><p>➜ READ<br>p.236-245 &quot;As Thompson and his companions&quot; - &quot;cartographer virtually without equal.&quot;</p><p>➜ MAP VIEW<br>∞ Map Link: David Thompson Map of the Northwest (1814)</p><p>➜ DISCUSS<br>• Why do you think Shoalts titled the chapter &quot;David Thompson's Demons&quot;? How did fear and superstition influence exploration in the Canadian West? Did these stories serve a purpose beyond instilling fear?<br>• What does today's reading reveal about Thompson's character? How was he able to accomplish what he did?</p><p>➜ ANNOTATE<br>As your ability to read higher-level books in high school grows, it is helpful to learn new ways to interact with the text while you are reading to help you grasp what the author is saying. Non-fiction books are usually good candidates for annotating while you read. Maybe you want to underline the main ideas or interesting points. Maybe you want to put a question mark in the margin if something is unclear. Think about how to help yourself engage with the information in the book to make it your own. Experiment with different ways to do that. Some students do best by recording themselves talking about the reading, while others may need to discuss the material with another person. Whatever you do, your annotations should help you to further solidify the main points or ideas in your mind. Write down any questions, comments, or connections that arise from your review of your annotations after reading. Try different ways and discuss your observations about what works well and what doesn't with your teacher.<br>Explore ways that might be most helpful for you as you read each week. Advances in technology make many more annotation options available to serve us and our various ways of processing. Some might do great with a pencil and a book, while others might benefit from colors, Post-its, or speech-to-text options.<br>Linked are two documents to give you some more ideas for what it means to annotate a text. Charlotte Mason talked about ways to use books in School Education on p.180-181 if you are interested in reading her words on the topic, too.<br>Today's reading and the next are shorter to allow you time to read the documents and practice annotating. For today, if you are new to this, start simply by putting a mark in the margin or a Post-it flag when you come across a main idea or an important point the author is making. For others who have been doing this already, see what new ways you might want to experiment with this term.</p><p>∞ Article Link: How to Mark a Book<br>∞ PDF Link: Not One Way to Mark a Book<br>∞ Book Link: School Education p.180</p>","","https://planning.alveary.org/links.html?id=recVKX5urW9nTXPjR&term=1&week=1","Lesson","0","FALSE"
"alveary-recVKX5urW9nTXPjR","Needs Updated Import","alveary-recRtMZ3Q4i90RAdy","2","1","40m Canadian History: Grades 11-12 - Lesson 3","<p>The War of 1812: Charles de Salaberry<br>⍞ Materials: The Making of Canada</p><p>➜ INTRO<br>The Making of Canada is a collection of biographical vignettes that will introduce you to largely forgotten historical figures who were nevertheless vital to significant events in Canada's history. You will read this book alongside A History of Canada in Ten Maps to build a chronological view of this historical period.</p><p>➜ READ &amp; ANNOTATE<br>p.148-158 &quot;Almost thirty years after&quot; - &quot;what they achieved at Châteauguay.&quot;</p><p>➜ NARRATE<br>Choose the best way for you to narrate what you read.</p><p>➜ DISCUSS<br>• The War of 1812 is usually synonymous with the battles near Upper Canada that occurred in 1812, especially the Battle of Queenston Heights where Sir Isaac Brock was killed. Why was Lower Canada a more strategically critical region to protect, according to Koabel? And why might French Canadians have been hesitant at first to help defend it? What changed?<br>• Why was the Battle at Châteauguay a distinction Canadian episode of the War of 1812? What are some of the possible reasons why it is not commemorated by English-speaking or French-speaking Canadians today?</p>","<p>★ TEACHER NOTE<br>To learn more about the War of 1812 (which lasted until 1815), visit this virtual exhibit at the Canadian War Museum to learn about the war from four different perspectives.<br>∞ Link: 1812 Virtual Exhibition</p>","https://planning.alveary.org/links.html?id=recVKX5urW9nTXPjR&term=1&week=2","Lesson","0","FALSE"
"alveary-recVKX5urW9nTXPjR","Needs Updated Import","alveary-rec1ZSoVhWL3gzWHu","2","2","30m Canadian History: Grades 11-12 - Lesson 4","<p>The War of 1812: The Siege of Fort Erie<br>⍞ Materials: The History of Canada in Ten Maps</p><p>➜ RECAP<br>What do you recall about the causes of the War of 1812 from the last reading?</p><p>➜ READ &amp; ANNOTATE<br>p.246-260 &quot;Explorers might make&quot; - &quot;this present business.&quot;</p><p>➜ NARRATE<br>Choose the best way for you to narrate what you read.</p><p>➜ MAP WORK<br>Cross-reference the battles mentioned in today's reading with a map of the major events in the Niagara region during the War of 1812.<br>∞ Map Link: The War of 1812 Major Canada/US Theatres</p><p>➜ DISCUSS<br>• How does Drummond's leadership compare with Salaberry from the last reading?<br>• Why was Fort Erie a strategically important location? <br>• How were the Canadians particularly skilled at this type of warfare?</p>","","https://planning.alveary.org/links.html?id=recVKX5urW9nTXPjR&term=1&week=2","Lesson","0","FALSE"
"alveary-recVKX5urW9nTXPjR","Needs Updated Import","alveary-recPTsgTuWp3S4HcT","3","1","40m Canadian History: Grades 11-12 - Lesson 5","<p>The War of 1812: The Siege of Fort Erie, cont.<br>⍞ Materials: The History of Canada in Ten Maps</p><p>➜ RECAP<br>What do you recall about General Gordon Drummond's preparations to attack Fort Erie from the last reading? What do you recall about his relative, Lieutenant Colonel William Drummond?</p><p>➜ READ &amp; ANNOTATE<br>p.260-272 &quot;As the sun sank&quot; - &quot;forged at a terrible cost.&quot;</p><p>➜ MAP WORK<br>Continue to consult this map as a reference if needed.<br>∞ Map Link: The War of 1812 Major Canada/US Theatres</p><p>➜ NARRATE<br>Choose the best way for you to narrate what you read.</p><p>➜ VIEW<br>∞ Link: Soldier Profile: Lieutenant Colonel William Drummond 104th Foot Regiment</p><p>• This is an earlier map by Romilly that was included in a letter to General Drummond, several months after the Siege, in November 1814.<br>∞ Map Link: Fort Erie as left by the Enemy</p><p>➜ DISCUSS<br>• Why didn't the British army's failure on August 15th result in the American's gaining access to Upper Canada? What held them back? <br>• What do you think might have happened had Napoleon not been defeated or the American capital not been captured?<br>• Why did the British not insist that the American territory under its control (including parts of Maine) to be added to British North America?</p>","","https://planning.alveary.org/links.html?id=recVKX5urW9nTXPjR&term=1&week=3","Lesson","0","FALSE"
"alveary-recVKX5urW9nTXPjR","Needs Updated Import","alveary-recYSKWVon43kQeu9","3","2","30m Canadian History: Grades 11-12 - Lesson 6","<p>The Red River Colony and the Pemmican Wars: Cuthbert Grant<br>⍞ Materials: The Making of Canada</p><p>➜ RECAP<br>What do you recall about the end of the War of 1812?</p><p>➜ READ &amp; ANNOTATE<br>p.159-168 &quot;As American and British diplomats gathered&quot; - &quot;Red River Colony as a threat.&quot;</p><p>➜ MAP WORK<br>View a map of the land that was granted to Lord Selkirk.<br>∞ Map Link: Selkirk's Land Grant</p><p>➜ NARRATE<br>Choose the best way for you to narrate what you read.</p><p>➜ VIEW<br>Learn more about the origins of the Red River Colony (also called the Selkirk Settlement).<br>∞ Video Link: The Selkirk Settlers; Thomas Douglas, 5th Earl of Selkirk</p><p>➜ DISCUSS<br>• Describe the various groups associated with the Red River settlement. Which ones are allies? Where do you anticipate there will be conflict between them?</p>","","https://planning.alveary.org/links.html?id=recVKX5urW9nTXPjR&term=1&week=3","Lesson","0","FALSE"
"alveary-recVKX5urW9nTXPjR","Needs Updated Import","alveary-recMEbKrTbFeC0mg4","4","1","40m Canadian History: Grades 11-12 - Lesson 7","<p>The Red River Colony and the Pemmican Wars: Cuthbert Grant, cont.<br>⍞ Materials: The Making of Canada</p><p>➜ RECAP<br>What do you recall about the founding of the Red River Colony?</p><p>➜ READ &amp; ANNOTATE<br>p.168-178 &quot;While the North West Company&quot; - &quot;their homeland was only beginning.&quot;</p><p>➜ NARRATE<br>Choose the best way for you to narrate what you read.</p><p>➜ DISCUSS<br>• The violent confrontation on June 19, 1816 has been called the &quot;Seven Oaks Massacre,&quot; the &quot;Battle of Seven Oaks,&quot; and the &quot;Victory at the Frog Plain.&quot; How does the naming an event shape our interpretation of it?<br>• Why do you think the author chose to focus on Cuthbert Grant in telling this story from Canadian History?<br>• How did the competition between the rival fur trading companies lead to tensions in the Red River colony? And how did these tensions shape Métis identity?</p>","","","Lesson","0","FALSE"
"alveary-recVKX5urW9nTXPjR","Needs Updated Import","alveary-recPyMnLmPHGcfgUD","4","2","30m Canadian History: Grades 11-12 - Lesson 8","<p>Mapping the Arctic Frontier<br>⍞ Materials: The History of Canada in Ten Maps</p><p>➜ RECAP<br>What do you recall about the origins of the Pemmican Wars?</p><p>➜ INTRO<br>What do you know already about the quest to find the Northwest Passage? Which other explorers had attempted it? Why was it a desirable route to discover?</p><p>➜ READ &amp; ANNOTATE<br>p.273-285 &quot;Dr. John Richardson&quot; - &quot;an almost Herculean effort.&quot;</p><p>➜ NARRATE<br>Choose the best way for you to narrate what you read.</p><p>➜ VIEW<br>• Locate York Factory and Fort Chipewyan<br>∞ Map Link: Fur trade routes of the Hudson's Bay Company and North West Company, circa 1820</p><p>➜ DISCUSS<br>• Why do you think Great Britain made arctic exploration a priority after the conclusion of the Napoleonic Wars?<br>• How would you characterize John Franklin's leadership style? What were his strengths and weaknesses?<br>• Imagine you were making an overland journey from Hudson Bay to the Arctic. What would you need to bring? How would you balance bringing all the necessities with the limitation of space and strength needed to carry your own gear?</p>","<p>★ TEACHER NOTE <br>Sensitive content: p.280.</p>","https://planning.alveary.org/links.html?id=recVKX5urW9nTXPjR&term=1&week=4","Lesson","0","FALSE"
"alveary-recVKX5urW9nTXPjR","Needs Updated Import","alveary-recX0DKQkiLq6xNnW","5","1","40m Canadian History: Grades 11-12 - Lesson 9","<p>Mapping the Arctic Frontier, cont.<br>⍞ Materials: The History of Canada in Ten Maps</p><p>➜ RECAP<br>What do you recall from the last reading about Franklin's overland exploration of 1820-21?</p><p>➜ READ &amp; ANNOTATE<br>p.285-295 &quot;The voyageurs understood&quot; - &quot;shiver inside the tent.&quot;<br>• How helpful are you finding your method of annotating? Look back at the instructions from Lesson 2. Perhaps experiment today with a different approach.</p><p>➜ NARRATE<br>Choose the best way for you to narrate what you read.</p><p>➜ VIEW<br>• Spend a bit of time today looking at this Google Earth presentation mapping Franklin's 1820-21 expedition, paired with passages from his journal and watercolour paintings by George Back.<br>∞ Link: Franklin Illustrated Voyager Presentation</p><p>➜ DISCUSS<br>• What was a bigger challenge for the explorers: the conditions or the need for food?<br>• Are there any choices made by Franklin that you would have done differently? Was there any way that the expedition could have succeeded?</p>","","https://planning.alveary.org/links.html?id=recVKX5urW9nTXPjR&term=1&week=5","Lesson","0","FALSE"
"alveary-recVKX5urW9nTXPjR","Needs Updated Import","alveary-recw4oVMhg5kn6qQX","5","2","30m Canadian History: Grades 11-12 - Lesson 10","<p>Mapping the Arctic Frontier, cont.<br>⍞ Materials: The History of Canada in Ten Maps</p><p>➜ RECAP<br>What do you recall from the last reading about Franklin's decision to turn back?</p><p>➜ READ &amp; ANNOTATE<br>p.295-307 &quot;After a few days&quot; - &quot;imagination still roams free.&quot;</p><p>➜ NARRATE<br>Choose the best way for you to narrate what you read.</p><p>➜ VIEW<br>• The link below shows a high resolution version of the map discussed in today's reading.<br>∞ Map Link: Arctic Map 1828</p><p>➜ DISCUSS<br>• Why did Shoalts name this chapter &quot;Canada's Heart of Darkness&quot;?<br>• What can learning about Canada's past teach us about Canada's future? What is the ultimate message of Shoalt's book?</p>","<p>★ TEACHER NOTE <br>Sensitive content: today's reading begins with a description of Richardson's suspicions of Michel's cannibalism, and his ultimate killing of Michel. Students who wish to skip this section should begin, instead, on p.297 &quot;Thus ended Michel Teroahaute.&quot;</p>","https://planning.alveary.org/links.html?id=recVKX5urW9nTXPjR&term=1&week=5","Lesson","0","FALSE"
