"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recVbplqezWnbiBoG","alveary-reclKUlVOuauENhFb","1","1","20m Geography: Grade 2 (U.S.) - Lesson 1","<p>Introduction<br>⍞ Materials: US Atlas, Globe, or Wall Map</p><p>PREP: Print Blank World Map and Blank North America Map<br>∞ Map Link: Blank World Map<br>∞ Map Link: Blank North America Map</p><p>➜ INTRO<br>In geography this year, we will journey across the USA. Geography is learning about different places around the world. All kinds of maps are used to help us in the study of geography—globes, wall maps, and atlases.</p><p>➜ MAP QUESTIONS<br>1\. Find the United States of America.<br>2\. Find the equator. Is the United States north or south of the equator? <br>3\. What is to the west of the United States? (Pacific Ocean) To the east? (Atlantic Ocean) To the north? (Canada) To the south? (Mexico and the Gulf of Mexico)</p><p>➜ MAP WORK<br>Add the Blank World Map (referred to moving forward as &quot;My World Map&quot;) and the Blank North America Map (referred to moving forward as &quot;My North America Map&quot;) to your geography journal.<br>⍞ Map Resource: My World Map<br>1\. Add the title &quot;My World Map.&quot;<br>2\. Color in the United States of America.<br>⍞ Map Resource: My North America Map<br>1\. Add title &quot;My North America Map.&quot;<br>2\. Label the borders of the contiguous United States. (Pacific Ocean, Atlantic Ocean, Gulf of Mexico, Canada, Mexico)</p><p>➜ READ &amp; NARRATE<br>United States Atlas <br>p.14 &quot;Like a giant&quot; - &quot;single circle.&quot;</p><p>➜ MAP QUESTIONS<br>⍞ Map Resource: US Atlas &quot;The Political United States&quot;, p.14-15<br>1\. Locate California, and specifically Los Angeles, California, on the West Coast.<br>2\. Locate Maryland and Washington, D.C. on the East Coast.</p><p>➜ MAP WORK<br>⍞ Map Resource: My North America Map<br>1\. Add Los Angeles (with a dot) and Washington, D.C. (with a star inside a circle) to the map and label each.<br>2\. Label the United States in the Northern Area of the USA.</p><p>• TAKE A GEOGRAPHY WALK<br>Near the beginning of term 2, we will have some lessons about how water moves. Depending on where you live, it may rain often or not much at all. Please start to take notes on where the water goes when it rains. Look for where it goes near your home, and even see if you can follow it in your neighborhood. The notes can go in your nature or geography journal.</p>","","https://planning.alveary.org/links.html?id=recVbplqezWnbiBoG&term=1&week=1","Lesson","0","FALSE"
"alveary-recVbplqezWnbiBoG","alveary-recpxjK2id34gQCZB","1","2","20m Geography: Grade 2 (U.S.) - Lesson 2","<p>Meet the Pages<br>⍞ Materials: Cross-Country, Blank U.S. Map, Geography journal</p><p>PREP: Print Blank U.S. Map (referred to moving forward as &quot;My U.S. Map&quot;)<br>∞ Map Link: Blank U.S. Map</p><p>➜ INTRO<br>Let's look at the map in the front of the Cross-Country book. What do you notice?</p><p>➜ MAP QUESTIONS<br>⍞ Map Resource: Inside Cover Cross-Country<br>Locate the red line. This book is about a family that travels along that line (route) across the United States.<br>1\. Locate your state. Does the trip go through your state? If not, how many states away from the red line do you live?<br>2\. Locate Los Angeles and place your finger on it. Trace your finger from there all the way across the United States to Washington, D.C.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Cross-Country <br>p.6-7 &quot;The man&quot; - &quot;it will rain!&quot;</p><p>➜ MAP WORK<br>1\. Add the Blank US Map to your geography journal.<br>2\. Add the title &quot;My US Map&quot;  (making sure the title does not cover any states).<br>3\. Add Los Angeles and Washington, D.C.<br>4\. Label California.</p>","","https://planning.alveary.org/links.html?id=recVbplqezWnbiBoG&term=1&week=1","Lesson","0","FALSE"
"alveary-recVbplqezWnbiBoG","alveary-reclRyuPdAnJvAwRm","2","1","20m Geography: Grade 2 (U.S.) - Lesson 3","<p>Compass<br>⍞ Materials: compass, paper, tape</p><p>➜ DISCUSS<br>There are naturally occurring magnetic rocks called magnetite, but modern compasses use a magnetized needle. Both magnetite and a modern magnetic needle, when allowed to move freely, will swing to point north. Today, we will use a compass to find direction in your classroom or room in your home.</p><p>➜ DEMONSTRATE<br>1\. Place the compass in the middle of the room and allow it to stop moving. <br>2\. The needle will be pointing north. You must move the N sign on the compass to line up with the point of the needle.<br>3\. On a piece of paper, write N for north and tape it to the wall that the compass is pointing to.<br>4\. When you face north, east will be on your right, west on your left, and south directly behind you.<br>5\. Using these directions, make more sheets with E, W, and S on them and tape them to your walls.</p><p>➜ PLAY<br>Using the directions on the walls, take turns with another student or teacher, following directions such as &quot;take 3 steps east&quot; or &quot;take 2 giant steps south.&quot; You can even make it into a Mother May I game.</p>","","","Lesson","0","FALSE"
"alveary-recVbplqezWnbiBoG","alveary-recn0eG1OXilYQKhD","2","2","20m Geography: Grade 2 (U.S.) - Lesson 4","<p>Compass Rose<br>⍞ Materials: compass, chalk</p><p>➜ DISCUSS<br>During the last lesson, we found direction inside, and today we will find direction outside and create a compass rose.</p><p>➜ DEMONSTRATE<br>1\. Draw a large circle on a paved area. Place the compass in the middle and allow it to stop moving. <br>2\. The needle will be pointing north. You must move the N sign on the compass to line up with the point of the needle.<br>3\. Draw a line from the N side of the compass straight to the edge of the circle, and mark it with an N.<br>4\. Do the same thing with E, W, and S.<br>5\. Today, we will add more directions to the compass rose. Halfway between the N and the E, you will write a NE, which stands for Northeast, on the circle. Halfway between N and W, you will write NW, which stands for Northwest. Continue by adding a SE between S and E, for southeast, and add SW between S and W, for southwest.<br>6\. You will notice that it is easier to give more accurate directions because you have more to refer to.</p><p>➜ PLAY<br>1\. Using the directions on the compass rose, take turns with another student or teacher, following directions such as &quot;take 3 steps northeast&quot; or &quot;take 2 giant steps southwest.&quot; This can be played like Mother May I.<br>2\. Another game you can play is to give directions to an object, like a tree, outside by saying things like &quot;take 5 steps west, and then 2 steps northwest. What is there?&quot;</p>","","","Lesson","0","FALSE"
"alveary-recVbplqezWnbiBoG","alveary-recjLo7av5pqay9QB","3","1","20m Geography: Grade 2 (U.S.) - Lesson 5","<p>Compass Rose and Map Key<br>⍞ Materials: Making Your Own Maps</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.4-7 &quot;You've moved&quot; - &quot;these tools!&quot;</p><p>➜ MAP QUESTION<br>⍞ Map Resource: Making Your Own Maps, various pages<br>1\. Can you find the compass rose on p.7? Which directions are on it?<br>2\. Locate the keys on p.5 and 7. What symbols do they use? How are they the same or different?<br>3\. Look at keys on maps on p.15,16,19, and 21. How are they the same or different?</p>","","","Lesson","0","FALSE"
"alveary-recVbplqezWnbiBoG","alveary-recTIzQkS2bP2wJn1","3","2","20m Geography: Grade 2 (U.S.) - Lesson 6","<p>Airport<br>⍞ Materials: Cross-Country, United States Atlas, My U.S. Map</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Cross-Country <br>p.8-9 &quot;One night&quot; - &quot;ask for it!&quot;</p><p>➜ MAP QUESTION<br>⍞ Map Resource: United States Atlas, &quot;The Political United States: Population&quot; p.16-17<br>1\. Locate the map keys (there are 2), as well as Los Angeles, CA, and Washington, D.C.<br>2\. What do the colors mean on the rightmost map key? How do the color symbols change with the numbers? (Larger numbers are represented by darker colors.)<br>3\. What do the symbols mean in the other map key? How do they change with the number ranges? (The symbols get larger as the population increases.)<br>4\. What do you notice about the areas near Los Angeles and Washington, D.C.?<br>5\. Find your home state and general location. How does your area's population compare with Los Angeles or Washington, D.C.?</p><p>➜ MAP WORK<br>⍞ Map Resource: My U.S. Map<br>1\. Add your city (or closest town) to your map, and label it.</p>","","","Lesson","0","FALSE"
"alveary-recVbplqezWnbiBoG","alveary-recTL9eqi8Rr5rShm","4","1","20m Geography: Grade 2 (U.S.) - Lesson 7","<p>Over Los Angeles<br>⍞ Materials: Cross-Country</p><p>➜ INTRO<br>Have you ever flown on a plane? Could you see out the window? What did it look like?</p><p>➜ MAP QUESTION<br>⍞ Map Resource: Illustrations on p.10, 11, and 12 of Cross-Country<br>1\. Look at p.10 and p.11. What do you notice on each one? (Do you see streets, cars, houses, and large buildings?)<br>2\. Which picture is taken further up in the air? (p.11) How can you tell? (buildings look smaller)<br>3\. What are the &quot;wrinkly&quot; bits? (mountains) Can you see any other natural things? (possibly a river, fields)<br>4\. I wonder why the city stops where it does? (possibly the mountains)<br>5\. Turn to p.12. What is different about this illustration? (It is mainly water.) What can you see? (boats, ports, roads, buildings)<br>6\. Is the illustration on p.12 closer or farther away than the previous illustrations? How can you tell?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.10-12 &quot;It was a little&quot; - &quot;see the people.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recVbplqezWnbiBoG","alveary-reciO3ymMp2YzatPO","4","2","20m Geography: Grade 2 (U.S.) - Lesson 8","<p>Types of Maps Intro</p><p>➜ INTRO<br>We are going to spend a few lessons learning about different types of maps.</p><p>➜ DISCUSS<br>1\. Today, we will look at the first 2 types of maps. The first we will call a model or 3-dimensional map. Last year, you used blocks (or some other objects) to make maps. You did this with your room, your home, your neighbors, etc. <br>2\. The second type of map we will call a pictorial view. It is a drawing of a street-level view of a home, building, etc. You also drew these last year when you drew your home and neighboring homes/buildings.</p><p>➜ VIEW &amp; DISCUSS<br>Look at the linked map pictures.<br>1\. Look at the linked Room Model and Model Showing Orientation.<br>∞ Image link: Room Model<br>∞ Image link: Model Showing Orientation<br>2\. Make a quick model of a room in your home or school.<br>3\. Look at the linked pictorial view of a house. It will be at eye level, and drawn as if you are looking directly at it. <br>∞ Image link: Pictorial map<br>4\. If time permits, draw a pictorial view of your home from the outside.</p>","","https://planning.alveary.org/links.html?id=recVbplqezWnbiBoG&term=1&week=4","Lesson","0","FALSE"
"alveary-recVbplqezWnbiBoG","alveary-recr2sE76Vy5L7DI6","5","1","20m Geography: Grade 2 (U.S.) - Lesson 9","<p>Types of Maps Continued<br>⍞ Materials: Making Your Own Maps</p><p>➜ RECAP<br>What types of maps did we discuss in the last lesson?</p><p>➜ DISCUSS<br>1\. Today, we will look at the next 2 types of maps. The first we will call a panoramic 3D map. Imagine you are a bird high up in a tree looking down at your home; what kind of drawing would that make? How would it look different from the street view of your home?<br>2\. The second type of map we will call an aerial view. This time, imagine you are a bird flying directly over your home; what kind of drawing would that make? (could only see the roof) How is this different than the panoramic view?</p><p>➜ VIEW &amp; DISCUSS<br>Look at the linked map pictures as well as one in Making Your Own Maps.<br>1\. Look at the linked Panoramic 3D map, and have the student identify its type.<br>∞ Map Link: Panoramic 3D map<br>2\. Look at the linked Aerial View map, and have the student identify its type.<br>∞ Map Link: Aerial View map<br>3\. Look at Making Your Own Maps p.16. What type of map is this, based on what we studied today? (panoramic)</p><p>• TAKE A GEOGRAPHY WALK<br>Near the beginning of term 2, we will have some lessons about how water moves. Don't forget to keep an eye out when it rains. Try to pay attention to a light rain versus a hard rain. Don't forget to keep notes in your geography or nature journal.</p>","","https://planning.alveary.org/links.html?id=recVbplqezWnbiBoG&term=1&week=5","Lesson","0","FALSE"
"alveary-recVbplqezWnbiBoG","alveary-recX5pGnaa0QwkIJQ","5","2","20m Geography: Grade 2 (U.S.) - Lesson 10","<p>Types of Maps, Continued<br>⍞ Materials: Making Your Own Maps</p><p>➜ RECAP<br>What types of maps did we discuss in the last lesson?</p><p>➜ DISCUSS<br>Today, we will look at the last type of map we will be discussing this year. This type of map is a symbolic map. These can vary greatly. Making Your Own Maps is full of symbolic maps. As you read today, look for maps that are not models, pictorial, panoramic, or aerial.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.8-15 &quot;Say you&quot; - &quot;stands for.&quot;</p><p>➜ DISCUSS<br>Did you find symbol maps? (p.5, 7, 8, 11, 13, 15) Note: If there is confusion about why some of those are not pictorial or panoramic, look back at the previous 2 lessons.</p>","","","Lesson","0","FALSE"
