"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recVqTvJ6GPeafHaJ","Import is Current","alveary-recBpuCq4bdOxVcl2","1","1","30m Architecture: Grades 9-12 - Lesson 1","<p>Structures<br>⍞ Materials: Why Buildings Stand Up, notebook</p><p>➜ INTRO<br>Glance through the Contents page so you have a sense of what this book is going to be about. We don't often stop to think about why buildings stand up or consider all the different ways people have built in the past. As we learn about the science of construction, look around at the built structures in your area and see if you can begin to understand some of the secrets of their construction.</p><p>➜ READ<br>Preface and Ch.1 p.17-26</p><p>➜ NARRATE<br>Copy any diagrams or sketches that would be helpful to you in your notebook. Silently go over the reading in your mind. Sometimes it helps to talk aloud to yourself at first until you can silently narrate to yourself. With your sketches and written work, you will be creating an architecture notebook that will explore why buildings stand up. Be as creative as you like and enjoy the adventure!</p><p>➜ WRITE<br>Use the remaining time to write at least a paragraph about one aspect of the chapter that was especially interesting to you. For example, for this reading, you might want to write about the author's ideas about structure and function in architecture. What examples can you think of or what did you think about his ideas or what did his ideas make you ask questions about?</p><p>➜ DISCUSS<br>Depending on your setting and schedule, discuss your thoughts with other students, your teacher, your parent, or another adult.</p>","","","Lesson","0","FALSE"
"alveary-recVqTvJ6GPeafHaJ","Import is Current","alveary-rec29oxFWTUnXF541","2","1","30m Architecture: Grades 9-12 - Lesson 2","<p>The Pyramids<br>⍞ Materials: Why Buildings Stand Up, notebook</p><p>➜ READ<br>Ch.2 p.27-38</p><p>➜ NARRATE<br>Copy any diagrams or sketches that would be helpful to you in your notebook. Silently go over the reading in your mind. Sometimes it helps to talk aloud to yourself at first until you can silently narrate to yourself.</p><p>➜ WRITE<br>Use the remaining time to write at least a paragraph about one aspect of the chapter that was especially interesting to you. For example, what about the construction process of the pyramids was most impressive or interesting to you? Explain in detail one aspect of the process. Because you narrated the whole reading silently to yourself, you now have a few moments to focus in on one part and give greater detail about that part.</p><p>➜ DISCUSS<br>Depending on your setting and schedule, discuss your thoughts that you wrote down or your answer to the following discussion prompt with other students, your teacher, your parent, or another adult.</p><p>• On p.28, Salvadori says, &quot;Cultures are immortalized by monuments, which express their conception of the world, of life and death.&quot; What monuments today immortalize our conception of the world and of life and death as a culture?</p>","","","Lesson","0","FALSE"
"alveary-recVqTvJ6GPeafHaJ","Import is Current","alveary-recWpMSkchCG4qdrY","3","1","30m Architecture: Grades 9-12 - Lesson 3","<p>The Pyramids, Loads<br>⍞ Materials: Why Buildings Stand Up, notebook</p><p>➜ RECAP<br>Think back to where you left off last time.</p><p>➜ READ<br>Ch.2 p.38-Ch.3 p.49</p><p>➜ NARRATE<br>Copy any diagrams or sketches that would be helpful to you in your notebook. Silently go over the reading in your mind.</p><p>➜ WRITE<br>Use the remaining time to write at least a paragraph about one aspect of the reading that was especially interesting to you, or write about the different loads discussed.</p><p>➜ DISCUSS<br>Depending on your setting and schedule, discuss your thoughts with other students, your teacher, your parent, or another adult. How would you describe the loads on your house, school, church, or another building in your area?</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• EXTRA HELPING<br>∞ Video Link: Decoding the Great Pyramid</p>","","https://planning.alveary.org/links.html?id=recVqTvJ6GPeafHaJ&term=1&week=3","Lesson","0","FALSE"
"alveary-recVqTvJ6GPeafHaJ","Import is Current","alveary-recvAOQaVh3Vm7lCz","4","1","30m Architecture: Grades 9-12 - Lesson 4","<p>Loads<br>⍞ Materials: Why Buildings Stand Up, notebook</p><p>➜ RECAP<br>Think back to where you left off last time.</p><p>➜ READ<br>Ch.3 p.49-58<br> <br>➜ VIEW<br>∞ Video Link: Galloping Gertie: The Collapse of the Tacoma Narrows Bridge</p><p>➜ NARRATE<br>Copy any diagrams or sketches that would be helpful to you in your notebook. Silently go over the reading in your mind.</p><p>➜ WRITE<br>Use the remaining time to write at least a paragraph about one aspect of the chapter or video that was especially interesting to you.</p><p>➜ DISCUSS<br>Depending on your setting and schedule, discuss your thoughts that you wrote down with other students, your teacher, your parent, or another adult.</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• EXTRA HELPING<br>∞ Video Link: Why the Tacoma Narrows Bridge Collapsed</p>","","https://planning.alveary.org/links.html?id=recVqTvJ6GPeafHaJ&term=1&week=4","Lesson","0","FALSE"
"alveary-recVqTvJ6GPeafHaJ","Import is Current","alveary-recXQp44kuyvIhYh6","5","1","30m Architecture: Grades 9-12 - Lesson 5","<p>Materials<br>⍞ Materials: Why Buildings Stand Up, notebook</p><p>➜ RECAP &amp; READ<br>Ch.4 p.59-66</p><p>➜ NARRATE<br>Copy any diagrams or sketches that would be helpful to you in your notebook. Silently go over the reading in your mind.</p><p>➜ WRITE &amp; DISCUSS<br>Use the remaining time to write at least a paragraph about one aspect of the chapter that was especially interesting to you or that you thought was most important. Depending on your setting and schedule, discuss your thoughts that you wrote down with other students, your teacher, your parent, or another adult.</p>","","","Lesson","0","FALSE"
"alveary-recVqTvJ6GPeafHaJ","Import is Current","alveary-recBAXypx6aPReB5i","6","1","30m Architecture: Grades 9-12 - Lesson 6","<p>Materials, Beams and Columns<br>⍞ Materials: Why Buildings Stand Up, notebook</p><p>➜ RECAP &amp; READ<br>Ch.4 p.66-Ch.5 p.76</p><p>➜ NARRATE<br>Copy any diagrams or sketches that would be helpful to you in your notebook. Silently go over the reading in your mind.</p><p>➜ WRITE &amp; DISCUSS<br>Use the remaining time to write at least a paragraph about one aspect of the chapter that was especially interesting to you or that you thought was most important. Depending on your setting and schedule, discuss your thoughts that you wrote down with other students, your teacher, your parent, or another adult.</p>","","","Lesson","0","FALSE"
"alveary-recVqTvJ6GPeafHaJ","Import is Current","alveary-reczCA2yxWP3eDbMH","7","1","30m Architecture: Grades 9-12 - Lesson 7","<p>Beams and Columns<br>⍞ Materials: Why Buildings Stand Up, notebook</p><p>➜ RECAP &amp; READ<br>Ch.5 p.76-89</p><p>➜ NARRATE<br>Copy any diagrams or sketches that would be helpful to you in your notebook. Silently go over the reading in your mind.</p><p>➜ WRITE &amp; DISCUSS<br>Use the remaining time to write at least a paragraph about one aspect of the chapter that was especially interesting to you or that you thought was most important. Depending on your setting and schedule, discuss your thoughts that you wrote down with other students, your teacher, your parent, or another adult.</p>","","","Lesson","0","FALSE"
"alveary-recVqTvJ6GPeafHaJ","Import is Current","alveary-recPeA4joEHsfICjN","8","1","30m Architecture: Grades 9-12 - Lesson 8","<p>Houses<br>⍞ Materials: Why Buildings Stand Up, notebook</p><p>➜ RECAP &amp; READ<br>Ch.6 p.90-101</p><p>➜ NARRATE<br>Copy any diagrams or sketches that would be helpful to you in your notebook. Silently go over the reading in your mind.</p><p>➜ WRITE &amp; DISCUSS<br>Use the remaining time to write at least a paragraph about one aspect of the chapter that was especially interesting to you or that you thought was most important. Depending on your setting and schedule, discuss your thoughts that you wrote down with other students, your teacher, your parent, or another adult.</p>","","","Lesson","0","FALSE"
"alveary-recVqTvJ6GPeafHaJ","Import is Current","alveary-rectYdEsEKvkQj8nh","9","1","30m Architecture: Grades 9-12 - Lesson 9","<p>Houses, Skyscrapers<br>⍞ Materials: Why Buildings Stand Up, notebook</p><p>➜ RECAP &amp; READ<br>Ch.6 p.101-Ch.7 p.109</p><p>➜ NARRATE<br>Copy any diagrams or sketches that would be helpful to you in your notebook. Silently go over the reading in your mind.</p><p>➜ WRITE &amp; DISCUSS<br>Use the remaining time to write at least a paragraph about one aspect of the chapter that was especially interesting to you or that you thought was most important. Depending on your setting and schedule, discuss your thoughts that you wrote down with other students, your teacher, your parent, or another adult.</p>","","","Lesson","0","FALSE"
"alveary-recVqTvJ6GPeafHaJ","Import is Current","alveary-recyVYA1DH94UnY06","10","1","30m Architecture: Grades 9-12 - Lesson 10","<p>Skyscrapers<br>⍞ Materials: Why Buildings Stand Up, notebook</p><p>➜ RECAP &amp; READ<br>Ch.7 p.109-116</p><p>➜ NARRATE<br>Copy any diagrams or sketches that would be helpful to you in your notebook. Silently go over the reading in your mind.</p><p>➜ WRITE &amp; DISCUSS<br>Use the remaining time to write at least a paragraph about one aspect of the chapter that was especially interesting to you or that you thought was most important. Depending on your setting and schedule, discuss your thoughts that you wrote down with other students, your teacher, your parent, or another adult.</p>","","","Lesson","0","FALSE"
