"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recWSRUTH4rJpHVYC","alveary-rec2W4F5GgSswW6Mx","1","1","15m Sol-fa: Fast Track - Lesson 1","<p>➜ INTRO<br>This year we are going to learn ear-training, interval recognition, sol-fa syllables, Curwen hand signs, and sight-reading.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 1</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=1","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recKCbgxShU8Pe2zu","2","1","15m Sol-fa: Fast Track - Lesson 2","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 2</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=2","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recUYxXSbkXRKzr7K","3","1","15m Sol-fa: Fast Track - Lesson 3","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 3</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=3","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recA5jZcTW23ZQlWe","4","1","15m Sol-fa: Fast Track - Lesson 4","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 4</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=4","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recH7ffVZikllUknQ","5","1","15m Sol-fa: Fast Track - Lesson 5","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 5</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=5","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recaIw9xcuzE1XKRy","6","1","15m Sol-fa: Fast Track - Lesson 6","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 6</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=6","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recEobq8mARcVRPz8","7","1","15m Sol-fa: Fast Track - Lesson 7","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 7</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=7","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recY5NnnQFsZvDeyR","8","1","15m Sol-fa: Fast Track - Lesson 8","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 8</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=8","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recqfuloMHvOksG5k","9","1","15m Sol-fa: Fast Track - Lesson 9","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 9</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=9","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recT4CUU1WggDnYOY","10","1","15m Sol-fa: Fast Track - Lesson 10","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 10</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=10","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recYmU5auJK2JzOwV","11","1","15m Sol-fa: Fast Track - Lesson 11","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 11</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=11","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recsQi5ORSt8hBzOV","12","1","15m Sol-fa: Fast Track - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.<br>∞ Video Link: Term 1 Exam Video</p><p>Questions will come from:<br>Sol-fa: Fast Track</p>","<p>★ Sol-fa: Fast Track — TERM 1 EXAM QUESTIONS<br>· Watch the linked video below for your exam.<br>Link: Term 1 Exam Video</p>","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=1&week=12","Exam","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recqv0EW54llogUXr","13","1","15m Sol-fa: Fast Track - Lesson 13","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 12</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=13","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recJq5wsRa2dVUa3L","14","1","15m Sol-fa: Fast Track - Lesson 14","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 13</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=14","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recW53Hb6mX1z7EnE","15","1","15m Sol-fa: Fast Track - Lesson 15","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 14</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=15","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recdPgaoVrLIay8Cj","16","1","15m Sol-fa: Fast Track - Lesson 16","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 15</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=16","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recq6jyoxPVe7DGaL","17","1","15m Sol-fa: Fast Track - Lesson 17","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 16</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=17","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recwUL3UQT70dKouH","18","1","15m Sol-fa: Fast Track - Lesson 18","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 17</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=18","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recvCtDkJ5Grgnjim","19","1","15m Sol-fa: Fast Track - Lesson 19","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 18</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=19","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recxcIODAysasD0U6","20","1","15m Sol-fa: Fast Track - Lesson 20","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 19</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=20","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recy6yxFskiPMEIPA","21","1","15m Sol-fa: Fast Track - Lesson 21","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 20</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=21","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recs4NcKlmt1VMDWX","22","1","15m Sol-fa: Fast Track - Lesson 22","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 21</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=22","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-receXxvVgUX2exYvd","23","1","15m Sol-fa: Fast Track - Lesson 23","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 22</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=23","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-rec1A36Dg3LL9J07m","24","1","15m Sol-fa: Fast Track - Lesson 24","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.<br>∞ Video Link: Term 2 Exam Video</p><p>Questions will come from:<br>Sol-fa: Fast Track</p>","<p>★ Sol-fa: Fast Track — TERM 2 EXAM QUESTIONS<br>· Watch the linked video below for your exam.<br>Link: Term 2 Exam Video</p>","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=2&week=24","Exam","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recNrMJOEbXUc1OxG","25","1","15m Sol-fa: Fast Track - Lesson 25","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 23</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=3&week=25","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recVUDvL2lZk3o3qH","26","1","15m Sol-fa: Fast Track - Lesson 26","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 24</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=3&week=26","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recPzIVJxzNhI3Dcc","27","1","15m Sol-fa: Fast Track - Lesson 27","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 25</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=3&week=27","Lesson","0","FALSE"
"alveary-recWSRUTH4rJpHVYC","alveary-recl8Esgz6Kr0WodA","28","1","15m Sol-fa: Fast Track - Lesson 28","<p>➜ RECAP<br>Review concepts from previous lesson.</p><p>➜ VIEW &amp; PRACTICE<br>Repeat the notes, melodies, or rhythms as directed.<br>∞ Video Link: Lesson 26</p>","","https://planning.alveary.org/links.html?id=recWSRUTH4rJpHVYC&term=3&week=28","Lesson","0","FALSE"
