"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recWU0Dj1J0rt9CDM","alveary-recNkUwd8CE4qxYAf","1","1","45m Latin 2 (Independent Study) - Lesson 1","<p>Stage 13: IN BRITANNIA (Infinitives and Conjugations)<br>⍞ Materials: Cambridge Unit 2, Latin notebook, sticky notes</p><p>PREP: Preview Stage 13 in Student Text and Teacher's Manual. Read &quot;Opening Page&quot; and &quot;Model Sentences&quot; Teacher's Manual p.4-6.</p><p>➜ INTRO<br>View the picture on p.1. How do the house and the people's clothes look different from those in Pompeii? Why do you think the houses were built differently?</p><p>➜ WRITE<br>Cover the definitions on p.22 with sticky notes. Copy the Latin words in &quot;Vocabulary Checklist 13.&quot; Infer and record meanings as you read the stories in Stage 13.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Model Sentences p.2-4<br>Narrate what is understood in English. Translate each sentence orally.</p><p>• Why do you think the slaves do not want to work? <br>• Discuss the characters and what you learned about them in the model sentences.</p><p>➜ VIEW &amp; DISCUSS<br>• Map p.16-17: Look at the place names. What is the same now? What is different? What kinds of structures would have been needed to keep control of such a large area? What percentage of Roman citizens would you guess actually lived in Rome? <br>• Read &quot;Life in the empire&quot; p.16.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;About the Language 1: infinitives&quot; paragraph 1 p.10</p><p>➜ PRACTICE<br>Look back at the Model Sentences (p.2-4) and find 6 infinitives. Record them and their meanings in Latin notebook. (See Answer Key Supplement p.1 to check.)</p><p>➜ EVALUATE<br>Check any new vocabulary words you defined today with Vocabulary Checklist 13 or the glossary beginning on p.180.</p><p>➜ DISCUSS<br>• How is this household different from that of Caecilius?<br>• Which words from today's lesson look or sound like words you know in English, Spanish, or French?</p><p>There is also an “Answer Key Supplement&quot; that can be downloaded from the Latin 2 (Independent Study) Quick Links. Some assignments will direct you to check translations or answers with this resource.</p>","<p>★ TEACHER TIP<br>The translations for all the model sentences and stories are in the digital Cambridge Unit 2 Teacher's Resource document, &quot;Student's Book Translations and Answers.&quot; The answers to &quot;About the language&quot; and &quot;Practicing the language&quot; exercises are also located here. The document can be downloaded as a single file containing all the Unit 2 translations and answers or as individual files for each stage. Use this to check your translations and assignments unless otherwise specified.</p>","","Lesson","0","FALSE"
"alveary-recWU0Dj1J0rt9CDM","alveary-recw7jGLE0pm3YZuP","1","2","45m Latin 2 (Independent Study) - Lesson 2","<p>Stage 13: Trēs Servī<br>⍞ Materials: Cambridge Unit 2, Latin notebook</p><p>PREP: Read &quot;trēs servī&quot; Teacher's Manual p.7 and work through the lesson before teaching.</p><p>➜ RECAP<br>Review Vocabulary Checklist words from Latin notebook.</p><p>➜ INTRO<br>View the picture on p.5. What is the mood of the slaves? Who is in this skit? What does each person do? Where is each person from?</p><p>➜ PREVIEW<br>Vocabulary words p.5</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;trēs servī&quot; p.5 <br>Narrate what is understood in English.<br> <br>• Now read a dramatized reading of &quot;trēs servī&quot; and translate each part orally. Use the glossary as needed.</p><p>➜ DISCUSS<br>How did the mood of the slaves change in this story? What might these slaves experience as a result of Salvius' being attacked?</p><p>➜ PRACTICE <br>• Find at least four infinitives in the story. List them and their meanings in Latin notebook. (See Answer Key Supplement p.1 to check.)<br>• Complete paragraph 2 of &quot;About the Language 1: infinitives&quot; p.10.</p><p>➜ EVALUATE<br>Check any new vocabulary words you defined today with Vocabulary Checklist 13 or the glossary beginning on p.180.</p>","","","Lesson","0","FALSE"
"alveary-recWU0Dj1J0rt9CDM","alveary-reczLoA9uKfjViuXC","2","1","45m Latin 2 (Independent Study) - Lesson 3","<p>Stage 13: Coniūrātiō <br>⍞ Materials: Cambridge Unit 2, Latin notebook</p><p>PREP: Read &quot;coniūrātiō&quot; Teacher's Manual p.7-9. Work through the lesson before teaching.</p><p>➜ RECAP<br>Review Vocabulary Checklist words from Latin notebook.</p><p>➜ INTRO<br>What metal tools do you remember from Unit 1? Where does metal come from? This story takes place in a mine.</p><p>➜ PREVIEW<br>Vocabulary words p.6</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;coniūrātiō&quot; p.6<br>Narrate what is understood in English.</p><p>• Reread lines 1-10. Translate each sentence orally using the glossary when needed.</p><p>➜ PRACTICE<br>Can you find any infinitives in lines 1-21? (See Answer Key Supplement p.2 to check.)</p><p>➜ DISCUSS<br>Share some information from &quot;Further information&quot; Teacher's Manual p.8-9, and discuss.</p><p>➜ EVALUATE<br>Check any new vocabulary words you defined today with Vocabulary Checklist 13 or the glossary beginning on p.180.</p>","","","Lesson","0","FALSE"
"alveary-recWU0Dj1J0rt9CDM","alveary-rec8YknNHslUWFgaE","2","2","45m Latin 2 (Independent Study) - Lesson 4","<p>Stage 13: Coniūrātiō, Mining and Farming, and Bregāns<br>⍞ Materials: Cambridge Unit 2, Latin notebook</p><p>PREP: Read &quot;Mining and farming&quot; and &quot;Bregāns&quot; Teacher's Manual p.9-11.</p><p>➜ RECAP<br>• Review infinitive endings from the last few lessons. We will see one more today. <br>• Review Vocabulary Checklist words in Latin notebook and vocabulary words on p.6.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;coniūrātiō&quot; p.6</p><p>• Reread lines 1-21 orally. Narrate.<br>• Read lines 22-end. Translate each sentence orally using the glossary when needed.</p><p>➜ PRACTICE<br>What infinitive is used in lines 22-the end? What is the ending? (See Answer Key Supplement p.2 to check.)</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;About the Language 1: infinitives&quot; paragraph 3 p.10</p><p>➜ PRACTICE<br>Complete the exercise at the bottom of p.10 (a-h).</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Mining and farming&quot; p.7<br>Examine the pictures.</p><p>➜ EVALUATE<br>Check any new vocabulary words you defined today with Vocabulary Checklist 13 or the glossary beginning on p.180.</p>","","","Lesson","0","FALSE"
"alveary-recWU0Dj1J0rt9CDM","alveary-recspBzqkfCuJpITq","3","1","45m Latin 2 (Independent Study) - Lesson 5","<p>Stage 13: Bregāns and Verb Tenses<br>⍞ Materials: Cambridge Unit 2, Latin notebook</p><p>➜ RECAP<br>Review Vocabulary Checklist words in Latin notebook.</p><p>➜ PREVIEW<br>Vocabulary words p.8</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Bregāns&quot; p.8<br>Read orally. Translate each sentence orally using the glossary when needed.</p><p>• Answer the questions on p.9 orally.</p><p>➜ READ, DISCUSS, &amp; PRACTICE<br>• Study Present, Imperfect, Perfect, and Pluperfect tenses on p.168. Discuss observations about word endings and their translations.<br>• Read &quot;Persons and endings&quot; on p.169.<br>• Complete Exercises 1-3 at the top of p.169, using p.168-169 to help. (See Answer Key Supplement p.2 to check.)</p><p>➜ EVALUATE<br>Check any new vocabulary words you defined today with Vocabulary Checklist 13 or the glossary beginning on p.180.</p><p>➜ DISCUSS<br>Which words from the last few lessons look or sound like words you know in English, Spanish, or French?</p>","","","Lesson","0","FALSE"
"alveary-recWU0Dj1J0rt9CDM","alveary-recE1jD9HU6Hxtnti","3","2","45m Latin 2 (Independent Study) - Lesson 6","<p>Stage 13: Salvius, Rufilla, Infinitives, and Salvius Fundum Inspicit<br>⍞ Materials: Cambridge Unit 2, Latin notebook</p><p>PREP: Read &quot;Salvius fundum īnspicit&quot; Teacher's Manual p.12-13.</p><p>➜ RECAP<br>Review Vocabulary Checklist words in Latin notebook.</p><p>➜ INTRO<br>View the picture on p.13.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Salvius&quot; and &quot;Rufilla&quot; p.18-19</p><p>• What kind of relationship do you think Salvius and Rufilla might have had? How might she have felt about moving to Britannia?<br>• Why would the estate owner want to inspect the fields? How do you think the slaves might feel as their master approaches to inspect their work?<br>• What do you think about the skill of Salvius as an estate owner and Vārica as an overseer?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;About the language 1: infinitives&quot; paragraphs 4-5 p.11</p><p>➜ PRACTICE<br>Translate the examples in paragraph 6 on p.11 using the glossary as needed. (See Answer Key Supplement p.3 to check.)</p><p>➜ PREVIEW<br>Vocabulary words p.12</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Salvius fundum īnspicit&quot; p.12 <br>Narrate what is understood in English.</p><p>• Reread lines 1-13 slowly, translating orally. Use the glossary as needed.  <br>• Answer the first eight questions on p.12 of Teacher's Manual orally. (See Answer Key Supplement p.3 to check.)</p><p>➜ EVALUATE<br>Check any new vocabulary words you defined today with Vocabulary Checklist 13 or the glossary beginning on p.180.</p>","","","Lesson","0","FALSE"
"alveary-recWU0Dj1J0rt9CDM","alveary-recoXScpBvIJ05qCq","4","1","45m Latin 2 (Independent Study) - Lesson 7","<p>Stage 13: Salvius Fundum Inspicit, Britannia, and Practicing the Language<br>⍞ Materials: Cambridge Unit 2, Latin notebook</p><p>PREP: Read &quot;Cultural context material&quot; Teacher's Manual p.14-17.</p><p>➜ RECAP<br>• Review what happened in lines 1-13 of &quot;Salvius fundum īnspicit&quot; on p.12.<br>• Review Vocabulary Checklist words in Latin notebook.</p><p>➜ INTRO<br>View the map and pictures on p.21.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Salvius fundum īnspicit&quot; lines 14-end p.12<br>Reread slowly. Translate orally using the glossary as needed.</p><p>• Answer the last four questions on p.12 of Teacher's Manual. (See Answer Key Supplement p.3 to check.)</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Britannia&quot; p.20</p><p>• How were the lives of house slaves and field slaves different? Why do you think they were so different?<br>• Share some information from &quot;Cultural context material&quot; on p.14-16 of Teacher's Manual.<br>• How do you think Celtic civilization changed after the Roman invasion?</p><p>➜ PRACTICE<br>Complete Exercises 1 and 2 of &quot;Practicing the Language&quot; on p.14. Use p.170 and glossary as needed.</p>","","","Lesson","0","FALSE"
"alveary-recWU0Dj1J0rt9CDM","alveary-reclW7j54uOIHTMkS","4","2","45m Latin 2 (Independent Study) - Lesson 8","<p>Stage 13: Grammar Practice<br>⍞ Materials: Cambridge Unit 2, Latin notebook</p><p>➜ RECAP<br>Review Vocabulary Checklist words in Latin notebook.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;About the language 2: -que&quot; paragraphs 1-2 p.13</p><p>• Complete the exercise in paragraph 1 orally.</p><p>➜ PRACTICE<br>• Translate the examples in paragraph 3 on p.13.<br>• Complete Exercise 3 of &quot;Practicing the language&quot; on p.15. Use the glossary and p.168 as needed.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Part Two: Vocabulary&quot; paragraphs 6-7 p.179</p><p>➜ PRACTICE<br>• Create a table with four columns in the Latin notebook. Label the columns: First Person Singular, Infinitive, First Person Singular Perfect, and Conjugation #.<br>• Place the words and their meanings from paragraphs 7-9 (p.179) on the table in the correct columns. Complete the table using the glossary as needed. Use p.168 as a reference. (See Answer Key Supplement p.4 to check.)</p>","","","Lesson","0","FALSE"
"alveary-recWU0Dj1J0rt9CDM","alveary-recTf7OyzLQO6vxIP","5","1","45m Latin 2 (Independent Study) - Lesson 9","<p>Stage 14 - APUD SALVIUM (Adjectives, Prepositional Phrases, Ablative Case)<br>⍞ Materials: Cambridge Unit 2, Latin notebook, sticky notes</p><p>PREP: Read &quot;Opening page,&quot; &quot;Model Sentences,&quot; and &quot;Rūfilla&quot; Teacher's Manual p.19-21.</p><p>➜ NOTE<br>Students may enjoy revisiting Our Island Story Ch.2-6 during Stage 14.</p><p>➜ INTRO<br>• View pictures on p.24. Predict what will happen in the story.<br>• View picture on p.23. Discuss observations. Share information from &quot;Opening page&quot; Teacher's Manual p.19.</p><p>➜ WRITE <br>Cover the definitions on p.42 with sticky notes. Copy the Latin words in &quot;Vocabulary Checklist 14.&quot; Infer and record meanings as you read the stories in Stage 14.<br>.<br>➜ READ, NARRATE, &amp; DISCUSS<br>Model Sentences p.24<br>Narrate what is understood in English. Reread dramatically.</p><p>➜ PREVIEW<br>Vocabulary words p.25</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Rūfilla&quot; p.25<br>Narrate what is understood in English. Use the glossary as needed to understand the meaning.</p><p>• Assign parts and practice reading aloud. Perform the skit once in English and once in Latin. Expression should demonstrate comprehension.</p><p>➜ EVALUATE <br>Check any new vocabulary words you defined today with Vocabulary Checklist 14 or the glossary beginning on p.180.</p><p>➜ DISCUSS<br>• Why might Vārica be having such a difficult time establishing his authority with the other slaves?<br>• Which words from today's lesson look or sound like words you know in English, Spanish, or French?</p>","","","Lesson","0","FALSE"
"alveary-recWU0Dj1J0rt9CDM","alveary-recCJ9LkBA9SY3P62","5","2","45m Latin 2 (Independent Study) - Lesson 10","<p>Stage 14: Romanization of a Province and Domitilla Cubiculum Parat 1<br>⍞ Materials: Cambridge Unit 2, Latin notebook, Cambridge Unit 1</p><p>PREP: Read &quot;Domitilla cubiculum parat I&quot; Teacher's Manual p.21-22. Review dative case in Unit 1, Stage 9, p.120-21.</p><p>➜ RECAP<br>Review Vocabulary Checklist words in Latin notebook.</p><p>➜ INTRO<br>Study the picture on p.26. Share about the illustration from p.22 of Teacher's Manual.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Romanization of a province&quot; p.37</p><p>• Optional: Recall or revisit related stories in Our Island Story.</p><p>➜ PRACTICE<br>• Copy lines 4-5 of &quot;Rufilla&quot; on p.25. Translate them into English and then back into Latin. Use the glossary as needed and pay attention to the verb tenses. Check Latin translations against the originals; correct any mistakes. (See Answer Key Supplement p.5 to check.)<br>• Optional: Review dative case (Cambridge Latin Unit 1, Stage 9, p.120-121).</p><p>➜ PREVIEW<br>Vocabulary words p.26 - top of p.27</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Domitilla cubiculum parat I&quot; p.26-27<br>Narrate what is understood in English.</p><p>• Reread slowly. Translate orally using the glossary as needed.</p><p>➜ DISCUSS<br>What do you think about Domitilla?</p><p>➜ WRITE<br>Narrate definitions of nominative, accusative, and dative cases in Latin notebook. Give examples from today's reading. (See Answer Key Supplement p.5 to check.)</p><p>➜ EVALUATE <br>Check any new vocabulary words you defined today with Vocabulary Checklist 14 or the glossary beginning on p.180.</p>","","","Lesson","0","FALSE"
