"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recWjMKdkAcXHiShJ","alveary-recqfkpen0KKmychw","1","1","15m Poetry Reading: Grades 9-12 - Lesson 1","<p>Transition from Classicism to Romanticism</p><p>➜ INTRO<br>Towards the end of the eighteenth century, writers were beginning to break from the rules of Classicism and experiment with poetic subject matter and form that, in retrospect, seem more aligned with the themes of Romanticism. Today, you will read a few works by three poets who bridge these two time periods: Thomas Gray, William Cowper, and Robert Burns.</p><p>➜ READ &amp; DISCUSS<br>∞ Link: Elegy Written in a Country Churchyard<br>• What is the setting of the poem, and how does Gray use this setting to create a mood or tone for the poem? What do you think the poet is saying about death and memory?</p><p>∞ Link: The Shrubbery <br>• How does the speaker show that there is a disconnect between how he feels and where he is? What is his relationship to the nature he sees around him?</p><p>∞ Link: To a Mouse<br>• If the language seems hard, try reading it out loud!<br>• This poem ends with a turn - why does the speaker see the mouse as &quot;blest, compar’d wi’ me!&quot;?</p>","","https://planning.alveary.org/links.html?id=recWjMKdkAcXHiShJ&term=1&week=1","Lesson","0","FALSE"
"alveary-recWjMKdkAcXHiShJ","alveary-recYsjotMiduHVEMC","1","2","15m Poetry Reading: Grades 9-12 - Lesson 2","<p>William Wordsworth</p><p>➜ INTRO<br>We will learn more about William Wordsworth (1770-1850) in the History of Literature lesson next week, but today's reading should give you a feel for his style and major themes. As you read, compare Wordsworth's poem to the selections you read last time. &quot;Tintern Abbey&quot; is written in blank verse (unrhymed iambic pentameter, or ten syllables per line). What other poets have you read that use blank verse? How is this different than Gray's &quot;Elegy&quot; you read last week, that had a very rigid structure?</p><p>∞ Link: Lines Composed a Few Miles above Tintern Abbey, On Revisiting the Banks of the Wye during a Tour. July 13, 1798<br>• What are some images that especially stand out to you? What is Wordsworth saying about nature? <br>• What do you think he means when he says in lines 64-67: &quot;here I stand, not only with the sense / Of present pleasure, but with pleasing thoughts / That in this moment there is life and food / For future years.&quot;?</p><p>➜ VIEW<br>Look at this painting of Tintern Abbey painted in 1804 by English landscape painter William Havell (1782-1857).</p>","","https://planning.alveary.org/links.html?id=recWjMKdkAcXHiShJ&term=1&week=1","Lesson","0","FALSE"
"alveary-recWjMKdkAcXHiShJ","alveary-recv2yeSRmmW7SmZf","2","1","15m Poetry Reading: Grades 9-12 - Lesson 3","<p>William Wordsworth and Samuel Taylor Coleridge</p><p>➜ INTRO<br>With the anonymous publication in 1798 of their Lyrical Ballads, Wordsworth and Coleridge introduced a new style of poetry to the public. The initial publication received mixed reviews, however, and with each subsequent publication, the two poets included a Preface by way of an introduction to their style, themes, and purpose. In today's lesson, you will read excerpts from the 1802 edition of this preface, as well as a representative poem by each of them. Think about how the poetry you read illustrates some of the points made in the Preface.</p><p>➜ READ &amp; DISCUSS<br>1\. ∞ PDF Link: Excerpts from the Preface to the Lyrical Ballads (1802)</p><p>2\. Wordsworth, &quot;My Heart Leaps Up&quot;<br>My heart leaps up when I behold <br>A rainbow in the sky:<br>So was it when my life began; <br>So is it now I am a man; <br>So be it when I shall grow old, <br>Or let me die!<br>The Child is father of the Man;<br>And I could wish my days to be<br>Bound each to each by natural piety.</p><p>3\. ∞ Link: Wordsworth, &quot;I Wandered Lonely As A Cloud&quot;</p><p>4\. ∞ Link: Coleridge, &quot;The Rime of the Ancient Mariner&quot;<br>• NOTE: This poems is too long to read completely today, but reading it for a few minutes will give you a feel for the style. If you enjoy it, please finish reading it during the next poetry class or during your free reading time!</p>","","https://planning.alveary.org/links.html?id=recWjMKdkAcXHiShJ&term=1&week=2","Lesson","0","FALSE"
"alveary-recWjMKdkAcXHiShJ","alveary-recR7fUsD75FEG2Nx","2","2","15m Poetry Reading: Grades 9-12 - Lesson 4","<p>Samuel Taylor Coleridge</p><p>➜ INTRO<br>Today we are going to read a poem much different in style from The Rime of the Ancient Mariner. As you read, think about other poems you have read about children, or by poets remembering their own childhood.</p><p>∞ Link: Frost at Midnight</p><p>With any time remaining, you can read more of The Rime of the Ancient Mariner.</p>","<p>★ TEACHER TIP<br>There is a Poem Guide for Frost at Midnight at the Poetry Foundation link, if your student would like extra information about the poem or help with understanding it.</p>","https://planning.alveary.org/links.html?id=recWjMKdkAcXHiShJ&term=1&week=2","Lesson","0","FALSE"
"alveary-recWjMKdkAcXHiShJ","alveary-recUG3UJ2qlhTw5Er","3","1","15m Poetry Reading: Grades 9-12 - Lesson 5","<p>Rabindranath Tagore<br>⍞ Materials: The Crescent Moon</p><p>➜ INTRO<br>We will spend much of Term 1 reading poems by the Bengali writer, philosopher and artist Rabindranath Tagore. He wrote in Bengali, but translated his own works into English. He is a significant figure for Indian nationalism, and, though not himself a politician, was a vocal proponent of India's independence at the turn of the twentieth century.<br>The Crescent Moon is a collection of forty poems exploring themes such as childhood wonder, the natural world, imagination. As you read through these poems, think about other poems you have read that present the world through the eyes of children, such as Robert Louis Stevenson's A Child's Garden of Verses.</p><p>➜ READ &amp; DISCUSS<br>p.6-7 &quot;The Home&quot; <br>• How would you describe the speaker of this poem?<br>• The poem opens with two examples of personification (a figure of speech which gives human characteristics to non-human things). Why do you think Tagore uses these images of a miser and a widow?</p><p>p.8 &quot;On the Seashore&quot;<br>• What images stand out most to you in this poem? How might they be symbols of a deeper meaning that lies beneath a simple description of children playing?</p><p>p.9-10 &quot;The Source&quot; and &quot;Baby's Way&quot;<br>• What do these two poems together seem to say about the nature of infants and children?</p>","<p>★ TEACHER NOTE<br>If you are note taking the History of Lit 9-12 course, you may wish to watch this introduction to the life and work of Rabindranath Tagore during some free time.<br>∞ Video Link: Rabindranath Tagore – Mystic Poet, Literary Genius &amp; Nobel Laureate</p>","https://planning.alveary.org/links.html?id=recWjMKdkAcXHiShJ&term=1&week=3","Lesson","0","FALSE"
"alveary-recWjMKdkAcXHiShJ","alveary-recaXxeMfe5W3XyDt","3","2","15m Poetry Reading: Grades 9-12 - Lesson 6","<p>Rabindranath Tagore, cont.<br>⍞ Materials: The Crescent Moon</p><p>➜ RECAP<br>What was your favorite poem by Tagore you read last time? What did you like most about it?</p><p>➜ READ &amp; DISCUSS<br>p.</p>","","","Lesson","0","FALSE"
"alveary-recWjMKdkAcXHiShJ","alveary-recq3LWfJVZcEcTiZ","4","1","15m Poetry Reading: Grades 9-12 - Lesson 7","","","","Lesson","0","FALSE"
"alveary-recWjMKdkAcXHiShJ","alveary-recM8xadU7jntUc8V","4","2","15m Poetry Reading: Grades 9-12 - Lesson 8","","","","Lesson","0","FALSE"
"alveary-recWjMKdkAcXHiShJ","alveary-recv61eLKCrsacLcs","5","1","15m Poetry Reading: Grades 9-12 - Lesson 9","","","","Lesson","0","FALSE"
"alveary-recWjMKdkAcXHiShJ","alveary-recc1is79ZRDOVXXC","5","2","15m Poetry Reading: Grades 9-12 - Lesson 10","","","","Lesson","0","FALSE"
