"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-1-1","1","1","10m Penmanship & Copywork: Grade 1 - Lesson 1","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-1-2","1","2","10m Penmanship & Copywork: Grade 1 - Lesson 2","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-1-3","1","3","10m Penmanship & Copywork: Grade 1 - Lesson 3","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-1-4","1","4","10m Penmanship & Copywork: Grade 1 - Lesson 4","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-1-5","1","5","10m Penmanship & Copywork: Grade 1 - Lesson 5","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-2-1","2","1","10m Penmanship & Copywork: Grade 1 - Lesson 6","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-2-2","2","2","10m Penmanship & Copywork: Grade 1 - Lesson 7","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-2-3","2","3","10m Penmanship & Copywork: Grade 1 - Lesson 8","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-2-4","2","4","10m Penmanship & Copywork: Grade 1 - Lesson 9","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-2-5","2","5","10m Penmanship & Copywork: Grade 1 - Lesson 10","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-3-1","3","1","10m Penmanship & Copywork: Grade 1 - Lesson 11","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-3-2","3","2","10m Penmanship & Copywork: Grade 1 - Lesson 12","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-3-3","3","3","10m Penmanship & Copywork: Grade 1 - Lesson 13","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-3-4","3","4","10m Penmanship & Copywork: Grade 1 - Lesson 14","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-3-5","3","5","10m Penmanship & Copywork: Grade 1 - Lesson 15","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-4-1","4","1","10m Penmanship & Copywork: Grade 1 - Lesson 16","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-4-2","4","2","10m Penmanship & Copywork: Grade 1 - Lesson 17","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-4-3","4","3","10m Penmanship & Copywork: Grade 1 - Lesson 18","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-4-4","4","4","10m Penmanship & Copywork: Grade 1 - Lesson 19","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-4-5","4","5","10m Penmanship & Copywork: Grade 1 - Lesson 20","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-5-1","5","1","10m Penmanship & Copywork: Grade 1 - Lesson 21","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-5-2","5","2","10m Penmanship & Copywork: Grade 1 - Lesson 22","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-5-3","5","3","10m Penmanship & Copywork: Grade 1 - Lesson 23","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-5-4","5","4","10m Penmanship & Copywork: Grade 1 - Lesson 24","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-5-5","5","5","10m Penmanship & Copywork: Grade 1 - Lesson 25","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-6-1","6","1","10m Penmanship & Copywork: Grade 1 - Lesson 26","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-6-2","6","2","10m Penmanship & Copywork: Grade 1 - Lesson 27","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-6-3","6","3","10m Penmanship & Copywork: Grade 1 - Lesson 28","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-6-4","6","4","10m Penmanship & Copywork: Grade 1 - Lesson 29","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
"alveary-recWzuTT8ajjN865V","alveary-tracker-recWzuTT8ajjN865V-6-5","6","5","10m Penmanship & Copywork: Grade 1 - Lesson 30","<p>reczGHqQDEoMMmwo7</p>","","","Lesson","0","FALSE"
