"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recX7bwaoYdcWOzbK","alveary-tracker-recX7bwaoYdcWOzbK-1-1","1","1","15m Dictation: Grade 5 - Lesson 1","<p>⍞ Materials: Grade 5 Student packet of copywork and dictation passages</p><p>➜ STUDY &amp; WRITE<br>Work on a complete dictation lesson (10 min. of study, 5 minutes for passage to be dictated). You can use this week's suggested passage or choose your own of a similar length. Be sure to pay attention to any added notes in the student dictation packet for the week. Only choose enough text so the student learns 4-5 new words at a time.</p>","","","Lesson","0","FALSE"
"alveary-recX7bwaoYdcWOzbK","alveary-tracker-recX7bwaoYdcWOzbK-1-2","1","2","15m Dictation: Grade 5 - Lesson 2","<p>⍞ Materials: Grade 5 Student packet of copywork and dictation passages</p><p>➜ STUDY &amp; WRITE<br>Work on a complete dictation lesson (10 min. of study, 5 minutes for passage to be dictated). You can use this week's suggested passage or choose your own of a similar length. Be sure to pay attention to any added notes in the student dictation packet for the week. Only choose enough text so the student learns 4-5 new words at a time.</p>","","","Lesson","0","FALSE"
"alveary-recX7bwaoYdcWOzbK","alveary-tracker-recX7bwaoYdcWOzbK-1-3","1","3","15m Dictation: Grade 5 - Lesson 3","<p>⍞ Materials: Grade 5 Student packet of copywork and dictation passages</p><p>➜ STUDY &amp; WRITE<br>Work on a complete dictation lesson (10 min. of study, 5 minutes for passage to be dictated). You can use this week's suggested passage or choose your own of a similar length. Be sure to pay attention to any added notes in the student dictation packet for the week. Only choose enough text so the student learns 4-5 new words at a time.</p>","","","Lesson","0","FALSE"
"alveary-recX7bwaoYdcWOzbK","alveary-tracker-recX7bwaoYdcWOzbK-2-1","2","1","15m Dictation: Grade 5 - Lesson 4","<p>⍞ Materials: Grade 5 Student packet of copywork and dictation passages</p><p>➜ STUDY &amp; WRITE<br>Work on a complete dictation lesson (10 min. of study, 5 minutes for passage to be dictated). You can use this week's suggested passage or choose your own of a similar length. Be sure to pay attention to any added notes in the student dictation packet for the week. Only choose enough text so the student learns 4-5 new words at a time.</p>","","","Lesson","0","FALSE"
"alveary-recX7bwaoYdcWOzbK","alveary-tracker-recX7bwaoYdcWOzbK-2-2","2","2","15m Dictation: Grade 5 - Lesson 5","<p>⍞ Materials: Grade 5 Student packet of copywork and dictation passages</p><p>➜ STUDY &amp; WRITE<br>Work on a complete dictation lesson (10 min. of study, 5 minutes for passage to be dictated). You can use this week's suggested passage or choose your own of a similar length. Be sure to pay attention to any added notes in the student dictation packet for the week. Only choose enough text so the student learns 4-5 new words at a time.</p>","","","Lesson","0","FALSE"
"alveary-recX7bwaoYdcWOzbK","alveary-tracker-recX7bwaoYdcWOzbK-2-3","2","3","15m Dictation: Grade 5 - Lesson 6","<p>⍞ Materials: Grade 5 Student packet of copywork and dictation passages</p><p>➜ STUDY &amp; WRITE<br>Work on a complete dictation lesson (10 min. of study, 5 minutes for passage to be dictated). You can use this week's suggested passage or choose your own of a similar length. Be sure to pay attention to any added notes in the student dictation packet for the week. Only choose enough text so the student learns 4-5 new words at a time.</p>","","","Lesson","0","FALSE"
"alveary-recX7bwaoYdcWOzbK","alveary-tracker-recX7bwaoYdcWOzbK-3-1","3","1","15m Dictation: Grade 5 - Lesson 7","<p>⍞ Materials: Grade 5 Student packet of copywork and dictation passages</p><p>➜ STUDY &amp; WRITE<br>Work on a complete dictation lesson (10 min. of study, 5 minutes for passage to be dictated). You can use this week's suggested passage or choose your own of a similar length. Be sure to pay attention to any added notes in the student dictation packet for the week. Only choose enough text so the student learns 4-5 new words at a time.</p>","","","Lesson","0","FALSE"
"alveary-recX7bwaoYdcWOzbK","alveary-tracker-recX7bwaoYdcWOzbK-3-2","3","2","15m Dictation: Grade 5 - Lesson 8","<p>⍞ Materials: Grade 5 Student packet of copywork and dictation passages</p><p>➜ STUDY &amp; WRITE<br>Work on a complete dictation lesson (10 min. of study, 5 minutes for passage to be dictated). You can use this week's suggested passage or choose your own of a similar length. Be sure to pay attention to any added notes in the student dictation packet for the week. Only choose enough text so the student learns 4-5 new words at a time.</p>","","","Lesson","0","FALSE"
"alveary-recX7bwaoYdcWOzbK","alveary-tracker-recX7bwaoYdcWOzbK-3-3","3","3","15m Dictation: Grade 5 - Lesson 9","<p>⍞ Materials: Grade 5 Student packet of copywork and dictation passages</p><p>➜ STUDY &amp; WRITE<br>Work on a complete dictation lesson (10 min. of study, 5 minutes for passage to be dictated). You can use this week's suggested passage or choose your own of a similar length. Be sure to pay attention to any added notes in the student dictation packet for the week. Only choose enough text so the student learns 4-5 new words at a time.</p>","","","Lesson","0","FALSE"
"alveary-recX7bwaoYdcWOzbK","alveary-tracker-recX7bwaoYdcWOzbK-4-1","4","1","15m Dictation: Grade 5 - Lesson 10","<p>⍞ Materials: Grade 5 Student packet of copywork and dictation passages</p><p>➜ STUDY &amp; WRITE<br>Work on a complete dictation lesson (10 min. of study, 5 minutes for passage to be dictated). You can use this week's suggested passage or choose your own of a similar length. Be sure to pay attention to any added notes in the student dictation packet for the week. Only choose enough text so the student learns 4-5 new words at a time.</p>","","","Lesson","0","FALSE"
