"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-rec4QVnAIAz4ca6fK","1","1","30m American Gov./ Economics: Grade 8 - Lesson 1","<p>Introduction to State &amp; Local Government<br>⍞ Materials: Reading PDF</p><p>➜ INTRO <br>This term, we will learn about state and local governments. While we will focus on state and local government, we will sometimes reference the federal government to compare and contrast the state and local powers with federal powers.</p><p>➜ READ<br>∞ Link: Reading PDF<br>p.2-4</p><p>➜ REFLECT<br>Narrate. Write a summary statement or draw a diagram describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=1&week=1","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recUbfahO27YrrQ2c","2","1","30m American Gov./ Economics: Grade 8 - Lesson 2","<p>Origins of Authority: Constitutions &amp; Police Powers<br>⍞ Materials: Reading PDF</p><p>➜ INTRO<br>States have two sources of authority that allow them to create and enforce laws: 1) constitutional powers and 2) police powers. These sources of authority are the basis for the laws and regulations that states pass, as well as the authority that states grant to smaller local governments, like cities and towns.</p><p>➜ READ<br>∞ Link: Reading PDF<br>p.5-8</p><p>➜ REFLECT<br>Narrate. Write a summary statement or draw a diagram describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=1&week=2","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recs7ZYISX16xs2Ts","3","1","30m American Gov./ Economics: Grade 8 - Lesson 3","<p>State Constitutions<br>⍞ Materials: Reading PDF</p><p>➜ INTRO<br>Last week, we explored sources of power for states. One of these sources is the state constitution. This week, you will familiarize yourself with your state's constitution.</p><p>➜ READ<br>∞ Link: Reading PDF<br>p.9</p><p>➜ REFLECT<br>Narrate. Write a summary statement or draw a diagram describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=1&week=3","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recdeHQNs672I8da7","4","1","30m American Gov./ Economics: Grade 8 - Lesson 4","<p>State Constitutions: The Preamble<br>⍞ Materials: Reading PDF</p><p>➜ INTRO<br>Although they do not have “legal effect,” the preamble to a constitution is an important statement. This week, you will examine your state constitution’s preamble and consider its importance.</p><p>➜ READ<br>∞ Link: Reading PDF<br>p.10-13</p><p>➜ REFLECT<br>Narrate. For your summary statement this week, analyze your state constitution’s preamble as described in the Reading PDF on page 13.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=1&week=4","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-rec0EwJ8j8z9IzQY3","5","1","30m American Gov./ Economics: Grade 8 - Lesson 5","<p>State Government<br>⍞ Materials: Reading PDF</p><p>➜ INTRO<br>Today, you will learn about your state government.</p><p>➜ READ<br>∞ Link: Reading PDF<br>p.14</p><p>➜ NOTEBOOK<br>Answer the questions about your state in your Citizenship Notebook.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=1&week=5","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recWYTgqMU1dyY14o","6","1","30m American Gov./ Economics: Grade 8 - Lesson 6","<p>State Legislative Branch<br>⍞ Materials: Reading PDF</p><p>➜ INTRO<br>This week, you will review the sections of your state constitution that address the legislative branch, and look up your state government representatives.</p><p>➜ READ<br>∞ Link: Reading PDF<br>p.15-18</p><p>➜ REFLECT<br>Write a summary statement or draw a diagram describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=1&week=6","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recN2yR5rA9YW0VA4","7","1","30m American Gov./ Economics: Grade 8 - Lesson 7","<p>State Executive Branch<br>⍞ Materials: Reading PDF</p><p>➜ INTRO<br>This week, you will review the sections of your state constitution that address the executive branch and read about your state's governor.</p><p>➜ READ<br>∞ Link: Reading PDF<br>p.19</p><p>➜ REFLECT<br>Write a summary statement or draw a diagram describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=1&week=7","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recaXa6xx8UVfqRUb","8","1","30m American Gov./ Economics: Grade 8 - Lesson 8","<p>State Judicial Branch<br>⍞ Materials: Reading PDF</p><p>➜ INTRO<br>This week, you will review the sections of your state constitution that address the judicial branch and read about your state’s highest court.</p><p>➜ READ<br>∞ Link: Reading PDF<br>p.20</p><p>➜ REFLECT<br>Write a summary statement or draw a diagram describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=1&week=8","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recJBwX6k91Ntb5dF","9","1","30m American Gov./ Economics: Grade 8 - Lesson 9","<p>Local Governments<br>⍞ Materials: Reading PDF</p><p>➜ INTRO<br>You have read about the federal government and the state government. Today, you will look at local government. Local governments are a paradox because we most often forget that they exist, while they often have the most direct impact on our daily lives. This week, we will look at what they are and where local governments derive their authority (hint: it’s not the Constitution).</p><p>➜ READ<br>∞ Link: Reading PDF<br>p.21-24</p><p>➜ REFLECT<br>Narrate. Write a summary statement or short narration describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=1&week=9","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recIV4B1JeT4NAmmX","10","1","30m American Gov./ Economics: Grade 8 - Lesson 10","<p>Local Governments in Action<br>⍞ Materials: Reading PDF</p><p>➜ INTRO<br>This week, you'll focus on how local governments impact our daily lives by reading some current events. Your Reading PDF includes several suggested articles, as well as tips for finding a good article about your local government.</p><p>➜ READ<br>∞ Link: Reading PDF<br>p.25</p><p>➜ REFLECT<br>Write a summary statement or draw a diagram describing the main ideas from the article you read.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=1&week=10","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-rech6DBUy23W1fpzn","11","1","30m American Gov./ Economics: Grade 8 - Lesson 11","<p>Catch Up and Exploring Local Government Resources<br>⍞ Materials: Reading PDF</p><p>➜ INTRO<br>This week, you will learn more about your local government.</p><p>➜ NOTEBOOK<br>∞ Link: Reading PDF<br>p.26-27<br>Answer the questions about your town/county in your Citizenship Notebook.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=1&week=11","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-rec9BsxEZmAAfKERy","12","1","30m American Gov./ Economics: Grade 8 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Reading PDF</p>","<p>★ American Gov./ Economics: Grade 8 — TERM 1 EXAM QUESTIONS<br>· Reading PDF: Describe your state government as it is created by your state constitution. Include 1) what the different branches are, 2) the powers that the different branches have, and 3) if your constitution had a preamble, what problems or goals the preamble tried to address. OR Describe the differences between the federal government, your state government, and your local government.</p>","","Exam","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recLQtmgEBxTQgKrr","13","1","30m American Gov./ Economics: Grade 8 - Lesson 13","<p>A Young Nation: American Government from 1800 to 1900<br>⍞ Materials: Reading PDF Part 1</p><p>➜ INTRO<br>Welcome back to American Government! Last year, you learned about the formation of the American Government and the reasoning behind why the Constitution and Bill of Rights were drafted and negotiated as they were. This year, we move forward to the period from 1800 to 1900 and study how the new government began to take action and shape the first hundred years of our country’s history.</p><p>➜ READ<br>∞ Link: Reading PDF Part 1<br>Week 1</p><p>• With any time that you have remaining, read your summary statements and skim any written narrations from the last two years of American Government. Your summary statements should cover the time periods from Rotation 1 (800-1650 AD) and Rotation 2 (1650-1800 AD).</p><p>➜ REFLECT<br>Talk about the summary statements you have reviewed with your teacher or classmates. What did you remember? What had you forgotten? Did anything come to mind as you were reviewing that you had not thought about before?</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>Optional Activity: Guide students in creating a bulleted list of keywords that they notice while reading their summary statements or during their discussion. Keywords can be words that were repeated frequently, or that stood out to the student for any particular reason (there is no “right” set of keywords). This activity is optional because it requires students to exercise a higher-level analysis and might not be a useful reflective tool for all students.</p>","<p>★ TEACHER NOTE<br>One week is built in at the end of this term for “catch-up” reading, in case you miss a week or a reading takes you longer than your allotted time to complete. Please do not skip ahead if you have not completed the lesson from the week before – work through the weeks chronologically and use the catch-up week (Week 11) as necessary.</p>","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=2&week=13","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recAhORqXK4Vrhw92","14","1","30m American Gov./ Economics: Grade 8 - Lesson 14","<p>Western Expansion and the Missouri Compromise (1820)<br>⍞ Materials: Reading PDF Part 1</p><p>➜ INTRO<br>The United States nearly doubled in size following the purchase of the Louisiana Territory from France. As new states began to petition Congress for entry to the country, the issue of slavery began to divide the nation. In 1820, Congress passed the Missouri Compromise, defining geographical boundaries that would determine whether slavery would be legal in new states. The Compromise would be followed by a series of legislative acts that together attempted to bind the new country together in the face of rapid land expansion and deep divides over slavery.</p><p>➜ READ<br>∞ Link: Reading PDF Part 1<br>Week 2</p><p>➜ REFLECT<br>Narrate. Write a summary statement or short narration describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=2&week=14","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recGSRW1nTYnTmHqY","15","1","30m American Gov./ Economics: Grade 8 - Lesson 15","<p>Western Expansion and the Compromise of 1850<br>⍞ Materials: Reading PDF Part 1</p><p>➜ INTRO<br>Although the Missouri Compromise remained in effect, the acquisition of the western territory from Texas to modern-day California following the Mexican-American War reignited the question of whether new states formed from this territory would be admitted as slave states or free states. In order to maintain a tentative balance of slave to free states across the nation, Congress passed the Compromise of 1850 after efforts to ban slavery entirely from the new territory failed.</p><p>➜ READ<br>∞ Link: Reading PDF Part 1<br>Week 3</p><p>➜ REFLECT<br>Narrate. Write a summary statement or short narration describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=2&week=15","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recDO91L4vwe9Iu88","16","1","30m American Gov./ Economics: Grade 8 - Lesson 16","<p>Western Expansion and the Kansas-Nebraska Act<br>⍞ Materials: Reading PDF Part 1</p><p>➜ INTRO<br>The Kansas-Nebraska Act of 1854 repealed the Missouri Compromise in its entirety and allowed the new territories of Kansas and Nebraska to decide the question of whether slavery would be allowed in the territories by popular sovereignty – by a vote of the people of the territories. Violence stemming from pro-slavery and abolitionist clashes in Kansas and in Washington, D.C., earned the nickname “Bleeding Kansas” and foreshadowed the start of the Civil War.</p><p>➜ READ<br>∞ Link: Reading PDF Part 1<br>Week 4</p><p>➜ REFLECT<br>Consider the three major pieces of Congressional legislation that you have studied over the last three weeks: the Missouri Compromise, the Compromise of 1850, and the Kansas-Nebraska Act. Why do you think that Representatives and Senators in Congress increasingly decided to turn the slavery question over to popular vote? What benefits are there to a popular vote? What drawbacks or dangers might there be to a popular vote?</p><p>• Write a summary statement or short narration explaining your thoughts in response to these questions.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=2&week=16","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recYA8DGaRDz9II0L","17","1","30m American Gov./ Economics: Grade 8 - Lesson 17","<p>Treaties and the Removal of Tribal Nations (Part I)<br>⍞ Materials: Reading PDF Part 1</p><p>➜ INTRO<br>Treaties are a tool that the Constitution allows the President to use in order to make formal agreements between the United States and another nation. Over the first four decades of the 19th century, the United States began to engage in treaty-making with American Indian Tribes, located in what are now the southern states of Tennessee, Alabama, Georgia, Florida, and Mississippi, with the goal of removing these Tribes from the South and relocating them west of the Mississippi River.</p><p>➜ READ<br>∞ Link: Reading PDF Part 1<br>Week 5</p><p>➜ REFLECT<br>Narrate. Write a summary statement or short narration describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=2&week=17","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recmkHUUNfZ9g3lvL","18","1","30m American Gov./ Economics: Grade 8 - Lesson 18","<p>Treaties and the Removal of Tribal Nations (Part II)<br>⍞ Materials: Reading PDF Part 1</p><p>➜ INTRO<br>With the Indian Removal Act of 1830, Congress indicated its support for the removal of tribes, specifically authorizing then-President Andrew Jackson to use treaties to effect land exchanges, trading land west of the Mississippi to tribes in exchange for tribal land in the South. But was the Indian Removal Act constitutional, and were the treaties themselves enforceable? We will explore the Act and its impact further in this week’s reading.</p><p>➜ READ<br>∞ Link: Reading PDF Part 1<br>Week 6</p><p>➜ REFLECT<br>Narrate. Write a summary statement or short narration describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=2&week=18","Lesson","0","FALSE"
"alveary-recXOk7Khcn9GSYFg","Needs Updated Import","alveary-recht3UQclB8AjQxd","19","1","30m American Gov./ Economics: Grade 8 - Lesson 19","<p>Tribal Nations before the Supreme Court<br>⍞ Materials: Reading PDF Part 2</p><p>➜ INTRO<br>While President Jackson and Congress worked to remove Tribes from the South by means of treaties and federal legislation, the Cherokee Nation sought to enforce its treaty rights before the Supreme Court. Over the course of two decisions within the span of the same number of years, the Supreme Court set precedent that would define the rights and status of Tribes into the modern day, and by extension, undermined the integrity of the federal government’s treaty-making with these Tribes. The Indian Appropriations Act, passed in 1871 by Congress, would end treaty-making with Tribes altogether.</p><p>➜ READ<br>∞ Link: Reading PDF Part 2<br>Week 7</p><p>➜ REFLECT<br>Narrate. Write a summary statement or short narration describing the main ideas from this week’s reading.</p>","","https://planning.alveary.org/links.html?id=recXOk7Khcn9GSYFg&term=2&week=19","Lesson","0","FALSE"
