"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-1-1","1","1","40m Geometry: Part 1 - Lesson 1","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-1-2","1","2","40m Geometry: Part 1 - Lesson 2","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-1-3","1","3","40m Geometry: Part 1 - Lesson 3","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-2-1","2","1","40m Geometry: Part 1 - Lesson 4","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-2-2","2","2","40m Geometry: Part 1 - Lesson 5","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-2-3","2","3","40m Geometry: Part 1 - Lesson 6","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-3-1","3","1","40m Geometry: Part 1 - Lesson 7","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-3-2","3","2","40m Geometry: Part 1 - Lesson 8","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-3-3","3","3","40m Geometry: Part 1 - Lesson 9","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-4-1","4","1","40m Geometry: Part 1 - Lesson 10","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-4-2","4","2","40m Geometry: Part 1 - Lesson 11","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-4-3","4","3","40m Geometry: Part 1 - Lesson 12","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-5-1","5","1","40m Geometry: Part 1 - Lesson 13","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-5-2","5","2","40m Geometry: Part 1 - Lesson 14","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-5-3","5","3","40m Geometry: Part 1 - Lesson 15","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-6-1","6","1","40m Geometry: Part 1 - Lesson 16","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-6-2","6","2","40m Geometry: Part 1 - Lesson 17","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-6-3","6","3","40m Geometry: Part 1 - Lesson 18","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-7-1","7","1","40m Geometry: Part 1 - Lesson 19","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-7-2","7","2","40m Geometry: Part 1 - Lesson 20","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-7-3","7","3","40m Geometry: Part 1 - Lesson 21","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-8-1","8","1","40m Geometry: Part 1 - Lesson 22","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-8-2","8","2","40m Geometry: Part 1 - Lesson 23","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-8-3","8","3","40m Geometry: Part 1 - Lesson 24","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-9-1","9","1","40m Geometry: Part 1 - Lesson 25","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-9-2","9","2","40m Geometry: Part 1 - Lesson 26","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-9-3","9","3","40m Geometry: Part 1 - Lesson 27","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-10-1","10","1","40m Geometry: Part 1 - Lesson 28","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-10-2","10","2","40m Geometry: Part 1 - Lesson 29","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-10-3","10","3","40m Geometry: Part 1 - Lesson 30","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
"alveary-recXmmJNDgueRNk4c","alveary-tracker-recXmmJNDgueRNk4c-11-1","11","1","40m Geometry: Part 1 - Lesson 31","<p>reclez6jOKvvid450</p>","","","Lesson","0","FALSE"
