"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recvMeftn8eXpZazj","1","1","20m Grammar/Comp: Grade 7 - Lesson 1","<p>➜ NOTE TO STUDENTS<br>One purpose of composition lessons is to encourage you, the student, to dig deeper, reflect on your readings, explore the different ways words work, and learn how to ask good questions of yourself and your readings. Each week, you will write two different compositions.  You can work on these in the order you choose. Set your timer and use the whole time allotted for a composition assignment. If you finish an assignment with extra time, explore another perspective, ask further questions, or take a bit more time to see if any other thoughts come to mind. Alternatively, if you find yourself stuck, you may want to take a short break and return later. Growth, not frustration, is the goal.</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Summar<br>Write a brief summary of a current event.</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Letter<br>Write a letter to a family member, friend, or imaginary character about one of your favorite books so far this year. Tell them what you think the book is about and why you like it so far, and then send the letter if you like!</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>There are two designated lessons each week to work on the two weekly composition prompts. Both prompts will be listed in those lessons, so students will see the same lesson repeated twice each week. That way, students can choose which prompts to work on during any given lesson period.</p>","<p>★ TEACHER TIP<br>Make sure students are practicing typing skills, and typing narrations and compositions regularly.</p>","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recuYJSUZvUr2egYK","1","2","20m Grammar/Comp: Grade 7 - Lesson 2","<p>Review <br>⍞ Materials: Practice Town, Paragraph Town, and notebook/journal<br> <br>➜ WARM-UP<br>Sentence 45  <br>Label parts of speech, parts of the sentence, phrases, and clauses. Write a comment. Check your work.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.5-19</p><p>➜ PRACTICE<br>Study the diagram on p.18. Then, draw it from memory.</p>","<p>★ TEACHER TIP<br>If you did not complete Grammar Town in Grade 6 but are familiar with basic grammar elements, start at the beginning of Practice Town and follow the examples. Complete the four-level analysis for one sentence at the start of each lesson.<br>∞ PDF Link: Practice Town Answer Key</p>","https://planning.alveary.org/links.html?id=recXtDJumB0O83W4t&term=1&week=1","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recCByRgSoayBc57h","1","3","20m Grammar/Comp: Grade 7 - Lesson 3","<p>Topics<br>⍞ Materials: Practice Town &amp; notebook/journal<br> <br>➜ WARM-UP<br>Sentence 46</p><p>➜ PRACTICE<br>Think about a lake or river you know. Make separate lists of details in these categories:<br>•Things you can see under the surface<br>•Things you can see above the surface<br>•Sounds you can hear<br>•Conditions in summer and winter<br>•Any other category you think is important.</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recaN4JVOWLkcCW57","1","4","20m Grammar/Comp: Grade 7 - Lesson 4","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Summary<br>Write a brief summary of a current event.</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Letter<br>Write a letter to a family member, friend, or imaginary character about one of your favorite books so far this year. Tell them what you think the book is about and why you like it so far, and then send the letter if you like!</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recvvPW1wJSSbIKqf","2","1","20m Grammar/Comp: Grade 7 - Lesson 5","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Expository<br>How is Mansoul like a rich and beautiful land?</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Descriptive<br>From your reading in Ancient History, write a page-long interview for Sulla. What questions would you ask him?</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• REFERENCE<br>Comp #1<br>Ethics: Part 1 (Lesson 2)<br>Book: Ourselves</p><p>Comp #2<br>Ancient History (G7-9) <br>(Lesson 1)<br>Book: A Short History of Ancient Rome</p>","<p>★ TEACHER TIP<br>Some students may find it helpful to use external supports before writing, such as index cards that can be arranged and re-ordered. You can also encourage students to talk aloud as they write or use speech-to-text and then edit.</p>","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recV26wT1pvuQwGLM","2","2","20m Grammar/Comp: Grade 7 - Lesson 6","<p>Parts of a Sentence<br>⍞ Materials: Practice Town, Paragraph Town</p><p>➜ WARM-UP<br>Sentence 47</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.20-25</p><p>➜ PRACTICE<br>Study the diagrams on p.23 &amp; 25. Assess your understanding of the concepts in this section. Review if necessary. Being able to write good sentences is critical for being able to write good paragraphs.</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-reckhKl5lhyu8DCiP","2","3","20m Grammar/Comp: Grade 7 - Lesson 7","<p>Purpose<br>⍞ Materials: Practice Town<br> <br>➜ WARM-UP<br>Sentence 48</p><p>➜ PRACTICE<br>-Think of a person from history that you admire.<br>-Make a list of facts and details you know about the person.<br>-Make a separate list of statements that explain why you admire the person.</p><p>How can two lists of the same person be so different? The first list is about the person, while the second list is about you.</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recxNnygAVuchbpHt","2","4","20m Grammar/Comp: Grade 7 - Lesson 8","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Expository<br>How is Mansoul like a rich and beautiful land?</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Descriptive<br>From your reading in Ancient History, write a page-long interview for Sulla. What questions would you ask him?</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• REFERENCE<br>Comp #1<br>Ethics: Part 1 (Lesson 2)<br>Book: Ourselves</p><p>Comp #2<br>Ancient History (G7-9) <br>(Lesson 1)<br>Book: A Short History of Ancient Rome</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recmu1XXQbHi1r3aD","3","1","20m Grammar/Comp: Grade 7 - Lesson 9","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Expository/Research<br>(US Students) What were some of the issues the new country had to deal with? Why was a new governing document needed?&quot;</p><p>Alternate Option: From your reading in Ourselves, what are ways a flame could come from a foreign land?</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Opinion<br>From your reading in current events, what do you think are some issues your country has to deal with today? Why?</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• REFERENCE<br>Comp #1<br>American Government (G7, Lesson 2)<br>Book: Our Rugged Constitution<br>OR <br>Ethics: Part 1 (Lesson 3)<br>Book: Ourselves</p>","<p>★ TEACHER TIP<br>Provide opportunities for students to explore other ways of narrating using technology with applications such as PowerPoint or design software such as Canva.</p>","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recTCqubMK2N7ybvs","3","2","20m Grammar/Comp: Grade 7 - Lesson 10","<p>Subjects &amp; Objects<br>⍞ Materials: Practice Town, Paragraph Town</p><p>➜ WARM-UP<br>Sentence 49</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.26-29</p><p>➜ DISCUSS<br>Would our language be improved if we abandoned object pronouns and used subject pronouns for all parts of the sentence? Why or why not?</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recrTDqpiuYUiA5ng","3","3","20m Grammar/Comp: Grade 7 - Lesson 11","<p>Grammar: Order<br>⍞ Materials: Practice Town<br> <br>➜ WARM-UP<br>Sentence 50</p><p>➜ PRACTICE<br>Choose a place to sit outside. Write 5-10 sentences describing what you see, starting from your left to your right. Keep for future use.</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recycxpMpKg37MAJx","3","4","20m Grammar/Comp: Grade 7 - Lesson 12","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Expository/Research<br>(US Students) What were some of the issues the new country had to deal with? Why was a new governing document needed?&quot;</p><p>Alternate Option: From your reading in Ourselves, what are ways a flame could come from a foreign land?</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Opinion<br>From your reading in current events, what do you think are some issues your country has to deal with today? Why?</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• REFERENCE<br>Comp #1 American Government (G7, Lesson 2) <br>Book: Our Rugged Constitution <br>OR <br>Ethics: Part 1 (Lesson 3) <br>Book: Ourselves</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recPSMLgu4fZcAXkX","4","1","20m Grammar/Comp: Grade 7 - Lesson 13","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Short Account<br>From your reading in Ourselves, tell about some of the Perils of Mansoul, and tell which are the most perilous for you.<br>OR<br>From your reading in Ancient History, write a page-long interview for Spartacus. What questions would you ask him?</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Point of View<br>Pretend you are a character in Little Women or Sir Gibbie and write a diary entry telling about recent events.</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• REFERENCE<br>Comp #1<br>Ancient History (G7-9, Lesson 4)<br>Book: A Short History of Ancient Rome<br>OR<br>Ethics: Part 1 (Lesson 4)<br>Book: Ourselves</p><p>Comp #2<br>General Literature (G7-8, Lesson 4)<br>Book: Little Women or Sir Gibbie</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-rec67hUu3Zr7fgxC1","4","2","20m Grammar/Comp: Grade 7 - Lesson 14","<p>Grammar: Order<br>⍞ Materials: Practice Town<br> <br>➜ WARM-UP<br>Sentence 51</p><p>➜ PRACTICE<br>Sit in the same place as last time. Now, write 5-10 sentences describing what you see from your right to your left. Compare these sentences to the ones you wrote last time.</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recmRfGFaTh5xEHuM","4","3","20m Grammar/Comp: Grade 7 - Lesson 15","<p>Grammar: Order<br>⍞ Materials: Practice Town</p><p>➜ WARM-UP<br>Sentence 52</p><p>➜ PRACTICE<br>Sit in the same place as last time. Now, write 5-10 sentences describing what you see from above you to below you. You now have three descriptions of the same place organized in three different ways. Do you think it would ever be best to describe a scene randomly, with no apparent purpose or arrangement of the sentences?</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recJdSRnTpuQLhVNo","4","4","20m Grammar/Comp: Grade 7 - Lesson 16","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Short Account<br>From your reading in Ourselves, tell about some of the Perils of Mansoul, and tell which are the most perilous for you.<br>OR<br>From your reading in Ancient History, write a page-long interview for Spartacus. What questions would you ask him?</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Point of View<br>Pretend you are a character in Little Women or Sir Gibbie and write a diary entry telling about recent events.</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recEdRHT3ey2ZMMvq","5","1","20m Grammar/Comp: Grade 7 - Lesson 17","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Report<br>Write a news report from Naples describing the loss of the ship with King Alonso on board from The Tempest.</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Visual/Poetry<br>Retell a favorite chapter or scene in one of your readings by creating a comic-strip style retelling of it, OR by retelling it as a poem.</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• REFERENCE<br>Comp #1<br>Canadian Government (G7, Lesson 5)<br>Book: Who Runs This Country, Anyway?<br>OR<br>Shakespeare<br>Book: The Tempest</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recoIK9cTdaFPAItm","5","2","20m Grammar/Comp: Grade 7 - Lesson 18","<p>Subject-Verb Agreement<br>⍞ Materials: Practice Town, Paragraph Town</p><p>➜ WARM-UP<br>Sentence 53</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.30-38</p><p>➜ PRACTICE<br>Find the real subject. Then, choose the correct verb.<br>-From far out in the lake, Fishmeal, a weary and green-headed Mallard with a large number of friends, (is/are) ready to learn everything possible.</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recuYd9oe3ptxTiCI","5","3","20m Grammar/Comp: Grade 7 - Lesson 19","<p>Subject-Verb Agreement<br>⍞ Materials: Practice Town<br> <br>➜ WARM-UP<br>Sentence 54</p><p>➜ PRACTICE<br>Find the real subject. Then. choose the correct verb.<br>-Queequack's friends, a group of busy quackers and a source of endless entertainment for Fishmeal, (laughs / laugh) at the silly attempt at humor.<br>-The duck, a feathery species of birds with impressive abilities of swimming and diving under the surface of the water, (eat / eats) fish.</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-rectmBv9Tbm49Wtld","5","4","20m Grammar/Comp: Grade 7 - Lesson 20","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Report<br>(Canadian Students)<br>Imagine you are going to start your own political party. What are some issues that matter the most to you? Define 3-5 foundational positions that your party would hold.<br>OR<br>Write a news report from Naples describing the loss of the ship with King Alonso on board from The Tempest.</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Visual/Poetry<br>Retell a favorite chapter or scene in one of your readings by creating a comic-strip style retelling of it, OR by retelling it as a poem.</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• REFERENCE<br>Comp #1 Canadian Government (G7, Lesson 5) <br>Book: Who Runs This Country, Anyway? <br>OR <br>Shakespeare <br>Book: The Tempest</p>","","","Lesson","0","FALSE"
"alveary-recXtDJumB0O83W4t","Import is Current","alveary-recW7m1rHOZ19Tg8R","6","1","20m Grammar/Comp: Grade 7 - Lesson 21","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Point of View<br>Write a letter from one sister to another from Little Women<br>OR<br>Rewrite a scene from Sir Gibbie from the perspective of another character.</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Compare/Contrast<br>From your reading in Ancient History, compare what you are learning about ancient Rome to another ancient culture you have studied so far, or to what life is like today.</p><p>• Tip: for option #2, feel free to look back at your book to refresh your memory.</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• REFERENCE<br>Comp #1<br>General Lit books</p><p>Comp #2<br>Ancient History <br>Book: A Short History of Ancient Rome</p>","","","Lesson","0","FALSE"
