"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recYOEHT8vZGbZNw7","alveary-recirUAPEuOQ6rxPa","1","1","30m Labs: Grade 6 - Lesson 1","<p>Lab: Reading Rocks<br>⍞ Materials: Grade 6 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of Reading Rocks, as directed in the Lab Book.</p><p>Suggested day 1: Students read the Introduction and then compose the prelab narration in the lab notebook. These need not be more than 1-3 sentences at first, and teachers should feel free to scribe for students, as necessary. Spend remaining time gathering materials for next week.</p>","<p>★ TEACHER TIP<br>Pacing is only a suggestion. Students should engage with the lab at a pace that is appropriate for their abilities and interests.</p>","","Lab","0","FALSE"
"alveary-recYOEHT8vZGbZNw7","alveary-recXEoHSncwXbtJhW","2","1","30m Labs: Grade 6 - Lesson 2","<p>Lab: Reading Rocks<br>⍞ Materials: Grade 6 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Reading Rocks, as directed in the Lab Book.</p><p>Suggested day 2: Students complete roughly steps 1-3 of the Procedure today. There is some flexibility to complete more or less, depending on the student.</p>","","","Lab","0","FALSE"
"alveary-recYOEHT8vZGbZNw7","alveary-recSZoj2LUBmHsWyz","3","1","30m Labs: Grade 6 - Lesson 3","<p>Lab: Reading Rocks<br>⍞ Materials: Grade 6 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 3 of Reading Rocks, as directed in the Lab Book.</p><p>Suggested day 3: Students complete steps 4-8 of the Procedure today.</p><p>• NATURE NOTEBOOK <br>Note that step 8 of lab directs students to conduct outdoor work before the next lab period: see prompt in Outdoor Work Quick Link.</p>","","","Lab","0","FALSE"
"alveary-recYOEHT8vZGbZNw7","alveary-recv23YQaE3qGYufZ","4","1","30m Labs: Grade 6 - Lesson 4","<p>Lab: Reading Rocks<br>⍞ Materials: Grade 6 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 4 of Reading Rocks, as directed in the Lab Book.</p><p>Suggested day 4: Students complete step 9 of the Procedure today, as well as the Analysis and Conclusion section.</p>","","","Lab","0","FALSE"
"alveary-recYOEHT8vZGbZNw7","alveary-reckQmHrzHE6H2Rry","5","1","30m Labs: Grade 6 - Lesson 5","<p>Lab: Fossils<br>⍞ Materials: Grade 6 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete Fossils, as directed in the Lab Book.</p>","","","Lab","0","FALSE"
"alveary-recYOEHT8vZGbZNw7","alveary-recL1q1H1tFhnl5wC","6","1","30m Labs: Grade 6 - Lesson 6","<p>Lab: What Do Volcanoes Tell Us?<br>⍞ Materials: Grade 6 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 1 of What Do Volcanoes Tell Us?, as directed in the Lab Book.</p><p>Suggested day 1: Students read the Introduction and then compose the prelab narration in the lab notebook. Use any remaining time to begin the Procedure.</p>","","","Lab","0","FALSE"
"alveary-recYOEHT8vZGbZNw7","alveary-rec0ilqkjaMsr8PBl","7","1","30m Labs: Grade 6 - Lesson 7","<p>Lab: What Do Volcanoes Tell Us?<br>⍞ Materials: Grade 6 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of What Do Volcanoes Tell Us?, as directed in the Lab Book.</p><p>Suggested day 2: Students complete the Procedure today.</p>","","","Lab","0","FALSE"
"alveary-recYOEHT8vZGbZNw7","alveary-recz6qY5K4zQpGqSe","8","1","30m Labs: Grade 6 - Lesson 8","<p>Lab: What Do Volcanoes Tell Us?<br>⍞ Materials: Grade 6 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 3 of What Do Volcanoes Tell Us?, as directed in the Lab Book.</p><p>Suggested day 3: Students complete the Analysis and Conclusion instruction in the lab book.</p>","","","Lab","0","FALSE"
"alveary-recYOEHT8vZGbZNw7","alveary-recM0izcQI6r5JKb2","9","1","30m Labs: Grade 6 - Lesson 9","<p>Lab: Earthquake Shake<br>⍞ Materials: Grade 6 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 1 of Earthquake Shake, as directed in the Lab Book.</p><p>Suggested day 1: Students complete the Introduction and compose the prelab narration in the lab notebook. Use any remaining time to begin the Procedure.</p>","","","Lab","0","FALSE"
"alveary-recYOEHT8vZGbZNw7","alveary-recAmZELn30WPNw1u","10","1","30m Labs: Grade 6 - Lesson 10","<p>Lab: Earthquake Shake<br>⍞ Materials: Grade 6 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Earthquake Shake, as directed in the Lab Book.</p><p>Suggested day 2: Students complete the Procedure today.</p>","","","Lab","0","FALSE"
