"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recYjmR1fkRboUm8D","alveary-receTmOW34W1F1lAm","1","1","45m Art History - Lesson 1","<p>Prehistoric Art<br>⍞ Materials: Charcoal, rock (to crush charcoal), white chalk stick, brown pastel (about an inch long), disposable plates, bowls or cups (to mix pigments on/in), sticks, concrete outside (in some form to work on), The Arts: A Visual Encyclopedia, Children's Book of Art (optional)</p><p>PREP: Students will need to do this project outside on some form of concrete: driveway, sidewalk, patio, garden paver, etc.</p><p>➜ INTRO<br>Look at and read p.14-17, 172-173 in The Arts: A Visual Encyclopedia and p.12-13 in Children's Book of Art (optional)</p><p>➜ PRACTICE<br>• Go outside on your driveway, sidewalk, or patio. You need concrete <br>   or something like a garden paver. <br>• Draw a picture of a hunting scene, a herd of animals, a farm, tribal dancing, <br>   etc., using the charcoal, white chalk, and brown pastel. Remember that <br>   the prehistoric people drew these images from memory as opposed to <br>   observation. <br>• Place what is left over of each into its own dish and crush it with the <br>   rock until it is powder. This becomes the pigment you will mix with<br>   water (or animal fat if you have it around).<br>• Add a small amount of water to each and mix until they are similar to <br>   paint. <br>• Add details to the drawings you created using your fingers dipped in the <br>   liquid charcoal, chalk, and pastel. <br>• You could also use sticks and rocks you find outside to “paint” with. <br>   Explore the natural materials you have around you. Maybe you have <br>   pine straw that could act like brush bristles, or you could use seed pods <br>   from trees as a painting utensil. <br>• Clean up by throwing away the dishes you mixed your pigments in <br>   and disposing of the found materials you used. Wash your hands.</p><p>➜ DISCUSS<br>What was noticed or discovered?<br>Show someone your cave paintings and share the story you created.</p>","","","Lesson","0","FALSE"
"alveary-recYjmR1fkRboUm8D","alveary-recbZh2fl4r2clXyk","1","2","45m Art History - Lesson 2","<p>Sumerian Art <br>⍞ Materials: The Arts: A Visual Encyclopedia, collage materials such as different types and colors of paper (can be scraps), glue sticks, gold leaf, 12&quot;x18&quot; black construction paper, fine point pens (such as Sharpie), scissors, pencil, ruler, colored pencils, crayons, etc., gallon-sized Ziplock bag</p><p>PREP: Students will have five class periods to do the assigned reading, watch the videos, and work on this project.</p><p>➜ INTRO<br>Look at and read through p.18-19 in The Arts: A Visual Encyclopedia</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Standard of Ur<br>∞ Image Link: Google Arts Standard of Ur<br>∞ Video Link: How I Collage... (Start watching at 10:40. This is how you can make collages.)</p><p>➜ PRACTICE<br>You will create your own Standard of Ur by creating a collage.<br>Think about the different layers of the Standard of Ur and divide your paper horizontally and equally into three sections using your pencil and ruler.<br>Create a design with different colors and shapes of paper that is about 1&quot; wide around the outside of the paper and over the horizontal lines you just drew. This will create a frame similar to what you see on the Standard of Ur. You can add more detail to this design with drawing tools like crayons, pens, and pencils. <br>You can choose to do a peacetime scene or a wartime scene. If you finish your scene before the end of the five class times, you can create the other scene too. <br>Take a minute to think through and plan what each scene will look like. Remember how the original standard was divided by social classes on the peace side. That is one way to organize your scenes, but you can choose to do it any way you would like. <br>Create the people, animals, and objects by cutting different kinds and colors of paper into shapes. Glue those pieces on your standard. You do not have to copy the Standard of Ur exactly. You are free to be creative. <br>Think big shapes with your paper pieces, like the head and body. Then use a colored pencil or ink pen to add the details of the face or the designs on the clothing.<br>Clean up each day by gathering all of your scraps and placing them in a gallon-sized Ziplock bag. <br>You will have four more class periods to work on your Standard of Ur.</p>","","https://planning.alveary.org/links.html?id=recYjmR1fkRboUm8D&term=1&week=1","Lesson","0","FALSE"
"alveary-recYjmR1fkRboUm8D","alveary-recQHZkKcrpWI0Qeq","2","1","45m Art History - Lesson 3","<p>Sumerian Art<br>⍞ Materials: The Arts: A Visual Encyclopedia, collage materials such as different types and colors of paper (can be scraps), glue sticks, gold leaf, 12&quot;x18&quot; black construction paper, fine point pens (such as Sharpie), scissors, pencil, ruler, colored pencils, crayons, etc., gallon-sized Ziplock bag</p><p>➜ PRACTICE<br>This is Day 2 of working on your Standard of Ur collage. Aim to finish at least one level today.<br>Use the gold leaf to add to special areas in the frame. You can also use it in other areas, but don't overuse it. You will have other assignments in Term 2 that take advantage of the gold leaf as well.</p>","","","Lesson","0","FALSE"
"alveary-recYjmR1fkRboUm8D","alveary-recpgFvAtk1gcKEIo","2","2","45m Art History - Lesson 4","<p>Sumerian Art<br>⍞ Materials: The Arts: A Visual Encyclopedia, collage materials such as different types and colors of paper (can be scraps), glue sticks, gold leaf, 12&quot;x18&quot; black construction paper, fine point pens (such as Sharpie), scissors, pencil, ruler, colored pencils, crayons, etc., gallon-sized Ziplock bag</p><p>➜ PRACTICE<br>Continue working on your Standard of Ur collage. You will have two more classes after this to finish it.</p>","","","Lesson","0","FALSE"
"alveary-recYjmR1fkRboUm8D","alveary-recXa67xju0aEHDUx","3","1","45m Art History - Lesson 5","<p>Sumerian Art<br>⍞ Materials: The Arts: A Visual Encyclopedia, collage materials such as different types and colors of paper (can be scraps), glue sticks, gold leaf, 12&quot;x18&quot; black construction paper, fine point pens (such as Sharpie), scissors, pencil, ruler, colored pencils, crayons, etc., gallon-sized Ziplock bag</p><p>➜ PRACTICE<br>Continue working on your Standard of Ur collage. You will have one more class after this to finish it.</p>","","","Lesson","0","FALSE"
"alveary-recYjmR1fkRboUm8D","alveary-recfiKfbZponuIym4","3","2","45m Art History - Lesson 6","<p>Sumerian Art<br>⍞ Materials: The Arts: A Visual Encyclopedia, collage materials such as different types and colors of paper (can be scraps), glue sticks, gold leaf, 12&quot;x18&quot; black construction paper, fine point pens (such as Sharpie), scissors, pencil, ruler, colored pencils, crayons, etc., gallon-sized Ziplock bag</p><p>➜ NOTE<br>You will need a brown grocery bag or brown craft paper for the next lesson.</p><p>➜ PRACTICE<br>Plan to finish your collage today. If you haven't added details with colored pencils, pens, or crayons, do that now.</p>","","","Lesson","0","FALSE"
"alveary-recYjmR1fkRboUm8D","alveary-recWJPPpqlqu25sN4","4","1","45m Art History - Lesson 7","<p>Ancient Egyptian Art<br>⍞ Materials: The Arts: A Visual Encyclopedia, Children's Book of Art (optional), pencils, brown paper bag (grocery bag or craft paper will work), black, silver and/or gold metallic pens (such as Sharpies), glue sticks, scissors, profile picture printed to 8.5x11, colored pencils, crayons, markers or tempera sticks (any of these will do for adding color).</p><p>PREP: You will need to take a picture of the student close enough to see their head, neck, and shoulders (bust). Students need to stand facing forward and turn their head either to the left or to the right. Their profile is what they will use for the project. (Think figures in traditional Ancient Egyptian art.) You will print this photo on regular copy paper in black and white.</p><p>➜ NOTE<br>Students will have four class periods to complete this project, which includes reading, viewing, narrating, and working on the project.</p><p>➜ INTRO<br>Read p.20-23 in The Arts: A Visual Encyclopedia and p.14-15 in Children's Book of Art.</p><p>➜ PRACTICE<br>1\. Read the assignment in INTRO.<br>2\. Watch the tutorial video.<br>∞ Video Link: Egyptian Portraits<br>3\. Take a photo of yourself, like in the tutorial, after cutting out and taping down your brown paper bag.<br>4\. Carefully cut out your profile picture. Cut around your face, neck, and<br>   shoulders. Cut your brown paper to be about 11x14&quot;.<br>5\. Glue this to the brown paper background. Let the glue dry for a few<br>    minutes.<br>6\. Study the crowns and neck embellishments of Pharaohs and Queens<br>    of Egypt in the provided link. <br>∞ Image Link: Egyptian Portrait Examples<br>7\. Choose the crown you will place on your head and decide on the look<br>    of your neck embellishments. Look at the examples of completed<br>    projects to get an idea of what you can do. <br>8\. Clean up. Store your artwork in a safe place where it can lie flat.</p>","","https://planning.alveary.org/links.html?id=recYjmR1fkRboUm8D&term=1&week=4","Lesson","0","FALSE"
"alveary-recYjmR1fkRboUm8D","alveary-recGAP4ETxy1jNhPG","4","2","45m Art History - Lesson 8","<p>Ancient Egyptian Art<br>⍞ Materials: The Arts: A Visual Encyclopedia, Children's Book of Art (optional), pencils, brown paper bag (grocery bag or craft paper will work), black, silver and/or gold metallic pens (such as Sharpies), glue sticks, scissors, profile picture printed to 8.5x11, colored pencils, crayons, markers or tempera sticks (any of these will do for adding color).</p><p>PREP: Pull together all of the necessary materials before beginning.</p><p>➜ INTRO<br>Remember which crown you decided on from the last lesson.</p><p>➜ PRACTICE<br>1\. Use a regular pencil to draw the crown on the head of your profile. Think<br>   about how it would fit appropriately on your head. Be sure to draw it in<br>   proportion to your head!<br>2\. Lightly sketch in your neck embellishments, beards, and/or earrings.<br>   Make all things in proportion. Remember that the traditional ancient<br>   Egyptian portrait is the head in profile, while the shoulders are facing<br>   perfectly forward. <br>3\. Use whatever media (tempera sticks, colored pencils, crayons,<br>    markers) you have to add color to your crown, neck <br>    embellishments, and whatever else you have added to your photo.<br>4\. You will have two more lesson times to complete this project. Work<br>    carefully.</p><p>∞ Video Link: Egyptian Portraits <br>∞ Image Link: Egyptian Portrait Examples</p>","","https://planning.alveary.org/links.html?id=recYjmR1fkRboUm8D&term=1&week=4","Lesson","0","FALSE"
"alveary-recYjmR1fkRboUm8D","alveary-recuUr6VztX0JahUo","5","1","45m Art History - Lesson 9","<p>Ancient Egyptian Art<br>⍞ Materials: The Arts: A Visual Encyclopedia, Children's Book of Art (optional) pencils, brown paper bag (grocery bag or craft paper will work), black, silver and/or gold metallic pens (such as Sharpies), glue sticks, scissors, profile picture printed to 8.5x11, colored pencils, crayons, markers or tempera sticks (any of these will do for adding color).</p><p>PREP: Pull together all of the necessary materials before beginning.</p><p>➜ PRACTICE<br>Continue working on your Ancient Egyptian Pharaoh or Queen portrait. You have this lesson and one more to complete it. <br>If you have not yet, add metallic markers to your design. Use the black pen to apply eye makeup like an ancient Egyptian would have had.</p><p>∞ Video Link: Egyptian Portraits <br>∞ Image Link: Egyptian Portrait Examples</p>","","https://planning.alveary.org/links.html?id=recYjmR1fkRboUm8D&term=1&week=5","Lesson","0","FALSE"
"alveary-recYjmR1fkRboUm8D","alveary-rec4fAIYFfSnLrC5K","5","2","45m Art History - Lesson 10","<p>Ancient Egyptian Art<br>⍞ Materials: The Arts: A Visual Encyclopedia, Children's Book of Art (optional) pencils, brown paper bag (grocery bag or craft paper will work), black, silver and/or gold metallic pens (such as Sharpies), glue sticks, scissors, profile picture printed to 8.5x11, colored pencils, crayons, markers or tempera sticks (any of these will do for adding color).</p><p>PREP: Pull together all of the necessary materials before beginning.</p><p>➜ PRACTICE<br>Complete your Ancient Egyptian Pharaoh or Queen portrait.</p><p>∞ Video Link: Egyptian Portraits <br>∞ Image Link: Egyptian Portrait Examples</p>","","https://planning.alveary.org/links.html?id=recYjmR1fkRboUm8D&term=1&week=5","Lesson","0","FALSE"
