"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recYpcbtzFZEFBL5M","alveary-recILjpHkRsLyFRVo","1","1","20m First Citizen Stories - Lesson 1","<p>The Building of Rome<br>⍞ Materials: Stories from the History of Rome, Historical Atlas of the World</p><p>➜ INTRO<br>Look at the cover of the book. What do you think this book will be about?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.I p.1-4 &quot;There once reigned&quot; - &quot;as a god.&quot;</p><p>➜ LOCATE<br>Locate and discuss where the story takes place (Rome, Italy).<br>⍞ Map Resource: Historical Atlas of the World<br>&quot;Roman Republic,&quot;  - &quot;City of Rome&quot; p.14-17</p><p>• IMPORTANT DATES<br> Founding of Rome (753 B.C.)</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recdJTulIj1GGrFge","2","1","20m First Citizen Stories - Lesson 2","<p>The Horatii and the Curiatii<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.II p.5-8 &quot;In the reign&quot; - &quot;was left alone.&quot;</p>","<p>★ TEACHER TIP<br>If you haven't planned for a Community Read Aloud yet, consider adding it to your gathering, meal time, or as a way to lighten the burden of chores! You can find suggestions in Quick Links.</p>","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recJ2hES5Vqce3gmY","3","1","20m First Citizen Stories - Lesson 3","<p>The Horatii and the Curiatii (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.II p.8-12 &quot;The Horatius sprang&quot; - &quot;town of Rome.&quot;</p><p>➜ PICTURE TALK<br>Look at this picture titled Combat of the Horatii and the Curiatii. It is a mural that was painted by Giuseppe Cesari in 1612. What part of the story is depicted?<br>∞ Image Link: Combat...Curiatii</p><p>• IMPORTANT DATES<br> The Horatii &amp; The Curiatii (c.630 B.C.)</p>","","https://planning.alveary.org/links.html?id=recYpcbtzFZEFBL5M&term=1&week=3","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recG90au3upPfGTfE","4","1","20m First Citizen Stories - Lesson 4","<p>Brutus and His Sons<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.III p.13-16 &quot;The last king&quot; - &quot;his own house.&quot;</p><p>• IMPORTANT DATES<br>Lucius Junius Brutus (545 B.C.-509 B.C.)</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recfTQdSUj0kKG6WM","5","1","20m First Citizen Stories - Lesson 5","<p>How Lars Porsenna Besieged Rome<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.IV p.17-20 &quot;When King Tarquin&quot; - &quot;before Porsenna.&quot;</p>","<p>★ TEACHER TIP<br>You can find suggestions for Community Read Alouds in Quick Links.</p>","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-rec1GqWoMFTMmtEqF","6","1","20m First Citizen Stories - Lesson 6","<p>How Lars Porsenna... (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.IV p.20-22 &quot;The king asked&quot; - &quot;the Holy Street.&quot;</p><p>• IMPORTANT DATES<br>Lars Porsenna Besieges Rome (c.508 B.C.)</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recPVKC8EoJWsVnTd","7","1","20m First Citizen Stories - Lesson 7","<p>Caius Marcius and His Mother<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.V p.23-26 &quot;There was a&quot; - &quot;won for Rome.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-rec953ZeaIwMK0HO0","8","1","20m First Citizen Stories - Lesson 8","<p>Caius Marcius and His Mother (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.V p.26-29 &quot;Soon after this&quot; - &quot;they were friends.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recKOpoHB87gwnNs5","9","1","20m First Citizen Stories - Lesson 9","<p>Caius Marcius and His Mother (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.V p.29-33 &quot;Not long after&quot; - &quot;to his memory.&quot;</p><p>• IMPORTANT DATES<br>Caius Marcius (5th Century B.C.)</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recnA5unG5wZTexkF","10","1","20m First Citizen Stories - Lesson 10","<p>The Deeds of the Fabii<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VI p.34-38 &quot;There was in&quot; - &quot;the whole army&quot;</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recOoGJkL3hIA1E9S","11","1","20m First Citizen Stories - Lesson 11","<p>The Deeds of the Fabii (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VI p.38-41 &quot;Meantime, Manlius&quot; - &quot;one young boy.&quot;</p><p>• IMPORTANT DATES<br>The Fabii (c.480 B.C.)</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recohiEkES5N2w0K2","12","1","20m First Citizen Stories - Lesson 12","<p>Exam Week<br>⍞ Materials: Stories from the History of Rome</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Stories from the History of Rome</p>","<p>★ TEACHER TIP<br>If you haven't tried a Community Read Aloud yet, consider how you might plan for this habit next term!</p><p>★ First Citizen Stories — TERM 1 EXAM QUESTIONS<br>· Stories from the History of Rome: Tell the story of Caius Marcius and his mother.</p>","","Exam","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recSCRjCjC4eiqVrl","13","1","20m First Citizen Stories - Lesson 13","<p>Cincinnatus<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS: <br>Ch.VII p.42-44 &quot;There was a&quot; - &quot;set them free.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recSczHSdedMUvai2","14","1","20m First Citizen Stories - Lesson 14","<p>Cincinnatus (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VII p.44-47 &quot;So Cincinnatus went&quot; - &quot;only sixteen days.&quot;</p><p>• IMPORTANT DATES<br>Cincinnatus (519 B.C.-430 B.C.)</p>","<p>★ TEACHER TIP<br>If you haven't planned for a Community Read Aloud yet, consider adding it to your gathering, meal time, or as a way to lighten the burden of chores! You can find suggestions in Quick Links.</p>","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recWMvUA0UIoagiBz","15","1","20m First Citizen Stories - Lesson 15","<p>The Battle of Corbio<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VIII p.48-50 &quot;Some years after&quot; - &quot;to their cities.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recPFu6mlsvyQ0B0t","16","1","20m First Citizen Stories - Lesson 16","<p>The Battle of Corbio (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VIII p.50-52 &quot;Never were the&quot; - &quot;back to Rome.&quot;</p><p>• IMPORTANT DATES<br>Battle of Corbio (446 B.C.)</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-rec3CbAbkU1H6yWkS","17","1","20m First Citizen Stories - Lesson 17","<p>How the Romans Won Two Cities<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.IX p.53-56 &quot;There was&quot; - &quot;are doing nothing.&quot;</p><p>➜ LOCATE<br>Use this map to locate Veii and discuss travel from Rome to Veii.<br>∞ Map Link: Etruscan Civilization</p>","","https://planning.alveary.org/links.html?id=recYpcbtzFZEFBL5M&term=2&week=17","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recM4OeCORZeA9kIy","18","1","20m First Citizen Stories - Lesson 18","<p>How the Romans Won... (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.IX p.56-59 &quot;The Senate then&quot; - &quot;reach the gates.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-rec06xaWQOtmNMioz","19","1","20m First Citizen Stories - Lesson 19","<p>How the Romans Won... (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.IX p.59-61 &quot;Camillus resolved&quot; - &quot;Camillus from Rome.&quot;</p><p>• IMPORTANT DATES<br>Battle of Veii (396 B.C.)</p>","<p>★ TEACHER TIP<br>Find suggestions for Community Read Alouds in Quick Links.</p>","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recP1F3jTMvjfW7Aw","20","1","20m First Citizen Stories - Lesson 20","<p>The Taking of Rome<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.X p.62-65 &quot;In the northern&quot; - &quot;for the night.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recqYGpb2rnIWIg97","21","1","20m First Citizen Stories - Lesson 21","<p>The Taking of Rome (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.X p.65-69 &quot;In the meantime&quot; - &quot;countrymen at Rome.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recBU17SBGMdQjaso","22","1","20m First Citizen Stories - Lesson 22","<p>The Taking of Rome (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS: <br>Ch.X p.69-73 &quot;In the meantime&quot; - &quot;their own country.&quot;</p><p>• IMPORTANT DATES<br>Gauls Sack Rome (c.390 B.C.)</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recEqRDikU8OQH11e","23","1","20m First Citizen Stories - Lesson 23","<p>The Gulf In the Forum<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XI p.74-75 &quot;Some years after&quot; - &quot;the Curtian Pool.&quot;</p>","<p>★ TEACHER NOTE<br>Please decide whether you want to read this chapter. This story ends with a Roman man giving his life as a sacrifice for the gods by jumping into a hole in the ground.</p>","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recPGs8oaEbTgxI29","24","1","20m First Citizen Stories - Lesson 24","<p>Exam Week<br>⍞ Materials: Stories from the History of Rome</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Stories from the History of Rome</p>","<p>★ First Citizen Stories — TERM 2 EXAM QUESTIONS<br>· Stories from the History of Rome: &quot;. . .Romans love justice more than victory.&quot; What did this mean in relation to winning the city of Falerii (Ch.9)?</p>","","Exam","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recLu35m7uSncXjdR","25","1","20m First Citizen Stories - Lesson 25","<p>The Story of Titus Manlius<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XII p.76-80 &quot;The Romans were&quot; - &quot;did they seem.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recVN26rwUq6cEI0q","26","1","20m First Citizen Stories - Lesson 26","<p>The Story of Titus Manlius (cont.)<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XII p.80-84 &quot;The Gaul was&quot; - &quot;of the Romans.&quot;</p><p>• IMPORTANT DATES<br>Titus Manlius (365 B.C.-340 B.C.)</p>","","","Lesson","0","FALSE"
"alveary-recYpcbtzFZEFBL5M","alveary-recBSEj0bczw9fuyD","27","1","20m First Citizen Stories - Lesson 27","<p>The Death of Decius<br>⍞ Materials: Stories from the History of Rome</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XIII p.85-88 &quot;In the last&quot; - &quot;from their foes.&quot;</p>","","","Lesson","0","FALSE"
