"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recZItIL78TwlSXhJ","alveary-recK9Zfcmmm3R7Hg9","1","1","20m Lettering: Level 3 - Lesson 1","<p>Watercolor Practice Sans Serif<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW &amp; PRACTICE<br>Watch the tutorial video. Practice writing your alphabet in upper and lowercase sans serif. Also practice numbers 0-9.<br>∞ Video Link: Lettering 3: Brush Drawing Sans Serif<br>⍞ Image Resource: The Complete Book of Chalk Lettering p.10</p><p>➜ NOTE<br>You will be completing this with watercolor and round brush, size 6 or 8.</p>","","https://planning.alveary.org/links.html?id=recZItIL78TwlSXhJ&term=1&week=1","Lesson","0","FALSE"
"alveary-recZItIL78TwlSXhJ","alveary-recSJ8vHbzVZ5eoua","2","1","20m Lettering: Level 3 - Lesson 2","<p>Watercolor Practice Serif<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW &amp; PRACTICE<br>Watch the tutorial video. Practice writing your alphabet in upper and lowercase serif. Also practice numbers 0- 9.<br>∞ Video Link: Lettering 3: Brush Drawing Serif<br>⍞ Image Resource: The Complete Book of Chalk Lettering p.11</p><p>➜ NOTE<br>You will be completing this with watercolor and round brush, size 6 or 8.</p>","","https://planning.alveary.org/links.html?id=recZItIL78TwlSXhJ&term=1&week=2","Lesson","0","FALSE"
"alveary-recZItIL78TwlSXhJ","alveary-rec0OwBPiD4jaBVms","3","1","20m Lettering: Level 3 - Lesson 3","<p>Watercolor Practice Script<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW &amp; PRACTICE<br>Watch the tutorial video. Practice writing your alphabet in upper and lowercase script. Also practice numbers 0-9.<br>∞ Video Link: Lettering 3: Brush Drawing Script<br>⍞ Image Resource: The Complete Book of Chalk Lettering p.11</p><p>➜ NOTE<br>You will be completing this with watercolor and round brush, size 6 or 8.</p>","","https://planning.alveary.org/links.html?id=recZItIL78TwlSXhJ&term=1&week=3","Lesson","0","FALSE"
"alveary-recZItIL78TwlSXhJ","alveary-recIDzKOZhHUzrDCj","4","1","20m Lettering: Level 3 - Lesson 4","<p>Watercolor Shadow &amp; Dimension<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW &amp; PRACTICE<br>Watch the tutorial video. Add shadow lines and dimension to your letters.<br>∞ Video Link: Lettering 3: Brush Drawing Shadow Lines &amp; Dimension<br>⍞ Image Resource: The Complete Book of Chalk Lettering p.30-33</p><p>➜ NOTE<br>You will be completing this with watercolor and round brush, size 6 or 8.</p>","","https://planning.alveary.org/links.html?id=recZItIL78TwlSXhJ&term=1&week=4","Lesson","0","FALSE"
"alveary-recZItIL78TwlSXhJ","alveary-rec4gPplch1xY1L4e","5","1","20m Lettering: Level 3 - Lesson 5","<p>Watercolor Overlapping Letters<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW &amp; PRACTICE<br>Watch the tutorial video. Write words with overlapping letters.<br>∞ Video Link: Lettering 3: Brush Drawing Overlapping Letters<br>⍞ Image Resource: The Complete Book of Chalk Lettering p.34</p><p>➜ NOTE<br>You will be completing this with watercolor and round brush, size 6 or 8.</p>","","https://planning.alveary.org/links.html?id=recZItIL78TwlSXhJ&term=1&week=5","Lesson","0","FALSE"
"alveary-recZItIL78TwlSXhJ","alveary-recDxsoUwtZEtrn9B","6","1","20m Lettering: Level 3 - Lesson 6","<p>Watercolor Practice Ombré<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW &amp; PRACTICE<br>Watch the tutorial video. Practice writing letters using ombré.<br>∞ Video Link: Lettering 3: Brush Drawing Ombré <br>⍞ Image Resource: The Complete Book of Chalk Lettering &amp; Brush<br>   Drawing Ombré Letters p.35</p><p>➜ NOTE<br>You will be completing this with watercolor and round brush, size 6 or 8.</p>","","https://planning.alveary.org/links.html?id=recZItIL78TwlSXhJ&term=1&week=6","Lesson","0","FALSE"
"alveary-recZItIL78TwlSXhJ","alveary-rec7qBBxcjRiQHUaa","7","1","20m Lettering: Level 3 - Lesson 7","<p>Watercolor Practice Outlining <br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ PRACTICE<br>Try creating words using what you have previously practiced and adding the technique from the book.<br>⍞ Image Resource: The Complete Book of Chalk Lettering p.36</p><p>➜ NOTE<br>You will be completing this with watercolor and round brush, size 6 or 8.</p>","","","Lesson","0","FALSE"
"alveary-recZItIL78TwlSXhJ","alveary-recQnDhz9yArSENOy","8","1","20m Lettering: Level 3 - Lesson 8","<p>Watercolor Practice Lettering<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ PRACTICE <br>Work through the letter styles on the following pages at your own pace.<br>⍞ Image Resource: The Complete Book of Chalk Lettering p.40-59</p><p>➜ NOTE<br>You will be completing this with watercolor and round brush, size 6 or 8.</p>","","","Lesson","0","FALSE"
"alveary-recZItIL78TwlSXhJ","alveary-recBrmTmw2WL58YjG","9","1","20m Lettering: Level 3 - Lesson 9","<p>Watercolor Practice Lettering<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ PRACTICE<br>Work through the letter styles on the following pages at your own pace.<br>⍞ Image Resource: The Complete Book of Chalk Lettering p.40-59</p><p>➜ NOTE<br>You will be completing this with watercolor and round brush, size 6 or 8.</p>","","","Lesson","0","FALSE"
"alveary-recZItIL78TwlSXhJ","alveary-rec9CFuw07q2Er6ql","10","1","20m Lettering: Level 3 - Lesson 10","<p>Watercolor Practice Flourishes, etc.<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ PRACTICE<br>Work through the flourishes, banners and borders on the following pages at your own pace.<br>⍞ Image Resource: The Complete Book of Chalk Lettering p.62-91</p><p>➜ NOTE<br>You will be completing this with watercolor and round brush, size 6 or 8.</p>","","","Lesson","0","FALSE"
