"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reca24T2OswClPFKb","alveary-reclL6soBkfHG5KHF","1","1","30m Art: Level 5 - Lesson 1","<p>Color Theory: Expanded Color Wheel <br>⍞ Materials: spray bottle, watercolor palettes prepared with Quinacridone Pink, Prussian Blue, and Hansa Yellow, brushes, water, cloth, printed color wheel</p><p>PREP: Print color wheel on white cardstock.<br>∞ Link: Color Wheel</p><p>➜ RECAP<br>Recall all you know about color thus far. Name the colors in the basic color wheel (three primary and three secondary colors). What do you recall about the expanded color wheel and tertiary colors?</p><p>➜ INTRO<br>It is important to review concepts at the beginning of the year. Today, we are going to make a new, expanded color wheel to refresh the skills we learned in level 4. We have two lesson periods to complete this, so there is no reason to rush.</p><p>➜ DISCUSS<br>Tertiary colors<br>• Tertiary colors are made by mixing a primary color with a secondary color.<br>• They are red-orange, yellow-orange, yellow-green, blue-green, blue-purple, and red-purple. <br>• Always state the primary and then the secondary color when naming the tertiary color.</p><p>➜ PRACTICE<br>Expanded color wheel (Complete over two lesson periods; work at your own pace.)<br>• Paint primary colors first; then secondary; then tertiary.<br>• Students will need to mix fresh secondary and tertiary colors. <br>• Refer to the example to see placement within the wheel.<br>• Color placement on the color wheel must be exact. Start over if you make a mistake.<br>• The color wheel will be referred to throughout the term, so keep it in a handy place. One idea is to paste it onto the inside cover of your Art Book. <br>∞ Image Link: Example of Expanded Color Wheel<br>∞ Video Link: Create an Expanded Color Wheel L4 L49, L5 L1, &amp; L6 L25</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Spend time looking outside and naming the colors that you see. Talk about the primary colors that you would use to mix those colors.</p>","","https://planning.alveary.org/links.html?id=reca24T2OswClPFKb&term=1&week=1","Lesson","0","FALSE"
"alveary-reca24T2OswClPFKb","alveary-rec1NWozyQjdLa8lu","1","2","30m Art: Level 5 - Lesson 2","<p>Color Theory: Expanded Color Wheel <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, color wheel, neutral pigment</p><p>➜ RECAP<br>Recall all you know about color thus far. Name the colors in the basic color wheel (three primary and three secondary colors). What do you recall about the expanded color wheel and tertiary colors?</p><p>➜ INTRO<br>Today, we are going to finish our expanded color wheel.</p><p>➜ DISCUSS<br>Tertiary colors<br>• Tertiary colors are made by mixing a primary color with a secondary color.<br>• They are red-orange, yellow-orange, yellow-green, blue-green, blue-purple, and red-purple. <br>• Always state the primary and then the secondary color when naming the tertiary color.</p><p>➜ PRACTICE<br>Complete expanded color wheel. <br>• Finish mixing colors and painting them in the appropriate places.<br>• Refer to the example if you are confused about placement within the wheel.<br>• Color placement on the color wheel must be exact. Start over if you make a mistake.<br>• The color wheel will be referred to throughout the term, so keep it in a handy place. One idea is to paste it onto the inside cover of your <br>Art Book. <br>∞ Image Link: Example of Expanded Color Wheel<br>∞ Video Link: Create an Expanded Color Wheel L4 L49, L5 L1, &amp; L6 L25</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Spend time looking outside and naming the colors that you <br>see. Talk about the primary colors that you would use to mix <br>those colors.</p>","","https://planning.alveary.org/links.html?id=reca24T2OswClPFKb&term=1&week=1","Lesson","0","FALSE"
"alveary-reca24T2OswClPFKb","alveary-recgYqB8Nzdkib1VR","2","1","30m Art: Level 5 - Lesson 3","<p>Color Theory: Neutral <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, color wheel, neutral paint, pencil, Art Book</p><p>➜ RECAP<br>Recall primary, secondary, and tertiary colors.</p><p>➜ INTRO<br>Today, we will learn how neutral affects color.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Adding Neutral to Watercolor L5 L3</p><p>➜ PRACTICE<br>• In your Art Book, lightly sketch in 24 two-inch squares. Try to place them in sets of two because you will use two squares per color. You <br>have 12 colors, so you will need 24 squares in total. You may need to use two or more sheets of paper. Beginning with Quinacridone Pink, <br>paint your first square.<br>• Pull a brush full of Quinacridone Pink to a clean place on your palette. Clean your brush. Dip the tip of your brush in the neutral and add it <br>to this pink. <br>• Paint that new color in the square next to the Quinacridone Pink. <br>• Discuss your observations. <br>• Do this same thing with red-orange, orange, and yellow-orange.</p><p>➜ NOTE<br>We will continue this during our next two Color Theory lesson periods.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Observe variations in color value on your nature walk and begin to apply this knowledge when working in your nature journal.</p>","","https://planning.alveary.org/links.html?id=reca24T2OswClPFKb&term=1&week=2","Lesson","0","FALSE"
"alveary-reca24T2OswClPFKb","alveary-recL3jFrogYPi3L56","2","2","30m Art: Level 5 - Lesson 4","<p>Color Theory: Neutral and Hansa Yellow <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, color wheel, Art Book</p><p>➜ RECAP<br>• Recall primary, secondary, and tertiary colors.<br>• Recall neutral.</p><p>➜ INTRO<br>Today, we will continue our study of how neutral affects color.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Adding Neutral to Watercolor L5 L3</p><p>➜ PRACTICE<br>• Begin with Hansa Yellow today. Paint your next square.<br>• Pull a brush full of Hansa Yellow to a clean place on your palette. Clean your brush. Dip the tip of your brush in the neutral and add it to <br>this yellow. <br>• Paint that new color in the square next to the Hansa Yellow. <br>• Discuss your observations. <br>• Do this same thing with yellow-green, green, and blue-green.</p><p>➜ NOTE<br>We will complete this during our next Color Theory lesson period.</p>","","https://planning.alveary.org/links.html?id=reca24T2OswClPFKb&term=1&week=2","Lesson","0","FALSE"
"alveary-reca24T2OswClPFKb","alveary-recjWxkHAHIHd4fGw","3","1","30m Art: Level 5 - Lesson 5","<p>Color Theory: Neutral and Prussian Blue <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, color wheel, Art Book</p><p>➜ RECAP<br>• Recall primary, secondary, and tertiary colors.<br>• Recall neutral.</p><p>➜ INTRO<br>Today, we will continue our study of how neutral affects color.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Adding Neutral to Watercolor L5 L3</p><p>➜ PRACTICE<br>• Begin with Prussian Blue today. Paint your next square.<br>• Pull a brush full of Prussian Blue to a clean place on your palette. Clean your brush. Dip the tip of your brush in the neutral and add it to <br>this blue. <br>• Paint that new color in the square next to the Prussian Blue. <br>• Discuss your observations. <br>• Do this same thing with blue-purple, purple, and red-purple.</p>","","https://planning.alveary.org/links.html?id=reca24T2OswClPFKb&term=1&week=3","Lesson","0","FALSE"
"alveary-reca24T2OswClPFKb","alveary-reciG8P7SaMzeMPd1","3","2","30m Art: Level 5 - Lesson 6","<p>Color Theory: Value Scales with Neutral Watercolor in the Quinacridone Pink Family<br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book</p><p>➜ RECAP<br>• Recall value and shading.<br>• Recall neutral.</p><p>➜ INTRO<br>Students will change the value of their colors this term using neutral. These colors will be known as “shades” of their color.</p><p>➜ NOTE<br>There are three lesson times to complete four value scales in the Quinacridone Pink family. Pace yourself accordingly.</p><p>➜ PRACTICE<br>Value scales with neutral<br>• Set up 12 value scales in your Art Book. Each value scale should have five 1” squares in it.<br>• Move some Quinacridone Pink to a clean well in your palette. Paint this in the first box on one value scale.<br>• Dip the tip of your brush into neutral. Be careful to add a very tiny amount each time. Paint this new shade into the next square on the <br>Quinacridone Pink scale. <br>• Add another tiny amount of neutral to the pink and paint it in the next square in the same scale. <br>• Do this until you have filled in your Quinacridone Pink scale.<br>• Repeat these steps to complete value scales for red-orange, orange, and yellow-orange.<br>∞ Image Link: Value Scales by Adding Neutral</p><p>➜ DISCUSS<br>What happened to the color as you added more neutral?</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for objects on your nature walk that are different values of orange.</p>","","https://planning.alveary.org/links.html?id=reca24T2OswClPFKb&term=1&week=3","Lesson","0","FALSE"
"alveary-reca24T2OswClPFKb","alveary-recYp2yTsDP0zgeaZ","4","1","30m Art: Level 5 - Lesson 7","<p>Color Theory: Value Scales with Neutral Watercolor in the Quinacridone Pink Family<br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book</p><p>➜ RECAP<br>• Recall value and shading.<br>• Recall neutral.</p><p>➜ INTRO<br>Students will change the value of their colors this term using neutral. These colors will be known as “shades” of their color.</p><p>➜ NOTE<br>There are three lesson times to complete four value scales in the Quinacridone Pink family. Pace yourself accordingly.</p><p>➜ PRACTICE<br>Value scales with neutral<br>• Set up 12 value scales in your Art Book. Each value scale should have five 1” squares in it.<br>• Move some Quinacridone Pink to a clean well in your palette. Paint this in the first box on one value scale.<br>• Dip the tip of your brush into neutral. Be careful to add a very tiny amount each time. Paint this new shade into the next square on the <br>Quinacridone Pink scale. <br>• Add another tiny amount of neutral to the pink and paint it in the next square in the same scale. <br>• Do this until you have filled in your Quinacridone Pink scale.<br>• Repeat these steps to complete value scales for red-orange, orange, and yellow-orange.</p><p>➜ DISCUSS<br>What happened to the color as you added more neutral?</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for objects on your nature walk that are yellow-green.</p>","","","Lesson","0","FALSE"
"alveary-reca24T2OswClPFKb","alveary-recTC6mu5ZUhHqrah","4","2","30m Art: Level 5 - Lesson 8","<p>Color Theory: Value Scales with Neutral Watercolor in the Quinacridone Pink Family<br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book</p><p>➜ RECAP<br>• Recall value and shading.<br>• Recall neutral.</p><p>➜ INTRO<br>Students will change the value of their colors this term using neutral. These colors will be known as “shades” of their color.</p><p>➜ NOTE<br>There are three lesson times to complete four value scales in the Quinacridone Pink family. Pace yourself accordingly.</p><p>➜ PRACTICE<br>Value scales with neutral<br>• Set up 12 value scales in your Art Book. Each value scale should have five 1” squares in it.<br>• Move some Quinacridone Pink to a clean well in your palette. Paint this in the first box on one value scale.<br>• Dip the tip of your brush into neutral. Be careful to add a very tiny amount each time. Paint this new shade into the next square on the <br>Quinacridone Pink scale. <br>• Add another tiny amount of neutral to the pink and paint it in the next square in the same scale. <br>• Do this until you have filled in your Quinacridone Pink scale.<br>• Repeat these steps to complete value scales for red-orange, orange, and yellow-orange.</p><p>➜ DISCUSS<br>What happened to the color as you added more neutral?</p><p>• OCCUPATIONS <br>Illustrate a poem using shades of your colors.</p>","","","Lesson","0","FALSE"
"alveary-reca24T2OswClPFKb","alveary-recD9sqDeFybgDnP0","5","1","30m Art: Level 5 - Lesson 9","<p>Color Theory: Brush Drawing of Apple, Orange, or Grapefruit<br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book, apple, orange, or grapefruit</p><p>➜ RECAP<br>• Recall tertiary colors.<br>• Recall complementary colors.<br>• Recall neutral and how to create shades of colors.<br>• Recall how to make swatches in order to match colors.</p><p>➜ PRACTICE<br>• Set an apple, orange, or grapefruit in front of you.<br>• Observe the piece of fruit and discuss your observations.<br>• Prepare your color palette and match colors by creating swatches on your paper. <br>• Do a brush drawing of your fruit. Add value, shading, and shadows.<br>∞ Image Link: Grapefruit Example</p><p>➜ SELF-EVALUATE<br>Compare the colors in the brush drawing to the real piece of fruit. How accurate are your colors? How could you improve your brush drawing?</p><p>• OCCUPATIONS <br>Use pastels to draw a tree from memory in your Art Book. Add a neutral to your colors for the darker values.</p>","","https://planning.alveary.org/links.html?id=reca24T2OswClPFKb&term=1&week=5","Lesson","0","FALSE"
"alveary-reca24T2OswClPFKb","alveary-recJIPpnG6e4VHlfB","5","2","30m Art: Level 5 - Lesson 10","<p>Color Theory: Brush Drawing of Shell or Feather in the Red Family <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book, shell or feather</p><p>➜ RECAP<br>• Recall tertiary colors.<br>• Recall complementary colors.<br>• Recall neutral and how to create shades of colors.<br>• Recall how to make swatches in order to match colors.</p><p>➜ PRACTICE<br>• Set a shell or feather in front of you.<br>• Observe the object and discuss your observations.<br>• Prepare your color palette and match colors by creating swatches on your paper. <br>• Do a brush drawing of your object. Add value, shading, and shadows.<br>∞ Image Link: Shell Example<br>∞ Image Link: Feather Example</p><p>➜ SELF-EVALUATE<br>Compare the colors in the brush drawing to the real object. How accurate are your colors? How could you improve your brush drawing?</p><p>• OCCUPATIONS <br>Shading with pastels is similar to watercolors. Use pastels to draw an animal from memory in your Art Book. Add a neutral to your colors for the darker values.</p>","","https://planning.alveary.org/links.html?id=reca24T2OswClPFKb&term=1&week=5","Lesson","0","FALSE"
