"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-1-1","1","1","15m Nature Notebook: Grade 5 - Lesson 1","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-2-1","2","1","15m Nature Notebook: Grade 5 - Lesson 2","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-3-1","3","1","15m Nature Notebook: Grade 5 - Lesson 3","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-4-1","4","1","15m Nature Notebook: Grade 5 - Lesson 4","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-5-1","5","1","15m Nature Notebook: Grade 5 - Lesson 5","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-6-1","6","1","15m Nature Notebook: Grade 5 - Lesson 6","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-7-1","7","1","15m Nature Notebook: Grade 5 - Lesson 7","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-8-1","8","1","15m Nature Notebook: Grade 5 - Lesson 8","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-9-1","9","1","15m Nature Notebook: Grade 5 - Lesson 9","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-10-1","10","1","15m Nature Notebook: Grade 5 - Lesson 10","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-11-1","11","1","15m Nature Notebook: Grade 5 - Lesson 11","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-12-1","12","1","15m Nature Notebook: Grade 5 - Lesson 12","<p>recGreoFXQOXOrvgf</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-13-1","13","1","15m Nature Notebook: Grade 5 - Lesson 13","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-14-1","14","1","15m Nature Notebook: Grade 5 - Lesson 14","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-15-1","15","1","15m Nature Notebook: Grade 5 - Lesson 15","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-16-1","16","1","15m Nature Notebook: Grade 5 - Lesson 16","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-17-1","17","1","15m Nature Notebook: Grade 5 - Lesson 17","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-18-1","18","1","15m Nature Notebook: Grade 5 - Lesson 18","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-19-1","19","1","15m Nature Notebook: Grade 5 - Lesson 19","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-20-1","20","1","15m Nature Notebook: Grade 5 - Lesson 20","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-21-1","21","1","15m Nature Notebook: Grade 5 - Lesson 21","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-22-1","22","1","15m Nature Notebook: Grade 5 - Lesson 22","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-23-1","23","1","15m Nature Notebook: Grade 5 - Lesson 23","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-24-1","24","1","15m Nature Notebook: Grade 5 - Lesson 24","<p>recGreoFXQOXOrvgf</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-25-1","25","1","15m Nature Notebook: Grade 5 - Lesson 25","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-26-1","26","1","15m Nature Notebook: Grade 5 - Lesson 26","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-27-1","27","1","15m Nature Notebook: Grade 5 - Lesson 27","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-28-1","28","1","15m Nature Notebook: Grade 5 - Lesson 28","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-29-1","29","1","15m Nature Notebook: Grade 5 - Lesson 29","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-30-1","30","1","15m Nature Notebook: Grade 5 - Lesson 30","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-31-1","31","1","15m Nature Notebook: Grade 5 - Lesson 31","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-32-1","32","1","15m Nature Notebook: Grade 5 - Lesson 32","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-33-1","33","1","15m Nature Notebook: Grade 5 - Lesson 33","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-34-1","34","1","15m Nature Notebook: Grade 5 - Lesson 34","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
"alveary-reca3djrVV173a3dE","alveary-tracker-reca3djrVV173a3dE-35-1","35","1","15m Nature Notebook: Grade 5 - Lesson 35","<p>recGreoFXQOXOrvgf</p>","","","Lesson","0","FALSE"
