"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recay5okj71ONAjSd","alveary-recPC3byPEp0d4fP8","1","1","20m Playground Games - Lesson 1","<p>Movement Skills<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book<br>  <br>➜ READ <br>Movement skills and make sure student knows how to gallop, skip, etc.<br>The Ultimate Homeschool P.E. Game Book  <br>&quot;Games for Enhancing Movement Skills&quot; p.144</p><p>➜ PLAY <br>Little Brown Bear or Martian p.144-145</p><p>• Afternoon Extension (Optional)<br>May play games during free play time during the term.</p>","","","Lesson","0","FALSE"
"alveary-recay5okj71ONAjSd","alveary-recElC0Azxih3Xs41","2","1","20m Playground Games - Lesson 2","<p>Long Rope Jumping<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Long Jump Rope</p><p>➜ READ long rope jumping and gather supplies for the term.<br>The Ultimate Homeschool P.E. Game Book  <br>&quot;Long Rope Jumping&quot;  p.127</p><p>➜ PLAY<br>Jump the Stick p.177</p>","","","Lesson","0","FALSE"
"alveary-recay5okj71ONAjSd","alveary-recR2cJ6Js4LgkyV5","3","1","20m Playground Games - Lesson 3","<p>Movement Skills<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book</p><p>➜ PLAY<br>Octopus or Sunday p.145</p>","","","Lesson","0","FALSE"
"alveary-recay5okj71ONAjSd","alveary-recwnLVgfg0MrW469","4","1","20m Playground Games - Lesson 4","<p>Long Rope Jumping<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Long Jump Rope</p><p>➜ PLAY<br>High Water p.177</p>","","","Lesson","0","FALSE"
"alveary-recay5okj71ONAjSd","alveary-recnhIs9dGSDPiq6T","5","1","20m Playground Games - Lesson 5","<p>Movement Skills<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book</p><p>➜ PLAY<br>Trees p.146</p>","","","Lesson","0","FALSE"
"alveary-recay5okj71ONAjSd","alveary-reclxCph0JgWRpfya","6","1","20m Playground Games - Lesson 6","<p>Long Rope Jumping<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Long Jump Rope</p><p>➜ PLAY<br>Pendulum Jump p.177</p>","","","Lesson","0","FALSE"
"alveary-recay5okj71ONAjSd","alveary-recGbgcHnCwSOybcL","7","1","20m Playground Games - Lesson 7","<p>Throwing and Catching<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Beanbag (1), Cones (2)</p><p>➜ PLAY<br>Step Away p.147</p>","","","Lesson","0","FALSE"
"alveary-recay5okj71ONAjSd","alveary-rec2SoMNXAedu8TN4","8","1","20m Playground Games - Lesson 8","<p>Long Rope Jumping<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Long Jump Rope</p><p>➜ PLAY<br>Run Through p.177</p>","","","Lesson","0","FALSE"
"alveary-recay5okj71ONAjSd","alveary-recY47tiF3chi0zem","9","1","20m Playground Games - Lesson 9","<p>Throwing and Catching<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Beanbag (1), Cones (2)</p><p>➜ PLAY<br>Step Away p.147</p>","","","Lesson","0","FALSE"
"alveary-recay5okj71ONAjSd","alveary-rec3P8RuwLAhwG2qA","10","1","20m Playground Games - Lesson 10","<p>Long Rope Jumping<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Long Jump Rope</p><p>➜ PLAY<br>Regular Jumping or Hot Pepper p.178</p>","","","Lesson","0","FALSE"
"alveary-recay5okj71ONAjSd","alveary-recAaMBhXmJi3s8dl","11","1","20m Playground Games - Lesson 11","<p>Chasing and Fleeing<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Jump Ropes (2)</p><p>➜ PLAY<br>Duck Duck Goose (One-on-One) p.148</p>","","","Lesson","0","FALSE"
