"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recb8iEt7Ir3xrsKe","alveary-recMIE1viFgWp5Q7k","1","1","45m Geology Lessons - Lesson 1","<p>How Geology Works<br>⍞ Materials: The Field Guide to Geology</p><p>➜ NOTE<br>If you have a rock and/or fossil kit, you may find it useful to keep it nearby throughout this course.  As different materials are mentioned in your various books, you can reference these materials in your kit(s).</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read about 12.5 pages per week.  Narrate in a way that is helpful to you. Copy any diagrams or images that are helpful.</p><p>• PLAN WEEKLY<br>⬚ nature walk - record observations<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-recb8iEt7Ir3xrsKe","alveary-recKSPZIBzTuxWaqS","1","2","45m Geology Lessons - Lesson 2","<p>Practical Interpretation<br>⍞ Materials: Roadside Geology &amp; Notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Divide up your state or regional geology book so that you finish it this term. (If you are not able to finish it in one term, that is okay. You might choose to continue it next term or to leave off.) As you read, map your state or region, showing the interesting geological features. Plan field trips, if possible, to some of the sites. Record your observations and findings.</p>","","","Lesson","0","FALSE"
"alveary-recb8iEt7Ir3xrsKe","alveary-recvCuuZ3gLQ9u1xz","1","3","45m Geology Lessons - Lesson 3","<p>Identification</p><p>➜ INTRO<br>This is your day each week to prepare for your field studies using a mixture of resources provided for help, time for planning, and to spend time with the rocks you have found.</p><p>➜ RESEARCH <br>Start at Gator Girl Rocks to begin your journey. The How to Find Rocks website is helpful, as well. You will want to read about the laws that pertain to rockhounding and visit the links under your state. Read about any local resources, and begin making a plan. You might want to visit local nature centers and museums, and ask about local geology guides or guided tours. You might want to track down any local clubs or groups to join. Ask local experts to see their collections. Ask them for help and direction in finding and identifying what is readily available locally. Ask for recommendations for identification guides that are appropriate for your area and that they have found helpful.<br>∞ Link: Gator Girl Rocks<br>∞ Link: How to Find Rocks<br>∞ Link: Rock Clubs by State</p><p>➜ PREP FOR FIELD DAY<br>• Decide where you will explore on your field day.<br>• Check the weather and confirm when you will go. <br>• Collect any tools or materials that you might want to take with you.</p>","","https://planning.alveary.org/links.html?id=recb8iEt7Ir3xrsKe&term=1&week=1","Lesson","0","FALSE"
"alveary-recb8iEt7Ir3xrsKe","alveary-rec8ty5d9xXNllK2i","1","4","45m Geology Lessons - Lesson 4","<p>Geology Literature<br>⍞ Materials: Annals of the Former World</p><p>➜ INTRO <br>People say this book is the &quot;Literature of Geology&quot;. See what you think by the end of the term. McPhee travels across the country with various geologists, writing about the geological wonders along the way. He is writing for people who are not geologists, but that doesn't mean that the text is easy.  Take in what you can and enjoy the views out the window.</p><p>This is a big book. Read Book 1 (Basin and Range), and then decide if you want to keep reading in order, read about places near you, or read about ones that you have never visited. Go at your own pace.  If you read and narrate around 20 pages per week, you will get a good way through the book by the end of Term 2.  Then you can decide if you want to finish as a free read or not. <br>  <br>➜ READ, NARRATE, &amp; DISCUSS<br>Be sure to look at the map on p.2-3 and read the Narrative Table of Contents before plunging into Chapter 1.  Refer to the maps and charts in the text and at the end of the book while you are reading. You may want to look up unfamiliar terms as you read and make a collection of geological terms. Come up with an interesting way to narrate, perhaps an illustrated map or travel journal?<br>~ 20 pages</p>","","","Lesson","0","FALSE"
"alveary-recb8iEt7Ir3xrsKe","alveary-recOqQTJcitszsMQr","1","5","45m Geology Lessons - Lesson 5","<p>Flex Day/Current Events<br>⍞ Materials: Selected geology literature, lab/field supplies, or internet access</p><p>➜ INTRO<br>Use this flex day to finish the week's reading from any of your geology books (scheduled or by your own selection), continue any lab/field activities, or read some geology current events (linked in the lesson and in your Quick Links).  In this way, you may use this day to tailor the course to be more literary by reading an additional text, such as The Map that Changed the World, or more active by pursuing a special study of interest.<br>∞ Article Link: Geology Current Events</p>","","https://planning.alveary.org/links.html?id=recb8iEt7Ir3xrsKe&term=1&week=1","Lesson","0","FALSE"
"alveary-recb8iEt7Ir3xrsKe","alveary-recT7F7bMy2M0WuGA","2","1","45m Geology Lessons - Lesson 6","<p>How Geology Works<br>⍞ Materials: The Field Guide to Geology</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read about 12.5 pages per week.  Narrate in a way that is helpful to you. Copy any diagrams or images that are helpful.</p><p>• PLAN WEEKLY<br>⬚ nature walk - record observations<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-recb8iEt7Ir3xrsKe","alveary-recD59SOBgkl6vUu3","2","2","45m Geology Lessons - Lesson 7","<p>Practical Interpretation<br>⍞ Materials: Roadside Geology &amp; Notebook</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Continue reading. As you read, map your state or region, showing the interesting geological features. Plan field trips, if possible, to some of the sites. Record your observations and findings.</p>","","","Lesson","0","FALSE"
"alveary-recb8iEt7Ir3xrsKe","alveary-reckgbvfkH5dJ7tEp","2","3","45m Geology Lessons - Lesson 8","<p>Identification</p><p>➜ RESEARCH <br>Google your state's Geological Survey to see if they have any online resources that would be helpful to you, or check out the USGS maps online. If an office is nearby, they may have some maps or other resources you could pick up.  Also, see if they will answer any of your questions about your local geology.  If not, see if they know someone you could talk to.</p><p>∞ Website Link: USGS Online Resources</p><p>➜ PREP FOR FIELD DAY<br>• Decide where you will explore on your field day.<br>• Check the weather and confirm when you will go. <br>• Collect any tools or materials that you might want to take with you.</p>","","https://planning.alveary.org/links.html?id=recb8iEt7Ir3xrsKe&term=1&week=2","Lesson","0","FALSE"
"alveary-recb8iEt7Ir3xrsKe","alveary-rec5iYKvwAqpFUGB6","2","4","45m Geology Lessons - Lesson 9","<p>Geology Literature<br>⍞ Materials: Annals of the Former World</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>~ 20 pages</p>","","","Lesson","0","FALSE"
"alveary-recb8iEt7Ir3xrsKe","alveary-recbncSShDxgB4fu4","2","5","45m Geology Lessons - Lesson 10","<p>Flex Day/Current Events<br>⍞ Materials: Selected geology literature, lab/field supplies, or internet access</p><p>➜ NOTE<br>Use this flex day to finish the week's reading from any of your geology books (scheduled or by your own selection), continue any lab/field activities, or read some geology current events (in your Quick Links).  In this way, you may use this day to tailor the course to be more literary by reading an additional text, such as The Map that Changed the World, or more active by pursuing a special study of interest.</p>","","","Lesson","0","FALSE"
