"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recbZSk1ogEczQlcZ","alveary-recQMsGdBFZabItRg","1","1","10m Natural History: Grade 3 - Lesson 1","<p>The Bumblebee<br>⍞ Materials: Christian Liberty Nature Reader 4</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Look at the picture on p.87. What do you notice, or what do you already know about the bumblebee? In our reading today, the author states that bumblebees are the only bee native to North America, but that's not quite true. They are the only social bee, but there are some 3600 other native North American bees!  Let's read and try to learn something new about this one today.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.86-90 &quot;Sometimes&quot; - &quot;worker or queen.&quot;</p><p>• You may have read about or noticed before that some creatures depend on each other, like a butterfly and their host plants. Based on what you read, what other plants or animals could you say the bumblebee depends on? What plants or animals depend on the bumblebee?</p><p>➜ SUPPLEMENTAL        <br>∞ Video Link: Bumblebee in Slow Motion (1:40)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER NOTE<br>This author states that bumblebees are the only native bee in North America, but this is false. Teachers can strike the third sentence (if reading aloud) or advise students as noted in the introduction.</p><p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, to enliven the lesson itself, or to add to discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p>","https://planning.alveary.org/links.html?id=recbZSk1ogEczQlcZ&term=1&week=1","Lesson","0","FALSE"
"alveary-recbZSk1ogEczQlcZ","alveary-recv2jekAiCDjwLhF","2","1","10m Natural History: Grade 3 - Lesson 2","<p>The Ladybug<br>⍞ Materials: Christian Liberty Nature Reader 4</p><p>➜ INTRO<br>Recall what we read about the bumblebee. Look at the picture on p.91. What do you notice? What insect family do you think the ladybug belongs to?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.91-94 &quot;Although there&quot; - &quot;outdoors again.&quot;</p><p>• Who in this chapter would you say is dependent on whom?</p><p>➜ SUPPLEMENTAL        <br>∞ Video Link: Ladybugs in Slow Motion (2:11)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=recbZSk1ogEczQlcZ&term=1&week=2","Lesson","0","FALSE"
"alveary-recbZSk1ogEczQlcZ","alveary-recWlGJLmC4WRR0uK","3","1","10m Natural History: Grade 3 - Lesson 3","<p>Aphids<br>⍞ Materials: Christian Liberty Nature Reader 4</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Tell me about the ladybug and why everyone likes them so much. Today we read about those aphids.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.95-98 &quot;Aphids are&quot; - &quot;by eating aphids.&quot;</p><p>• The author describes the problem of aphids harming plants, but everything has a purpose in Creation. Can you think of some reason to appreciate the aphid?</p><p>➜ SUPPLEMENTAL        <br>∞ Video Link: Aphids Close Up (0:44)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>It can sometimes be unnerving for students to not get an immediate answer to a question, so encourage them to sit with big questions, like the one in today's suggested discussion, while they continue to make observations.</p>","https://planning.alveary.org/links.html?id=recbZSk1ogEczQlcZ&term=1&week=3","Lesson","0","FALSE"
"alveary-recbZSk1ogEczQlcZ","alveary-recYWtvxsMwj2V1Ek","4","1","10m Natural History: Grade 3 - Lesson 4","<p>The Lacewing<br>⍞ Materials: Christian Liberty Nature Reader 4</p><p>➜ INTRO<br>Remind me what we read about last time. Look at the picture on p.99. You may have read a bit about the lacewing before, but have you ever seen one? Can you see why it is called the lacewing?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.99-101 &quot;The lacewing&quot; - &quot;destroy aphids.&quot;</p><p>• Compare the lifecycle of the lacewing to that of the butterfly or beetle.</p><p>➜ SUPPLEMENTAL        <br>∞ Video Link: Green Lacewing Close Up (0:33)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=recbZSk1ogEczQlcZ&term=1&week=4","Lesson","0","FALSE"
"alveary-recbZSk1ogEczQlcZ","alveary-recGonN0UZuTXJ8Qh","5","1","10m Natural History: Grade 3 - Lesson 5","<p>The Mosquito<br>⍞ Materials: Christian Liberty Nature Reader 4</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Can you recall 3 insects that you read about so far this term? Today, we are going to read about the mosquito. Look at the picture on p.102. What do you notice? What about the mosquito's life cycle is similar to or different from the other insects you know?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.102-106 &quot;If one looks&quot; - &quot;in the spring.&quot;</p><p>• The author mentions that the development of the mosquito depends on the temperature, and you can see that they need water during the first 3 stages of their life cycle. Based on that information, where do you suppose mosquitoes would be more or less of a problem? You can use a map or globe for help, if you like.</p><p>➜ SUPPLEMENTAL        <br>∞ Video Link: Mosquito Close Up (0:24)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>If students have difficulty considering the discussion question because they have little awareness of climate in different places, that's okay!  Show them on the globe that because the sun's light hits the equator directly, those places are hotter, whereas the poles are colder. Just let them hypothesize about where there might be more mosquitoes and leave it at that!</p>","https://planning.alveary.org/links.html?id=recbZSk1ogEczQlcZ&term=1&week=5","Lesson","0","FALSE"
"alveary-recbZSk1ogEczQlcZ","alveary-rect7oLotgf17b7wv","6","1","10m Natural History: Grade 3 - Lesson 6","<p>The Dragonfly and Damselfly<br>⍞ Materials: Christian Liberty Nature Reader 4</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Tell me what you remember about the life cycle of the mosquito. Look at the picture on p.107. What do you notice or recall about the dragonfly?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.107-112 &quot;Let us watch&quot; - &quot;do not hurt it.&quot;</p><p>• How do you think the weather and seasons affect the life cycle of the dragonfly?</p><p>➜ SUPPLEMENTAL        <br>∞ Video Link: Dragonfly or Damselfly? (0:55)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, to enliven the lesson itself, or to add to discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p>","https://planning.alveary.org/links.html?id=recbZSk1ogEczQlcZ&term=1&week=6","Lesson","0","FALSE"
"alveary-recbZSk1ogEczQlcZ","alveary-recRZEc7c5bqpfewU","7","1","10m Natural History: Grade 3 - Lesson 7","<p>The Tomato Hornworm<br>⍞ Materials: Christian Liberty Nature Reader 4</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Tell me about 3 of the insects we have read about so far. Look at the picture on p.114. What stands out to you about this caterpillar?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.113-116 &quot;If you have&quot; - &quot;full-grown.&quot;</p><p>• How are the tomato plant, the hornworm, and the parasitic wasp connected? Draw a diagram, called a food chain, if helpful. Who eats whom? What if something in the ecosystem changed and all of the parasitic wasps died? How do you think that would affect the other members of the food chain?</p><p>➜ SUPPLEMENTAL        <br>∞ Video Link: Hornworm Up Close (0:44)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>If students are interested in the idea of the food chain, teachers can add that many birds like to eat hornworms, too!</p><p>★ TEACHER TIP<br>If students need support drawing or diagramming, the teacher may do the activity with them in tandem or act as their scribe.</p>","https://planning.alveary.org/links.html?id=recbZSk1ogEczQlcZ&term=1&week=7","Lesson","0","FALSE"
"alveary-recbZSk1ogEczQlcZ","alveary-recfKQ5V7IKAZOvLD","8","1","10m Natural History: Grade 3 - Lesson 8","<p>The Hornworm Changes<br>⍞ Materials: Christian Liberty Nature Reader 4</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Tell me what you remember about the hornworm. Today, let's read about its metamorphosis. What do you recall about metamorphosis?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.117-120 &quot;When full-grown&quot; - &quot;tomato plants.&quot;</p><p>• In what ways would you say that the creatures in this chapter are good or bad?</p><p>➜ SUPPLEMENTAL        <br>∞ Video Link: Sphinx Moth (1:04)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Engage students in discussion to help them understand that the ecosystem is complex.</p>","https://planning.alveary.org/links.html?id=recbZSk1ogEczQlcZ&term=1&week=8","Lesson","0","FALSE"
"alveary-recbZSk1ogEczQlcZ","alveary-rec8HE9yta6xhTbAC","9","1","10m Natural History: Grade 3 - Lesson 9","<p>The Cecropia Moth<br>⍞ Materials: Christian Liberty Nature Reader 4</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Do you recall how the author said that moths are different from butterflies? Look at the picture on p.122-123 (it is also the picture on the cover). What do you notice about this Cecropia moth? You can continue looking at it while we read.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.121-125 &quot;The cecropia&quot; - &quot;to the twig.&quot;</p><p>• Cecropia lives in eastern North America, where there are hardwood trees, like maple. What would happen if something in the environment changed that caused the maple trees to die?</p><p>➜ SUPPLEMENTAL        <br>∞ Image Link: University of Florida: Cecropia Stages<br>∞ Video Link: Cecropia Moth (0:27)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Sometimes readings can seem harder to narrate when there are no events that fit together in sequence or when students are unable to create the image described in their mind. It can be helpful to draw during the reading or to provide an image, like the ones linked in this lesson, to which they can attach the ideas during the reading. They can then use the image, either from memory or by pointing to it, during their narration.</p>","https://planning.alveary.org/links.html?id=recbZSk1ogEczQlcZ&term=1&week=9","Lesson","0","FALSE"
"alveary-recbZSk1ogEczQlcZ","alveary-receHDXwsugAkBtKf","10","1","10m Natural History: Grade 3 - Lesson 10","<p>The Caterpillar Changes<br>⍞ Materials: Christian Liberty Nature Reader 4</p><p>➜ INTRO<br>Tell me what you recall about the Cecropia caterpillar and moth.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.126-128 &quot;Soon the caterpillar&quot; - &quot;work is done.&quot;</p><p>• Cecropia moths emerge in the spring as the maples are growing their new leaves and flowers. How do you think the colors and patterns of this caterpillar and moth serve it?</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
