"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recc3zgKdHr5OX9Iy","alveary-rec2qtPFjagRGMiik","1","1","20m Art: Level 3 - Lesson 1","<p>Brush Drawing: Vertical and Horizontal Brush-Forms <br>⍞ Materials: Brushwork: Elementary Brush-Forms, brushes, water, cloth, spray bottle, watercolor palettes prepared with Prussian Blue, Hansa Yellow, and Quinacridone Pink, grid paper</p><p>PREP: Read the lesson and preview the plate.<br>“Elementary Brush-Forms Vertical and Horizontal” Brushwork No.1 Model Lesson<br>When preparing students' palettes, place red and yellow on one side of the palette at opposite ends and blue towards the middle of the other side. This will allow space between the primary colors to mix the secondary and tertiary colors and create a smooth rainbow effect. It is pleasing visually, and the order will benefit students when they return to colors.</p><p>➜ RECAP<br>Review brush care and use.</p><p>➜ WARM-UP<br>Practice vertical and horizontal brush forms.</p><p>➜ INTRO<br>Reviewing the model brush-form lesson at the beginning of each year is important.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Vertical Brush-Forms L1 L26 &amp; L3 L1<br>∞ Image Link: Elementary Brush-Forms Vertical and Horizontal</p><p>➜ PRACTICE<br>Vertical and horizontal brush-forms in all directions.<br>“No.1 Model” Lesson Brushwork</p><p>➜ SELF-EVALUATE<br>How did you do?</p><p>➜ CLEAN UP<br>Have the student clean, dry, and store their brush. Leave the palette open to dry.</p><p>• OBSERVE &amp; DISCUSS <br>Use a different color and make patterns using vertical and horizontal brush forms, such as in &quot;2. Pattern of Brush-Forms&quot; in Hudson.</p>","","https://planning.alveary.org/links.html?id=recc3zgKdHr5OX9Iy&term=1&week=1","Lesson","0","FALSE"
"alveary-recc3zgKdHr5OX9Iy","alveary-rec4BF9l5Jp3w83zD","1","2","20m Art: Level 3 - Lesson 2","<p>Brush Drawing: Oblique Brush-Forms <br>⍞ Materials: Brushwork: Elementary Brush-Forms, brushes, water, cloth, spray bottle, watercolor palettes, grid paper</p><p>PREP: Read the lesson and preview the plate.<br>“Oblique Brush-Forms” Brushwork Lesson 3</p><p>➜ NOTE<br>It is important to do this review at the beginning of the year.</p><p>➜ RECAP<br>Review brush care and use.</p><p>➜ WARM-UP<br>Practice brush-forms.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Oblique Brush-Forms #1 L1 L31 &amp; L2 L26 &amp; L3 L2<br>∞ Image Link: Elementary Oblique Brush-Forms</p><p>➜ PRACTICE<br>Oblique brush-forms in all directions.<br>“Oblique Brush-Forms” Brushwork Lesson 3</p><p>➜ SELF-EVALUATE<br>How did you do?</p><p>➜ CLEAN UP<br>Have the student clean, dry, and store the brush. Leave the palette open to dry.</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying Art skills.<br>Look for things with a teardrop shape during nature walks. Encourage students to think about how a brush form might be used to create a picture or a nature journal.</p>","","https://planning.alveary.org/links.html?id=recc3zgKdHr5OX9Iy&term=1&week=1","Lesson","0","FALSE"
"alveary-recc3zgKdHr5OX9Iy","alveary-recPmxIC3NNtbfQp7","2","1","20m Art: Level 3 - Lesson 3","<p>Brush Drawing:  Laburnum Brush-Forms <br>⍞ Materials: Brushwork: Elementary Brush-Forms, brushes, water, cloth, spray bottle, watercolor palettes, grid paper</p><p>PREP: Read the lesson and preview the plate.<br>&quot;Lesson on Laburnum” Brushwork Lesson 16</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Image Link: 17. Lesson on Laburnum</p><p>➜ PRACTICE<br>Follow along with lesson 16 in Brushwork by Marion Hudson—paint Laburnum brush-forms. Use Hansa Yellow and mix green with Hansa Yellow and Prussian Blue for the leaves and stems.<br>&quot;Lesson on Laburnum&quot; Brushwork Lesson 16</p><p>➜ SELF-EVALUATE<br>How did you do?</p><p>➜ DISCUSS<br>What other types of flowers could you make out of these brush forms?</p><p>➜ CLEAN UP<br>Have the student clean, dry, and store the brush. Leave the palette open to dry.</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying Art skills.<br>See if you can spot Laburnum on your nature walk.</p>","","https://planning.alveary.org/links.html?id=recc3zgKdHr5OX9Iy&term=1&week=2","Lesson","0","FALSE"
"alveary-recc3zgKdHr5OX9Iy","alveary-recQVlOAXq9U5PWA5","2","2","20m Art: Level 3 - Lesson 4","<p>Brush Drawing: Laburnum Brush-Forms <br>⍞ Materials: Brushwork: Elementary Brush-Forms, brushes, water, cloth, spray bottle, watercolor palettes, grid paper</p><p>➜ RECAP<br>Review brush care and use.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Image Link: 17. Design of Laburnum</p><p>➜ PRACTICE<br>Paint a design of Laburnum. Use Hansa Yellow and mix your own green.<br>“Design of Laburnum” Brushwork Lesson 17</p><p>➜ SELF-EVALUATE<br>How did you do?</p><p>➜ DISCUSS<br>What other types of flowers could you make out of these brush forms?</p><p>➜ CLEAN UP<br>Have the student clean, dry, and store the brush. Leave the palette open to dry.</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying Art skills.<br>See if you can spot Laburnum on your nature walk.</p>","","https://planning.alveary.org/links.html?id=recc3zgKdHr5OX9Iy&term=1&week=2","Lesson","0","FALSE"
"alveary-recc3zgKdHr5OX9Iy","alveary-recTrrmpR5kzvgtUW","3","1","20m Art: Level 3 - Lesson 5","<p>Brush Drawing: Laburnum Paintings<br>⍞ Materials:  Brushes, water, cloth, spray bottle, watercolor palettes, grid paper, live or cut Laburnum or Wisteria</p><p>PREP: Students will need access to live or cut Laburnum. Wisteria is more common in the Eastern U.S. and can replace Laburnum for this lesson if you do not have access to live Laburnum.</p><p>➜ RECAP<br>Review brush care and use.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Image Link: A Floral Bouquet of Irises and Laburnum (1909)</p><p>➜ PRACTICE<br>Observe live Laburnum and brush draw from observation, or create a painting based on the artwork examples you have viewed.</p><p>➜ SELF-EVALUATE<br>How did you do?</p><p>➜ CLEAN UP<br>Have the student clean, dry, and store the brush. Leave the palette open to dry.</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying Art skills.<br>See if you can spot Laburnum on your nature walk.</p>","","https://planning.alveary.org/links.html?id=recc3zgKdHr5OX9Iy&term=1&week=3","Lesson","0","FALSE"
"alveary-recc3zgKdHr5OX9Iy","alveary-recFbZQ5EksEE7JoA","3","2","20m Art: Level 3 - Lesson 6","<p>Brush Drawing: Laburnum <br>⍞ Materials: Brushes, water, cloth, spray bottle, watercolor palettes, grid paper, cardstock</p><p>➜ RECAP<br>Review brush care and use.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Image Link: 17. Design of Laburnum</p><p>➜ PRACTICE<br>Create a Laburnum design around the outside edge of cardstock. Add a quote or poem for a beautiful piece of artwork.</p><p>➜ SELF-EVALUATE<br>How did you do? Share your work with your teacher.</p><p>➜ CLEAN UP<br>Have the student clean, dry, and store the brush. Leave the palette open to dry.</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying Art skills.<br>See if you can spot Laburnum on your nature walk.</p>","","https://planning.alveary.org/links.html?id=recc3zgKdHr5OX9Iy&term=1&week=3","Lesson","0","FALSE"
"alveary-recc3zgKdHr5OX9Iy","alveary-rechO3YLHZZIDNIss","4","1","20m Art: Level 3 - Lesson 7","<p>Brush Drawing: Hares and Leaves Brush-Forms <br>⍞ Materials: Brushwork: Elementary Brush-Forms, brushes, water, cloth, spray bottle, watercolor palettes, grid paper</p><p>PREP: Read the lesson and preview the plate.<br>&quot;Lesson on Hares and Leaves” Brushwork Lesson 18</p><p>➜ NOTE<br>This lesson will span two class times. Encourage students to consider the brush forms carefully and to take their time.</p><p>➜ RECAP<br>Review brush care and use. Recall how to mix brown.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Image Link: 18. Lesson on Hares and Leaves</p><p>➜ PRACTICE<br>• Study the hare and leaf brush-forms.<br>• Do you remember how to make the color brown? Which two <br>  complementaries would give you the best brown for <br>  your hares? Mix your own green and brown.<br>• Paint hares and leaves<br>  &quot;Lesson on Hares and Leaves” Brushwork Lesson 18</p><p>➜ SELF-EVALUATE<br>How did you do?</p><p>➜ CLEAN UP<br>Have the student clean, dry, and store the brush. Leave the palette open to dry.</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying Art skills.<br>Notice leaves while on your nature walk. Discuss what brush-forms would create the leaves that you see.</p>","","https://planning.alveary.org/links.html?id=recc3zgKdHr5OX9Iy&term=1&week=4","Lesson","0","FALSE"
"alveary-recc3zgKdHr5OX9Iy","alveary-recVUPbUPbyDLFRst","4","2","20m Art: Level 3 - Lesson 8","<p>Brush Drawing:  Hares and Leaves Brush-Forms <br>⍞ Materials: Brushwork: Elementary Brush-Forms, brushes, water, cloth, spray bottle, watercolor palettes, grid paper</p><p>PREP: Read the lesson and preview the plate.<br>&quot;Lesson on Hares and Leaves” Brushwork Lesson 18</p><p>➜ NOTE<br>This lesson will span two class times. Encourage students to consider the brush forms carefully and to take their time.</p><p>➜ RECAP<br>Review brush care and use. Recall how to mix brown.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Image Link: 18. Lesson on Hares and Leaves</p><p>➜ PRACTICE<br>• Study the hare and leaf brush-forms.<br>• Do you remember how to make the color brown? Which two <br>  complementaries would give you the best brown for <br>  your hares? Mix your own green and brown.<br>• Finish painting hares and leaves<br>  &quot;Lesson on Hares and Leaves” Brushwork Lesson 18</p><p>➜ SELF-EVALUATE<br>How did you do?</p><p>➜ CLEAN UP<br>Have the student clean, dry, and store the brush. Leave the palette open to dry.</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying Art skills.<br>Notice leaves while on your nature walk. Discuss what brush-forms would create the leaves that you see.</p>","","https://planning.alveary.org/links.html?id=recc3zgKdHr5OX9Iy&term=1&week=4","Lesson","0","FALSE"
"alveary-recc3zgKdHr5OX9Iy","alveary-rec2qiKyT6z5yHfcS","5","1","20m Art: Level 3 - Lesson 9","<p>Brush Drawing:  Live Hares and Leaves <br>⍞ Materials: Brushes, water, cloth, spray bottle, watercolor palettes, grid paper, hares/rabbits, and large, heart-shaped leaves</p><p>PREP: Plan a trip to observe live hares or rabbits.</p><p>➜ NOTE<br>Students will need access to live hares or rabbits for this lesson. They will also need to observe large, heart-shaped leaves. Red buds and elephant ears are great leaves to consider.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Image Link: Hares &amp; Rabbits<br>∞ Image Link: Elephant Ears<br>∞ Image Link: Red Bud Leaves</p><p>➜ RECAP<br>Review brush care and use. Recall how to mix brown.</p><p>➜ PRACTICE<br>Study live hares and look at leaves in real life. Or use the linked photos to study. Do an observational drawing of each. Try to incorporate brush forms as you need them.</p><p>➜ SELF-EVALUATE<br>Compare today's drawing to the Hares and Leaves brush-forms from lesson 8. How did you do?</p><p>➜ CLEAN UP<br>Have the student clean, dry, and store the brush. Leave the palette open to dry.</p><p>• OCCUPATIONS <br>Look at the photo of hares and rabbits. Paint what you see, keeping in mind how you used the brush forms.<br>∞ Image Link: Hares &amp; Rabbits</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying Art skills.<br>Look for more hares and rabbits during your nature walk.</p>","","https://planning.alveary.org/links.html?id=recc3zgKdHr5OX9Iy&term=1&week=5","Lesson","0","FALSE"
"alveary-recc3zgKdHr5OX9Iy","alveary-recBHPnoLvbyd8OvD","5","2","20m Art: Level 3 - Lesson 10","<p>Brush Drawing:  Ducklings and Pond Brush-Forms <br>⍞ Materials: Brushwork: Elementary Brush-Forms, brushes, water, cloth, spray bottle, watercolor palettes, grid paper</p><p>PREP: Read the lesson and preview the plate.<br>&quot;Lesson on Ducklings and Pond” Brushwork Lesson 19</p><p>➜ NOTE<br>This lesson will span two class times. Encourage students to consider the brush forms carefully and to take their time.<br> <br>➜ RECAP<br>Review brush care and use.</p><p>➜ VIEW<br>∞ Image Link: 19. Lesson on Ducklings and Pond<br>∞ Image Link: Ducks on a pond</p><p>➜ PRACTICE<br>• Study the duck, pond, and grass brush-forms.<br>• Discuss observations<br>• Paint brush forms<br>  &quot;Lesson on Ducklings and Pond&quot; Brushwork Lesson 19</p><p>➜ SELF-EVALUATE<br>How did you do? Compare your brush drawing to a photo of ducks.</p><p>➜ CLEAN UP<br>Have the student clean, dry, and store the brush. Leave the palette open to dry.</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying Art skills.<br>Look for more ducks on a pond during your nature walk.</p>","","https://planning.alveary.org/links.html?id=recc3zgKdHr5OX9Iy&term=1&week=5","Lesson","0","FALSE"
