"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reccNJhCeeDz4hFPh","alveary-recL2SKacwtyDz0XZ","1","1","45m Biology Lessons - Lesson 1","<p>⍞ Materials: General Biology</p><p>PREP: Be sure you have read the Course Notes and Planning and Prep.</p><p>➜ INTRODUCTION<br>In General Biology, much of your previous experience in science comes together. You will notice some familiar ideas and will explore many of them with greater depth than ever before. As you work through the course, note the outline of ideas in the text and the main ideas in each section, and record any definitions and important points. You should take a few minutes to review your notes at least weekly throughout the year.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read the introduction to Ch.1 and the Objectives for Section 1.1.<br>Then read to the end of Section 1.1, noting important terms and their definitions, copying any helpful diagrams, and recording interesting or important points. You will do this as you continue throughout the course. Note that the author of this series uses the term &quot;Cycle of Scientific Enterprise&quot; to refer to the process that is the Scientific Method (1.1.3). If you have completed previous levels of Alveary Science and have a working understanding of the Scientific Method from lab, you may quickly skim section 1.1.3 or simply review the process in Figure 1.6.</p><p>• PLAN WEEKLY<br>⬚ nature walk - record observations<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-reccNJhCeeDz4hFPh","alveary-recbenFmCP4q7zwdk","1","2","45m Biology Lessons - Lesson 2","<p>⍞ Materials: General Biology<br> <br>➜ READ, NARRATE, &amp; DISCUSS<br>Refer to the Objectives for Section 1.2 at the beginning of the chapter. Then read Section 1.2.1 - 1.2.2.</p><p>• PLAN WEEKLY<br>⬚ nature walk - record observations<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-reccNJhCeeDz4hFPh","alveary-rec88x6cLXUPzKj1F","1","3","45m Biology Lessons - Lesson 3","<p>⍞ Materials: General Biology</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Section 1.2.3 - 1.2.7</p>","","","Lesson","0","FALSE"
"alveary-reccNJhCeeDz4hFPh","alveary-rec0Br3sa7qXoQ1Mm","1","4","45m Biology Lessons - Lesson 4","<p>⍞ Materials: General Biology</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Refer to the Objectives for Section 1.3 at the beginning of the chapter. Then, finish Ch.1 by reading section 1.3. Use any time remaining to begin the review exercises at the end of the chapter. You may answer these orally, in writing, or with pictures. If unsure about any of them, refer back to the appropriate section to reread or find the answer.</p>","","","Lesson","0","FALSE"
"alveary-reccNJhCeeDz4hFPh","alveary-recnqPAnXL4KLlbQe","1","5","45m Biology Lessons - Lesson 5","<p>⍞ Materials: General Biology</p><p>➜ PRACTICE <br>Continue working through the review exercises at the end of Ch.1.</p>","","","Lesson","0","FALSE"
"alveary-reccNJhCeeDz4hFPh","alveary-rectPGpWaoOyT8HCR","1","6","60m Biology Lessons - Lesson 6","<p>Observing Living and Nonliving Things<br>⍞ Materials: High School Biology Lab Book and materials listed within, and The Biology Coloring Book</p><p>PREP: Read Student/Teacher Tip</p><p>➜ LAB DAY<br>Complete Lab 1. Color plate 1 in your coloring book, as time permits.</p>","<p>★ STUDENT &amp; TEACHER TIP<br>Note that there are 3 activity days next week: Lessons 7-9.<br>Two of these require outdoor work. You may move Week 2 to<br>accommodate the weather, as needed. If you need to adjust for<br>a rainy day in your forecast for the week, then Lesson 7 can be<br>moved to another day of the week.</p>","","Lesson","0","FALSE"
"alveary-reccNJhCeeDz4hFPh","alveary-recsG1dB0Fo7IzZkA","2","1","45m Biology Lessons - Lesson 7","<p>⍞ Materials: Article link</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>∞ Article Link: In the Laboratory</p><p>Study any natural object, recording what you see. When you think you have noticed all that you can, try to observe more. What else can you see? You may use field guides, handbooks, etc., to aid your study today, if desired.</p>","","https://planning.alveary.org/links.html?id=reccNJhCeeDz4hFPh&term=1&week=2","Lesson","0","FALSE"
"alveary-reccNJhCeeDz4hFPh","alveary-rec0rqBnbANyaVNut","2","2","45m Biology Lessons - Lesson 8","<p>⍞ Materials: Article links</p><p>➜ INTRO<br>A BioBlitz is a biological inventory where scientists find and identify as many species as possible in a specific area during a specific time. If you'd like to learn more about it, you can read the National Geographic article linked. A bigger question is why scientists would take such an inventory, however. To understand that, read the article on current events from Science News Explores.<br>∞ Article Link: BioBlitz</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read the article entitled, &quot;Some Spikes in Malaria Cases May Be Due to Amphibian Die-off&quot; from Science News Explores<br>∞ Article Link: Some spikes in malaria<br>  <br>➜ FIELDWORK<br>Your BioBlitz will last for 1 day, so choose your area carefully based on how many scientists will be keeping inventory and what you plan to record. You may inventory all species or focus on only one type of object (e.g., plants, insects, birds, etc.). You will only briefly observe, identify, and document each object in your lab notebook - you will not journal on individuals as in Lab 1. Today, decide what you will inventory and plan how you will collect your BioBlitz data. Collect any special materials or equipment that you might need, such as a magnifier or field guide. Then, begin by writing an introductory narration in your notebook and getting an overview of the area. You might want to sketch a landscape or make a map of the area, noting any landmarks.</p>","","https://planning.alveary.org/links.html?id=reccNJhCeeDz4hFPh&term=1&week=2","Lesson","0","FALSE"
"alveary-reccNJhCeeDz4hFPh","alveary-rechZhQydqwVbIx4X","2","3","45m Biology Lessons - Lesson 9","<p>⍞ Materials: anything needed for data collection</p><p>➜ FIELDWORK<br>Collect your BioBlitz data.</p>","","","Lesson","0","FALSE"
"alveary-reccNJhCeeDz4hFPh","alveary-rec6nSvzJ3uZtFzJk","2","4","45m Biology Lessons - Lesson 10","<p>⍞ Materials: graph paper or spreadsheet</p><p>➜ DATA ANALYSIS<br>Analyze your BioBlitz data. Do you want to make a table or chart of the data? How can you best represent what you noticed? Do you think your data would be different in a different location or time of year? How could you find out?</p>","","","Lesson","0","FALSE"
"alveary-reccNJhCeeDz4hFPh","alveary-recNp7YBHnINorEC7","2","5","45m Biology Lessons - Lesson 11","<p>⍞ Materials: Links</p><p>➜ REPORT WRITING<br>Write a report indicating the results of your BioBlitz. Your report should have an Introduction explaining the purpose of the field study, a Procedure explaining your location and time, any methods (e.g., sample collection, identification, etc.), and any special equipment used in your study, Results indicating your findings, and Analysis and Conclusions explaining interesting observations, introducing any questions, and sharing whatever conclusions you came to. There is an example in the link. The article links we started with are also provided if you want to refer back to them. You may work on this report during Lesson 12, as well.</p><p>∞ Link: Sample Lab Report<br>∞ Article Link: BioBlitz<br>∞ Article Link: Some spikes in malaria</p>","<p>★ STUDENT &amp; TEACHER TIP <br>Note that there are 3 activity days next week: Lessons 7-9. Two of these require outdoor work. You may move Week 2 to accommodate the weather, as needed. If you need to adjust for a rainy day in your forecast for the week, then Lesson 7 can be moved to another day of the week.</p>","https://planning.alveary.org/links.html?id=reccNJhCeeDz4hFPh&term=1&week=2","Lesson","0","FALSE"
"alveary-reccNJhCeeDz4hFPh","alveary-recauvPbmriK4jAe9","2","6","60m Biology Lessons - Lesson 12","<p>⍞ Materials: Report from previous lesson</p><p>➜ REPORT WRITING<br>Complete your report. Review and edit it to make improvements before turning it in. While editing, be sure you have used complete sentences and avoid using the first person. In technical writing, such as this, the sentence &quot;I tied the string to the end of the meter stick&quot; should be rephrased, &quot;The string was tied to the end of the meter stick.&quot;</p>","","","Lesson","0","FALSE"
