"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recd6XCeHV3xyL0Dw","alveary-recYru1rH1iflsbFC","1","1","15m Classic Lit.: Grade 2 - Lesson 1","<p>Christian Reading His Book<br>⍞ Materials: Pilgrim's Progress Book 1</p><p>➜ INTRO<br>This story is an allegory, which is a type of story that uses characters and events to represent ideas and teach a lesson.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The First Stage&quot; p.1-6 &quot;As I walked&quot; - &quot;in my book.&quot;</p><p>• Look at Obstinate in the picture on p.7. How do you feel when you make that face? What do you think Obstinate's name might mean? [stubborn].</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recd6XCeHV3xyL0Dw","alveary-rec7zAuFdIJirRbr0","2","1","15m Classic Lit.: Grade 2 - Lesson 2","<p>Christian Fell Into the Slough<br>⍞ Materials: Pilgrim's Progress Book 1</p><p>➜ INTRO<br>Do you know what a slough is? Christian will fall into a slough in today's readings. [View picture on p.12 after reading.]</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The First Stage&quot; p.6-13 &quot;Tush. Obstinate held&quot; - &quot;all they can.&quot;</p><p>• Today, we met Pliable. Something that is &quot;pliable&quot; bends easily. Why do you think the author named this character Pliable?</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recd6XCeHV3xyL0Dw","alveary-recWvXeVG1B2kYKH1","3","1","15m Classic Lit.: Grade 2 - Lesson 3","<p>Mr. Worldly Wiseman  <br>⍞ Materials: Pilgrim's Progress Book 1</p><p>➜ INTRO<br>Someone who is &quot;worldly wise&quot; might be considered knowledgeable and<br>sophisticated. Let's see if that describes Mr. Worldly Wiseman.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The First Stage&quot; p.13-17 &quot;By the direction&quot; - &quot;from his home.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recd6XCeHV3xyL0Dw","alveary-recOz0VDbqumVYwHA","4","1","15m Classic Lit.: Grade 2 - Lesson 4","<p>Evangelist Helps Christian<br>⍞ Materials: Pilgrim's Progress Book 1</p><p>➜ INTRO<br>Today, the Evangelist tells Christian that he has been &quot;deluded&quot; [and made to believe what is not true]. Let's find out how this happened.<br>Vocab: hypocrite [one who says they believe something, but their behavior does not show it].</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The First Stage&quot; p.17-22 &quot;Flashes of fire&quot; - &quot;Psalm 2:12&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recd6XCeHV3xyL0Dw","alveary-recqmc7ZU80iJyXxw","5","1","15m Classic Lit.: Grade 2 - Lesson 5","<p>Christian Finds the Gate<br>⍞ Materials: Pilgrim's Progress Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Second Stage&quot; p.23-29 &quot;Then Christian prepared&quot; - &quot;pleading with men.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recd6XCeHV3xyL0Dw","alveary-recqCe7gaqaBMln39","6","1","15m Classic Lit.: Grade 2 - Lesson 6","<p>Interpreter Teaches Christian <br>⍞ Materials: Pilgrim's Progress Book 1</p><p>➜ INTRO<br>What does an interpreter do? [translates for someone] Listen to see if you can figure out why the author named this character Interpreter.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Second Stage&quot; p.29-34 &quot;Christian looked from&quot; - &quot;down my name.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recd6XCeHV3xyL0Dw","alveary-recMrmlfxs6uR9RZO","7","1","15m Classic Lit.: Grade 2 - Lesson 7","<p>Three Men <br>⍞ Materials: Pilgrim's Progress Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Second Stage&quot; p.34-39 &quot;As soon as&quot; - &quot;you, good Interpreter.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recd6XCeHV3xyL0Dw","alveary-recEDKbCQgGFoVVnU","8","1","15m Classic Lit.: Grade 2 - Lesson 8","<p>Christian's Burden Falls Off<br>⍞ Materials: Pilgrim's Progress Book 1</p><p>➜ INTRO<br>Today, Christian will meet three men in shackles [chains]. Their names are Simple, Sloth, and Presumption. The author named them after their personalities. See if you can figure out what each word means as we read.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Third Stage&quot; p.41-48 &quot;Now in my&quot; - &quot;to rise again.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recd6XCeHV3xyL0Dw","alveary-rec1oWCQqIr6Hu6HJ","9","1","15m Classic Lit.: Grade 2 - Lesson 9","<p>Christian Goes to the Palace Lodge<br>⍞ Materials: Pilgrim's Progress Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Third Stage&quot; p.48-54 &quot;I looked toward&quot; - &quot;such as you.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recd6XCeHV3xyL0Dw","alveary-rec49ebp3VKk9z6fM","10","1","15m Classic Lit.: Grade 2 - Lesson 10","<p>Piety, Prudence, Charity<br>⍞ Materials: Pilgrim's Progress Book 1</p><p>➜ INTRO<br>Today, Christian will talk with Prudence [cautiousness], Piety [reverence], and Charity [generosity]. See if you can figure out why the author gave these particular names to these characters.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Third Stage&quot; p.54-58 &quot;Christian bowed his&quot; - &quot;of staying behind.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
