"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recdD1lDLwHqT4VPd","Needs Updated Import","alveary-recMRiusdefVvo76s","1","1","5m Poetry: Grades 5-6 - Lesson 1","<p>⍞ Materials: Over the River and Through the Wood</p><p>➜ NOTE<br>You will usually spend one week reading the poems from ~5 pages (depending on the size of the illustrations and length of poems). You can pick 1-3 to read each day and reread them as much as you like. Poetry is made to be read many times. Lessons give some ideas for discussing a particular poem, but those are only suggestions. You'll also focus particularly on getting to know the poets Rabindranath Tagore in Term 1, Pauline Johnson in Term 2, and Paul Laurence Dunbar in Term 3. Feel free to use the index of the book to look up other poems by poets you particularly like.</p><p>➜ INTRO <br>Almost all the poems we'll read this year were written from 1800-1900 AD (the time period you'll learn about in many of your other lessons as well). So, as you read, imagine children like you listening to these same poems about 200 years ago! First, let's start by reading a poem that reminds us to enjoy (and not overthink) the poems we'll read this year.<br>∞ Link: Introduction To Poetry</p><p>➜ READ &amp; DISCUSS<br>p.31-36 Chapter: Growing Things<br>Pick and choose poems from these pages over the week. <br>(Read one time, discuss, and then reread the poems.)</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>Note: The &quot;Holidays&quot; chapter of Over the River and Through the Wood is not scheduled until Term 3. Feel free to also read from that chapter during Thanksgiving, Christmas, New Year's, etc.</p>","<p>★ TEACHER NOTE<br>Optional: Read the Introduction and share information with students throughout the year.</p>","https://planning.alveary.org/links.html?id=recdD1lDLwHqT4VPd&term=1&week=1","Lesson","0","FALSE"
"alveary-recdD1lDLwHqT4VPd","Needs Updated Import","alveary-recCVhpwv1VWIeDZl","1","2","5m Poetry: Grades 5-6 - Lesson 2","<p>⍞ Materials: Over the River and Through the Wood</p><p>➜ INTRO<br>Our poem today is by Paul Laurence Dunbar. He was one of the first Black Americans to earn a living as a writer, and he inspired many other writers after him. He also became friends with Orville Wright and his brother Wilbur (who you may remember as the inventors of the airplane)! The Wright brothers owned a printing press and published Dunbar's first writings.</p><p>➜ READ &amp; DISCUSS<br>p.36 &quot;The Seedling&quot; by Paul Laurence Dunbar</p><p>• Do you notice how the seedling starts talking in the poem? Have you ever heard a seedling talk? Of course not! Poets sometimes imagine that things like plants or animals can talk to help us think about them in new ways. The fancy word for this is &quot;personification.&quot; Do you notice any other examples of the seed doing things only people normally do?</p><p>➜ NOTE<br>You'll read an interesting biography about Paul Laurence Dunbar in Term 3 that includes several more of his poems.</p>","","","Lesson","0","FALSE"
"alveary-recdD1lDLwHqT4VPd","Needs Updated Import","alveary-recwf05mUGlvNwwDV","1","3","5m Poetry: Grades 5-6 - Lesson 3","<p>⍞ Materials: Over the River and Through the Wood</p><p>➜ READ &amp; DISCUSS<br>p.31 &quot;Tree Feelings&quot; by Charlotte Perkins Gilman</p><p>• How does the poet use personification in this poem? What human traits does the poet give the trees?</p><p>p.31-36 Chapter: Growing Things<br>Use any additional time to pick and choose poems from these pages. <br>(Read one time, discuss, and then reread the poems.)</p>","<p>★ TEACHER NOTE<br>∞ Article Link: How To Read a Poem Out Loud</p>","https://planning.alveary.org/links.html?id=recdD1lDLwHqT4VPd&term=1&week=1","Lesson","0","FALSE"
"alveary-recdD1lDLwHqT4VPd","Needs Updated Import","alveary-recFfLJeerkibPDAU","1","4","5m Poetry: Grades 5-6 - Lesson 4","<p>⍞ Materials: Over the River and Through the Wood</p><p>➜ READ &amp; DISCUSS<br>p.31-36 Chapter: Growing Things<br>Pick and choose poems from these pages. <br>(Read one time, discuss, and then reread the poems.)</p>","<p>★ TEACHER NOTE<br>Alternatively, explore more poems on p.37-44 and 51-54 of this chapter, as we will not have time to cover those sections in lessons. You can also use the author index on page 559 to find other poems by Paul Laurence Dunbar.</p>","","Lesson","0","FALSE"
"alveary-recdD1lDLwHqT4VPd","Needs Updated Import","alveary-recMa0xaR0xTXzcdN","1","5","5m Poetry: Grades 5-6 - Lesson 5","<p>⍞ Materials: Crescent Moon</p><p>➜ INTRO <br>Rabindranath Tagore was born in 1861 in Calcutta, India, and grew up in a family that loved art, music, and ideas. He was a poet, short-story writer, composer, playwright, and painter who spent his life creating in many different ways. In 1913, he became the first non-European writer to be awarded the Nobel Prize for Literature. He also composed the national anthems for both India and Bangladesh, making his words a lasting part of two nations. Once a week this term, we'll read poems by Rabindranath Tagore, exploring themes like mothers, children, and nature.</p><p>➜ READ &amp; DISCUSS<br>p.8 &quot;On the Seashore&quot;</p><p>• What are the children doing at the seashore? <br>• What might the &quot;seashore of endless worlds&quot; symbolize?</p><p>p.6-10 <br>Pick and choose poems from these pages.<br>(Read one time, discuss, and then reread the poems.)</p>","","","Lesson","0","FALSE"
"alveary-recdD1lDLwHqT4VPd","Needs Updated Import","alveary-rec8mHuODRhVIhb8N","2","1","5m Poetry: Grades 5-6 - Lesson 6","<p>⍞ Materials: Over the River and Through the Wood</p><p>➜ INTRO <br>Our poet today is Ina Coolbrith. She was born Josephine Smith. Her uncle Joseph Smith was the founder of the Mormon church, and her father (who died when she was just a few months old) was a church leader, though she concealed this most of her life. Her ties to the church were severed in childhood when her mother remarried a non-Mormon, and they moved to California to follow the gold rush. She published her first poems as a teenager and worked for over two decades as a librarian, encouraging the writing careers of others. She became California’s first Poet Laureate in 1915.</p><p>➜ READ &amp; DISCUSS<br>p.50 &quot;In Blossom Time&quot; by Ina Coolbrith</p><p>• &quot;In Blossom Time&quot; is written in quatrain, meaning each verse contains exactly four lines. Sometimes a whole poem is written in quatrain, as in this poem, and sometimes just part of the poem uses this structure. Quatrains usually have a specific rhyme structure. In this poem, the structure is ABCB, meaning that the words ending the second and fourth lines rhyme (B), but the first (A) and third (C) lines do not. Quatrains can have other rhyme structures, such as AABB or ABBA.</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• EXTRA HELPING<br>∞ Article Link: Ina Coolbrith Bio</p>","","https://planning.alveary.org/links.html?id=recdD1lDLwHqT4VPd&term=1&week=2","Lesson","0","FALSE"
"alveary-recdD1lDLwHqT4VPd","Needs Updated Import","alveary-recKYgURCmR0Mvh1L","2","2","5m Poetry: Grades 5-6 - Lesson 7","<p>⍞ Materials: Over the River and Through the Wood</p><p>➜ INTRO <br>Last lesson, we learned that a quatrain is when each verse in a poem has exactly four lines. We'll read two more poems that use this format today, but have different rhyme structures.</p><p>➜ READ &amp; DISCUSS<br>p.44 &quot;Prairie Fires&quot; by Eudora May Stone</p><p>• What is the rhyme scheme of &quot;Prairie Fires&quot;?</p><p>p.46 &quot;The Mushroom's Soliloquy&quot; by Hannah Flagg Gould</p><p>• What is the rhyme scheme of &quot;The Mushroom's Soliloquy&quot;? Note that a soliloquy is when a character speaks their private thoughts or feelings out loud without anyone else around to hear them. What are some of the mushroom's thoughts?</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>&quot;The Mushroom's Soliloquy&quot; has an AABB rhyme scheme.</p>","<p>★ TEACHER NOTE<br>&quot;Prairie Fires&quot; has an ABAB rhyme scheme.</p>","","Lesson","0","FALSE"
"alveary-recdD1lDLwHqT4VPd","Needs Updated Import","alveary-reclUlQk4mMY58D56","2","3","5m Poetry: Grades 5-6 - Lesson 8","<p>⍞ Materials: Over the River and Through the Wood</p><p>➜ READ &amp; DISCUSS<br>p.45 &quot;The Johnny Cake&quot; Author Unknown</p><p>• &quot;The Johnny Cake&quot; has three lines per stanza, which is called a tercet. The pace of a tercet is often slower than a couplet or quatrain. What is the rhyme scheme?</p><p>p.44 &quot;To Make A Prarie&quot; by Emily Dickinson</p><p>• Notice “To Make A Prairie” is both very brief and uses an unconventional AAABB rhyme structure. Why might Dickinson have chosen this for her subject? Note that reverie means to daydream or be lost in imagination.</p>","<p>★ TEACHER NOTE<br>&quot;The Johnny Cake&quot; rhyme scheme is ABB.</p>","","Lesson","0","FALSE"
"alveary-recdD1lDLwHqT4VPd","Needs Updated Import","alveary-recMBTZQvHh74WNX6","2","4","5m Poetry: Grades 5-6 - Lesson 9","<p>⍞ Materials: Over the River and Through the Wood</p><p>➜ READ &amp; DISCUSS<br>p.44-50 Chapter: Growing Things<br>Pick and choose poems from these pages. <br>(Read one time, discuss, and then reread the poems.)</p><p>• As time allows, use the author index in the back to explore more poems by any of the poets we have been introduced to so far.</p>","","","Lesson","0","FALSE"
"alveary-recdD1lDLwHqT4VPd","Needs Updated Import","alveary-recaNBYGwOR8Ax7gX","2","5","5m Poetry: Grades 5-6 - Lesson 10","<p>⍞ Materials: Crescent Moon</p><p>➜ READ &amp; DISCUSS<br>p.12-13 &quot;Sleep-Stealer&quot;</p><p>• Do you think someone really stole the baby's sleep? <br>• What phrase is repeated throughout the poem? Why do you think this is? <br>• How does the poem blur the line between the real world and the imaginative world?</p><p>p.11-15 <br>If time allows, pick and choose poems from these pages.<br>(Read one time, discuss, and then reread the poems.)</p>","","","Lesson","0","FALSE"
