"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recdIRnrFvJjmngTP","alveary-reclKe77BWKGLZcEI","1","1","20m Sloyd: Level 2 - Lesson 1","<p>Model 1 Conical Flower Holder<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, compass, glue, t-square (optional)</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Conical Flower Holder</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;III. Conical Flower Holder&quot; p.42<br>Stuff this conical flower holder with candy or other small trinkets, and give it as a gift. It is also great to use as a party favor. You can change the color of cardstock to fit your event theme.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=1&week=1","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recOYrtBULAxuQo7I","2","1","20m Sloyd: Level 2 - Lesson 2","<p>Second Year Model 1 Conical Flower Holder<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, compass, glue, t-square (optional)</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Conical Flower Holder</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;III. Conical Flower Holder&quot; p.42<br>Stuff this conical flower holder with candy or other small trinkets, and give it as a gift. It is also great to use as a party favor. You can change the color of cardstock to fit your event theme.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=1&week=2","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-rec8syLtOiNiWkTqD","3","1","20m Sloyd: Level 2 - Lesson 3","<p>Second Year Model 1 Conical Flower Holder<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, compass, glue, t-square (optional)</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Conical Flower Holder</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;III. Conical Flower Holder&quot; p.42<br>Stuff this conical flower holder with candy or other small trinkets, and give it as a gift. It is also great to use as a party favor. You can change the color of cardstock to fit your event theme.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=1&week=3","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-rec5iQMJXcHNNSmAY","4","1","20m Sloyd: Level 2 - Lesson 4","<p>Second Year Model 2 Stamp Book<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, cutting mat/scrap cardboard, awl, X-Acto knife, wax paper, stapler</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Stamp Book</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;II. Stamp Book&quot; p.26 <br>Stamp collecting is out, but sticker collecting is in. Use this book to collect stickers instead.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=1&week=4","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recMQJKam1VmDTaRA","5","1","20m Sloyd: Level 2 - Lesson 5","<p>Second Year Model 2 Stamp Book<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, cutting mat/scrap cardboard, awl, X-Acto knife, wax paper, stapler</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Second Year Models &quot;II. Stamp Book&quot; p.26<br>Stamp collecting is out, but sticker collecting is in. Use this book to collect stickers instead.</p>","","","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-rec7J00HouELYPnF3","6","1","20m Sloyd: Level 2 - Lesson 6","<p>Second Year Model 2 Stamp Book<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, cutting mat/scrap cardboard, awl, X-Acto knife, wax paper, stapler</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Second Year Models &quot;II. Stamp Book&quot; p.26<br>Stamp collecting is out, but sticker collecting is in. Use this book to collect stickers instead.</p>","","","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recmehH28454qGnsB","7","1","20m Sloyd: Level 2 - Lesson 7","<p>Second Year Model 3 Triangular Catch-All<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, hole punch, string, bone</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Triangular Catch-All</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;III. Triangular Catch-All&quot; p.27 <br>Use for drawer organization, gift giving, or party favors.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=1&week=7","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-rec5wBgRbUAmL0F5f","8","1","20m Sloyd: Level 2 - Lesson 8","<p>Second Year Model 3 Triangular Catch-All<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, hole punch, string, bone</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Second Year Models &quot;III. Triangular Catch-All&quot; p.27<br>Use for drawer organization, gift giving, or party favors.</p>","","","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recVaBIiDcy1D3J56","9","1","20m Sloyd: Level 2 - Lesson 9","<p>Second Year Model 3 Triangular Catch-All<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, hole punch, string, bone</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Second Year Models &quot;III. Triangular Catch-All&quot; p.27<br>Use for drawer organization, gift giving, or party favors.</p>","","","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recmfEFmcCB98i5Lp","10","1","20m Sloyd: Level 2 - Lesson 10","<p>Second Year Model 4 Portfolio<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, awl, string, cutting mat, X-Acto knife</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Portfolio</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;IV. Portfolio&quot; p.28<br>This is a great envelope for giving gift cards or cash gifts to family, friends, or someone in need.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=1&week=10","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recYk61ma9ncw25wo","11","1","20m Sloyd: Level 2 - Lesson 11","<p>Second Year Model 4 Portfolio<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, awl, string, cutting mat, X-Acto knife</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Second Year Models &quot;IV. Portfolio&quot; p.28<br>This is a great envelope for giving gift cards or cash gifts to family, friends, or someone in need.</p>","","","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recohHu2nrmqH2lv6","12","1","20m Sloyd: Level 2 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Paper Sloyd for Primary Grades</p>","<p>★ Sloyd: Level 2 — TERM 1 EXAM QUESTIONS<br>· Share one of your projects from this term with an adult and tell them how you made it.</p>","","Exam","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recEg5YDfA4rFg8Bz","13","1","20m Sloyd: Level 2 - Lesson 13","<p>Second Year Model 5 Thread Winder<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, hole punch (optional), string (optional)</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Thread Winder</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;V. Thread Winder&quot; p.29<br>Thread winders are great for organizing smaller pieces of thread or yarn that are too big to discard but tend to get tangled up if not properly stored.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=2&week=13","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recYu6V0d8t9ycpUE","14","1","20m Sloyd: Level 2 - Lesson 14","<p>Second Year Model 5 Thread Winder<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, hole punch (optional), string (optional)</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Second Year Models &quot;V. Thread Winder&quot; p.29<br>Thread winders are great for organizing smaller pieces of thread or yarn that are too big to discard but tend to get tangled up if not properly stored.</p>","","","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recKIDw2f8WWZHpAv","15","1","20m Sloyd: Level 2 - Lesson 15","<p>Second Year Model 5 Thread Winder<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, hole punch (optional), string (optional)</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Second Year Models &quot;V. Thread Winder&quot; p.29<br>Thread winders are great for organizing smaller pieces of thread or yarn that are too big to discard but tend to get tangled up if not properly stored.</p>","","","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recgVb8buCIWpbxki","16","1","20m Sloyd: Level 2 - Lesson 16","<p>Second Year Model 6 Pin Cube<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, glue, bone, awl</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Pin Cube</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;VI. Pin Cube&quot; p.45<br>The pin cube is perfect for holding push pins in your sewing kit.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=2&week=16","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recsghTSmwTOfG0Y5","17","1","20m Sloyd: Level 2 - Lesson 17","<p>Second Year Model 6 Pin Cube<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, glue, bone, awl</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Pin Cube</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;VI. Pin Cube&quot; p.45<br>The pin cube is perfect for holding push pins in your sewing kit.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=2&week=17","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recNMhX7hxuDffzPm","18","1","20m Sloyd: Level 2 - Lesson 18","<p>Second Year Model 6 Pin Cube<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, glue, bone, awl</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Pin Cube</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;VI. Pin Cube&quot; p.45<br>The pin cube is perfect for holding push pins in your sewing kit.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=2&week=18","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-rec2PkJ57qJn1m34l","19","1","20m Sloyd: Level 2 - Lesson 19","<p>Second Year Model 7 Handkerchief Box<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, awl, bone, glue stick</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Handkerchief Box</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;VII. Handkerchief Box&quot; p.31<br>The handkerchief box is great for organizing seeds from your garden. Make several, label the outside, and stack them for storage until next season.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=2&week=19","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-rec5U9syof4FsjRGx","20","1","20m Sloyd: Level 2 - Lesson 20","<p>Second Year Model 7 Handkerchief Box<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, awl, bone, glue stick</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Second Year Models &quot;VII. Handkerchief Box&quot; p.31<br>The handkerchief box is great for organizing seeds from your garden. Make several, label the outside, and stack them for storage until next season.</p>","","","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-recnwyRWHWX30boDi","21","1","20m Sloyd: Level 2 - Lesson 21","<p>Second Year Model 7 Handkerchief Box<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, awl, bone, glue stick</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Second Year Models &quot;VII. Handkerchief Box&quot; p.31<br>The handkerchief box is great for organizing seeds from your garden. Make several, label the outside, and stack them for storage until next season.</p>","","","Lesson","0","FALSE"
"alveary-recdIRnrFvJjmngTP","alveary-rec2f73GzyXH05S0t","22","1","20m Sloyd: Level 2 - Lesson 22","<p>Second Year Model 8 Comb Holder<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, awl, hole punch, glue stick</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Comb Holder</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Second Year Models &quot;VIII. Comb Holder&quot; p.32<br>The comb holder is outdated, but one way to modernize it is to tack it to your bulletin board or message center to hold little things like thumbtacks or paper clips.</p>","","https://planning.alveary.org/links.html?id=recdIRnrFvJjmngTP&term=2&week=22","Lesson","0","FALSE"
