"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recdO3NNM4cgVr7Tj","alveary-recGEDz4itKLuGWgR","1","1","20m Free Play - Lesson 1","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-rec4Hc3us5z9VQM3W","1","2","20m Free Play - Lesson 2","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recSUuzKgs9dvo51f","2","1","20m Free Play - Lesson 3","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recCl0STSXEZnqpZv","2","2","20m Free Play - Lesson 4","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recbwuyKYbjtAYj1g","3","1","20m Free Play - Lesson 5","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recuh8oJOk1gBPmlC","3","2","20m Free Play - Lesson 6","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recMhAeeBl4nbwp7j","4","1","20m Free Play - Lesson 7","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recY06JEzdOnrxsu9","4","2","20m Free Play - Lesson 8","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recS05T4H9YXHTeWY","5","1","20m Free Play - Lesson 9","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recCyCqqofqSQxGbv","5","2","20m Free Play - Lesson 10","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-rec3qss9Ckol60h49","6","1","20m Free Play - Lesson 11","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recdMLoM1mQ8a2zEg","6","2","20m Free Play - Lesson 12","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recTqCygTJEZdFifx","7","1","20m Free Play - Lesson 13","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-rec2bKYcdWiBstwrP","7","2","20m Free Play - Lesson 14","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recw4wIdV2eXw32LQ","8","1","20m Free Play - Lesson 15","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
"alveary-recdO3NNM4cgVr7Tj","alveary-recWmylDgMZG2W8Xo","8","2","20m Free Play - Lesson 16","<p>➜ PLAY<br>Free Play</p>","","","Lesson","0","FALSE"
