"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-recGFin9gHIKXda91","1","1","30m World History: Grade 9 - Lesson 1","<p>⍞ Materials: A Little Book for New Historians</p><p>➜ INTRO<br>History is more than just a study of the &quot;past.&quot; The purpose of our first term reading of the book _A Little Book of New Historians _is to help you engage with the importance of not just knowing dates and places, but also engaging with what Robert Tracy McKenzie calls &quot;the flesh and blood on the other side of the evidence.&quot;<br>As you read through Dr. McKenzie's history book, be on the lookout for interesting quotes or ideas that stand out to you, and be sure to mark whatever pages you find interesting. These are places you can return to and copy down in your notebook.</p><p>➜ READ, NARRATE, &amp; WRITE<br>Ch.1 p.11-18<br>Narrate silently to yourself.  If this is a new practice for you, start by quietly talking aloud to yourself about what you just read in the chapter.</p><p>• In one paragraph, share your previous expectations of history as a subject and what the reading has challenged or changed.</p>","","","Lesson","0","FALSE"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-recKpoyBMk7L4ijKg","2","1","30m World History: Grade 9 - Lesson 2","<p>⍞ Materials: A Little Book for New Historians</p><p>➜ INTRO<br>So why should we care about the past? Why is it important that we know these people, places, and ideas that have gone before us? I invite you to think about these two questions for a moment before diving into the reading.</p><p>➜ READ, NARRATE, &amp; WRITE<br>Ch.2<br>Narrate quietly to yourself.</p><p>• Respond to the following question in one paragraph: Why should we care about the past?</p>","","","Lesson","0","FALSE"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-rec7hfVBkhI9RtDoP","3","1","30m World History: Grade 9 - Lesson 3","<p>⍞ Materials: Video</p><p>➜ INTRO<br>Take the time to listen to the interview with Dr. Robert Tracy McKenzie. While you are watching it, think of your own questions you may have for Dr. McKenzie.</p><p>➜ LISTEN &amp; NARRATE<br>Listen to Chapter 1 - What is History?<br>Narrate silently.<br>∞ Video Link: What is History?</p><p>Listen to Chapter 2 - Why Should We Care About the Past?<br>Narrate silently.<br>∞ Video Link: Why Should We Care About the Past?</p><p>Write down three questions you may have for a historian. Keep these questions in mind as you read through the rest of the book. If you do find an answer, you can make a note of it.</p>","","https://planning.alveary.org/links.html?id=recdTMiHl2JScwuDc&term=1&week=3","Lesson","0","FALSE"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-reccB2xx0Dn7k4CgE","4","1","30m World History: Grade 9 - Lesson 4","<p>⍞ Materials: A Little Book for New Historians</p><p>➜ RECAP<br>What do you remember about your reading last time?</p><p>➜ READ, NARRATE &amp; WRITE<br>Ch.3<br>Narrate silently.</p><p>• The following quote is from this week's reading. Dr. McKenzie writes, &quot;I’m going to say something that may surprise you to hear a history professor say, but I also hope you’ll find it freeing: by themselves, historical facts are not just mind numbing. They’re meaningless. Wrench a historical fact from its context and it instantly becomes insignificant.&quot; Respond to this idea in two paragraphs. What do you think he means?</p>","","","Lesson","0","FALSE"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-recYZqAdHGw6iN7HM","5","1","30m World History: Grade 9 - Lesson 5","<p>⍞ Materials: A Little Book for New Historians</p><p>➜ RECAP<br>What do you remember about your reading last time?</p><p>➜ READ, NARRATE, &amp; WRITE<br>Ch.4<br>Take a moment to narrate silently.</p><p>• Respond to the following question in at least one paragraph: Why do we need historical consciousness?</p>","","","Lesson","0","FALSE"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-recoRAmi2Q8jhXg6j","6","1","30m World History: Grade 9 - Lesson 6","<p>⍞ Materials: A Little Book for New Historians</p><p>➜ RECAP<br>What do you remember about your reading last time?</p><p>➜ READ, NARRATE, &amp; WRITE<br>Ch.5 p.47-57<br>Narrate silently.</p><p>• Respond to the following question in one paragraph: Why should we study the past?</p>","","","Lesson","0","FALSE"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-rec9ZosBcfB7ZYNbR","7","1","30m World History: Grade 9 - Lesson 7","<p>⍞ Materials: Video</p><p>➜ INTRO<br>Take the time to listen to the interview with Dr. Robert Tracy McKenzie. While you are watching it, think of your own questions you may have for Dr. McKenzie.</p><p>➜ LISTEN, NARRATE, &amp; WRITE<br>Listen to Chapter 3 - Should We View History as Cyclical or Linear?<br>Narrate silently.<br>∞ Video Link: Should We View History as Cyclical or Linear?</p><p>Listen to Chapter 4 - Guarding Against Cultural Blindness<br>Narrate silently.<br>∞ Video Link: Guarding Against Cultural Blindness</p><p>Listen to Chapter 5 - Historical Consciousness <br>∞ Video Link: Historical Consciousness</p><p>Write down three questions you may have for a historian. Keep these questions in mind as you read through the rest of the book. If you do find an answer, you can make a note of it.</p>","","https://planning.alveary.org/links.html?id=recdTMiHl2JScwuDc&term=1&week=7","Lesson","0","FALSE"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-recPUqobg2T7CF9Tt","8","1","30m World History: Grade 9 - Lesson 8","<p>⍞ Materials: A Little Book for New Historians</p><p>➜ INTRO<br>Have you ever read an autobiography? How about an article or another book based on that autobiography? If the answer is yes, then you have consumed both a primary source and a secondary source. The primary source is a first-hand experience, and the secondary source is a second-hand experience. There are many different kinds of primary and secondary sources out there. A primary source can be a letter, a poem, a picture, a song, or perhaps a journal. What kind of primary sources have you run into recently?</p><p>➜ READ, NARRATE, &amp; WRITE<br>Ch.6<br>Narrate silently.</p><p>• Respond to the following question in two paragraphs: Why are primary sources important? What do these sources offer historians?</p><p>• EXTRA HELPING<br>∞ Video Link: Primary vs. Secondary Sources: The Differences Explained</p>","","https://planning.alveary.org/links.html?id=recdTMiHl2JScwuDc&term=1&week=8","Lesson","0","FALSE"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-reca5VYKEGH9ep9Uk","9","1","30m World History: Grade 9 - Lesson 9","<p>⍞ Materials: A Little Book for New Historians</p><p>➜ INTRO<br>Dr. McKenzie writes, &quot;Primary sources are the medium for a conversation with the past instead of about the past.&quot; Think about this idea as you read through the chapter.</p><p>➜ READ, NARRATE, &amp; WRITE<br>Ch.7<br>Narrate silently.</p><p>• Respond to the following question in one paragraph: How should we respond to primary sources?</p><p>➜ PONDER<br>What kind of primary sources will historians use in the future?</p>","","","Lesson","0","FALSE"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-reclMNxALy2pPURxt","10","1","30m World History: Grade 9 - Lesson 10","<p>⍞ Materials: A Little Book for New Historians</p><p>➜ RECAP<br>What do you remember about your reading last time?</p><p>➜ READ, NARRATE, &amp; WRITE<br>Ch.8<br>Narrate silently.</p><p>• The following quote is from this week's reading: Dr. McKenzie writes, &quot;This is because your goal is not simply to speak to the living, but to be a blessing to them. Here the metaphor of history as a mirror is instructive. It reminds us that we study the past on its own terms but not for its own sake.&quot; Respond to this idea in two paragraphs. What do you think he means?</p>","","","Lesson","0","FALSE"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-recxX0pVOtX39VjYO","11","1","30m World History: Grade 9 - Lesson 11","<p>⍞ Materials: A Little Book for New Historians</p><p>➜ RECAP<br>What do you remember about your reading last time?</p><p>➜ READ, NARRATE, &amp; WRITE<br>Ch.9<br>Narrate silently.</p><p>• Respond to the following question in three paragraphs: Why does history matter?</p>","","","Lesson","0","FALSE"
"alveary-recdTMiHl2JScwuDc","Import is Current","alveary-recO4RZtK2H8Dmh7z","12","1","30m World History: Grade 9 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>A Little Book for New Historians</p>","<p>★ World History: Grade 9 — TERM 1 EXAM QUESTIONS<br>· What have you learned from A Little Book for New Historians? What stood out that you want to remember? What questions do you have about the topic? Why is the topic important? What difference does it make in how we think about history?</p>","","Exam","0","FALSE"
