"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-1-1","1","1","30m Latin 3 - Lesson 1","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-1-2","1","2","30m Latin 3 - Lesson 2","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-2-1","2","1","30m Latin 3 - Lesson 3","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-2-2","2","2","30m Latin 3 - Lesson 4","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-3-1","3","1","30m Latin 3 - Lesson 5","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-3-2","3","2","30m Latin 3 - Lesson 6","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-4-1","4","1","30m Latin 3 - Lesson 7","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-4-2","4","2","30m Latin 3 - Lesson 8","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-5-1","5","1","30m Latin 3 - Lesson 9","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-5-2","5","2","30m Latin 3 - Lesson 10","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-6-1","6","1","30m Latin 3 - Lesson 11","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-6-2","6","2","30m Latin 3 - Lesson 12","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-7-1","7","1","30m Latin 3 - Lesson 13","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-7-2","7","2","30m Latin 3 - Lesson 14","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-8-1","8","1","30m Latin 3 - Lesson 15","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-8-2","8","2","30m Latin 3 - Lesson 16","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-9-1","9","1","30m Latin 3 - Lesson 17","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-9-2","9","2","30m Latin 3 - Lesson 18","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-10-1","10","1","30m Latin 3 - Lesson 19","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-10-2","10","2","30m Latin 3 - Lesson 20","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-11-1","11","1","30m Latin 3 - Lesson 21","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-11-2","11","2","30m Latin 3 - Lesson 22","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-12-1","12","1","30m Latin 3 - Lesson 23","<p>➜ LESSON<br>Complete the next lesson.</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-12-2","12","2","30m Latin 3 - Lesson 24","<p>➜ LESSON<br>Complete the next lesson.</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-13-1","13","1","30m Latin 3 - Lesson 25","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-13-2","13","2","30m Latin 3 - Lesson 26","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-14-1","14","1","30m Latin 3 - Lesson 27","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-14-2","14","2","30m Latin 3 - Lesson 28","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-15-1","15","1","30m Latin 3 - Lesson 29","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-15-2","15","2","30m Latin 3 - Lesson 30","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-16-1","16","1","30m Latin 3 - Lesson 31","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-16-2","16","2","30m Latin 3 - Lesson 32","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-17-1","17","1","30m Latin 3 - Lesson 33","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-17-2","17","2","30m Latin 3 - Lesson 34","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-18-1","18","1","30m Latin 3 - Lesson 35","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recdVnyJqQDWlTKpR","alveary-tracker-recdVnyJqQDWlTKpR-18-2","18","2","30m Latin 3 - Lesson 36","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
