"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recdqE5yZIpJ5stER","alveary-recRTRgEnUtVBvmu8","1","1","15m Sloyd: Intro - Lesson 1","<p>Square Fold<br>⍞ Materials: 6&quot; x 6&quot; paper</p><p>➜ VIEW<br>Tutorial video<br>∞ Video Link:  Square Fold</p><p>➜ PRACTICE<br>Work on the model together. Demonstrate instructions one step at a time.</p>","","https://planning.alveary.org/links.html?id=recdqE5yZIpJ5stER&term=1&week=1","Lesson","0","FALSE"
"alveary-recdqE5yZIpJ5stER","alveary-recpGGoEYXKgbkzzC","2","1","15m Sloyd: Intro - Lesson 2","<p>Square Fold<br>⍞ Materials: 6&quot; x 6&quot; paper</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.</p>","","","Lesson","0","FALSE"
"alveary-recdqE5yZIpJ5stER","alveary-recQqNy9QVxKcBq20","3","1","15m Sloyd: Intro - Lesson 3","<p>Simple Cube<br>⍞ Materials: 2&quot; x 8&quot; paper</p><p>➜ VIEW<br>Tutorial video<br>∞ Video Link: Simple Cube</p><p>➜ PRACTICE<br>Work on the model together. Demonstrate instructions one step at a time.</p>","","https://planning.alveary.org/links.html?id=recdqE5yZIpJ5stER&term=1&week=3","Lesson","0","FALSE"
"alveary-recdqE5yZIpJ5stER","alveary-recK3ocdqoDewoUMr","4","1","15m Sloyd: Intro - Lesson 4","<p>Simple Cube<br>⍞ Materials: 2&quot; x 8&quot; paper</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.</p>","","","Lesson","0","FALSE"
"alveary-recdqE5yZIpJ5stER","alveary-recztdapuXW4Pfrff","5","1","15m Sloyd: Intro - Lesson 5","<p>Simple Rectangular Prism<br>⍞ Materials: 4&quot; x 8&quot; paper</p><p>➜ VIEW<br>Tutorial video<br>∞ Video Link: Simple Rectangular Prism</p><p>➜ PRACTICE<br>Work on the model together. Demonstrate instructions one step at a time.</p>","","https://planning.alveary.org/links.html?id=recdqE5yZIpJ5stER&term=1&week=5","Lesson","0","FALSE"
"alveary-recdqE5yZIpJ5stER","alveary-recIU4BWzehXPpZ3w","6","1","15m Sloyd: Intro - Lesson 6","<p>Simple Rectangular Prism<br>⍞ Materials: 4&quot; x 8&quot; paper</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.</p>","","","Lesson","0","FALSE"
"alveary-recdqE5yZIpJ5stER","alveary-recGP9ryPMpILV15s","7","1","15m Sloyd: Intro - Lesson 7","<p>Corner Bookmark<br>⍞ Materials: 6&quot; x 6&quot; paper</p><p>➜ VIEW<br>Tutorial video<br>∞ Video Link: Corner Bookmark</p><p>➜ PRACTICE<br>Work on the model together. Demonstrate instructions one step at a time.</p>","","https://planning.alveary.org/links.html?id=recdqE5yZIpJ5stER&term=1&week=7","Lesson","0","FALSE"
"alveary-recdqE5yZIpJ5stER","alveary-rec6wO7eUnttLEU11","8","1","15m Sloyd: Intro - Lesson 8","<p>Corner Bookmark<br>⍞ Materials: 6&quot; x 6&quot; paper</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.</p>","","","Lesson","0","FALSE"
"alveary-recdqE5yZIpJ5stER","alveary-recg6yfvHYeb9JlHJ","9","1","15m Sloyd: Intro - Lesson 9","<p>Square Envelope<br>⍞ Materials: 6&quot; x 6&quot; paper</p><p>➜ VIEW<br>Tutorial video<br>∞ Video Link: Square Envelope</p><p>➜ PRACTICE<br>Work on the model together. Demonstrate instructions one step at a time.</p>","","https://planning.alveary.org/links.html?id=recdqE5yZIpJ5stER&term=1&week=9","Lesson","0","FALSE"
"alveary-recdqE5yZIpJ5stER","alveary-rechpGTduwiAR5i0d","10","1","15m Sloyd: Intro - Lesson 10","<p>Square Envelope<br>⍞ Materials: 6&quot; x 6&quot; paper</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.</p>","","","Lesson","0","FALSE"
