"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-receLWMgkVSpabWem","alveary-recqNpGRDlTXApIdi","1","1","30m Spiritual Formation: Grades 10-11 - Lesson 1","<p>Reading the Bible for a Change<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>If I were to ask how you approach reading the Bible, what would you say? Do you have a color-coded system, dozens of notes written in the margins, and your name proudly stamped in the front of your Bible? Or are the pages of your Bible untouched? Perhaps you write everything down in a notebook? Or perhaps the Bible sits on your shelf and remains untouched. Whatever your answer, I invite you to put aside your pre-conceived notions about Bible reading and listen as Ray Lubeck invites you to a new way of reading the Bible.</p><p>➜ ANNOTATE<br>Reading the Bible for a Change is a non-fiction book, which makes it a good candidate for annotation. While you are reading through the text, you may encounter an interesting point or main idea that you want to underline. You could put a question mark next to a statement you find unclear. You may place sticky notes on a page that you want to return to. Experiment with different ways to engage with the information in the book. Some students may record themselves reading or talking about the reading. Others may start a discussion with an acquaintance about the material. Try different ways and see what works for you. You can discuss your findings with your teacher.</p><p>➜ READ<br>Prologue p.1-5</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p><p>➜ WRITE<br>On page 3, Ray lists a couple of questions that have stayed with him for many years. Choose two of the questions and try to answer them in two paragraphs. You may want to refer back to these questions and your answers from time to time.</p><p>➜ PONDER<br>In the prologue of Reading the Bible for a Change, Ray Lubeck tells the story of how someone misused the Bible when he was very little. He also tells the reader about the effects that this misuse had upon him. Think back to a time when the Bible was misused either by you or someone around you. Did you ever confront the person? How should we handle these misuses of the Bible?</p><p>➜ EXTRA HELPINGS<br>∞ Video Link: Bible Project, Episode 1, What is the Bible</p>","","https://planning.alveary.org/links.html?id=receLWMgkVSpabWem&term=1&week=1","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recGPTzl87VWVBEP7","2","1","30m Spiritual Formation: Grades 10-11 - Lesson 2","<p>Reading as Following <br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>Why read the Bible? What does it tell us? What are we supposed to take away from our reading? These are just some of the questions that Ray approaches in the first chapter. Think on these questions and don't be afraid to write down any that come to mind as you read.</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ READ<br>Ch.1 p.9-17</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p><p>➜ WRITE<br>Ray Lubeck lists three hermeneutical virtues on pages 14-15. In one paragraph, describe how you see these virtues in your own reading of the Bible.</p><p>➜ EXTRA HELPINGS<br>∞ Video Link: Bible Project, Episode 2, The Story of the Bible.</p>","","https://planning.alveary.org/links.html?id=receLWMgkVSpabWem&term=1&week=2","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recSdY4GWwfI5NE2M","3","1","30m Spiritual Formation: Grades 10-11 - Lesson 3","<p>The Bible and Literary Categories <br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>In this chapter, Ray Lubeck writes, &quot;How we read any piece of literature depends completely on what kind of literature it is that we think we are reading.&quot; Think about how this impacts your reading of the Bible as you read through the chapter.</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ READ<br>Ch.2 p.18-25 stop at &quot;a particular passage.&quot;</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p><p>➜ EXTRA HELPINGS<br>∞ Video Link: Bible Project, Episode 3, Literary Styles</p>","","https://planning.alveary.org/links.html?id=receLWMgkVSpabWem&term=1&week=3","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recjIfmv4XqpixSbw","4","1","30m Spiritual Formation: Grades 10-11 - Lesson 4","<p>The Bible and Literary Categories continued...<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ RECAP<br>Think back to last week's reading as you continue in the chapter.</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ READ<br>Ch.2 p.25-31 &quot;Genres of Biblical&quot; through the end of the chapter.</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p><p>➜ EXTRA HELPINGS<br>∞ Video Link: Bible Project, Episode 3, Literary Styles</p>","","https://planning.alveary.org/links.html?id=receLWMgkVSpabWem&term=1&week=4","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recqPn2MLsoAenkgg","5","1","30m Spiritual Formation: Grades 10-11 - Lesson 5","<p>Introduction to the Four Steps<br>⍞ Materials: A Bible Study with Four Steps</p><p>➜ INTRO<br>Ray Lubeck writes a four-step Bible study method which includes the following: seeing, understanding, connecting, and responding.</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ READ<br>Ch.3 p.35-43 end at &quot;others have missed.&quot;</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recumzgK4TzSrAHmb","6","1","30m Spiritual Formation: Grades 10-11 - Lesson 6","<p>Introduction to the Four Steps continued...<br>⍞ Materials: A Bible Study with Four Steps</p><p>➜ RECAP<br>Think back to last week's reading.</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ READ<br>Ch.3 p.43-49 start at &quot;3.3 How does this text relate to its context?&quot;</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p><p>➜ WRITE<br>After you have read through the section, write two paragraphs. The first paragraph will be about which of the four steps you are most familiar with or comfortable with. The second paragraph will be about which of the steps you are unfamiliar with or uncomfortable with.</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recNvuCoN86g28SvP","7","1","30m Spiritual Formation: Grades 10-11 - Lesson 7","<p>The First Step: Seeing<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>Ray Lubeck opens up chapter four by saying, &quot;The first step to take in following the Bible is learning to see it carefully. Of course, I realize that anyone who has read the Bible has already 'seen' it—the words on the page are seen. But I have more in mind than this.&quot; What do you think he has in mind? What do you think &quot;seeing&quot; means when it comes to reading the Bible?</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ READ<br>Ch.4 p.50-56</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p><p>➜ PONDER<br>In what ways did this chapter challenge the way you read the Bible? What was a new idea, and what has been heard before?</p><p>➜ EXTRA HELPINGS<br>∞ Video Link: Bible Project, Episode 5, Plot<br>∞ Video Link: Bible Project, Episode 6, Character<br>∞ Video Link: Bible Project, Episode 7 Setting</p>","","https://planning.alveary.org/links.html?id=receLWMgkVSpabWem&term=1&week=7","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-rechtl3b0D0f9iSQv","8","1","30m Spiritual Formation: Grades 10-11 - Lesson 8","<p>The Second Step: Understanding<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>Have you ever read something in the Bible and thought, &quot;What does it mean?&quot; If you have, then you are already beginning to look for the second step: understanding.</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ READ<br>Ch.5 p.57-65 end at &quot;as presented in the text.&quot;</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p><p>➜ PONDER<br>On page 63, Ray Lubeck writes, &quot;Let me put it very bluntly: A Bible reader who is more concerned with his or her own 'meaning' in a passage is a very selfish person.&quot; Think about this sentence. Do you agree or disagree with it? Why?</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recl1Pd8HBJ2RkMun","9","1","30m Spiritual Formation: Grades 10-11 - Lesson 9","<p>The Second Step: Understanding continued...<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ RECAP<br>Think back to last week's reading on understanding.</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ READ<br>Ch.5 p.65-79 start at &quot;Hermeneutical Foundations for Bible Study&quot;</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p><p>➜ WRITE<br>On 64-73, Ray Lubeck lists 12 hermeneutical foundations for Bible study. Write one paragraph about the foundations that are most familiar or comfortable to you. Write one paragraph about the foundations that are least familiar or uncomfortable to you.</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recQ4xZrLHvWUThFu","10","1","30m Spiritual Formation: Grades 10-11 - Lesson 10","<p>The Third Step: Connecting<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO <br>Ray Lubeck writes, &quot;A wise person knows how to see patterns and relationships and is able to explain why they matter.&quot; As you read this section, I invite you to think about this statement.</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ READ<br>Ch.6 p.80-93 end on &quot;Old Testament ethics.&quot;</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recsiDyCfkmizJ5Em","11","1","30m Spiritual Formation: Grades 10-11 - Lesson 11","<p>The Third Step: Connecting continued...<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ RECAP<br>Think back to last week's reading. What do you remember? What stood out to you?</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ READ<br>Ch.6 p.93-105 From &quot;Connecting Paul and Moses&quot; - &quot;intentional voice.&quot;</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recc9keuu6EmP21c1","12","1","30m Spiritual Formation: Grades 10-11 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Reading the Bible for a Change</p>","","","Exam","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recSyVJn9Zp5CzJwj","13","1","30m Spiritual Formation: Grades 10-11 - Lesson 13","<p>The Third Step: Connecting continued...<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ RECAP<br>Think back to last week's reading. What do you remember? What stood out to you?</p><p>➜ READ<br>Ch.6 p.105-116 &quot;Following the Bible&quot; through the end of the chapter.</p><p>➜ ANNOTATE<br>Reading the Bible for a Change is a non-fiction book, which makes it a good candidate for annotation. While you are reading through the text, you may encounter an interesting point or main idea that you want to underline. You could put a question mark next to a statement you find unclear. You may place sticky notes on a page that you want to return to. Experiment with different ways to engage with the information in the book. Some students may record themselves reading or talking about the reading. Others may start a discussion with an acquaintance about the material. Try different ways and see what works for you. You can discuss your findings with your teacher.</p><p>➜ NARRATE<br>Take a moment and summarize the main ideas of this section either silently or aloud.</p><p>➜ WRITE<br>At the end of this chapter, Ray Lubeck writes, &quot;As you can see, life itself is a story to be lived. The Bible is not intended to be part of my story, but the other way around—my story is subsumed by the world-story that the Bible presents. Life makes sense as I align myself with the one meta-story. When I receive it as a comprehensive story, I understand the parts more clearly: both the parts of the Bible and all the parts of my life.&quot; Respond to the quote in 1-2 paragraphs. Do you agree or disagree? Why or why not? How does this statement inform your reading of the Bible?</p><p>➜ PONDER<br>What are the ideas from this section that you are taking away? What are you applying to your own Bible reading?</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-rec0Xkdhy5vdNOqe2","14","1","30m Spiritual Formation: Grades 10-11 - Lesson 14","<p>The Fourth Step: Responding<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>Have you ever had the experience of reading the Bible and then asking, &quot;So what?&quot; If you have, you're not alone. And the fourth step, responding, will help you answer this question. As always, remember to take note of any questions that your reading brings up. You can make a physical note of these to make it easier to remember.</p><p>➜ READ &amp; NARRATE<br>Ch.7 p.117-127 end at &quot;into personal autobiography.&quot;</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ WRITE<br>Ray Lubeck writes, &quot;In the courses that I teach on Bible study, I have given assignments that required the students to list specific response suggestions that relate the shared Truth claims they have discovered in the text to their own lives. In observing their tendencies, I have been struck by two things: most of their suggestions have to do with outward actions rather than attitudes and perspectives, and they lack this element of imagination.&quot; Respond to this statement in one paragraph.</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-rec5uf6OWzcdRbLW2","15","1","30m Spiritual Formation: Grades 10-11 - Lesson 15","<p>The Fourth Step: Responding continued...<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ RECAP<br>Think back to last week's reading. What do you remember? What stood out to you?</p><p>➜ READ &amp; NARRATE<br>Ch.7 p.127-136 &quot;Responding as the&quot; through the end of the chapter.</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ PONDER<br>Ray Lubeck writes, &quot;It is through Responding that we translate our theology into personal autobiography.&quot; How does this statement resonate with you?</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recouJb0AxyDVq6U4","16","1","30m Spiritual Formation: Grades 10-11 - Lesson 16","<p>How to Read Narrative<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>Are you a fan of narratives? Perhaps you like reading stories like The Lord of the Rings or Narnia? Or maybe you like to read biographical material about the lives of people you respect or who stir your curiosity. How about movies like Star Wars? Did you know that your brain is hardwired for these narratives? The Bible is overflowing with the genre of narrative, but that means we need to read it a certain way. As you spend time in this next chapter, take note of ideas that stand out to you.</p><p>➜ READ &amp; NARRATE<br>Ch.8 p.139-150 stop at &quot;the entire story.&quot;</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ EXTRA HELPINGS<br>∞ Video Link: Bible Project, Episode 5, Plot<br>∞ Video Link: Bible Project, Episode 6, Character<br>∞ Video Link: Bible Project, Episode 7, Setting</p>","","https://planning.alveary.org/links.html?id=receLWMgkVSpabWem&term=2&week=16","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recdcQYTiOrFbINPs","17","1","30m Spiritual Formation: Grades 10-11 - Lesson 17","<p>How to Read Narrative continued...<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ RECAP<br>Think back to last week's reading. What do you remember? What stood out to you?</p><p>➜ READ &amp; NARRATE<br>Ch.8 p.150-163 &quot;Plot&quot; through the end of the chapter.</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ EXTRA HELPINGS<br>∞ Video Link: Bible Project, Episode 5, Plot<br>∞ Video Link: Bible Project, Episode 6, Character<br>∞ Video Link: Bible Project, Episode 7, Setting</p>","","https://planning.alveary.org/links.html?id=receLWMgkVSpabWem&term=2&week=17","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recIzLPhW3F52qDsz","18","1","30m Spiritual Formation: Grades 10-11 - Lesson 18","<p>Reading Narrative: The Book of Ruth<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>In last week's reading, Ray Lubeck wrote, &quot;Every narrative has a setting, the environment in which the action takes place. It also includes characters, who are the participants in the actions. And it develops a plot, a series of events that are linked together. In addition to these three, all narratives employ elements of style or technique. Whenever we are reading a biblical narrative, we should look for how these elements are presented by the author.&quot; As you read through this next chapter, think about how each of these elements is presented by the author.</p><p>➜ READ &amp; NARRATE<br>Ch.12 p.215-235</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recV9XQ68c97j89kX","19","1","30m Spiritual Formation: Grades 10-11 - Lesson 19","<p>How to Read Poetry<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>Poetry is also a genre we find in the Bible. What is your familiarity with poems? Do you have any favorites? How might reading Biblical poetry be different than reading other types of poetry? Think about these questions as you read through the section. Additionally, if you have any questions, I encourage you to write them down so you can refer back to them.</p><p>➜ READ &amp; NARRATE<br>Ch.9 p.164-179</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ EXTRA HELPINGS<br>∞ Video Link: Bible Project, Episode 9, Poetry<br>∞ Video Link: Bible Project, Episode 10, Poetic Metaphor</p>","","https://planning.alveary.org/links.html?id=receLWMgkVSpabWem&term=2&week=19","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recIYlKmVC6UbqqhC","20","1","30m Spiritual Formation: Grades 10-11 - Lesson 20","<p>Reading Poetry: 1 Samuel 2:1-10<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ RECAP<br>Think back to last week's reading. What do you remember? What stood out to you?</p><p>➜ READ &amp; NARRATE<br>Ch.13 p.235-247</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recXyRF4DuoTIdS3l","21","1","30m Spiritual Formation: Grades 10-11 - Lesson 21","<p>How to Read Discourse<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>Ray Lubeck writes, &quot;Yet when it comes to the most important written documents of culture, most often these come in the form of discourse.&quot; Think about popular discourses that you've read that are not on the list that he provides on pages 180-181. How have these discourses impacted your life and the lives of others? Additionally, if you have any questions, I encourage you to write them down so you can refer back to them.</p><p>➜ READ &amp; NARRATE<br>Ch. 10 p.180-192</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ WRITE<br>Write two paragraphs on how you can apply what you've learned to your Bible reading.</p><p>➜ EXTRA HELPINGS<br>∞ Video Link: Bible Project, Episode 17, New Testament Letters: Historical Context<br>∞ Video Link: Bible Project, Episode 18, New Testament Letters: Literary Context</p>","","https://planning.alveary.org/links.html?id=receLWMgkVSpabWem&term=2&week=21","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-rec8LYKr67jUVL6o7","22","1","30m Spiritual Formation: Grades 10-11 - Lesson 22","<p>Reading Discourse: The Book of Philippians<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>So how does one read discourse? Ray Lubeck uses the book of Philippians to show his readers an example of how to approach discourse. Additionally, if you have any questions, I encourage you to write them down so you can refer back to them.</p><p>➜ READ &amp; NARRATE<br>Ch.14 p.245-269</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ PONDER<br>Write two paragraphs dedicated to answering the following questions: How have you read discourse in the past? What do you intend to apply to your reading of discourse in the future?</p>","","","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recpATqAkgYWtqU2A","23","1","30m Spiritual Formation: Grades 10-11 - Lesson 23","<p>Biblical Genres<br>⍞ Materials: Reading the Bible for a Change</p><p>➜ INTRO<br>You've learned about Narrative, Poetry, and Discourse, which are the predominant genres in the Scriptures. Now, Ray Lubeck turns to other biblical genres and how to read through them. From Apocalyptic, epistle, and gospel, to prophecy, proverbial, and Psalm, you'll learn how to navigate the other genres. Additionally, if you have any questions, I encourage you to write them down so you can refer back to them.</p><p>➜ READ &amp; NARRATE<br>Ch.11 p.193-212</p><p>➜ ANNOTATE<br>Don't forget to annotate as you read.</p><p>➜ PONDER<br>Which of the genres listed in the chapter are you most familiar with? Do you tend to gravitate towards one genre or another? Why or why not?</p><p>➜ EXTRA HELPINGS<br>∞ Video Link: Bible Project, Episode 11, The Book of the Psalms<br>∞ Video Link: Bible Project, Episode 12, The Prophets<br>∞ Video Link: Bible Project, Episode 13, Biblical Law<br>∞ Video Link: Bible Project, Episode 15, The Gospel<br>Bible Project, Episode 19, Apocalyptic Literature</p>","","https://planning.alveary.org/links.html?id=receLWMgkVSpabWem&term=2&week=23","Lesson","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-rec1mUJSiVh4BiJOw","24","1","30m Spiritual Formation: Grades 10-11 - Lesson 24","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Reading the Bible for a Change.</p>","","","Exam","0","FALSE"
"alveary-receLWMgkVSpabWem","alveary-recDu3gWOJsgClIh1","25","1","30m Spiritual Formation: Grades 10-11 - Lesson 25","<p>⍞ Materials: God of All Things</p><p>➜ INTRO<br>This is a book all about things.  But the things can point us to God.  So, really, this is a book all about things and God and how we can be reminded of him when we see and interact with the things of this world.  There are new wonders to see all around us!</p><p>➜ ANNOTATE<br>Reading the Bible for a Change is a non-fiction book, which makes it a good candidate for annotation. While you are reading through the text, you may encounter an interesting point or main idea that you want to underline. You could put a question mark next to a statement you find unclear. You may place sticky notes on a page that you want to return to. Experiment with different ways to engage with the information in the book. Some students may record themselves reading or talking about the reading. Others may start a discussion with an acquaintance about the material. Try different ways and see what works and what doesn’t work for you. You can discuss your findings with your teacher.<br> <br>➜ READ &amp; NARRATE<br>Foreword, Introduction, Ch.1-2<br>Maybe a chart, diagram, or drawing for some of the chapters would be a good way to narrate.  Or, maybe writing a poem or a song about each item might make sense to capture the truths of the chapter.  Try a haiku with 5,7, and 5 syllables for each line. See what works well for you.</p>","","","Lesson","0","FALSE"
