"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-receqRUGPs0jU7mrA","alveary-rec2wN5DS0gkidxwe","1","1","15m Sol-fa: Level 4 - Lesson 1","<p>Step 15a<br>⍞ Materials: Fifty Steps in Sight Singing</p><p>➜ INTRO<br>Warm up your voice for a couple of minutes.<br>∞ Audio Link: Warm-Ups<br>∞ Video Link: Warm-Ups</p><p>➜ LISTEN &amp; PRACTICE<br>Write, sing, or clap back melodies or rhythms as directed.<br>∞ Audio Link: Step 15a<br>∞ Video Link: Amazing Grace<br>∞ Video Link: Waltz<br>p.14</p>","","https://planning.alveary.org/links.html?id=receqRUGPs0jU7mrA&term=1&week=1","Lesson","0","FALSE"
"alveary-receqRUGPs0jU7mrA","alveary-receEXLSkc3oK9eyE","2","1","15m Sol-fa: Level 4 - Lesson 2","<p>Step 15b<br>⍞ Materials: Fifty Steps in Sight Singing</p><p>➜ RECAP<br>Review concepts from the last lesson.</p><p>➜ WARM UP<br>Prepare your voice for singing.<br>∞ Audio Link: Warm-Ups<br>∞ Video Link: Warm-Ups</p><p>➜ LISTEN &amp; PRACTICE<br>Write, sing, or clap back melodies or rhythms as directed.<br>∞ Audio Link: Step 15b<br>∞ Audio Link: Step 15b Answer Key<br>p.14</p>","","https://planning.alveary.org/links.html?id=receqRUGPs0jU7mrA&term=1&week=2","Lesson","0","FALSE"
"alveary-receqRUGPs0jU7mrA","alveary-recKBrys6QltNEMxo","3","1","15m Sol-fa: Level 4 - Lesson 3","<p>Step 15c<br>⍞ Materials: Fifty Steps in Sight Singing</p><p>➜ RECAP<br>Review concepts from the last lesson.</p><p>➜ WARM UP<br>Prepare your voice for singing.<br>∞ Audio Link: Warm-Ups<br>∞ Video Link: Warm-Ups</p><p>➜ LISTEN &amp; PRACTICE<br>Write, sing, or clap back melodies or rhythms as directed.<br>∞ Audio Link: Step 15c<br>∞ Audio Link: Step 15c Answer Key<br>p.14</p>","","https://planning.alveary.org/links.html?id=receqRUGPs0jU7mrA&term=1&week=3","Lesson","0","FALSE"
"alveary-receqRUGPs0jU7mrA","alveary-recw7onXgkoIhupfe","4","1","15m Sol-fa: Level 4 - Lesson 4","<p>Step 15d<br>⍞ Materials: Fifty Steps in Sight Singing</p><p>➜ RECAP<br>Review concepts from the last lesson.</p><p>➜ WARM UP<br>Prepare your voice for singing.<br>∞ Audio Link: Warm-Ups<br>∞ Video Link: Warm-Ups</p><p>➜ LISTEN &amp; PRACTICE<br>Write, sing, or clap back melodies or rhythms as directed.<br>∞ Audio Link: Step 15d<br>∞ Audio Link: Step 15d Answer Key<br>p.15</p>","","https://planning.alveary.org/links.html?id=receqRUGPs0jU7mrA&term=1&week=4","Lesson","0","FALSE"
"alveary-receqRUGPs0jU7mrA","alveary-recpBFDCDSNUeR35T","5","1","15m Sol-fa: Level 4 - Lesson 5","<p>Step 15e<br>⍞ Materials: Fifty Steps in Sight Singing</p><p>➜ RECAP<br>Review concepts from the last lesson.</p><p>➜ WARM UP<br>Prepare your voice for singing.<br>∞ Audio Link: Warm-Ups<br>∞ Video Link: Warm-Ups</p><p>➜ LISTEN &amp; PRACTICE<br>Write, sing, or clap back melodies or rhythms as directed.<br>∞ Audio Link: Step 15e<br>∞ Audio Link: Step 15e Answer Key<br>p.15</p>","","https://planning.alveary.org/links.html?id=receqRUGPs0jU7mrA&term=1&week=5","Lesson","0","FALSE"
"alveary-receqRUGPs0jU7mrA","alveary-rec3y1OVqIcv8V0gJ","6","1","15m Sol-fa: Level 4 - Lesson 6","<p>Step 15f<br>⍞ Materials: Fifty Steps in Sight Singing</p><p>➜ RECAP<br>Review concepts from the last lesson.</p><p>➜ WARM UP<br>Prepare your voice for singing.<br>∞ Audio Link: Warm-Ups<br>∞ Video Link: Warm-Ups</p><p>➜ LISTEN &amp; PRACTICE<br>Write, sing, or clap back melodies or rhythms as directed.<br>∞ Audio Link: Step 15f<br>∞ Audio Link: Step 15f Answer Key<br>p.15</p>","","https://planning.alveary.org/links.html?id=receqRUGPs0jU7mrA&term=1&week=6","Lesson","0","FALSE"
"alveary-receqRUGPs0jU7mrA","alveary-rec0rINpBVROpa6o0","7","1","15m Sol-fa: Level 4 - Lesson 7","<p>Step 15g<br>⍞ Materials: Fifty Steps in Sight Singing</p><p>➜ RECAP<br>Review concepts from the last lesson.</p><p>➜ WARM UP<br>Prepare your voice for singing.<br>∞ Audio Link: Warm-Ups<br>∞ Video Link: Warm-Ups</p><p>➜ LISTEN &amp; PRACTICE<br>Write, sing, or clap back melodies or rhythms as directed.<br>∞ Audio Link: Step 15g<br>∞ Audio Link: Step 15g Answer Key<br>p.16</p>","","https://planning.alveary.org/links.html?id=receqRUGPs0jU7mrA&term=1&week=7","Lesson","0","FALSE"
"alveary-receqRUGPs0jU7mrA","alveary-recPaqoRK6hotxRIq","8","1","15m Sol-fa: Level 4 - Lesson 8","<p>Step 16a<br>⍞ Materials: Fifty Steps in Sight Singing</p><p>➜ RECAP<br>Review concepts from the last lesson.</p><p>➜ WARM UP<br>Prepare your voice for singing.<br>∞ Audio Link: Warm-Ups<br>∞ Video Link: Warm-Ups</p><p>➜ LISTEN &amp; PRACTICE<br>Write, sing, or clap back melodies or rhythms as directed.<br>∞ Audio Link: Step 16a<br>p.16</p>","","https://planning.alveary.org/links.html?id=receqRUGPs0jU7mrA&term=1&week=8","Lesson","0","FALSE"
"alveary-receqRUGPs0jU7mrA","alveary-recZXXzuQgExQjCzx","9","1","15m Sol-fa: Level 4 - Lesson 9","<p>Step 16b<br>⍞ Materials: Fifty Steps in Sight Singing</p><p>➜ RECAP<br>Review concepts from the last lesson.</p><p>➜ WARM UP<br>Prepare your voice for singing.<br>∞ Audio Link: Warm-Ups<br>∞ Video Link: Warm-Ups</p><p>➜ LISTEN &amp; PRACTICE<br>Write, sing, or clap back melodies or rhythms as directed.<br>∞ Audio Link: Step 16b<br>∞ Audio Link: Step 16b Answer Key<br>p.17</p>","","https://planning.alveary.org/links.html?id=receqRUGPs0jU7mrA&term=1&week=9","Lesson","0","FALSE"
"alveary-receqRUGPs0jU7mrA","alveary-recBdvvDYLggknPXb","10","1","15m Sol-fa: Level 4 - Lesson 10","<p>Step 16c<br>⍞ Materials: Fifty Steps in Sight Singing</p><p>➜ RECAP<br>Review concepts from the last lesson.</p><p>➜ WARM UP<br>Prepare your voice for singing.<br>∞ Audio Link: Warm-Ups<br>∞ Video Link: Warm-Ups</p><p>➜ LISTEN &amp; PRACTICE<br>Write, sing, or clap back melodies or rhythms as directed.<br>∞ Audio Link: Step 16c<br>∞ Audio Link: Step 16c Answer Key<br>p.17</p>","","https://planning.alveary.org/links.html?id=receqRUGPs0jU7mrA&term=1&week=10","Lesson","0","FALSE"
"alveary-receqRUGPs0jU7mrA","alveary-recuuyp7xxKR8mOAX","11","1","15m Sol-fa: Level 4 - Lesson 11","<p>Step 16d<br>⍞ Materials: Fifty Steps in Sight Singing</p><p>➜ RECAP<br>Review concepts from the last lesson.</p><p>➜ WARM UP<br>Prepare your voice for singing.<br>∞ Audio Link: Warm-Ups<br>∞ Video Link: Warm-Ups</p><p>➜ LISTEN &amp; PRACTICE<br>Write, sing, or clap back melodies or rhythms as directed.<br>∞ Audio Link: Step 16d<br>∞ Audio Link: Step 16d Answer Key<br>p.18</p>","","https://planning.alveary.org/links.html?id=receqRUGPs0jU7mrA&term=1&week=11","Lesson","0","FALSE"
"alveary-receqRUGPs0jU7mrA","alveary-reckKAqzJgoxjNlhd","12","1","15m Sol-fa: Level 4 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Sol-fa Level 4 Coursework</p>","<p>★ Sol-fa: Level 4 — TERM 1 EXAM QUESTIONS<br>· Sing and record the last exercise completed.</p><p>· What is the difference between 3/4 and 4/4 time?</p>","","Exam","0","FALSE"
