"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recf1ZJApoiH8dvwP","alveary-recXtjpsCuDXIYMeb","1","1","15m Natural History: Grade 5 - Lesson 1","<p>My Own Garden<br>⍞ Materials: Nature All Around: Plants, video links, seeds, pot with soil or place in the ground, trowel, water</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Did you ever think of all the world as a garden full of many different plants? What about plants stands out to you most? Look at the picture on the cover of this book. How many different plants do you see? Do you recognize any of them?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.4-6 &quot;Do you have&quot; - &quot;four basic parts.&quot; Take a moment to diagram a plant with these 4 parts.<br>p.8 &quot;Flowering plants start&quot; - &quot;They shrivel up.&quot;</p><p>➜ VIEW <br>Let's watch the beginning of the plant life cycle, and then we'll begin our own gardens, choose one or both based on time:<br>∞ Video Link: Growing Basil Time Lapse (1:42)<br>∞ Video Link: Wildflower Garden Time Lapse (3:31)</p><p>➜ ACTIVITY<br>Begin your own small garden in the ground or even in a single pot. Plant seeds according to the seed packet and plan to check on them and water them regularly. The soil should be moist, but not wet. If it seems wet, then don’t add more water. If you gently blow across the surface and the soil has a dusty character, then give it some water. As seeds sprout over the next few weeks, make careful observations in your nature journal.</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what you planted.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>The livingness of this book lies in its artwork, so read the assigned pages, but know that some students may learn more from reading only a part and instead exploring and spending time with the pictures. When students narrate, they are analyzing the &quot;big idea.&quot;</p>","https://planning.alveary.org/links.html?id=recf1ZJApoiH8dvwP&term=1&week=1","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recSEcgGB1MV1uM5I","2","1","15m Natural History: Grade 5 - Lesson 2","<p>We Depend on Plants<br>⍞ Materials: Nature All Around: Plants, video links</p><p>➜ INTRO<br>What do you recall from our last reading about plants? Why do you think plants are important to us? Plants make the air we breathe; they shape our communities and traditions; they even make many of our most important medicines. Let's find out how they do the first of these in our book.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.9 &quot;A plant's green leaves&quot; - &quot;even at night.&quot;<br>•Add to last week's diagram or sketch a new one, showing how the plant releases oxygen into the air.</p><p>➜ VIEW<br>∞ Video Link: Ethnobotanist (to 3:03)<br>∞ Video Link: Life-saving Medicines (to 4:13)</p><p>➜ NARRATE &amp; DISCUSS</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=recf1ZJApoiH8dvwP&term=1&week=2","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recrwCf5bETAV1HpV","3","1","15m Natural History: Grade 5 - Lesson 3","<p>Getting to Know Flowering Plants<br>⍞ Materials: Nature All Around: Plants, video link, Shanleya's Quest card game</p><p>➜ INTRO<br>Recall what we learned in the last lesson. What do we call someone who studies plants? What do they actually do?</p><p>➜ VIEW<br>∞ Video Link: What is a Botanist? (6:31)</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.10-11 &quot;Take a look&quot; - &quot;from the flowers.&quot;</p><p>• If you have the Shanleya's Quest card game, then explore the deck today. Notice differences in the 8 plant families presented and how the key characteristics are repeated in different plants in the family. If you do not have the card game, then refer to the link (about halfway down the webpage).<br>∞ Website Link: Shanleya's Quest Patterns in Plants</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=recf1ZJApoiH8dvwP&term=1&week=3","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-rec8xkAhh7GKRbrvn","4","1","15m Natural History: Grade 5 - Lesson 4","<p>Caring for My Garden<br>⍞ Materials: The Forest in the Tree, plantings from earlier in term</p><p>➜ OBSERVE<br>Do your seedlings appear similar to or different from each other? Are some growing slower or faster than others? Are the seeds that you planted monocots or dicots? How do the different parts of the plant, like the roots, leaves, and flowers, serve its purpose? (Refer to Nature All Around: Plants, if you need help.)</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what you observed. Do you think the soil that plants grow in is very important, or can they grow in anything?  What do you think is in soil?</p><p>➜ OBSERVE &amp; DISCUSS<br>Look at the picture on p.34. Read all or parts of p.35 to accompany the picture.</p><p>• Compare the relationship between plants and soil microbes to community members sharing resources.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recvzLkHIUEdxVq9r","5","1","15m Natural History: Grade 5 - Lesson 5","<p>Plants in Community<br>⍞ Materials: The Forest in the Tree, Shanleya's Quest card game</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Recall what we learned about how plants work and how they are part of a community.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.2-15 &quot;Water wakes me&quot; - &quot;'Glomus,' I agree.&quot;</p><p>• How are the plant and the fungi working together?<br>• Look at the picture on p.15. What happened when the fungi connected? (Notice the trees are also connected.)<br>• Play &quot;memory&quot; or &quot;slap flower'&quot; based on student preference, if you have the Shanleya's Quest deck.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP <br>Are your learner(s) demonstrating more familiarity/interest in how plants work?  More interest/ease in describing/identifying different types of plants?  If not, consider practicing together more often, exploring extra helpings, or taking a field trip to a botanical garden.</p>","","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recQH0QKqam8kt3Wr","6","1","15m Natural History: Grade 5 - Lesson 6","<p>The Life of a Plant<br>⍞ Materials: The Forest in the Tree, Shanleya's Quest card game</p><p>➜ INTRO<br>Recall what happened in the story last time. How do you think this community will live, grow, and change? Will they have new neighbors, new babies, illnesses, etc, just like our community? Do you think plant communities experience these parts of life? Why or why not?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.16-32 &quot;Broma is older&quot; - &quot;shape the Earth.&quot;</p><p>• If you have the Shanleya's Quest deck, play the same game as last week or try &quot;Crazy Flower&quot; or &quot;Wildflower Rummy.&quot;</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recH87wqj2YUVmqkk","7","1","15m Natural History: Grade 5 - Lesson 7","<p>Caring for My Garden Activity<br>⍞ Materials: The Forest in the Tree, plantings from earlier in term, map/globe</p><p>➜ OBSERVE<br>Spend a few minutes carefully observing your various seedlings. How has their appearance developed? Are you noticing distinctive characteristics yet?</p><p>➜ NARRATE <br>Use a nature journal to record what you observed.</p><p>➜ RECAP<br>What was the Forest in the Tree about? What kind of tree was Broma? (cacao) Where was Broma? Find the Amazon on the map/globe.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.37 &quot;Theobroma cacao is&quot; - &quot;Ivory Coast to Ghana.&quot;</p><p>• Find Ivory Coast and Ghana. The cacao tree belongs to the mallow family, which means that the hibiscus flower and the linden tree are its cousins in places like Canada, the U.S., Finland, Korea, and New Zealand! Find these locations as time permits.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recnobWEKhSGySyea","8","1","15m Natural History: Grade 5 - Lesson 8","<p>Plants in Spring and Summer<br>⍞ Materials: Nature All Around: Plants, Shanleya's Quest card game</p><p>➜ INTRO<br>Recall what we learned about how plants work. You may look back at the pictures to help. Have you noticed that different plants grow in different seasons?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.12-15 &quot;One of the&quot; - &quot;they are absorbed.&quot;</p><p>• What plants have you collected so far? Which families do they belong to? Do they grow and bloom primarily in the spring or summer? Where do they grow? <br>• If you have the Shanleya's Quest deck, play your favorite game. Is it getting easier to recognize their characteristics?</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recmfuAJfxO98YsDA","9","1","15m Natural History: Grade 5 - Lesson 9","<p>Plants in Fall and Winter<br>⍞ Materials: Nature All Around: Plants, Shanleya's Quest card game</p><p>➜ INTRO<br>Tell me what you remember about plants in the spring and summer. What happens to plants in the fall and winter? Let's read and learn something new.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.16-19 &quot;By fall, many&quot; - &quot;replanted each year&quot;</p><p>• What 3 observations do you think are most helpful to identify a plant?<br>• What plants have you collected so far? Do you know what happens to them in the fall and winter? How do they come back the next year? How do they propagate? <br>• If you have the Shanleya's Quest deck, play your favorite game or try a new one.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-rec12KIyHU7e3c9PV","10","1","15m Natural History: Grade 5 - Lesson 10","<p>Garden Niches <br>⍞ Materials: Nature All Around: Plants, Shanleya's Quest card game</p><p>➜ INTRO<br>What do you recall about plants in different seasons? What about different places? Do you think the plants are different in different parts of our country?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.20-23 &quot;If you were&quot; - &quot;for next year.&quot;</p><p>• Find your zone on the map on p.20-21. Have you visited any other zones? Were the plants different in those other zones? Have you visited different habitats in your own or another zone? Describe some of the plants you remember. Were there characteristics or patterns that you remember?  If you haven't noticed plants in another zone, you might enjoy seeing those at the link:<br>∞ Video Link: Wildflowers in Death Valley (3:57)<br>• Play a game with Shanleya's Quest, as time permits.</p><p>➜ NOTE <br>Explore &quot;More Strange Plants&quot; on p.26-27 for interest, if desired.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=recf1ZJApoiH8dvwP&term=1&week=10","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recTrGCQekgYYwXzx","11","1","15m Natural History: Grade 5 - Lesson 11","<p>Caring for My Garden Activity<br>⍞ Materials: plantings from earlier in term</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Your seedlings are probably much bigger now!  Spend today carefully observing them. Do your observations reveal to which families they belong yet? If not, then keep observing and be patient!</p><p>➜ OBSERVE</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what you observed.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP <br>When students take exams next week, evaluate what they recall, but more importantly, whether any of the new plants they have met are more familiar or have possibly even become a particular friend!  If no relational growth is observed, consider why: do they need more hands-on time, more reading support, less business, etc?</p>","","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-rec5PIyhta7ttEsVp","12","1","15m Natural History: Grade 5 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>The Forest in the Tree, Nature All Around: Plants</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ Natural History: Grade 5 — TERM 1 EXAM QUESTIONS<br>· The Forest in the Tree &amp; Nature All Around: Plants: Tell about or draw what you know about how plants work. OR Compare in word or picture three different plant types that you found this term.</p>","","Exam","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recY4R8wX6n3pe3rR","13","1","15m Natural History: Grade 5 - Lesson 13","<p>Working in the Dark<br>⍞ Materials: The Bat Scientists</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Look at the picture on the cover. Have you watched bats flying at night before? What do you know about bats? Briefly look at p.8-10 based on interest before beginning.</p><p>➜ READ &amp; NARRATE<br>p.13-15 &quot;Do you see&quot; - &quot;his favorite.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.15-16 &quot;Merlin Tuttle&quot; - &quot;to save them.&quot;</p><p>➜ SUPPLEMENTAL<br>Estimating the number of animals in a population, like bats in a cave, is challenging!  Check out the linked photos and see if you can estimate the number of animals in just a glance.<br>∞ Image Link: Herd of Bison<br>∞ Image Link: School of Fish<br>∞ Image Link: Murmuration</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Sometimes more complex readings can be broken into smaller parts. In this passage, the first part introduces us to the bats and the second to the scientist who studies them.</p><p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, to enliven the lesson itself, or to add to discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p>","https://planning.alveary.org/links.html?id=recf1ZJApoiH8dvwP&term=2&week=13","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recMDKwxCXeNCCshE","14","1","15m Natural History: Grade 5 - Lesson 14","<p>Watching Out for Bats<br>⍞ Materials: The Bat Scientists</p><p>➜ INTRO<br>What did we read in the last passage? Where are we? What is it like? Who are we with? Today, we'll read about bats in their ecosystem.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.19-24 &quot;The baking hot&quot; - &quot;fear of bats.&quot; (including p.21)</p><p>• Use Google or a local resource to discover what the bats in your area eat and what eats them. Where do they live? Who else is dependent on them?<br>• Discuss the food chain/web based on the reading OR for the bats in your area. Draw or diagram, if helpful.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-reca0O3N8cl3tbDBu","15","1","15m Natural History: Grade 5 - Lesson 15","<p>Knowing Bats<br>⍞ Materials: The Bat Scientists</p><p>➜ INTRO<br>Recall what we learned in the last passage. Let's get to know the bats a bit better in this passage.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.27-33 &quot;Want to see&quot; - &quot;truth about bats.&quot;</p><p>• Discuss the wing diagram on p.33. What stands out to you? Copy the diagram, if desired.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recJlKK0SEKs999YU","16","1","15m Natural History: Grade 5 - Lesson 16","<p>What's So Special About Bats?<br>⍞ Materials: The Bat Scientists</p><p>➜ INTRO<br>Recall what we learned in the last passage. Can you think of any characteristics that make bats really special?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.34-39 &quot;Bats are unique&quot; - &quot;second chance.&quot;</p><p>• Find the picture of a bat from your region or just a bat that you like at the link. Can you notice the adaptations discussed in today's reading? Does this tell you anything about this bat?<br>∞ Image Link: Bats by Region</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=recf1ZJApoiH8dvwP&term=2&week=16","Lesson","0","FALSE"
"alveary-recf1ZJApoiH8dvwP","alveary-recH8t0tbtcCtSkWN","17","1","15m Natural History: Grade 5 - Lesson 17","<p>What Do You Do with a Problem?<br>⍞ Materials: video link</p><p>➜ INTRO<br>Recall what we learned in the last passage. Today, we have a video that struggles with a bat problem, so let's watch and see what we think.</p><p>➜ VIEW &amp; NARRATE<br>∞ Video Link: The Case for Vampire Bats (8:48)</p><p>• What do you think? What should be done for the people? What should be done for the bats?<br>• What makes a creature valuable?</p><p>➜ NOTE <br>Explore &quot;Batty Myths&quot; on p.38 for interest, if desired.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER NOTE<br>The required video in this lesson includes a cartoon of a vampire bat biting a child at 0.18 and mentions evolution at 2:51.  Teachers might allow these to pass by the way, but should preview if they have concerns.  The video could be started at 0:27 if they think the cartoon will be frightening, and teachers could decide in advance how they want to address any questions about evolution.</p>","https://planning.alveary.org/links.html?id=recf1ZJApoiH8dvwP&term=2&week=17","Lesson","0","FALSE"
