"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recf448kuDlHlSnPc","alveary-recyRR12jEkKgFsrI","1","1","15m Fairy Tales - Lesson 1","<p>Hansel and Gretel<br>⍞ Materials: Tales from Grimm</p><p>PREP: Read &quot;Introduction&quot; p.vii-xiii</p><p>➜ INTRO<br>Each week, when we read from our books, our imaginations will take us to some faraway places and introduce us to interesting characters.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.3-10 &quot;In a little&quot; - &quot;all, all up.&quot;</p>","<p>★ TEACHER TIP<br>This version of Grimm's fairy tales is written in beautiful English that is simple enough for some students to begin reading it themselves. You may want to let your student(s) take a turn reading a sentence or a page as they grow in their reading abilities.</p>","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-rec2OtuF5QUiflPbn","2","1","15m Fairy Tales - Lesson 2","<p>Hansel and Gretel<br>⍞ Materials: Tales from Grimm</p><p>➜ INTRO<br>Do you remember what was happening to Gretel in this picture?<br>⍞ Image Resource: Tales from Grimm &quot;Gretel and Hansel Kneeling&quot; p.7</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.10-18 &quot;The two unhappy&quot; - &quot;not get fat.&quot;</p>","<p>★ TEACHER NOTE<br>Preview for sensitive content p.17</p>","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-reca14rJzPJhWPB6E","3","1","15m Fairy Tales - Lesson 3","<p>Hansel and Gretel<br>⍞ Materials: Tales from Grimm</p><p>➜ RECAP<br>Where did we end last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.18-24 &quot;When four weeks&quot; - &quot;happily ever after.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-recItaVnt38VwzFTw","4","1","15m Fairy Tales - Lesson 4","<p>Cat and Mouse Keep House<br>⍞ Materials: Tales from Grimm</p><p>➜ INTRO<br>We're starting a new story today called Cat and Mouse Keep House. What do you think it will be about?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.27-35 &quot;A tawny yellow&quot; - &quot;in this world!&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-reciGVJ5i0kvEno6w","5","1","15m Fairy Tales - Lesson 5","<p>Stories from Canada and the Sioux<br>⍞ Materials: Around the World in 80 Tales</p><p>➜ INTRO<br>Grimm's tales are mostly from Germany. Let's read some fairy tales from other places! These tales are a bit shorter, so we'll read several.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.13-14 &quot;The White Bear&quot;<br>p.15-17 &quot;The Three Spells&quot;</p>","<p>★ TEACHER NOTE<br>For the 80 Tales book, 2-3 stories are usually assigned. Depending on your student(s), you may want to stop and narrate after each. Or you could read all the stories and ask your student to pick one to narrate at length.</p>","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-rec1Pio12bVHFK3LN","6","1","15m Fairy Tales - Lesson 6","<p>Six Servants<br>⍞ Materials: Tales from Grimm</p><p>➜ INTRO<br>This story will introduce us to a Prince and six unusual men with unique abilities.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.39-51 &quot;In days of&quot; - &quot;will be harder.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-rec7vNgWvkZSdff2G","7","1","15m Fairy Tales - Lesson 7","<p>Six Servants<br>⍞ Materials: Tales from Grimm</p><p>➜ RECAP<br>Where did we stop last time? What do you think the next test will be?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.51-61 &quot;I am ready,&quot; - &quot;happiness ever after.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-rec8V3mzLS9KAvnLF","8","1","15m Fairy Tales - Lesson 8","<p>⍞ Materials: Around the World in 80 Tales</p><p>➜ INTRO<br>What does it mean to be honest or helpful?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.20-21 &quot;Anansi and the Plantains&quot;<br>p.22-23 &quot;Brer Rabbit Goes Fishing&quot;<br>p.27-29 &quot;The Half Chick&quot;</p>","<p>★ TEACHER NOTE<br>Preview for sensitive content p.28-29</p>","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-rec5LBDNCuSlniakz","9","1","15m Fairy Tales - Lesson 9","<p>Spindle, Shuttle, and Needle<br>⍞ Materials: Tales from Grimm</p><p>➜ INTRO<br>We may need help to understand the title of our story. Spindles and shuttles are used in weaving.<br>∞ Image Link: Spindles <br>∞ Video Link: Weaving Shuttle Breakdown</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.65-73 &quot;At the edge&quot; - &quot;poor girl's home.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","https://planning.alveary.org/links.html?id=recf448kuDlHlSnPc&term=1&week=9","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-reczj8ZSlr9GWSsvJ","10","1","15m Fairy Tales - Lesson 10","<p>Doctor Know-It-All<br>⍞ Materials: Tales from Grimm</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.77-84 &quot;Once there was&quot; - &quot;a fine carriage.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-recejZyBA2y4JW51A","11","1","15m Fairy Tales - Lesson 11","<p>The Musicians of Bremen<br>⍞ Materials: Tales from Grimm</p><p>➜ INTRO<br>This tale originates from Bremen, a town in Germany. In fact, there is a statue there dedicated to the four animal musicians.<br>∞ Image Link: Town Musicians of Bremen Statue</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.87-97 &quot;An old, old&quot; - &quot;ease and comfort.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","<p>★ TEACHER TIP<br>As you read tales from around the world, consider finding the places on a map and casually adding more about these places &quot;by the way.&quot; Look up extra images, cook food from those locations, etc., as students are interested.</p>","https://planning.alveary.org/links.html?id=recf448kuDlHlSnPc&term=1&week=11","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-recIbuJIw3NR3Kscq","12","1","15m Fairy Tales - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course.</p><p>Questions will come from:<br>Tales from Grimm and Around the World in 80 Tales</p>","<p>★ Fairy Tales — TERM 1 EXAM QUESTIONS<br>· Tales from Grimm or Around the World in 80 Tales: Tell about or illustrate one of the tales you enjoyed this term.</p>","","Exam","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-recVFueZJqJTJ6V3S","13","1","15m Fairy Tales - Lesson 13","<p>Cinderella<br>⍞ Materials: Tales from Grimm</p><p>➜ INTRO<br>Did you know that the Cinderella story can be found in other countries and languages around the world? (See Extra Helpings for suggestions.) You may be surprised to find some new characters in this retelling.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.101-110 &quot;A rich man&quot; - &quot;of her anywhere.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-recEtqORKkACOQktx","14","1","15m Fairy Tales - Lesson 14","<p>Cinderella<br>⍞ Materials: Tales from Grimm</p><p>➜ INTRO<br>What do you think about Cinderella’s stepsisters?<br>⍞ Image Resource: Tales from Grimm &quot;The Two Haughty Sisters&quot; p.105</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.110-120 &quot;In the meantime&quot; - &quot;happy life together.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-recrnY4dJJNk35Xzz","15","1","15m Fairy Tales - Lesson 15","<p>⍞ Materials: Around the World in 80 Tales</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.32-34 &quot;The Golden Horseshoe&quot;<br>p.42-43 &quot;Wish Upon a Star&quot;<br>p.44-45 &quot;The Armadillo's Song&quot;</p>","","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-recq87736faxksvCN","16","1","15m Fairy Tales - Lesson 16","<p>⍞ Materials: Around the World in 80 Tales</p><p>➜ INTRO<br>Sometimes people make up stories to explain something they see.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.46-47 &quot;Toad in the Hole&quot;<br>p.47-49 &quot;The Three Oranges&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-reczGLefnFUXLdEhl","17","1","15m Fairy Tales - Lesson 17","<p>Rapunzel<br>⍞ Materials: Tales from Grimm</p><p>➜ INTRO<br>Have you ever heard of Rapunzel?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.135-145 &quot;In a little&quot; - &quot;a long year.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-recUgd3GnOD91P4O4","18","1","15m Fairy Tales - Lesson 18","<p>⍞ Materials: Around the World in 80 Tales</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.66-67 &quot;A Real Princess&quot;<br>p.75-76 &quot;The Fighting Fisherman&quot;<br>p.90-91 &quot;Green Figs, Purple Figs&quot;</p>","","","Lesson","0","FALSE"
"alveary-recf448kuDlHlSnPc","alveary-rec5Wru6XfQhHHUp2","19","1","15m Fairy Tales - Lesson 19","<p>The Fisherman and His Wife<br>⍞ Materials: Tales from Grimm</p><p>➜ INTRO<br>What does it mean to be content?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.149-158 &quot;There was once&quot; - &quot;also become Emperor.&quot;</p>","","","Lesson","0","FALSE"
