"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recfcbGoR5uy9BcFf","alveary-recpQXjgOOFltqzsx","1","1","20m Canadian History: Grades 2-4 - Lesson 1","<p>Introduction, The War of 1812<br>⍞ Materials: The Kids Book of Canadian History, globe or world atlas</p><p>PREP: Print a copy of a map of Canada. You will use this throughout the course.<br>∞ Map Link: Outline Map of Canada</p><p>➜ INTRO<br>Do you know when your relatives came to Canada and what brought them here? Where did they move from? Where did they settle?<br>This year in Canadian history, we are learning all about Canada in the nineteenth century (between the years 1800 and 1900). At the beginning of this century, Canada was a collection of separate British colonies and was vulnerable to invasion by the newly independent nation of the United States to the south. Yet by the end of the century, Canada was a self-governing country of seven provinces and two territories, with a transcontinental railway that stretched from coast to coast. This class will explore many of the changes that took place during this time.</p><p>➜ LOCATE<br>On a globe or world atlas, find England. Find Canada. What ocean do you have to cross? <br>Find the United States of America. With your finger, trace the line of the border between the United States and Canada.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.31-32 &quot;While the fur traders&quot; - &quot;homes and families.&quot;</p><p>➜ VIEW<br>Map on p.32: &quot;Major battles in the War of 1812&quot;<br>Compare this map to a modern map of Canada. What differences do you notice?<br>Why do you think so many battles in the War of 1812 took place near Niagara Falls and the Great Lakes?</p><p>➜ MAPPING ACTIVITY<br>On your Map of Canada, label Queenston Heights, Toronto (called York in 1812), Montreal, the St. Lawrence River, and the Great Lakes (Lake Ontario, Lake Erie, Lake Huron, Lake Michigan, and Lake Superior).</p>","","https://planning.alveary.org/links.html?id=recfcbGoR5uy9BcFf&term=1&week=1","Lesson","0","FALSE"
"alveary-recfcbGoR5uy9BcFf","alveary-recLCdCVYVAvG4zKR","2","1","20m Canadian History: Grades 2-4 - Lesson 2","<p>War of 1812, cont.<br>⍞ Materials: Famous Canadian Stories, Spirit of Canada</p><p>➜ RECAP<br>What do you remember about why the War of 1812 started?</p><p>READ, NARRATE, &amp; DISCUSS<br>1\. Famous Canadian Stories<br>∞ PDF Link: The Battle of Queenston Heights<br>p.139-143 &quot;It was early&quot; - &quot;the United States of America.&quot;</p><p>2\. Spirit of Canada<br>p.58-59 &quot;The Battle of Queenston&quot; - &quot;know your name.&quot;</p><p>➜ LISTENING ACTIVITY<br>Listen to Stan Rogers sing his song &quot;MacDonnell on the Heights.&quot;<br>∞ Music Link: MacDonnell on the Heights</p><p>➜ VIEW<br>1\. Spend some time looking at this engraving of The Battle of Queenston Heights. The original engraving this one is based on is attributed to Captain James Dennis, who fought in the battle. The Americans (in blue) are crossing the Niagara River to Queenston (the right side) from Lewiston (the left side).<br>∞ Image Link: The Battle of Queenston Heights</p><p>2\. Visit Brock's Monument at Queenston Heights. You don't need to watch the whole video, but the drone footage provides an amazing view!<br>∞ Video Link: Canada's Most Imposing War Memorial</p><p>• EXTRA HELPING<br>Watch a Heritage Minute about how the Grand River warriors helped to defeat the Americans at Queenston Heights after the death of General Brock.<br>∞ Video Link: Heritage Minutes: Queenston Heights</p>","","https://planning.alveary.org/links.html?id=recfcbGoR5uy9BcFf&term=1&week=2","Lesson","0","FALSE"
"alveary-recfcbGoR5uy9BcFf","alveary-recD1G0nmf0GzCOB0","3","1","20m Canadian History: Grades 2-4 - Lesson 3","<p>Laura Secord<br>⍞ Materials: Kids Book of Canadian History, Famous Canadian Stories</p><p>➜ RECAP<br>What do you remember from last week about the Battle of Queenston Heights?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1\. Kids Book of Canadian History<br>p.33 &quot;Laura Secord walked&quot; - &quot;in a common cause.&quot;</p><p>2\. Famous Canadian Stories<br>∞ PDF Link: Laura Secord<br>p.147-150 &quot;In a churchyard&quot; - &quot;heroines of Canadian history.&quot;</p><p>• How do you think Laura Secord must have felt on her long walk?</p><p>➜ VIEW<br>Visit the monument to Laura Secord.<br>∞ Image Link: Laura Ingersoll Secord Monument</p>","","https://planning.alveary.org/links.html?id=recfcbGoR5uy9BcFf&term=1&week=3","Lesson","0","FALSE"
"alveary-recfcbGoR5uy9BcFf","alveary-recGeGpsGnsFKDKth","4","1","20m Canadian History: Grades 2-4 - Lesson 4","<p>Laura Secord, cont.<br>⍞ Materials: Laura Secord's Brave Walk</p><p>➜ RECAP<br>What do you recall about Laura Secord from the last class?</p><p>➜ INTRO<br>Over the next two lessons, you will read _Laura Secord's Brave Walk, _an engaging and beautifully illustrated story book that brings this episode of Canadian history to life by introducing young readers to the War of 1812 through the courage of one Canadian.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;'Laura,' James Secord said&quot; - &quot;and up the stairs.&quot;</p><p>• What do you think life was like for Laura Secord and her family in Queenston? Spend some time looking at the illustrations today to look for clues that can help answer this question.</p>","","","Lesson","0","FALSE"
"alveary-recfcbGoR5uy9BcFf","alveary-recXmI74VDdaU8kKA","5","1","20m Canadian History: Grades 2-4 - Lesson 5","<p>Laura Secord, cont.; End of War<br>⍞ Materials: Laura Secord's Brave Walk, Kids Book of Canadian History</p><p>➜ RECAP<br>What did you read about Laura Secord last week?</p><p>PREP: Read the &quot;Author's Historical Note&quot; on the last page of the book and decide how much information you'd like to share with your students.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1\. Laura Secord's Brave Walk<br>&quot;'James,' Laura whispered&quot; - &quot;She had done it!&quot;</p><p>2\. Kids Book of Canadian History<br>p.33 &quot;The War Ends&quot; - &quot;hide the burn marks.&quot;</p><p>• Why do you think the War of 1812 helped people living in the various British colonies to start thinking of themselves as Canadians?</p><p>➜ VIEW<br>Laura Secord took her message to Captain James FitzGibbon, an Irishman who served in the British army and was mentored by General Brock. FitzGibbon survived the war and eventually returned to England. He sat for a photo in his army uniform around 1860, when he was in his 80s. <br>∞ Image Link: Colonel James FitzGibbon<br>Did you know photographs have been around for nearly 200 years? Initially, photographs had very long exposure times, so people needed to sit very still with an unchanging expression.</p><p>• EXTRA HELPING<br>Watch a Heritage Minute about Laura Secord's journey.<br>∞ Video Link: Heritage Minutes: Laura Secord</p>","","https://planning.alveary.org/links.html?id=recfcbGoR5uy9BcFf&term=1&week=5","Lesson","0","FALSE"
"alveary-recfcbGoR5uy9BcFf","alveary-rec9tUQI9nDOWu9dY","6","1","20m Canadian History: Grades 2-4 - Lesson 6","<p>The Red River Settlement<br>⍞ Materials: Kids Book of Canadian History, Famous Canadian Stories, map or atlas of Canada</p><p>➜ RECAP<br>What did you read about Laura Secord last week?</p><p>➜INTRO<br>While the War of 1812 was at its height in Upper and Lower Canada to the east, a Scottish nobleman named Thomas Douglas, 5th Earl of Selkirk, was working to establish a colony on the prairies to the west, at the intersection of the Red and Assiniboine Rivers, near what is now Winnipeg. Selkirk had received a large grant of land from the Hudson Bay Company and wanted to create a farming community to support many poor Scottish highlanders and Irish peasants, who had lost their homes and livelihoods due to various upheavals at the end of the eighteenth century. This community, known as the Red River Settlement, would come to play a large role in the history of immigrants to the prairies, Métis peoples, the province of Manitoba, and the history of Canada as a nation.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1\. The Kids Book of Canadian History<br>p.30 &quot;The Red River Settlement&quot; - &quot;centre of Métis life.&quot;</p><p>2\. Famous Canadian Stories<br>∞ PDF Link: The Selkirk Settlement<br>p.169-172 &quot;'My Lord'&quot; - &quot;one hundred and forty years ago.&quot;</p><p>➜ MAPPING ACTIVITY<br>Look at a map or atlas of Manitoba and locate the Red River and Fort Douglas (present-day Winnipeg). Find the Hudson Bay on the same map so you can see the route the settlers took.<br>Compare this modern map to a map of the land given to Selkirk:<br>∞ Map Link: Map showing the Selkirk Land Grant in 1811<br>On your Map of Canada, draw and label the Red River, and mark Winnipeg and Hudson's Bay.</p><p>• DEFINITIONS<br>Métis: from a French adjective meaning &quot;mixed,&quot; the word Métis refers to people who have both Indigenous and European ancestry. The Métis are one of three recognized Indigenous groups, the others being First Nations and Inuit.</p>","","https://planning.alveary.org/links.html?id=recfcbGoR5uy9BcFf&term=1&week=6","Lesson","0","FALSE"
"alveary-recfcbGoR5uy9BcFf","alveary-recA41YbHwjqolvOU","7","1","20m Canadian History: Grades 2-4 - Lesson 7","<p>Rebellions of 1837-1838<br>⍞ Materials: The Kids Book of Canadian History, Spirit of Canada</p><p>➜ RECAP<br>What did you learn last week about the Red River Settlement?</p><p>➜ INTRO<br>How do we choose our government in Canada and in our provinces and territories? Do you think it has always been this way in Canada? Today we will learn about frustrations towards the government in the 1830s, which would eventually lead to the form of government we recognize today.</p><p>➜ VIEW<br>Remember that in 1791, the large Province of Quebec was divided into Upper and Lower Canada, roughly corresponding to the provinces of Ontario and Quebec today.<br>∞ Link: Upper &amp; Lower Canada in 1791</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1\. The Kids Book of Canadian History<br>p.34-35 &quot;During the 1820s&quot; - &quot;given any more power.&quot;</p><p>2\. Spirit of Canada<br>p.60-62 &quot;In the years after&quot; - &quot;letter R in his pocket.&quot;</p>","","https://planning.alveary.org/links.html?id=recfcbGoR5uy9BcFf&term=1&week=7","Lesson","0","FALSE"
"alveary-recfcbGoR5uy9BcFf","alveary-recjsyaWMETTvZzyk","8","1","20m Canadian History: Grades 2-4 - Lesson 8","<p>Rebellions of 1837-1838, cont.<br>⍞ Materials: Kids Book of Canadian History, Spirit of Canada</p><p>➜ RECAP<br>Why were the settlers in Upper and Lower Canada unhappy?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1\. The Kids Book of Canadian History<br>p.36-37 &quot;Rebellion in Lower Canada&quot; - &quot;Newfoundland in 1855.&quot;</p><p>• How did the colonies of British North America change after 1841 and again after 1848?</p><p>2\. The Spirit of Canada<br>p.63 &quot;William Lyon Mackenzie&quot; - &quot;the day and the hour.&quot;</p><p>3\. The Spirit of Canada<br>p.64-65 &quot;Un Canadien errant&quot; - &quot;last dying breath.&quot;<br>∞ Music Link: Un canadien errant</p><p>• EXTRA HELPING<br>Watch two Heritage Minutes about the reforms that were brought about by the rebellions in the 1830s:<br>∞ Video Link: Heritage Minutes: Baldwin &amp; LaFontaine <br>(Parents may wish to preview this one for younger students since it does dramatize a violent scene)</p><p>∞ Video Link: Heritage Minutes: Responsible Government<br>Queen Victoria voices her approval of the reforms.</p>","","https://planning.alveary.org/links.html?id=recfcbGoR5uy9BcFf&term=1&week=8","Lesson","0","FALSE"
"alveary-recfcbGoR5uy9BcFf","alveary-recgD81azhYTOYFKj","9","1","20m Canadian History: Grades 2-4 - Lesson 9","<p>Settlers - Canadian Crusoes<br>⍞ Materials: Spirit of Canada</p><p>➜ RECAP<br>What did you learn last week about responsible government?</p><p>➜ INTRO<br>Have you ever been camping? What do you need to bring with you if you are going to live outdoors? What if you didn't have any stores nearby? What would you use for clothing, shelter, and food?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.76-81 &quot;The first population boom&quot; - &quot;or any liquid.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recfcbGoR5uy9BcFf","alveary-rec72OiiNe1M4xFLR","10","1","20m Canadian History: Grades 2-4 - Lesson 10","<p>Settlers - Roughing it in the Bush<br>⍞ Materials: Spirit of Canada</p><p>➜ RECAP<br>What do you remember about what you learned last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.82-85 &quot;Susanna Moodie&quot; - &quot;try to grow.&quot;</p><p>• Margaret Atwood's poem describes Susanna Moodie's experience of two different fires. How does she use repeated words and images in the poem to show the similarity of the two fires?</p>","","","Lesson","0","FALSE"
