"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recg6kx4VCRYV1XDW","alveary-recLCxerQ1sYhuMp7","1","1","15m Story of Geometry: Part 1 - Lesson 1","<p>Introduction<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ INTRO<br>As you begin your study of geometry, this book will help you understand some concepts better by showing you how they were discovered and used to solve real problems.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Prologue&quot; p.7-10 (UK 7-9) &quot;The string, the&quot; - &quot;and the shadow.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-recQ3ND98jsUqJxLF","2","1","15m Story of Geometry: Part 1 - Lesson 2","<p>The Natural Sense of Order<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.1 p.12-13 (UK 12-13) &quot;Geometry itself&quot; - &quot;built into them.&quot;</p><p>• Look around the room in which you are sitting or outside. Write a paragraph telling what elements of mathematics (including geometry) you see.</p>","","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-recixG645r1n4R8Np","3","1","15m Story of Geometry: Part 1 - Lesson 3","<p>Mathematics as Beauty <br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.1 p.13-14 (UK 13-14) &quot;Within ourselves&quot; - &quot;geometry really began.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-recD64YNH4jt099da","4","1","15m Story of Geometry: Part 1 - Lesson 4","<p>From Fear to Wonder<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.2 p.15-16 (UK 15-16) &quot;When and how did&quot; - &quot;an amazing surprise.&quot;</p>","<p>★ TEACHER NOTE<br>You may wish to preview p.15, which talks about the age of the earth. Also, please note the illustration of the partially nude woman on p.15 (UK 15).</p>","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-reczLuYB71ueQt6nS","5","1","15m Story of Geometry: Part 1 - Lesson 5","<p>Structure in Nature <br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.2 p.17-18 (UK 16-17) &quot;Before we learn&quot; - &quot;of living things.&quot;</p><p>• How could seeing basic geometric shapes help you with nature study?<br>• Describe an object in terms of its shape. Use geometry words such as line, curve, spiral, perpendicular, etc.</p>","","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-rechr7UTwe0MLhjcE","6","1","15m Story of Geometry: Part 1 - Lesson 6","<p>Geometry of Living Things<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.2 p.18-19 (UK 17-18) &quot;Did you ever&quot; - &quot;five-pointed star.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-recny4twOMq8G05Gu","7","1","15m Story of Geometry: Part 1 - Lesson 7","<p>From the Art Gallery of the Universe<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.2 p.19-20 (UK 18-19) &quot;Best of all&quot; - &quot;dim Stone Age.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-rec0nVoJsYjoaIueQ","8","1","15m Story of Geometry: Part 1 - Lesson 8","<p>Technics and Art<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.3 p.21-22 (UK 20-21) &quot;Stone Age men&quot; - &quot;variety of nature's forms.&quot;</p>","<p>★ TEACHER NOTE<br>Please note the illustration of the partially nude woman on p.23 (UK 21).</p>","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-recPnUOqsv7eXxHBi","9","1","15m Story of Geometry: Part 1 - Lesson 9","<p>Design Mimics Nature<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.3 p.22-24 (UK 21-22) &quot;Perhaps unconsciously&quot; - &quot;using circles.&quot;</p>","<p>★ TEACHER NOTE<br>Please note the illustration of the partially nude woman on p.23 (UK 21).</p>","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-recdgCeR3FUR4CyOQ","10","1","15m Story of Geometry: Part 1 - Lesson 10","<p>Circles<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Where in this room do you see circles?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.3 p.24-25 (UK 22) &quot;Today we are&quot; - &quot;they gave up!&quot;</p>","","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-recYpjxpoxvVOIa6q","11","1","15m Story of Geometry: Part 1 - Lesson 11","<p>Drawing a Perfect Circle with String<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>How would you define an &quot;accurate&quot; circle?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.3 p.26-27 (UK 22-24) &quot;So, you see&quot; - &quot;the Stone Age.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-rece8myX8BvagyOYU","12","1","15m Story of Geometry: Part 1 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>String, Straight-Edge, and Shadow</p>","<p>★ Story of Geometry: Part 1 — TERM 1 EXAM QUESTIONS<br>· String, Straight-Edge, and Shadow: Tell what you know about geometry in nature. OR Tell how design mimics nature.</p>","","Exam","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-recwO11o7v5tVeFvW","13","1","15m Story of Geometry: Part 1 - Lesson 13","<p>Agrarian Society<br>⍞ Materials: String, Straight-Edge, and Shadow; Student Bible Atlas</p><p>➜ INTRO<br>This section is titled &quot;Reading the Shadows.&quot; What do you think that means?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.4 p.29-30 (UK 26-27) &quot;Here our story&quot; - &quot;of the shadows.&quot;</p><p>• This map shows the Fertile Crescent. What do you notice about the surrounding land?<br>⍞ Map Resource: Student Bible Atlas &quot;Map 1: Lands of the Bible&quot; p.4-5</p>","","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-rec1d7bJaJr6yRBbo","14","1","15m Story of Geometry: Part 1 - Lesson 14","<p>Noticing Shadows <br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.4 p.30-32 (UK 27-29) &quot;Perhaps it was&quot; - &quot;a repeated pattern.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-recIKaoDja2lsB4HG","15","1","15m Story of Geometry: Part 1 - Lesson 15","<p>Measuring Time and Seasons<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.4 p.32-35 (UK 29-31) &quot;The sun seemed&quot; - &quot;the fruitful year.&quot;</p><p>• Look at a sundial. How is it similar to, and different from, a clock?<br>∞ Image Link: Sundial</p><p>➜ OBSERVE<br>Choose one of the ways to observe shadows from the book to try yourself.</p>","","https://planning.alveary.org/links.html?id=recg6kx4VCRYV1XDW&term=2&week=15","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-rect4VPEJexE0AiIL","16","1","15m Story of Geometry: Part 1 - Lesson 16","<p>Usefulness of Right Angles<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>A surveyor is someone who makes very precise measurements of land to determine property boundaries. Why do you think that might be important? Look at the picture of a modern surveyor. This story will show how this profession got its start.<br>∞ Image Link: Surveyor</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.5 p.36-38 (UK 32-34) &quot;Now at last&quot; - &quot;on the earth?&quot;</p><p>• IMPORTANT DATES<br>Village of Jarmo: First Evidence of Straight Lines &amp; Right Angles (c.5000 BC, Syria)</p>","","https://planning.alveary.org/links.html?id=recg6kx4VCRYV1XDW&term=2&week=16","Lesson","0","FALSE"
"alveary-recg6kx4VCRYV1XDW","alveary-recFIHgELJiPYQOuG","17","1","15m Story of Geometry: Part 1 - Lesson 17","<p>The 3-4-5 Right Triangle <br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP<br>What right angles did you notice last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.5 p.38-41 (UK 34-37) &quot;We know part&quot; - &quot;perfect right angle.&quot;</p><p>➜ PRACTICE<br>Using your geometry tools, try to construct a 3-4-5 right triangle.</p><p>• IMPORTANT DATES<br>Rope Stretchers (First Surveyors; c.3000 BC, Egypt)</p>","","","Lesson","0","FALSE"
