"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recgBJaELI11Rfass","alveary-rec4k3JeVe0ZusSqu","1","1","10m Recitation: Grades 7-8 - Lesson 1","<p>Old Testament</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1 Chronicles 29:1-25</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-rec5lpPBcvAXBJag3","1","2","10m Recitation: Grades 7-8 - Lesson 2","<p>Poem</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Home&quot; by Tagore OR The Tempest Act 1, Scene 2, Lines 1-26</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recx2yBvG39JGjhVb","1","3","10m Recitation: Grades 7-8 - Lesson 3","<p>Old Testament</p><p>➜ PRACTICE<br>1 Chronicles 29:1-25</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-rec9rw1NwhzwQ9Ia2","1","4","10m Recitation: Grades 7-8 - Lesson 4","<p>Poem</p><p>➜ PRACTICE<br>&quot;The Home&quot; by Tagore OR The Tempest Act 1, Scene 2, Lines 1-26</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recNz14ZSh3YLxP4r","1","5","10m Recitation: Grades 7-8 - Lesson 5","<p>Old Testament</p><p>➜ PRACTICE<br>1 Chronicles 29:1-25</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recCR4gbihsUBBv9m","2","1","10m Recitation: Grades 7-8 - Lesson 6","<p>Poem</p><p>➜ PRACTICE<br>&quot;The Home&quot; by Tagore OR The Tempest Act 1, Scene 2, Lines 1-26</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recDaINNObnG1GhBd","2","2","10m Recitation: Grades 7-8 - Lesson 7","<p>Old Testament</p><p>➜ PRACTICE<br>1 Chronicles 29:1-25</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recNB3Ejt52qece2X","2","3","10m Recitation: Grades 7-8 - Lesson 8","<p>Poem</p><p>➜ PRACTICE<br>&quot;The Home&quot; by Tagore OR The Tempest Act 1, Scene 2, Lines 1-26</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-rec4KlsnmDsGOVqmI","2","4","10m Recitation: Grades 7-8 - Lesson 9","<p>Old Testament</p><p>➜ PRACTICE<br>1 Chronicles 29:1-25</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-rec4CtiEJwajNUtJb","2","5","10m Recitation: Grades 7-8 - Lesson 10","<p>Poem</p><p>➜ PRACTICE<br>&quot;The Home&quot; by Tagore OR The Tempest Act 1, Scene 2, Lines 1-26</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-receeFkKvLAho9ayU","3","1","10m Recitation: Grades 7-8 - Lesson 11","<p>Old Testament</p><p>➜ PRACTICE<br>1 Chronicles 29:1-25</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recPM7mHOLwH2G3u9","3","2","10m Recitation: Grades 7-8 - Lesson 12","<p>Poem</p><p>➜ PRACTICE<br>&quot;The Home&quot; by Tagore OR The Tempest Act 1, Scene 2, Lines 1-26</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recyXfncOnJYXuOfU","3","3","10m Recitation: Grades 7-8 - Lesson 13","<p>Old Testament</p><p>➜ PRACTICE<br>1 Chronicles 29:1-25</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-reclBX030aT77L2Bi","3","4","10m Recitation: Grades 7-8 - Lesson 14","<p>Poem</p><p>➜ PRACTICE<br>&quot;The Home&quot; by Tagore OR The Tempest Act 1, Scene 2, Lines 1-26</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recva6TeyssmwHper","3","5","10m Recitation: Grades 7-8 - Lesson 15","<p>Old Testament</p><p>➜ PRACTICE<br>1 Chronicles 29:1-25</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recbwHAT9cTiQ4lWw","4","1","10m Recitation: Grades 7-8 - Lesson 16","<p>Psalm</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recZ2QrGwHOfpnRt7","4","2","10m Recitation: Grades 7-8 - Lesson 17","<p>New Testament</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Acts 4:1-20</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recrFnGqEP3mRhEuE","4","3","10m Recitation: Grades 7-8 - Lesson 18","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-receQjeNtlJPmB48g","4","4","10m Recitation: Grades 7-8 - Lesson 19","<p>New Testament</p><p>➜ PRACTICE<br>Acts 4:1-20</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-rec6RdWDL5bYE6y7W","4","5","10m Recitation: Grades 7-8 - Lesson 20","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recQxc8mXLwJ6lQ9V","5","1","10m Recitation: Grades 7-8 - Lesson 21","<p>New Testament</p><p>➜ PRACTICE<br>Acts 4:1-20</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recRlknFcnvbh8xnU","5","2","10m Recitation: Grades 7-8 - Lesson 22","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recIkqNtfz746x1df","5","3","10m Recitation: Grades 7-8 - Lesson 23","<p>New Testament</p><p>➜ PRACTICE<br>Acts 4:1-20</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recEYyy6VA2kaJhcP","5","4","10m Recitation: Grades 7-8 - Lesson 24","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recjJ2garsa6CwSAB","5","5","10m Recitation: Grades 7-8 - Lesson 25","<p>New Testament</p><p>➜ PRACTICE<br>Acts 4:1-20</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-rec0fUUMU12Urlyca","6","1","10m Recitation: Grades 7-8 - Lesson 26","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recmTA9ToNleNaN3q","6","2","10m Recitation: Grades 7-8 - Lesson 27","<p>New Testament</p><p>➜ PRACTICE<br>Acts 4:1-20</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recM3GyInU7T3tBeI","6","3","10m Recitation: Grades 7-8 - Lesson 28","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recukZ6YJrZCUf45u","6","4","10m Recitation: Grades 7-8 - Lesson 29","<p>New Testament</p><p>➜ PRACTICE<br>Acts 4:1-20</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recapTWXmuVErz4nC","6","5","10m Recitation: Grades 7-8 - Lesson 30","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recl2ZpmGEMSoTrOQ","7","1","10m Recitation: Grades 7-8 - Lesson 31","<p>Hymn</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;How Firm a Foundation&quot;</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recsyd6HrRAdn68uv","7","2","10m Recitation: Grades 7-8 - Lesson 32","<p>Old Testament</p><p>➜ PRACTICE<br>1 Chronicles 29:1-25</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-rec7wzeHgfWorud4x","7","3","10m Recitation: Grades 7-8 - Lesson 33","<p>Hymn</p><p>➜ PRACTICE<br>&quot;How Firm a Foundation&quot;</p>","","","Lesson","0","FALSE"
"alveary-recgBJaELI11Rfass","alveary-recoLzUoJCISDEYEM","7","4","10m Recitation: Grades 7-8 - Lesson 34","<p>Old Testament</p><p>➜ PRACTICE<br>1 Chronicles 29:1-25</p>","","","Lesson","0","FALSE"
