"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recgN9no5JLh3eWg4","alveary-recdWHCZ8NeKBq64x","1","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 1","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recPCVMIazt58eAeC","2","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 2","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recob0VMcU3ZxMyqf","3","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 3","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-rec4LP3MxS8fuNR7I","4","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 4","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-rec1auGYEOA1srpSj","5","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 5","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recnOdB7QIxufiO8Y","6","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 6","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recswZo0dZ7LGr7OT","7","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 7","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-rechzozt20o5qcXMe","8","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 8","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-reca3H91BYOrKFLOZ","9","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 9","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recl4CzMcaafBeKuF","10","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 10","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recQ4HzLbjLEgWOuJ","11","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 11","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recrssXNRpCUbcLEW","12","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 12","","","","Exam","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recR4RqRj082W9QCQ","13","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 13","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recaImyhhimtaF8tq","14","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 14","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recJIpwlUApSwtsdd","15","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 15","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recSjAl36oxpJ3GPz","16","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 16","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recim8ILc2EnvoMOs","17","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 17","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recSgB1jwz2eR3XZ1","18","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 18","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recnMDEo28QeXjyne","19","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 19","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-rec4SaQsycI58lgmS","20","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 20","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recQnjSSGfJKAD7de","21","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 21","","","","Lesson","0","FALSE"
"alveary-recgN9no5JLh3eWg4","alveary-recRRHis8XCBbr6rq","22","1","30m Plutarch/Government: Grade 9 (Canada) - Lesson 22","","","","Lesson","0","FALSE"
