"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rech2GA4NRK0pGrqO","alveary-reco0gYJyQEhSl5T7","1","1","30m Technology - Lesson 1","<p>Introduction to this Course<br>⍞ Materials: Google Docs Learning Journal (you will create this today)</p><p>➜ INTRO<br>You will create a basic website or blog using Google Docs to access your prior knowledge and reflect on, record, and share what you are learning throughout this course.</p><p>➜ VIEW<br>∞ Link: Course Overview</p><p>➜ OPEN<br> ∞ Link: My Learning Journal Template<br>• Click the blue &quot;Use Template&quot; button.<br>• Send the URL (link or website address) to your educator so they can see the updates you make as you go through the lessons.</p><p>You will use this as a learning journal throughout this first term, and you will respond within the journal you just created. Many lessons will begin and end with an opportunity to reflect on what you will learn or what was covered. This is your journal, and we encourage you to make it beautiful as you learn more about design throughout this course.  Do not share any personal information.   This will be referred to in future lessons as your &quot;Google Docs Learning Journal.&quot;</p><p>➜ REFLECT<br>• Use the landing page (opening page) of your Google Docs Learning Journal to respond to the prompts under &quot;What Stands Out to You About the Course Overview.&quot; <br>• Read the section &quot;Goals for Term 1.&quot;  Begin thinking about your philosophy of education by comparing the two statements that are provided and answer #3.</p>","<p>★ TEACHER TIP: <br> Watch these videos if you are unfamiliar with Google Docs.<br>∞ Video Link: Using Google Docs to Create Web Pages <br>∞ Video Link: Dive deep into Using Google Docs</p><p>★ TEACHER NOTE<br>When you see instructions using this symbol &quot;&gt;&quot;, you are being given steps in order to navigate within the webpage or program/app.</p>","https://planning.alveary.org/links.html?id=rech2GA4NRK0pGrqO&term=1&week=1","Lesson","0","FALSE"
"alveary-rech2GA4NRK0pGrqO","alveary-recLldUYaN4wLT2Wi","1","2","30m Technology - Lesson 2","<p>Introduction to HTML #1<br>⍞ Materials: your Google Docs Learning Journal</p><p>➜ INTRO<br>You will learn about the invention of HTML and its creator, Sir Tim Berners-Lee.</p><p>➜ OPEN<br>Your Google Docs Learning Journal and scroll down to the first lesson section called &quot;Intro to HTML: Sir Tim Berners-Lee.&quot;</p><p>➜ THINK<br>Spend 5 minutes answering any of the following questions within your journal: (Anytime you do not know how to answer a question, write that! Starting by recognizing and recording what you do not know increases the possibility that you will feel good about learning and that the idea will stick in your mind.)<br>• What is the World Wide Web, and who invented it? <br>• What is the difference between the World Wide Web and the Internet?</p><p>➜ READ or WATCH<br>∞ Article Link: Sir Tim Berners-Lee (read) <br>∞ Video Link: Sir Tim Berners-Lee (video) (15 mins)  <br>You will be expected to write a narration of this video, so pause the video and jot down notes when you notice something noteworthy.</p><p>➜ REFLECT<br>Complete your first entry in your Google Docs Learning Journal by spending 10 minutes writing a brief narration summarizing Berners-Lee’s journey from building devices for model trains to inventing HTML.</p>","","https://planning.alveary.org/links.html?id=rech2GA4NRK0pGrqO&term=1&week=1","Lesson","0","FALSE"
"alveary-rech2GA4NRK0pGrqO","alveary-recRTmAobBxEoit1A","2","1","30m Technology - Lesson 3","<p>Introduction to HTML #2: Create a Technology Word Journal using HTML<br>⍞ Materials: your Google Docs Learning Journal, notepad on Windows or TextEdit on Mac, and Technology Word Journal</p><p>➜ OPEN<br>Open your Google Docs Learning Journal and scroll down to the second lesson section called &quot;Intro to HTML.&quot;</p><p>➜ THINK<br>Spend 5 minutes answering the following question:<br>• How do websites know how to show words, pictures, and videos in the right places?</p><p>➜ WATCH (14 min)<br>∞ Video Link: Video #00<br>∞ Video Link: Video #01</p><p>➜ OPEN<br>In this section, you will either open NOTEPAD or TEXTEDIT, depending on which kind of computer you are using.  <br> ∞ Link: Alveary Technology 10 Course Word Journal     <br>• Go to File&gt; download&gt; Plain Text (.txt) &gt; open it in Notepad (PC) or TextEdit (Mac)</p><p>➜ FOLLOW DIRECTIONS<br>• Follow these directions for using NOTEPAD on a PC:<br>			• Go to File&gt; Save As &gt; and save a working copy of the .txt file as backupwordjournal.txt &gt; Save it another time with the extension .HTML instead of .txt. <br>• Follow these directions if you are using TEXTEDIT on a MAC:<br>			• Hold down the Option key while choosing File, then Save As &gt; type the name of the copy as backupwordjournal.txt and choose where to save it &gt; save &gt; Save it another time, holding down the Option key while choosing File, then Save As&gt; type the name of the copy as backupwordjournal.HTML and choose where to save it &gt; save &gt;use .HTML.</p><p>➜ FOLLOW DIRECTIONS FOR PC AND MAC <br>• Now, close the copy you created and reopen it.  It will open in your browser, and you will see that it has been rendered with the HTML formatting.  <br>• Open the .txt document and examine how the HTML tags impacted the resulting webpage. Don't fret if you mess it up! Remember, you saved a backup.</p><p>➜ REFLECT <br>You will notice that entries for the terms &quot;Technology&quot; and &quot;Computer&quot; have been completed. Using these as an example, add an entry for one of the following terms to the new HTML Word Journal you just created in the Notebook or TextEdit program.<br>• HTML, HTML Tag, HTML element, or Markup Language</p>","","https://planning.alveary.org/links.html?id=rech2GA4NRK0pGrqO&term=1&week=2","Lesson","0","FALSE"
"alveary-rech2GA4NRK0pGrqO","alveary-rec945Z79yrQGlRdH","2","2","30m Technology - Lesson 4","<p>Introduction to HTML #3<br>⍞ Materials: your Google Docs Learning Journal and HTML Word Journal.</p><p>➜ INTRO        <br>You will consider some given reasons for learning HTML and interact with HTML tags while receiving instant feedback.</p><p>➜ OPEN<br>Open your Google Docs Learning Journal and navigate to the next available lesson section.</p><p>➜ THINK <br>Spend 5 minutes answering any of the following questions:<br>• Have you ever right-clicked on a webpage and selected “View Page Source” or “Inspect”? Try it! What do you see?<br>• Why do you think all websites follow some basic structure rules to display content?<br>• Write about a website that surprised you by how &quot;new&quot; and &quot;different&quot; it looked.</p><p>➜ VIEW and PRACTICE            <br>∞ Article Link: HTML Introduction by Geeks for Geeks<br>• Read the introduction. <br>• Scroll until you find the embedded &quot;Basic HTML Code Example&quot; and click on the triangle play button.<br>• Observe the output.<br>•Just for fun, insert &quot;&lt;marquee&gt;&quot; and &quot;&lt;/marquee&gt;&quot; tags inside the opening header tag &quot;&lt;h1&gt;&quot; and  the closing header tag &quot;&lt;/h1&gt;&quot; as in the following example: <br>  &lt;h1&gt;&lt;marquee&gt;Welcome to My Webpage&lt;/marquee&gt;&lt;/h1&gt;<br>• Click on the triangle play button and observe the output.</p><p>➜ REFLECT<br>While referring to the provided Geeks for Geeks HTML Introduction, spend 5-10 minutes completing your Google Docs Learning Journal answering the following questions:<br>• Of the five provided, which is the best reason for learning HTML? <br>• What does the &quot;marquee&quot; tag do?</p><p>➜ OPEN<br>Your working copy of the Word Journal.txt <br>• Create entries for 2 more of the following terms: HTML, HTML Element, HTML Tag, or Markup Language.<br>• If you are happy with the changes you have made to your HTML Word Journal so far, this might be a good time to consider updating the backup.</p><p>• TERMINOLOGY<br>∞ Article Link: A Simple Guide to HTML</p>","<p>★ TEACHER TIP<br>Don’t fret if you mess it up! Remember, you saved a backup.</p>","https://planning.alveary.org/links.html?id=rech2GA4NRK0pGrqO&term=1&week=2","Lesson","0","FALSE"
"alveary-rech2GA4NRK0pGrqO","alveary-reco6XAGek8LFcXDM","3","1","30m Technology - Lesson 5","<p>What are Computers?<br>⍞ Materials: your Google Docs Learning Journal and HTML Word Journal</p><p>➜ OPEN<br>Open your Google Docs Learning Journal and navigate to the next lesson section.</p><p>➜ THINK<br>Spend 5 minutes answering the following questions about these terms: hardware, operating system, servers, monitor, video processor, LCD displays, LED displays, processing, ports, USB, mother board, CPU, heat sync, RAM, hard drive, SSD, expansion card, applications, surge protector, ergonomics, desktop, task bar, menu bar, doc, modem, router, ethernet, Wi-Fi, the cloud, malware, virus, spyware, trojan horses, ransomware, and keyloggers.<br>• Which of the following terms do you know well? <br>• Which ones do you want to know more about?</p><p>➜ VIEW and NARRATE         <br>∞ Video Link: Computers Playlist<br>You will be expected to write about what you watch in these videos, so pause the video and jot down notes when you notice something noteworthy.<br>• Spend 10 minutes watching the videos that touch on the terms you wanted to know more about.</p><p>➜ OPEN<br>Your working copy of your HTML Word Journal.txt <br>• Create at least 2 entries in your HTML Word Journal from the terms you explored today.</p><p>➜ REFLECT <br>Reflect on what the computer terms you already knew before starting this lesson had in common. In your Google Docs Learning Journal, compare those terms to the terms you looked up.  What area or areas of computing are you less familiar with?</p>","","https://planning.alveary.org/links.html?id=rech2GA4NRK0pGrqO&term=1&week=3","Lesson","0","FALSE"
"alveary-rech2GA4NRK0pGrqO","alveary-recFAwUQN68qiQYVq","3","2","30m Technology - Lesson 6","<p>What is Computer Science?<br>⍞ Materials: your Google Docs Learning Journal and HTML Word Journal</p><p>➜ OPEN <br>Open your Google Docs Learning Journal and navigate to the next available lesson section.</p><p>➜ THINK<br>Briefly answer the following questions about the following terms:  software, binary code, algorithm, sequences, selections, loops, programming languages, JavaScript, Python, Java, C++, HTML, and CSS. <br>• Which of the following terms do you know well? <br>• Which ones do you want to know more about?</p><p>➜ WATCH <br>∞ Video Link: Computer Science Basics Playlist (15 mins)<br>You will be expected to write about what you watch in this course, so pause the video and jot down notes when you notice something noteworthy.<br>• Create at least 3 entries in your HTML Word Journal from the terms you explored today.</p><p>➜ REFLECT<br>Complete your Google Docs Learning Journal entry for this lesson by reflecting on what the computer science terms you already knew well enough before starting this lesson had in common. Compare those terms to the terms you looked up; what area or areas of computing are you less familiar with?</p>","","https://planning.alveary.org/links.html?id=rech2GA4NRK0pGrqO&term=1&week=3","Lesson","0","FALSE"
"alveary-rech2GA4NRK0pGrqO","alveary-recvROQXfsy3xlV8X","4","1","30m Technology - Lesson 7","<p>A History of Computers<br>⍞ Materials: your Google Docs Learning Journal and Alveary Technology Timeline Template</p><p>➜ OPEN <br>Open your Google Docs Learning Journal and navigate to your next available lesson section.</p><p>➜ THINK <br>Answer the following questions: <br>• What do you think are the most important events in computer history?<br>• Approximately when did they happen?</p><p>➜ WATCH:<br>∞ Video Link: History of computers - A Timeline (4 mins) <br>∞ Video Link: History of Computers (part 2) - A Timeline (3 mins)<br>• You will be expected to write about what you watch in this course, so pause the video and jot down notes when you notice something noteworthy.</p><p>➜ VISIT AND EXPLORE <br>∞ Link: The Computer History Museum Virtual Tour<br>• You will need to zoom in to see the different spaces in the museum. In the lower left-hand corner, you will see a picture of an abacus. In that same space, press the triangular play button.</p><p>➜ OPEN <br> ∞ Link: Alveary Technology Timeline Template (Google Slides)<br>• Click the blue &quot;Use Template&quot; button.<br>• Navigate to the section corresponding to the relevant date. <br>• Create an entry about an event, person, or artifact that stood out to you.</p><p>➜ REFLECT<br>Complete your Google Docs Learning Journal entry for this lesson by reflecting on the impact the event, person, or artifact you studied had on society.</p>","<p>★ TEACHER TIP <br>For more information about Google Slides: <br>∞ Video Link: Google Slides-Getting Started</p>","https://planning.alveary.org/links.html?id=rech2GA4NRK0pGrqO&term=1&week=4","Lesson","0","FALSE"
"alveary-rech2GA4NRK0pGrqO","alveary-recHladmGMxZWE2cD","4","2","30m Technology - Lesson 8","<p>HTML Elements and Tags #1<br>⍞ Materials: your Google Docs Learning Journal and your HTML Word Journal</p><p>➜ INTRO <br>You will add line breaks, spaces, and lists to websites.</p><p>➜ OPEN <br>Open your Google Docs Learning Journal and navigate to the next available lesson section.</p><p>➜ THINK<br>In your Google Docs Learning Journal, answer any of the following questions:<br>• How do websites know how to show words, pictures, and videos in the right places? (If you do not know, write that! Starting by recording what you do not know increases the possibility that you will feel good about learning.)<br>• If you could design your own website, what would it look like? How would you tell the computer to arrange everything?<br>• Why do you think all websites follow some basic rules or structure to display content?<br>• After responding to the question, replace the default image with a relevant one.</p><p>➜ WATCH (11 min) <br>∞ Video Link: HTML Tutorial Playlist #02<br>∞ Video Link: HTML Tutorial Playlist #03  <br>• You will be expected to write about what you watch in these videos on adding line breaks, spaces, and lists. Pause the video and jot down notes when you notice something noteworthy.</p><p>➜ REFLECT<br>• Open your working copy of the HTML Word Journal.txt and experiment with adding a line break somewhere.<br>• Add unordered lists of examples to your entry on markup languages.<br>∞ Article Link: List of markup languages - Wikipedia <br>• Use your Google Docs Learning Journal to reflect on what you learned and to record any questions you have on the topic of HTML lists.</p><p>• TERMINOLOGY<br>Add any new terms you come across to your Word Journal.</p>","<p>★ TEACHER TIP<br>- Don’t fret if you mess it up! Remember you saved a backup.</p>","https://planning.alveary.org/links.html?id=rech2GA4NRK0pGrqO&term=1&week=4","Lesson","0","FALSE"
"alveary-rech2GA4NRK0pGrqO","alveary-recD3AGbLUUUcufJj","5","1","30m Technology - Lesson 9","<p>HTML Elements and Tags #2<br>⍞ Materials: your Google Docs Learning Journal and HTML Word Journal</p><p>➜ INTRO        <br>You will edit HTML tables and add web links.</p><p>➜ OPEN <br>Open your Google Docs Learning Journal and navigate to the next available lesson section.</p><p>➜ THINK <br>Use your Google Docs Learning Journal and answer any of the following questions:<br>• Think about other courses you have taken. Where else have you encountered information in tables? <br>• How does sorting information into rows and columns help to clarify it for ourselves and others? <br>• You may notice that some websites appear blocky.  What other limitations might result from using tables? <br>• Google famously became the most used search engine because it gave more precedence to sites that linked to other sites.  How else have web links affected the internet? <br>• How do you know when a text or image is clickable and when it is not? <br>• Have you ever been surprised to find that you could interact with something that gave you no indication that it was possible to interact with it?</p><p>➜ WATCH (8 min)<br>Tables and Links<br>∞ Video Link: HTML Tutorial Playlist #04<br>∞ Video Link: HTML Tutorial Playlist #05 <br>You will be expected to write about what you watch in this course, so pause the video and jot down notes when you notice something noteworthy.</p><p>➜ REFLECT<br>• Open your working copy of the HTML Word Journal and notice how tables and web links have been used. <br>• Add some web links to your entries. <br>• Add a new row of cells below the table where you can put future entries.<br>• Use your Google Docs Learning Journal to reflect on what you are learning.</p><p>• EXTRA HELPING<br>Watch any or all of the other videos from the HTML Tutorial playlist<br>Try out what you are learning using your HTML Word Journal.</p>","<p>★ TEACHER TIP<br>Don’t fret if you mess it up! Remember, you saved a backup.</p>","https://planning.alveary.org/links.html?id=rech2GA4NRK0pGrqO&term=1&week=5","Lesson","0","FALSE"
"alveary-rech2GA4NRK0pGrqO","alveary-recoKHSxtutROhWq0","5","2","30m Technology - Lesson 10","<p>Pioneers in the History of Technology: Charles Babbage and Ada Lovelace<br>⍞ Materials: your Google Docs Learning Journal and Google Slides Technology Timeline</p><p>➜ OPEN <br>Open your Google Docs Learning Journal and navigate to the next available lesson section.</p><p>➜ THINK<br>Spend 5 minutes and answer one of the following questions in your Google Docs Learning Journal:<br>• What is technology? How do you know when something is not technology? <br>• What do you think people in the early 19th century thought about when they thought about technology?</p><p>➜ READ and VIEW<br>∞ Article Link: Charles Babbage biography<br>∞ Video Link: Charles Babbage and His Difference Engine #2<br>∞ Article Link: Ada Lovelace biography<br>∞ Video Link: The First Computer Programmer: Ada Lovelace<br>• You will be expected to write about what you watch in this course, so pause the video and jot down notes when you notice something noteworthy.</p><p>➜ OPEN <br>Google Slides Technology Timeline<br>• Navigate to the section corresponding to the relevant date and create an entry about the people you studied.</p><p>➜ REFLECT:<br>Use the last 5 minutes completing your Google Docs Learning Journal entry for today, answering at least two of the following questions and justifying your answers: <br>• Is a pencil technology? <br>• Is the alphabet or written script a technology? <br>• Is a language, like English, a technology? <br>• Is music technology? <br>• Is faith technology?</p>","","https://planning.alveary.org/links.html?id=rech2GA4NRK0pGrqO&term=1&week=5","Lesson","0","FALSE"
