"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rechBr1klp07q5DHA","alveary-tracker-rechBr1klp07q5DHA-1-1","1","1","15m Math Games: Grades 1-8 - Lesson 1","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-rechBr1klp07q5DHA","alveary-tracker-rechBr1klp07q5DHA-1-2","1","2","15m Math Games: Grades 1-8 - Lesson 2","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-rechBr1klp07q5DHA","alveary-tracker-rechBr1klp07q5DHA-1-3","1","3","15m Math Games: Grades 1-8 - Lesson 3","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-rechBr1klp07q5DHA","alveary-tracker-rechBr1klp07q5DHA-2-1","2","1","15m Math Games: Grades 1-8 - Lesson 4","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-rechBr1klp07q5DHA","alveary-tracker-rechBr1klp07q5DHA-2-2","2","2","15m Math Games: Grades 1-8 - Lesson 5","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-rechBr1klp07q5DHA","alveary-tracker-rechBr1klp07q5DHA-2-3","2","3","15m Math Games: Grades 1-8 - Lesson 6","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-rechBr1klp07q5DHA","alveary-tracker-rechBr1klp07q5DHA-3-1","3","1","15m Math Games: Grades 1-8 - Lesson 7","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-rechBr1klp07q5DHA","alveary-tracker-rechBr1klp07q5DHA-3-2","3","2","15m Math Games: Grades 1-8 - Lesson 8","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-rechBr1klp07q5DHA","alveary-tracker-rechBr1klp07q5DHA-3-3","3","3","15m Math Games: Grades 1-8 - Lesson 9","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-rechBr1klp07q5DHA","alveary-tracker-rechBr1klp07q5DHA-4-1","4","1","15m Math Games: Grades 1-8 - Lesson 10","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
