"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rechYrgUHG14HsexU","alveary-recipaxSFZQFyzaCM","1","1","15m General Science: Grade 2 - Lesson 1","<p>Looking for Ants Activity<br>⍞ Materials: Nature Journal</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Today, you will look for ants!</p><p>➜ OBSERVE<br>Some good places to look are under small rocks, around logs, and in cracks. Use a stick to safely lift rocks. If you find ants, take some time to observe them. Use a magnifier if you have one. How many sections of the body can you see? From which do the legs come? Describe its antennae, jaws, and eyes. If you give it a drop of honey or a few crumbs, what does it do? If you find something else that you want to observe, you may take the time to do so. Spend about 10 minutes looking for ants.</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student(s) noticed.</p><p>• Did you find ants? If so, describe their habitat. How does it provide food and shelter for them?</p>","<p>★ TEACHER TIP<br>If students seem anxious or unsure about their nature journal, teachers can encourage them by modeling, showing them many different examples, journaling in tandem, or serving as a scribe.</p><p>★ TEACHER TIP<br>If students find ants, this is a great opportunity for an object lesson. Questions are embedded in the lesson to help, as needed. If preferred, teachers can instead refer to the Handbook of Nature Study or allow questions to flow naturally between student and teacher.</p><p>★ TEACHER NOTE<br>If you haven't ordered your caterpillars yet, don't forget!</p>","","Lesson","0","FALSE"
"alveary-rechYrgUHG14HsexU","alveary-recd8rhMs9738iVLg","2","1","15m General Science: Grade 2 - Lesson 2","<p>Insects and Plants <br>⍞ Materials: Monarch and Milkweed</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Look at the picture on the cover. What kinds of butterflies have you noticed before? What did they look like? Where were they?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Monarch and Milkweed  (whole book)</p><p>• The meadow where the flowers grow might be a good habitat for a butterfly, but they might also fly to other habitats to find flowers, as well. A 'biome' is all of the living things that live together in a community in neighboring habitats. Can you think of some different habitats in our biome, where we live, where butterflies might be able to find food and shelter?</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","<p>★ TEACHER TIP<br>Let students enjoy the artwork in this picture book. If you need to take a break and finish it another time, that is fine.</p>","","Lesson","0","FALSE"
"alveary-rechYrgUHG14HsexU","alveary-reclpGwNbSAiFHh25","3","1","15m General Science: Grade 2 - Lesson 3","<p>Observing Caterpillars Activity<br>⍞ Materials: Nature Journal, caterpillars</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Let's take a close look at our caterpillars today.</p><p>➜ OBSERVE<br>Spend about 10 minutes observing your caterpillars in their habitat today and plan to check on them every day to watch them change. What parts are you able to notice? What is the caterpillar doing?</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student(s) noticed.</p><p>• Do you recall in what stage of the life cycle the caterpillar is?</p>","<p>★ TEACHER TIP<br>Raising butterflies provides many opportunities for object lessons on several stages of the insect's life over the next 2 weeks or so.</p>","","Lesson","0","FALSE"
"alveary-rechYrgUHG14HsexU","alveary-recqQThrWVj6e2KXC","4","1","15m General Science: Grade 2 - Lesson 4","<p>Observing Caterpillars or Pupae Activity<br>⍞ Materials: Nature Journal, caterpillars/pupae</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Have you noticed if your caterpillars are changing?  Take a close look today!</p><p>➜ OBSERVE<br>Spend about 10 minutes observing your caterpillars or pupae today, and plan to check on them every day to watch them change. What do you notice today?</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student(s) noticed.</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","<p>★ TEACHER TIP<br>The time that it takes for the butterflies to emerge will vary slightly, so enjoy them while you have them and release them based on the instructions that came with them.</p>","","Lesson","0","FALSE"
"alveary-rechYrgUHG14HsexU","alveary-recnSOofSMhlk3r0W","5","1","15m General Science: Grade 2 - Lesson 5","<p>Observing Pupae or Butterflies? Activity<br>⍞ Materials: Nature Journal, pupae/butterflies</p><p>➜ INTRO<br>How have your caterpillars changed this week?  Take a close look today.</p><p>➜ OBSERVE<br>Spend about 10 minutes observing your pupae or butterflies today, if you have not yet released them. What parts are you able to notice on the adult butterfly? What does the butterfly do when it emerges from the chrysalis? If you have released them already, then spend your time noticing wildflowers. What colors and shapes do you notice? Do ants, butterflies, or other insects visit them? If so, what do the insects look like? What are the insects doing?</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student(s) noticed.</p><p>• Tell about what you recorded.</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","","","Lesson","0","FALSE"
"alveary-rechYrgUHG14HsexU","alveary-recNzT4BV0DvflDC4","6","1","15m General Science: Grade 2 - Lesson 6","<p>Planting Host Plants Activity<br>⍞ Materials: resource link, seeds/plants for local butterfly species, pot with soil or place in the garden, trowel, water</p><p>PREP: Read Teacher Tip</p><p>➜ ACTIVITY<br>Plant one or more flowers for your local butterflies. You may plant seeds or seedlings, depending on what is most appropriate for your season and location.</p>","<p>★ TEACHER TIP<br>To find out more about good host plants for your locale, ask your local nature preserve, conservancy, or state/national park, OR check out the resources at the link:<br>∞ Resource Link: Xerces Society</p>","https://planning.alveary.org/links.html?id=rechYrgUHG14HsexU&term=1&week=6","Lesson","0","FALSE"
"alveary-rechYrgUHG14HsexU","alveary-recNKT1bKDb96bzdm","7","1","15m General Science: Grade 2 - Lesson 7","<p>Wildflower Watching Activity<br>⍞ Materials: Nature Journal</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Let's notice the wildflowers that are growing this season! Do you suppose that butterflies visit your wildflowers?</p><p>➜ OBSERVE<br>Spend about 10 minutes noticing which wildflowers are growing this season. What colors and shapes do you notice? How many petals do they have? How are the petals arranged? Do ants, butterflies, or other insects visit them? If so, what do the insects look like? How many different types or sizes of insects? What are the insects doing?</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student(s) noticed.</p><p>• Do you notice anyone already familiar to you? Do you notice anyone new?</p>","<p>★ TEACHER TIP<br>Today is a good opportunity for an object lesson on wildflowers. Questions are embedded in the lesson to help, as needed. If preferred, teachers can instead refer to the Handbook of Nature Study or allow questions to flow naturally between student and teacher.</p>","","Lesson","0","FALSE"
"alveary-rechYrgUHG14HsexU","alveary-recdlD8UsIOIrk4E8","8","1","15m General Science: Grade 2 - Lesson 8","<p>My Biome<br>⍞ Materials: A Walk in the [familiar biome]</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Look at the picture on the cover. Do you recognize any of the living things on the cover? All of these (and more) live together in a community in our biome, so let's read about that today.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>A Walk in the [familiar biome]  (whole book)</p><p>• What different habitats did you recognize in the book?</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","<p>★ TEACHER TIP<br>Let students enjoy the photographs in this picture book. If you need to take a break and finish it another time, that is fine.</p>","","Lesson","0","FALSE"
"alveary-rechYrgUHG14HsexU","alveary-recstdS4ceLt8ke3H","9","1","15m General Science: Grade 2 - Lesson 9","<p>Observing a Community Activity<br>⍞ Materials: Nature Journal</p><p>➜ INTRO<br>Check on the wildflower that you planted for the butterflies.</p><p>➜ OBSERVE<br>How has your wildflower grown or changed? Are there any insects or spiders visiting? Has it made seeds? Spend some time noticing who else lives in its habitat. What other plants are nearby? What birds do you see or hear?</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student(s) noticed.</p><p>• Tell about what you recorded.</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","","","Lesson","0","FALSE"
"alveary-rechYrgUHG14HsexU","alveary-rectd7WQHa5XxrXgq","10","1","15m General Science: Grade 2 - Lesson 10","<p>Noticing Insects Activity<br>⍞ Materials: Nature Journal</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Notice a fly or other insect today.</p><p>➜ OBSERVE<br>Look at the insect closely with your magnifier. Describe its antennae, jaws, and eyes. How many wings does it have? From which sections do the wings come? The legs? What else do you notice?</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student(s) noticed.</p><p>• Tell about what you found or what you recorded.</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","<p>★ TEACHER TIP<br>Leave a small piece of meat outside in a safe location a few hours before the lesson. This can be a good opportunity for an object lesson with an insect, hopefully, a fly.</p>","","Lesson","0","FALSE"
