"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rechch3gkLaICGbWm","alveary-recrOjiaVrL5rDUva","1","1","20m Geography: Grade 2 (Canada) - Lesson 1","<p>Introduction<br>⍞ Materials: Atlas, Globe or Wall Map showing North America, My Canada, geography journal</p><p>PREP: Print Blank World Map, Blank North America Map, Blank Outline Map of Canada.<br>∞ Map Link: Blank World Map<br>∞ Map Link: Blank North America Map<br>∞ Map Link: Blank Outline Map of Canada (download the first option under &quot;Maps of Canada&quot;)</p><p>➜ INTRO<br>In geography this year, we will begin a two-year journey across Canada. Geography is learning about different places around the world. All kinds of maps are used to help us in the study of geography—globes, wall maps, and atlases.</p><p>➜ MAP QUESTIONS<br>⍞ Map Resource: Atlas, Globe, or Wall Map showing North America<br>1\. Find North America. <br>2\. Find the equator. Is Canada north or south of the equator? <br>3\. What is to the west of Canada? (Pacific Ocean) To the east? (Atlantic Ocean) To the north? (Arctic Ocean) To the south? (United States of America)</p><p>➜ MAP WORK<br>Add the Blank World Map (referred to moving forward as &quot;My World Map&quot;), the Blank North America Map (referred to moving forward as &quot;My North America Map&quot;), and the Blank Outline Map of Canada (referred to moving forward as &quot;My Canada Map&quot;) to your geography journal.</p><p>⍞ Map Resource: My World Map<br>1\. Add the title &quot;My World Map.&quot;<br>2\. Colour in Canada.</p><p>⍞ Map Resource: My North America Map<br>1\. Add title &quot;My North America Map.&quot;<br>2\. Label the borders of Canada. (Pacific Ocean, Atlantic Ocean, Arctic Ocean, United States of America)<br>3\. Label any other countries of interest, using a North American map or atlas as a reference (Greenland, Mexico, etc.).</p><p>➜ READ &amp; NARRATE<br>My Canada<br>&quot;Oh, Canada&quot; - &quot;polar bears.&quot;</p><p>• Which of these facts were new to you? What are you most excited to learn about Canada? The parent/teacher or the student (depending on ability) could write these down in the geography journal.</p><p>• TAKE A GEOGRAPHY WALK<br>Near the beginning of term 2, we will have some lessons about how water moves. Depending on where you live, it may rain often or not much at all. Please start to take notes on where the water goes when it rains. Look for where it goes near your home, and even see if you can follow it in your neighbourhood. The notes can go in your nature or geography journal.</p>","","https://planning.alveary.org/links.html?id=rechch3gkLaICGbWm&term=1&week=1","Lesson","0","FALSE"
"alveary-rechch3gkLaICGbWm","alveary-recwE2bWmyH14r5Tn","1","2","20m Geography: Grade 2 (Canada) - Lesson 2","<p>Canada<br>⍞ Materials: My Canada; The Kids Book of Canada; geography journal</p><p>PREP: Print the flag of Canada and Canada's Coat of Arms.<br>∞ Image Link: Colouring Book of Flags: Canada<br>∞ Image Link: Canada's Coat of Arms</p><p>➜ INTRO<br>Let's look at the whole map of Canada at the beginning of My Canada. What do you notice?</p><p>➜ MAP QUESTIONS<br>1\. Run your finger along the southern border of Canada. Most of Canada's population lives near this border. Can you name some of the cities you see there?<br>2\. Locate the capital city of Canada (Ottawa). Discuss what it means to be a capital city, and give some examples of other capital cities around the world.<br>3\. Locate your province or territory. How close do you live to the southern border? How close do you live to the capital city of Ottawa? Could you drive there, or would you have to fly?<br>4\. Looking at the map, point out places you've visited or places where your family and friends live.</p><p>➜ MAP WORK<br>⍞ Map Resource: My Canada Map<br>1\. Add title &quot;My Canada Map.&quot;<br>2\. Add Ottawa (with a star inside a circle) to the map and label it.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>The Kids Book of Canada<br>p.4 &quot;Canada's name&quot; - &quot;February 15, 1965.&quot;</p><p>• Facts about countries can change over time. Look up the current population of Canada and compare it to the number in the &quot;Quick Facts&quot; box. What might be some reasons that the population of Canada is getting bigger?</p><p>➜ MAP WORK<br>1\. Colour the flag of Canada and add it to your geography journal.<br>2\. Colour Canada's Coat of Arms and add it to your geography journal. Spend some time looking at all the figures there. Did you know Canada's Coat of Arms has a unicorn?</p><p>• EXTRA HELPING<br>Watch the Heritage Minute about the naming of Canada<br>∞ Video Link: Heritage Minutes: Jacques Cartier (1:00)</p>","","https://planning.alveary.org/links.html?id=rechch3gkLaICGbWm&term=1&week=1","Lesson","0","FALSE"
"alveary-rechch3gkLaICGbWm","alveary-reciCxd58Hec8Zprt","2","1","20m Geography: Grade 2 (Canada) - Lesson 3","<p>Compass<br>⍞ Materials: compass, paper, tape</p><p>➜ DISCUSS<br>There are naturally occurring magnetic rocks called magnetite, but modern compasses use a magnetized needle. Both magnetite and a modern magnetic needle, when allowed to move freely, will swing to point north. Today, we will use a compass to find direction in your classroom or room in your home.</p><p>➜ DEMONSTRATE<br>1\. Place the compass in the middle of the room and allow it to stop moving. <br>2\. The needle will be pointing north. You must move the N sign on the compass to line up with the point of the needle.<br>3\. On a piece of paper, write N for north and tape it to the wall that the compass is pointing to.<br>4\. When you face north, east will be on your right, west on your left, and south directly behind you.<br>5\. Using these directions, make more sheets with E, W, and S on them and tape them to your walls.</p><p>➜ PLAY<br>Using the directions on the walls, take turns with another student or teacher, following directions such as &quot;take 3 steps east&quot; or &quot;take 2 giant steps south.&quot; You can even make it into a Mother May I game.</p>","","","Lesson","0","FALSE"
"alveary-rechch3gkLaICGbWm","alveary-recVgaCnEr297A8PR","2","2","20m Geography: Grade 2 (Canada) - Lesson 4","<p>Compass Rose<br>⍞ Materials: compass, chalk</p><p>➜ DISCUSS<br>During the last lesson, we found direction inside, and today we will find direction outside and create a compass rose.</p><p>➜ DEMONSTRATE<br>1\. Draw a large circle on a paved area. Place the compass in the middle and allow it to stop moving. <br>2\. The needle will be pointing north. You must move the N sign on the compass to line up with the point of the needle.<br>3\. Draw a line from the N side of the compass straight to the edge of the circle, and mark it with an N.<br>4\. Do the same thing with E, W, and S.<br>5\. Today, we will add more directions to the compass rose. Halfway between the N and the E, you will write a NE, which stands for northeast, on the circle. Halfway between N and W, you will write NW, which stands for northwest. Continue by adding a SE between S and E, for southeast, and add SW between S and W, for southwest.<br>6\. You will notice that it is easier to give more accurate directions because you have more to refer to.</p><p>➜ PLAY<br>1\. Using the directions on the compass rose, take turns with another student or teacher, following directions such as &quot;take 3 steps northeast&quot; or &quot;take 2 giant steps southwest.&quot; This can be played like Mother May I.<br>2\. Another game you can play is to give directions to an object, like a tree, outside by saying things like &quot;take 5 steps west, and then 2 steps northwest. What is there?&quot;</p>","","","Lesson","0","FALSE"
"alveary-rechch3gkLaICGbWm","alveary-rec764GQsixuTsVzS","3","1","20m Geography: Grade 2 (Canada) - Lesson 5","<p>Compass Rose and Map Key<br>⍞ Materials: Making Your Own Maps</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.4-7 &quot;You've moved&quot; - &quot;these tools!&quot;</p><p>➜ MAP QUESTIONS<br>⍞ Map Resource: Making Your Own Maps, various pages<br>1\. Can you find the compass rose on p.7? Which directions are on it?<br>2\. Locate the keys on p.5 and 7. What symbols do they use? How are they the same or different?<br>3\. Look at the keys on maps on p.15,16,19, 21. How are they the same or different?</p>","","","Lesson","0","FALSE"
"alveary-rechch3gkLaICGbWm","alveary-reclA8hIw3BztbMKU","3","2","20m Geography: Grade 2 (Canada) - Lesson 6","<p>Physical Geography &amp; Biomes<br>⍞ Materials: The Kids Book of Canada</p><p>➜ INTRO<br>As we will see, there are lots of different types of maps, and maps can show many different types of information. The map in My Canada we've been looking at for the past few weeks is a political map: it gives information about borders, boundaries, capital cities, and names. But it doesn't tell us much about what the land is like, what the temperature is, or what animals and plants we might find.</p><p>➜ READ &amp; NARRATE<br>p.5 &quot;Taiga landscape&quot; - &quot;in the valleys.&quot;</p><p>➜ MAP QUESTIONS<br>1\. How many different biomes can be found in Canada? (If you haven't studied biomes before, spend some extra time reading the descriptions in the book, or do some additional research about the characteristics of each.)<br>2\. What biome do you live in? What is the climate like throughout the year, and what is it like right now? What plants and animals are found in your area?<br>3\. How has the mapmaker chosen to represent what can be found in Canada? What images do you see? (When a map shows the landforms, natural regions, climate, and biomes of an area, it is an example of physical geography.)</p><p>• TAKE A GEOGRAPHY WALK<br>Go for a walk in your neighbourhood. What grows near you? What type of vegetation (trees, bushes, flowers, etc.) grows near you? What is the climate like right now? You could add this information to your Outdoor Work notebook.</p>","","","Lesson","0","FALSE"
"alveary-rechch3gkLaICGbWm","alveary-rec6S0SvYqv1LuCQT","4","1","20m Geography: Grade 2 (Canada) - Lesson 7","<p>Types of Maps Intro</p><p>➜ INTRO<br>Last week, we looked at a map that showed different aspects of Canada's physical geography. We are going to spend a few lessons learning about different types of maps.</p><p>➜ DISCUSS<br>1\. Today, we will look at two more types of maps. The first we will call a model or a 3-dimensional map. Last year, you used blocks (or some other objects) to make maps. You did this with your room, your home, your neighbours, etc. <br>2\. The second type of map we will call a pictorial view. It is a drawing of a street-level view of a home, building, etc. You also drew these last year when you drew your home and neighbouring homes/buildings.</p><p>➜ VIEW &amp; DISCUSS<br>Look at the linked map pictures.<br>1\. Look at the linked Room Model and Model Showing Orientation.<br>∞ Image link: Room Model<br>∞ Image link: Model Showing Orientation<br>2\. Make a quick model of a room in your home or school. If you have previously done this activity, choose a different room to model.<br>3\. Look at the linked pictorial view of a house. It will be at eye level, and drawn as if you are looking directly at it. <br>∞ Image link: Pictorial map<br>4\. If time permits, draw a pictorial view of your home from the outside.</p>","","https://planning.alveary.org/links.html?id=rechch3gkLaICGbWm&term=1&week=4","Lesson","0","FALSE"
"alveary-rechch3gkLaICGbWm","alveary-recXjDoIVZhjHWFFv","4","2","20m Geography: Grade 2 (Canada) - Lesson 8","<p>Types of Maps, Cont.<br>⍞ Materials: Making Your Own Maps</p><p>➜ RECAP<br>What types of maps did we discuss in the last lesson?</p><p>➜ DISCUSS<br>1\. Today, we will look at the next 2 types of maps. The first we will call a panoramic 3D map. Imagine you are a bird high up in a tree looking down at your home; what kind of drawing would that make? How would it look different from the street view of your home?<br>2\. The second type of map we will call an aerial view. This time, imagine you are a bird flying directly over your home; what kind of drawing would that make? (could only see the roof) How is this different from the panoramic view?</p><p>➜ VIEW &amp; DISCUSS<br>Look at the linked map pictures, as well as one in Making Your Own Maps.<br>1\. Look at the linked Panoramic 3D map and have the student identify its type.<br>∞ Map Link: Panoramic 3D map<br>2\. Look at the linked Aerial View map, and have the student identify its type.<br>∞ Map Link: Aerial View map<br>3\. Look at Making Your Own Maps p.16. What type of map is this, based on what we studied today? (panoramic)</p>","<p>★ TEACHER NOTE<br>If your student(s) has used Making Your Own Maps before, have them try to draw a panoramic 3D or an aerial view map of an area familiar to them.</p>","https://planning.alveary.org/links.html?id=rechch3gkLaICGbWm&term=1&week=4","Lesson","0","FALSE"
"alveary-rechch3gkLaICGbWm","alveary-recbNOWYmrWxdWGAu","5","1","20m Geography: Grade 2 (Canada) - Lesson 9","<p>Types of Maps, Cont.<br>⍞ Materials: Making Your Own Maps</p><p>➜ RECAP<br>What types of maps did we discuss in the last lesson?</p><p>➜ DISCUSS<br>Today, we will look at the last type of map we will be discussing this year. This type of map is a symbolic map. These can vary greatly. Making Your Own Maps is full of symbolic maps. As you read today, look for maps that are not models, pictorial, panoramic, or aerial.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.4-15 &quot;You've moved&quot; - &quot;stands for.&quot;</p><p>➜ DISCUSS<br>Did you find symbol maps? (p.5, 7, 8, 11, 13, 15) Note: If there is confusion about why some of those are not pictorial or panoramic, look back at the previous 2 lessons.</p><p>• TAKE A GEOGRAPHY WALK<br>Near the beginning of term 2, we will have some lessons about how water moves. Don't forget to keep an eye out when it rains. Try to pay attention to a light rain versus a hard rain. Don't forget to keep notes in your geography or nature journal.</p>","","","Lesson","0","FALSE"
"alveary-rechch3gkLaICGbWm","alveary-rechlrzmktcdoYOsx","5","2","20m Geography: Grade 2 (Canada) - Lesson 10","<p>People, Places, and Events<br>⍞ Materials: The Kids Book of Canada</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.6-7 &quot;On November 7, 1885&quot; - &quot;markets for its goods.&quot;</p><p>• Discuss these events, the ones your student(s) know and the ones that might be new.</p><p>➜ ILLUSTRATE<br>Draw or find images of the events of most interest to add to your Picture Timeline. Be sure to add when your own province or territory joined Canada.</p>","","","Lesson","0","FALSE"
