"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rechldKYJ1ONHghSw","alveary-recP98NIz8G6aPKS9","1","1","20m Playground Songs & Rhymes - Lesson 1","<p>Hand Clapping: Song &amp; Rhythm<br>⍞ Materials: Playground Songs &amp; Rhymes</p><p>PREP: Learn song and motions.<br> “Hot Cross Buns&quot; p.15</p><p>➜ LISTEN &amp; PRACTICE<br>1\. Listen to the song several times.<br>2\. Listen and repeat one line at a time.<br>3\. Clap to the rhythm while you sing.<br>∞ Audio Link: Hot Cross Buns</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=1&week=1","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recGo6Ga61DfBtqMF","2","1","20m Playground Songs & Rhymes - Lesson 2","<p>Hand Clapping: Motions<br>Hot Cross Buns</p><p>➜ RECAP<br>Sing the song with the audio.</p><p>➜ PRACTICE<br>1\. Learn motions, saying them while moving.<br>2\. Sing the name of motions to the rhythm.<br>3\. Listen to audio while doing motions.<br>∞ Audio Link: Hot Cross Buns</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=1&week=2","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recqIZMSjy0xVateB","3","1","20m Playground Songs & Rhymes - Lesson 3","<p>Hand Clapping: Motions &amp; Singing<br>Hot Cross Buns</p><p>➜ LISTEN &amp; PRACTICE<br>1\. Listen to audio while doing motions.<br>2\. Sing the song while doing motions.<br>∞ Audio Link: Hot Cross Buns</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=1&week=3","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recbRlmcLfOB1zlcB","4","1","20m Playground Songs & Rhymes - Lesson 4","<p>Hand Clapping: Practice &amp; Variations<br>Hot Cross Buns</p><p>➜ LISTEN &amp; PRACTICE<br>Practice motions while singing the song. Experiment with various speeds if ready.<br>∞ Audio Link: Hot Cross Buns</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=1&week=4","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recVfbOWV8irmArCl","5","1","20m Playground Songs & Rhymes - Lesson 5","<p>Passing Game: Song &amp; Rhythm<br>⍞ Materials: Playground Songs &amp; Rhymes</p><p>PREP: Learn song and motions.<br>&quot;Where, Oh, Where&quot; p.85</p><p>➜ LISTEN &amp; PRACTICE<br>1\. Listen to the song several times.<br>2\. Listen and repeat one line at a time.<br>3\. Clap to the rhythm while you sing.<br>∞ Audio Link: Where, Oh, Where</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=1&week=5","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-rec5wq6cAyFgwWtlS","6","1","20m Playground Songs & Rhymes - Lesson 6","<p>Passing Game: Motions<br>Where, Oh, Where</p><p>➜ RECAP<br>Sing the song with the audio.</p><p>➜ PRACTICE<br>1\. Learn motions, saying them while moving.<br>2\. Sing the name of motions to the rhythm.<br>3\. Listen to audio while doing motions.<br>∞ Audio Link: Where, Oh, Where</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=1&week=6","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recN2zmgC8hTQlKc5","7","1","20m Playground Songs & Rhymes - Lesson 7","<p>Passing Game: Motions &amp; Singing<br>Where, Oh, Where<br>⍞ Materials: Rhythm Stick (or other object to pass)</p><p>➜ LISTEN &amp; PRACTICE<br>1\. Listen to the audio while doing motions.<br>2\. Sing the song while doing motions.<br>∞ Audio Link: Where, Oh, Where</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=1&week=7","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recbOFA7N1latT8Nm","8","1","20m Playground Songs & Rhymes - Lesson 8","<p>Passing Game: Practice &amp; Variations<br>Where, Oh, Where<br>⍞ Materials: Rhythm Stick (or other object to pass)</p><p>➜ LISTEN &amp; PRACTICE<br>Practice motions while singing the song. Experiment with various speeds if ready.<br>∞ Audio Link: Where, Oh, Where</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=1&week=8","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recemxgUY2yAHnUbV","9","1","20m Playground Songs & Rhymes - Lesson 9","<p>Practice: Both Songs<br>Hot Cross Buns; Where, Oh, Where<br>⍞ Materials: Rhythm Stick (or other object to pass)</p><p>➜ LISTEN &amp; PRACTICE<br>Sing with the audio once and then without, combining with motions.<br>∞ Audio Link: Hot Cross Buns<br>∞ Audio Link: Where, Oh, Where</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=1&week=9","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-rec1UDpNQhHTaZX4q","10","1","20m Playground Songs & Rhymes - Lesson 10","<p>Practice: Both Songs<br>Hot Cross Buns; Where, Oh, Where<br>⍞ Materials: Rhythm Stick (or other object to pass)</p><p>➜ LISTEN &amp; PRACTICE<br>Sing with the audio once and then without, combining with motions.<br>∞ Audio Link: Hot Cross Buns<br>∞ Audio Link: Where, Oh, Where</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=1&week=10","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recEvXu3O2UCSRai7","11","1","20m Playground Songs & Rhymes - Lesson 11","<p>Practice: Both Songs<br>Hot Cross Buns; Where, Oh, Where<br>⍞ Materials: Rhythm Stick (or other object to pass)</p><p>➜ LISTEN &amp; PRACTICE<br>Sing with the audio once and then without, combining with motions.<br>∞ Audio Link: Hot Cross Buns<br>∞ Audio Link: Where, Oh, Where</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=1&week=11","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recXbGD5Ak1HEI5na","12","1","20m Playground Songs & Rhymes - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Playground Songs &amp; Rhymes &amp; Book of Song Dances</p>","<p>★ Playground Songs &amp; Rhymes — TERM 1 EXAM QUESTIONS<br>·  Perform &quot;Hot Cross Buns&quot; OR &quot;Where, Oh, Where&quot; for the teacher to observe.</p>","","Exam","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recsuNmgyAvxG2gIR","13","1","20m Playground Songs & Rhymes - Lesson 13","<p>Hand Clapping: Song &amp; Rhythm<br>⍞ Materials: Playground Songs &amp; Rhymes</p><p>PREP: Learn song and motions.<br>Say, Say, My Playmate p.24</p><p>➜ LISTEN &amp; PRACTICE<br>1\. Listen to the song several times.<br>2\. Listen and repeat one line at a time.<br>3\. Clap to the rhythm while you sing.<br>∞ Audio Link: Say, Say, My Playmate</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=2&week=13","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recgEkI3siUSvZzLV","14","1","20m Playground Songs & Rhymes - Lesson 14","<p>Hand Clapping: Motions<br>Say, Say, My Playmate</p><p>➜ RECAP<br>Sing the song with the audio.</p><p>➜ PRACTICE<br>1\. Learn motions, saying them while moving.<br>2\. Sing the name of motions to the rhythm.<br>3\. Listen to audio while doing motions.<br>∞ Audio Link: Say, Say, My Playmate</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=2&week=14","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recG0fkLDQ7ZeBPIi","15","1","20m Playground Songs & Rhymes - Lesson 15","<p>Hand Clapping: Motions &amp; Singing<br>Say, Say, My Playmate</p><p>➜ LISTEN &amp; PRACTICE<br>1\. Listen to audio while doing motions.<br>2\. Sing the song while doing motions.<br>∞ Audio Link: Say, Say, My Playmate</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=2&week=15","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-rec6eJz3bT1lf8N2B","16","1","20m Playground Songs & Rhymes - Lesson 16","<p>Hand Clapping: Practice &amp; Variations<br>Say, Say, My Playmate</p><p>➜ LISTEN &amp; PRACTICE<br>Practice motions while singing the song. Experiment with various speeds if ready.<br>∞ Audio Link: Say, Say, My Playmate</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=2&week=16","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-recmCmcpVK6vMg8Hy","17","1","20m Playground Songs & Rhymes - Lesson 17","<p>Passing Game: Song &amp; Rhythm<br>⍞ Materials: Playground Songs &amp; Rhymes</p><p>PREP: Learn song and motions.<br>&quot;Obwisana&quot; p.81</p><p>➜ LISTEN &amp; PRACTICE<br>1\. Listen to the song several times.<br>2\. Listen and repeat one line at a time.<br>3\. Clap to the rhythm while you sing.<br>∞ Audio Link: Obwisana</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=2&week=17","Lesson","0","FALSE"
"alveary-rechldKYJ1ONHghSw","alveary-rec7PZ4Vn76CzV3Yx","18","1","20m Playground Songs & Rhymes - Lesson 18","<p>Passing Game: Motions<br>Obwisana</p><p>➜ RECAP<br>Sing the song with the audio.</p><p>➜ PRACTICE<br>1\. Learn motions, saying them while moving.<br>2\. Sing the name of motions to the rhythm.<br>3\. Listen to audio while doing motions.<br>∞ Audio Link: Obwisana</p>","","https://planning.alveary.org/links.html?id=rechldKYJ1ONHghSw&term=2&week=18","Lesson","0","FALSE"
