"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reci9sddFP9syKyTO","alveary-recZ9VKd2ezef2Wn5","1","1","30m Sloyd: Level 5 - Lesson 1","<p>Cardboard Work Model 1 Cube<br>⍞ Materials: Sloyd by Schwartz, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ READ<br>Read Part II. Card-board Work on p.27-29 to get a short overview of expectations for level 5 Sloyd. The concepts are the same as paper sloyd in earlier levels, though the problems to solve become slightly more challenging, as does the media used to build the models.</p><p>➜ VIEW<br>Photo of the model and tutorial. Visualize the steps to work the model.<br>∞ Image &amp; Video Link: Cube</p><p>➜ PRACTICE<br>Work on the model. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No. 1: Cube&quot; p.29-32.<br>Find a creative way to use your finished model.</p>","","https://planning.alveary.org/links.html?id=reci9sddFP9syKyTO&term=1&week=1","Lesson","0","FALSE"
"alveary-reci9sddFP9syKyTO","alveary-recCxWAUPCLuOgyWf","2","1","30m Sloyd: Level 5 - Lesson 2","<p>Cardboard Work Model 1 Cube<br>⍞ Materials: Sloyd by Schwartz, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ READ<br>Read Part II. Card-board Work on p.27-29 to get a short overview of expectations for level 5 Sloyd. The concepts are the same as paper sloyd in earlier levels, though the problems to solve become slightly more challenging, as does the media used to build the models.</p><p>➜ VIEW<br>Photo of the model and tutorial. Visualize the steps to work the model.<br>∞ Image &amp; Video Link: Cube</p><p>➜ PRACTICE<br>Work on the model. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No. 1: Cube&quot; p.29-32.<br>Find a creative way to use your finished model.</p>","","https://planning.alveary.org/links.html?id=reci9sddFP9syKyTO&term=1&week=2","Lesson","0","FALSE"
"alveary-reci9sddFP9syKyTO","alveary-recvepA5JpztbIiAD","3","1","30m Sloyd: Level 5 - Lesson 3","<p>Cardboard Work Model 1 Cube<br>⍞ Materials: Sloyd by Schwartz, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ READ<br>Read Part II. Card-board Work on p. 27-29 to get a short overview of expectations for level 5 Sloyd. The concepts are the same as paper sloyd in earlier levels, though the problems to solve become slightly more challenging, as does the media used to build the models.</p><p>➜ VIEW<br>Photo of the model and tutorial. Visualize the steps to work the model.<br>∞ Image &amp; Video Link: Cube</p><p>➜ PRACTICE<br>Work on the model. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No. 1: Cube&quot; p.29-32.<br>Find a creative way to use your finished model.</p>","","https://planning.alveary.org/links.html?id=reci9sddFP9syKyTO&term=1&week=3","Lesson","0","FALSE"
"alveary-reci9sddFP9syKyTO","alveary-recHjvFhN7jBEJE8d","4","1","30m Sloyd: Level 5 - Lesson 4","<p>Cardboard Work Model 2 Square Prism<br>⍞ Materials: Sloyd by Schwartz, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of the model and tutorial. Visualize the steps to work the model.<br>∞ Image &amp; Video Link: Square Prism</p><p>➜ PRACTICE<br>Work on the model. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No. 2: Square Prism&quot; p.33-35.<br>Find a creative way to use your finished model.</p>","","https://planning.alveary.org/links.html?id=reci9sddFP9syKyTO&term=1&week=4","Lesson","0","FALSE"
"alveary-reci9sddFP9syKyTO","alveary-recwN4sdJLUpsaT5E","5","1","30m Sloyd: Level 5 - Lesson 5","<p>Cardboard Work Model 2 Square Prism<br>⍞ Materials: Sloyd by Schwartz, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of the model and tutorial. Visualize the steps to work the model.<br>∞ Image &amp; Video Link: Square Prism</p><p>➜ PRACTICE<br>Work on the model. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No. 2: Square Prism&quot; p.33-35.<br>Find a creative way to use your finished model.</p>","","https://planning.alveary.org/links.html?id=reci9sddFP9syKyTO&term=1&week=5","Lesson","0","FALSE"
"alveary-reci9sddFP9syKyTO","alveary-recSuvd3a31A1ahT1","6","1","30m Sloyd: Level 5 - Lesson 6","<p>Cardboard Work Model 2 Square Prism<br>⍞ Materials: Sloyd by Schwartz, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of the model and tutorial. Visualize the steps to work the model.<br>∞ Image &amp; Video Link: Square Prism</p><p>➜ PRACTICE<br>Work on the model. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No. 2: Square Prism&quot; p.33-35.<br>Find a creative way to use your finished model.</p>","","https://planning.alveary.org/links.html?id=reci9sddFP9syKyTO&term=1&week=6","Lesson","0","FALSE"
"alveary-reci9sddFP9syKyTO","alveary-recJGKx4UU08dW6z2","7","1","30m Sloyd: Level 5 - Lesson 7","<p>Cardboard Work Model 3 Triangular Prism<br>⍞ Materials: Sloyd by Schwartz, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of the model and tutorial. Visualize the steps to work the model.<br>∞ Image &amp; Video Link: Triangular Prism</p><p>➜ PRACTICE<br>Work on the model. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No. 3: Triangular Prism&quot; p.36-38.<br>Find a creative way to use your finished model.</p>","","","Lesson","0","FALSE"
"alveary-reci9sddFP9syKyTO","alveary-receUSSKXOK13kUEh","8","1","30m Sloyd: Level 5 - Lesson 8","<p>Cardboard Work Model 3 Triangular Prism<br>⍞ Materials: Sloyd by Schwartz, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of the model and tutorial. Visualize the steps to work the model.<br>∞ Image &amp; Video Link: Triangular Prism</p><p>➜ PRACTICE<br>Work on the model. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No. 3: Triangular Prism&quot; p.36-38.<br>Find a creative way to use your finished model.</p>","","","Lesson","0","FALSE"
"alveary-reci9sddFP9syKyTO","alveary-recX7xcbrxJKMsWl0","9","1","30m Sloyd: Level 5 - Lesson 9","<p>Cardboard Work Model 3 Triangular Prism<br>⍞ Materials: Sloyd by Schwartz, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of the model and tutorial. Visualize the steps to work the model.<br>∞ Image &amp; Video Link: Triangular Prism</p><p>➜ PRACTICE<br>Work on the model. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No. 3: Triangular Prism&quot; p.36-38.<br>Find a creative way to use your finished model.</p>","","","Lesson","0","FALSE"
"alveary-reci9sddFP9syKyTO","alveary-recyxuZcrLFp62EUX","10","1","30m Sloyd: Level 5 - Lesson 10","<p>Cardboard Work Catch-Up Day<br>⍞ Materials: Sloyd by Schwartz, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course.</p>","","","Lesson","0","FALSE"
