"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reciSAS3ibjpwyQcU","alveary-recyDDHKDVCwbxkyS","1","1","60m Astronomy Labs - Lesson 1","<p>⍞ Materials: journal, star finder</p><p>➜ OBSERVE<br>Simply notice on this first night of observing. What are your first impressions? Or are you able to relocate any objects previously found? Do you notice anything new based on your use of the star finder or Quick Links? Keep a record of what you observe.</p>","","","Lab","0","FALSE"
"alveary-reciSAS3ibjpwyQcU","alveary-recBBKgFpsEIXrByV","2","1","60m Astronomy Labs - Lesson 2","<p>⍞ Materials: journal, star finder</p><p>➜ OBSERVE<br>Notice any objects that are or are becoming familiar. In what directions do they currently lie? Using your hands, measure their locations in the sky. Do these locations change during the evening? Keep a record of what you observe.</p>","<p>★ STUDENT &amp; TEACHER TIP <br>Note that next week's fieldwork should be done in one or more daytime sessions!</p>","","Lab","0","FALSE"
"alveary-reciSAS3ibjpwyQcU","alveary-recGWZ7gF3I02OPJw","3","1","60m Astronomy Labs - Lesson 3","<p>⍞ Materials: journal, binoculars, paper, tripod/stand for binoculars</p><p>➜ OBSERVE<br>Use your hands to measure locations and your binocular set-up to observe the sun's projection. DO NOT LOOK DIRECTLY AT THE SUN! Keep a record of what you observe.</p>","","","Lab","0","FALSE"
"alveary-reciSAS3ibjpwyQcU","alveary-recJscwI9aUD7odPX","4","1","60m Astronomy Labs - Lesson 4","<p>⍞ Materials: journal, star finder, binoculars/telescope</p><p>➜ OBSERVE<br>Use your hands to measure locations of the moon and other objects noted with your star finder and/or Quick Links. Use your binoculars/telescope to view the moon up close. Keep a record of what you observe.</p>","","","Lab","0","FALSE"
"alveary-reciSAS3ibjpwyQcU","alveary-recfcMGX1VDw3mTKv","5","1","60m Astronomy Labs - Lesson 5","<p>⍞ Materials: journal, star finder, binoculars/telescope</p><p>➜ OBSERVE<br>Use your hands to measure locations of the moon, planets, and other objects noted with your star finder and/or Quick Links. Use your binoculars/telescope, as desired, to magnify. Keep a record of what you observe.</p>","","","Lab","0","FALSE"
"alveary-reciSAS3ibjpwyQcU","alveary-recRq8SbgUP5Ya5yf","6","1","60m Astronomy Labs - Lesson 6","<p>⍞ Materials: journal, star finder, binoculars/telescope</p><p>➜ OBSERVE<br>Use your hands to measure locations of the moon, planets, and other objects noted with your star finder and/or Quick Links. Use your binoculars/telescope, as desired, to magnify. Keep a record of what you observe.</p>","","","Lab","0","FALSE"
"alveary-reciSAS3ibjpwyQcU","alveary-reciGvR5Uz41O6bXg","7","1","60m Astronomy Labs - Lesson 7","<p>⍞ Materials: journal, star finder, binoculars/telescope</p><p>➜ OBSERVE<br>Use your hands to measure locations of the moon, planets, and other objects noted with your star finder and/or Quick Links. Use your binoculars/telescope, as desired, to magnify. Keep a record of what you observe.</p>","","","Lab","0","FALSE"
"alveary-reciSAS3ibjpwyQcU","alveary-rec08XuYxcOiDkF7P","8","1","60m Astronomy Labs - Lesson 8","<p>⍞ Materials: journal, star finder, binoculars/telescope</p><p>➜ OBSERVE<br>Use your hands to measure locations of the moon, planets, and other objects noted with your star finder and/or Quick Links. Use your binoculars/telescope, as desired, to magnify. Keep a record of what you observe.</p>","","","Lab","0","FALSE"
"alveary-reciSAS3ibjpwyQcU","alveary-recBMe5h7OlqNDHeN","9","1","60m Astronomy Labs - Lesson 9","<p>⍞ Materials: journal, star finder, binoculars/telescope</p><p>➜ OBSERVE<br>Use your hands to measure locations of the moon, planets, and other objects noted with your star finder and/or Quick Links. Use your binoculars/telescope, as desired, to magnify. Keep a record of what you observe.</p>","","","Lab","0","FALSE"
"alveary-reciSAS3ibjpwyQcU","alveary-recFgKV69FzNFUYRu","10","1","60m Astronomy Labs - Lesson 10","<p>⍞ Materials: journal, star finder</p><p>➜ OBSERVE<br>Use your hands to measure locations of Ursa Major, as well as the moon, planets, and other objects noted with your star finder and/or Quick Links. Keep a record of what you observe.</p>","","","Lab","0","FALSE"
