"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recinqOPd3B7x7LGT","alveary-recxVf5US8QyGUNlp","1","1","10m Recitation: Grade 9 - Lesson 1","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-rec3jrbNcWgyvp7dG","1","2","10m Recitation: Grade 9 - Lesson 2","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recmqqDMUEuZ5NG19","1","3","10m Recitation: Grade 9 - Lesson 3","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recCsF4roxvirkXJP","2","1","10m Recitation: Grade 9 - Lesson 4","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recCm8INZcByrdWnK","2","2","10m Recitation: Grade 9 - Lesson 5","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recxsoBISESOz3KYZ","2","3","10m Recitation: Grade 9 - Lesson 6","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recHxXUyrjmgkZadU","3","1","10m Recitation: Grade 9 - Lesson 7","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recxvWzNYMHt7RDqN","3","2","10m Recitation: Grade 9 - Lesson 8","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recAQvbgx18gSvCFp","3","3","10m Recitation: Grade 9 - Lesson 9","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recK9727Zhug7ggXQ","4","1","10m Recitation: Grade 9 - Lesson 10","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recvCAZOOYT3Xommo","4","2","10m Recitation: Grade 9 - Lesson 11","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recGoeUaBVtzAn0Ql","4","3","10m Recitation: Grade 9 - Lesson 12","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recA5Y7qKsXjfIeVY","5","1","10m Recitation: Grade 9 - Lesson 13","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recSguTmd4wD3L3JB","5","2","10m Recitation: Grade 9 - Lesson 14","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recM5628f4ZvtVTrH","5","3","10m Recitation: Grade 9 - Lesson 15","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recAnBmHUQ1kuLDIs","6","1","10m Recitation: Grade 9 - Lesson 16","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recmRUJFUQHXa22aL","6","2","10m Recitation: Grade 9 - Lesson 17","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recIme0N3ZwUkko8M","6","3","10m Recitation: Grade 9 - Lesson 18","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recIIKjjNQKWGcMjN","7","1","10m Recitation: Grade 9 - Lesson 19","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-reci6A92m9Doz3af6","7","2","10m Recitation: Grade 9 - Lesson 20","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recYWGyLT5EiJ6jQ4","7","3","10m Recitation: Grade 9 - Lesson 21","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-receUgnLVIqaaiY7R","8","1","10m Recitation: Grade 9 - Lesson 22","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recwN81CmPig0ZPAT","8","2","10m Recitation: Grade 9 - Lesson 23","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recPpw8fr2EiJRw1P","8","3","10m Recitation: Grade 9 - Lesson 24","","","","Lesson","0","FALSE"
"alveary-recinqOPd3B7x7LGT","alveary-recpXRhJ0xIFEyb1d","9","1","10m Recitation: Grade 9 - Lesson 25","","","","Lesson","0","FALSE"
